datetime,symbol,open,high,low,close,volume
1994-11-07 03:45:00,NSE:ASIANPAINT,12.48,12.48,12.17,12.17,14400.0
1994-11-08 03:45:00,NSE:ASIANPAINT,12.06,12.06,11.85,11.85,50400.0
1994-11-09 03:45:00,NSE:ASIANPAINT,12.06,12.06,11.65,11.65,16800.0
1994-11-11 03:45:00,NSE:ASIANPAINT,11.85,11.85,11.65,11.65,28800.0
1994-11-25 03:45:00,NSE:ASIANPAINT,11.44,11.44,11.13,11.13,4800.0
1994-11-29 03:45:00,NSE:ASIANPAINT,11.6,11.6,11.6,11.6,2400.0
1994-12-01 03:45:00,NSE:ASIANPAINT,11.23,11.44,11.23,11.44,4800.0
1994-12-05 03:45:00,NSE:ASIANPAINT,11.02,11.23,11.02,11.02,36000.0
1994-12-06 03:45:00,NSE:ASIANPAINT,11.44,11.44,11.44,11.44,14400.0
1994-12-07 03:45:00,NSE:ASIANPAINT,11.02,11.02,11.02,11.02,2400.0
1994-12-08 03:45:00,NSE:ASIANPAINT,10.92,10.92,10.92,10.92,7200.0
1994-12-09 03:45:00,NSE:ASIANPAINT,11.13,11.13,11.13,11.13,105600.0
1994-12-12 03:45:00,NSE:ASIANPAINT,10.92,10.92,10.81,10.81,4800.0
1994-12-13 03:45:00,NSE:ASIANPAINT,10.81,10.81,10.63,10.63,12000.0
1994-12-14 03:45:00,NSE:ASIANPAINT,10.92,11.13,10.92,11.13,33600.0
1994-12-15 03:45:00,NSE:ASIANPAINT,11.02,11.02,11.02,11.02,2400.0
1994-12-16 03:45:00,NSE:ASIANPAINT,11.13,11.13,11.13,11.13,2400.0
1994-12-19 03:45:00,NSE:ASIANPAINT,10.92,11.13,10.86,10.86,16800.0
1994-12-20 03:45:00,NSE:ASIANPAINT,10.84,10.84,10.84,10.84,2400.0
1994-12-21 03:45:00,NSE:ASIANPAINT,11.33,11.33,11.33,11.33,2400.0
1994-12-22 03:45:00,NSE:ASIANPAINT,11.52,11.52,11.52,11.52,2400.0
1994-12-23 03:45:00,NSE:ASIANPAINT,11.13,11.13,11.13,11.13,2400.0
1994-12-26 03:45:00,NSE:ASIANPAINT,10.92,10.92,10.92,10.92,4800.0
1994-12-28 03:45:00,NSE:ASIANPAINT,11.02,11.02,11.02,11.02,2400.0
1995-01-02 03:45:00,NSE:ASIANPAINT,10.81,10.81,10.81,10.81,2400.0
1995-01-03 03:45:00,NSE:ASIANPAINT,10.61,11.13,10.61,11.13,7200.0
1995-01-06 03:45:00,NSE:ASIANPAINT,10.71,10.71,10.71,10.71,4800.0
1995-01-09 03:45:00,NSE:ASIANPAINT,10.86,10.86,10.81,10.81,52800.0
1995-01-11 03:45:00,NSE:ASIANPAINT,10.5,10.61,10.5,10.61,7200.0
1995-01-12 03:45:00,NSE:ASIANPAINT,10.61,10.61,10.5,10.5,7200.0
1995-01-17 03:45:00,NSE:ASIANPAINT,10.61,10.76,10.61,10.76,7200.0
1995-01-18 03:45:00,NSE:ASIANPAINT,11.21,11.21,11.21,11.21,2400.0
1995-01-19 03:45:00,NSE:ASIANPAINT,10.71,10.71,10.71,10.71,2400.0
1995-01-23 03:45:00,NSE:ASIANPAINT,10.61,10.61,10.61,10.61,2400.0
1995-01-24 03:45:00,NSE:ASIANPAINT,10.61,11.02,10.61,11.02,7200.0
1995-01-25 03:45:00,NSE:ASIANPAINT,10.81,11.02,10.81,11.02,12000.0
1995-01-27 03:45:00,NSE:ASIANPAINT,11.02,11.02,10.81,10.96,50400.0
1995-01-30 03:45:00,NSE:ASIANPAINT,10.71,11.02,10.71,11.02,9600.0
1995-01-31 03:45:00,NSE:ASIANPAINT,11.02,11.44,11.02,11.44,7200.0
1995-02-02 03:45:00,NSE:ASIANPAINT,11.42,11.42,11.36,11.42,7200.0
1995-02-03 03:45:00,NSE:ASIANPAINT,11.33,11.44,11.23,11.44,16800.0
1995-02-06 03:45:00,NSE:ASIANPAINT,11.23,11.65,11.23,11.54,12000.0
1995-02-07 03:45:00,NSE:ASIANPAINT,11.33,11.52,11.23,11.39,24000.0
1995-02-08 03:45:00,NSE:ASIANPAINT,11.23,11.44,11.23,11.44,14400.0
1995-02-09 03:45:00,NSE:ASIANPAINT,11.75,11.85,11.44,11.59,60000.0
1995-02-10 03:45:00,NSE:ASIANPAINT,11.54,11.85,11.44,11.85,50400.0
1995-02-13 03:45:00,NSE:ASIANPAINT,11.85,11.85,11.65,11.75,12000.0
1995-02-14 03:45:00,NSE:ASIANPAINT,11.8,11.8,11.66,11.8,163200.0
1995-02-15 03:45:00,NSE:ASIANPAINT,11.75,11.76,11.75,11.75,9600.0
1995-02-16 03:45:00,NSE:ASIANPAINT,11.75,11.75,11.44,11.75,103200.0
