account_value,date
10000.0,2022-09-16
10000.0,2022-09-19
10000.0,2022-09-20
10000.0,2022-09-21
10134.1992995,2022-09-22
10050.1992995,2022-09-23
9873.9992995,2022-09-26
9819.7994995,2022-09-27
9799.099299500002,2022-09-28
9642.9992995,2022-09-29
9613.099299500002,2022-09-30
9016.1992995,2022-10-03
9176.9992995,2022-10-04
9271.599299500002,2022-10-06
9256.7994995,2022-10-07
9194.099299500002,2022-10-10
9249.4992995,2022-10-11
9148.8990995,2022-10-12
9168.8990995,2022-10-13
9152.73085,2022-10-14
9152.73085,2022-10-17
9152.73085,2022-10-18
9152.73085,2022-10-19
9152.73085,2022-10-20
9152.73085,2022-10-21
9152.73085,2022-10-24
9152.73085,2022-10-25
9152.73085,2022-10-27
9152.73085,2022-10-28
9152.73085,2022-10-31
9152.73085,2022-11-01
9152.73085,2022-11-02
9152.73085,2022-11-03
9152.73085,2022-11-04
9152.73085,2022-11-07
9152.73085,2022-11-09
9152.73085,2022-11-10
9152.73085,2022-11-11
9152.73085,2022-11-14
9152.73085,2022-11-15
9152.73085,2022-11-16
9152.73085,2022-11-17
9152.73085,2022-11-18
9152.73085,2022-11-21
9152.73085,2022-11-22
9152.73085,2022-11-23
9168.81455,2022-11-24
9128.81455,2022-11-25
9098.91415,2022-11-28
9083.41415,2022-11-29
9162.41415,2022-11-30
9156.81455,2022-12-01
9171.61435,2022-12-02
9187.41415,2022-12-05
9390.21435,2022-12-06
9325.21435,2022-12-07
9305.21785,2022-12-08
9305.21785,2022-12-09
9325.03385,2022-12-12
9304.950350000001,2022-12-13
9304.950350000001,2022-12-14
9304.950350000001,2022-12-15
9304.950350000001,2022-12-16
9474.04635,2022-12-19
9453.669850000002,2022-12-20
9453.669850000002,2022-12-21
9367.360100000004,2022-12-22
8914.660100000003,2022-12-23
9063.760100000003,2022-12-26
9169.559900000004,2022-12-27
9225.660100000003,2022-12-28
9251.460300000002,2022-12-29
9346.960300000002,2022-12-30
9327.668549500004,2023-01-02
9327.668549500004,2023-01-03
9327.668549500004,2023-01-04
9327.668549500004,2023-01-05
9327.668549500004,2023-01-06
9327.668549500004,2023-01-09
9327.668549500004,2023-01-10
9327.668549500004,2023-01-11
9327.668549500004,2023-01-12
9327.668549500004,2023-01-13
9327.668549500004,2023-01-16
9327.668549500004,2023-01-17
9327.668549500004,2023-01-18
9327.668549500004,2023-01-19
9327.668549500004,2023-01-20
9327.668549500004,2023-01-23
9327.668549500004,2023-01-24
9327.668549500004,2023-01-25
9327.668549500004,2023-01-27
9327.668549500004,2023-01-30
9327.668549500004,2023-01-31
9327.668549500004,2023-02-01
9327.668549500004,2023-02-02
9327.668549500004,2023-02-03
9327.668549500004,2023-02-06
9327.668549500004,2023-02-07
9327.668549500004,2023-02-08
9327.668549500004,2023-02-09
9327.668549500004,2023-02-10
9327.668549500004,2023-02-13
9327.668549500004,2023-02-14
9327.668549500004,2023-02-15
9327.668549500004,2023-02-16
9327.668549500004,2023-02-17
9327.668549500004,2023-02-20
9327.668549500004,2023-02-21
9327.668549500004,2023-02-22
9327.668549500004,2023-02-23
9327.668549500004,2023-02-24
9327.668549500004,2023-02-27
9327.668549500004,2023-02-28
9327.668549500004,2023-03-01
9327.668549500004,2023-03-02
10668.827924500005,2023-03-03
10645.334174500003,2023-03-06
10645.334174500003,2023-03-08
10645.334174500003,2023-03-09
10645.334174500003,2023-03-10
10645.334174500003,2023-03-13
10645.334174500003,2023-03-14
11224.061174500002,2023-03-15
11252.861174500002,2023-03-16
11449.361174500002,2023-03-17
11019.761174500003,2023-03-20
11135.561174500002,2023-03-21
11082.461174500004,2023-03-22
10954.061174500002,2023-03-23
10633.961174500004,2023-03-24
10528.361174500002,2023-03-27
9795.161174500001,2023-03-28
10632.461174500004,2023-03-29
10606.355174500004,2023-03-31
10382.098424500005,2023-04-03
10310.867549500006,2023-04-05
10298.132549500006,2023-04-06
10298.132549500006,2023-04-10
10298.132549500006,2023-04-11
10298.132549500006,2023-04-12
10298.132549500006,2023-04-13
10298.132549500006,2023-04-17
10298.132549500006,2023-04-18
10298.132549500006,2023-04-19
10298.132549500006,2023-04-20
10298.132549500006,2023-04-21
10298.132549500006,2023-04-24
10298.132549500006,2023-04-25
10298.132549500006,2023-04-26
10298.132549500006,2023-04-27
10298.132549500006,2023-04-28
10298.132549500006,2023-05-02
10298.132549500006,2023-05-03
10636.395049500006,2023-05-04
10612.504424500006,2023-05-05
10612.504424500006,2023-05-08
10612.504424500006,2023-05-09
10612.504424500006,2023-05-10
10612.504424500006,2023-05-11
10612.504424500006,2023-05-12
10612.504424500006,2023-05-15
10612.504424500006,2023-05-16
10640.640049500007,2023-05-17
10593.140049500007,2023-05-18
10923.390049500007,2023-05-19
12773.640549500007,2023-05-22
12744.564298250009,2023-05-23
12744.564298250009,2023-05-24
12744.564298250009,2023-05-25
12744.564298250009,2023-05-26
12744.564298250009,2023-05-29
12744.564298250009,2023-05-30
12744.564298250009,2023-05-31
12744.564298250009,2023-06-01
12744.564298250009,2023-06-02
12658.50117325001,2023-06-05
12657.00067325001,2023-06-06
12686.50117325001,2023-06-07
12634.50067325001,2023-06-08
12744.50067325001,2023-06-09
12912.75117325001,2023-06-12
12801.50117325001,2023-06-13
12774.50067325001,2023-06-14
12917.00067325001,2023-06-15
13036.75167325001,2023-06-16
13005.38167200001,2023-06-19
13042.364673250011,2023-06-20
12998.114673250011,2023-06-21
12954.614673250011,2023-06-22
12136.114673250011,2023-06-23
12446.365173250011,2023-06-26
12390.614673250011,2023-06-27
12978.364673250011,2023-06-28
12908.614673250011,2023-06-30
12895.864673250011,2023-07-03
12906.864673250011,2023-07-04
12877.018423250012,2023-07-05
12877.018423250012,2023-07-06
12877.018423250012,2023-07-07
12877.018423250012,2023-07-10
12877.018423250012,2023-07-11
12877.018423250012,2023-07-12
12877.018423250012,2023-07-13
12917.743298250012,2023-07-14
13079.992798250012,2023-07-17
13049.885923250013,2023-07-18
13049.885923250013,2023-07-19
13049.885923250013,2023-07-20
13002.389048250014,2023-07-21
12996.007548250014,2023-07-24
12977.871048250014,2023-07-25
12977.871048250014,2023-07-26
12977.871048250014,2023-07-27
12977.871048250014,2023-07-28
12977.871048250014,2023-07-31
12977.871048250014,2023-08-01
12977.871048250014,2023-08-02
12977.871048250014,2023-08-03
12977.871048250014,2023-08-04
12977.871048250014,2023-08-07
12977.871048250014,2023-08-08
12977.871048250014,2023-08-09
12977.871048250014,2023-08-10
12977.871048250014,2023-08-11
12977.871048250014,2023-08-14
12892.671548250015,2023-08-16
13065.671048250015,2023-08-17
13554.170548250015,2023-08-18
13865.921048250015,2023-08-21
13832.924173250016,2023-08-22
13832.924173250016,2023-08-23
13847.545423250016,2023-08-24
13703.447673250017,2023-08-25
13574.468923250017,2023-08-28
13744.468923250017,2023-08-29
13777.719423250019,2023-08-30
13308.468923250017,2023-08-31
13462.468923250017,2023-09-01
13565.219423250019,2023-09-04
13682.468923250017,2023-09-05
13694.718923250017,2023-09-06
13759.718923250017,2023-09-07
13808.718923250017,2023-09-08
13777.227673250018,2023-09-11
13777.227673250018,2023-09-12
13777.227673250018,2023-09-13
13777.227673250018,2023-09-14
13777.227673250018,2023-09-15
13777.227673250018,2023-09-18
13585.197048250018,2023-09-20
13629.947048250018,2023-09-21
13558.196548250018,2023-09-22
13644.197548250018,2023-09-25
13523.447048250018,2023-09-26
13650.197048250018,2023-09-27
13609.947048250018,2023-09-28
13303.196548250018,2023-09-29
13169.947048250018,2023-10-03
13558.447048250018,2023-10-04
13527.635173250019,2023-10-05
13527.635173250019,2023-10-06
13527.635173250019,2023-10-09
13527.635173250019,2023-10-10
13527.635173250019,2023-10-11
13527.635173250019,2023-10-12
13527.635173250019,2023-10-13
13527.635173250019,2023-10-16
13527.635173250019,2023-10-17
13527.635173250019,2023-10-18
13527.635173250019,2023-10-19
13527.635173250019,2023-10-20
13527.635173250019,2023-10-23
13527.635173250019,2023-10-25
13527.635173250019,2023-10-26
13527.635173250019,2023-10-27
13527.635173250019,2023-10-30
13527.635173250019,2023-10-31
13527.635173250019,2023-11-01
13527.635173250019,2023-11-02
13527.635173250019,2023-11-03
13527.635173250019,2023-11-06
13527.635173250019,2023-11-07
13527.635173250019,2023-11-08
13527.635173250019,2023-11-09
13527.635173250019,2023-11-10
13527.635173250019,2023-11-12
13527.635173250019,2023-11-13
13527.635173250019,2023-11-15
13527.635173250019,2023-11-16
13527.635173250019,2023-11-17
13527.635173250019,2023-11-20
13527.635173250019,2023-11-21
13527.635173250019,2023-11-22
13527.635173250019,2023-11-23
13527.635173250019,2023-11-24
13527.635173250019,2023-11-28
13527.635173250019,2023-11-29
13527.635173250019,2023-11-30
13527.635173250019,2023-12-01
13527.635173250019,2023-12-04
13527.635173250019,2023-12-05
13527.635173250019,2023-12-06
13527.635173250019,2023-12-07
13527.635173250019,2023-12-08
13527.635173250019,2023-12-11
13527.635173250019,2023-12-12
13527.635173250019,2023-12-13
13527.635173250019,2023-12-14
13889.69467325002,2023-12-15
13844.89507325002,2023-12-18
13687.49467325002,2023-12-19
13057.89507325002,2023-12-20
13121.49467325002,2023-12-21
13155.89507325002,2023-12-22
13384.294673250019,2023-12-26
13295.89507325002,2023-12-27
13162.094273250019,2023-12-28
13318.294673250019,2023-12-29
13591.294673250019,2024-01-01
13652.094273250019,2024-01-02
13934.49467325002,2024-01-03
13915.69467325002,2024-01-04
13948.89507325002,2024-01-05
13918.82907225002,2024-01-08
14093.59447225002,2024-01-09
14063.448471250022,2024-01-10
14063.448471250022,2024-01-11
14063.448471250022,2024-01-12
