trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-09-21,ADANIENT,Buy,2,3640.1001,18.2005005,7280.2002,10134.1992995,0,2
2,2022-10-13,ADANIENT,Sell,2,3233.6499,16.168249499999998,6467.2998,9152.73085,2,0
3,2022-11-23,ADANIENT,Buy,2,3903.3,19.5165,7806.6,9168.81455,0,2
4,2022-12-07,ADANIENT,Sell,2,3999.3,19.9965,7998.6,9305.21785,2,0
5,2022-12-09,ADANIENT,Buy,2,3996.8,19.984,7993.6,9325.03385,0,2
6,2022-12-12,ADANIENT,Sell,2,4016.7,20.0835,8033.4,9304.950350000001,2,0
7,2022-12-16,ADANIENT,Buy,2,3980.8,19.904,7961.6,9474.04635,0,2
8,2022-12-19,ADANIENT,Sell,2,4075.3,20.3765,8150.6,9453.669850000002,2,0
9,2022-12-21,ADANIENT,Buy,2,3901.95,19.50975,7803.9,9367.360100000004,0,2
10,2022-12-30,ADANIENT,Sell,2,3858.3501,19.291750500000003,7716.7002,9327.668549500004,2,0
11,2023-03-02,ADANIENT,Buy,5,1607.25,20.090625,8036.25,10668.827924500005,0,5
12,2023-03-03,ADANIENT,Sell,5,1879.5,23.493750000000002,9397.5,10645.334174500003,5,0
13,2023-03-14,ADANIENT,Buy,6,1738.2,26.073000000000004,10429.2,11224.061174500002,0,6
14,2023-03-29,ADANIENT,Sell,6,1740.4,26.106000000000005,10442.400000000001,10606.355174500004,6,0
15,2023-03-31,ADANIENT,Buy,6,1750.45,26.256750000000004,10502.7,10382.098424500005,0,6
16,2023-04-03,ADANIENT,Sell,3,1717.45,12.880875000000001,5152.35,10310.867549500006,6,3
17,2023-04-05,ADANIENT,Sell,3,1698.0,12.735,5094.0,10298.132549500006,3,0
18,2023-05-03,ADANIENT,Buy,5,1839.0,22.9875,9195.0,10636.395049500006,0,5
19,2023-05-04,ADANIENT,Sell,5,1911.25,23.890625,9556.25,10612.504424500006,5,0
20,2023-05-16,ADANIENT,Buy,5,1889.15,23.614375,9445.75,10640.640049500007,0,5
21,2023-05-22,ADANIENT,Sell,5,2326.1001,29.076251250000002,11630.5005,12744.564298250009,5,0
22,2023-06-02,ADANIENT,Buy,5,2445.05,30.563125,12225.25,12658.50117325001,0,5
23,2023-06-16,ADANIENT,Sell,5,2509.6001,31.37000125,12548.0005,13005.38167200001,5,0
24,2023-06-19,ADANIENT,Buy,5,2401.3999,30.01749875,12006.9995,13042.364673250011,0,5
25,2023-07-04,ADANIENT,Sell,5,2387.7,29.84625,11938.5,12877.018423250012,5,0
26,2023-07-13,ADANIENT,Buy,5,2362.05,29.525625,11810.25,12917.743298250012,0,5
27,2023-07-17,ADANIENT,Sell,5,2408.55,30.106875000000002,12042.75,13049.885923250013,5,0
28,2023-07-20,ADANIENT,Buy,5,2419.75,30.246875,12098.75,13002.389048250014,0,5
29,2023-07-21,ADANIENT,Sell,2,2416.3,12.081500000000002,4832.6,12996.007548250014,5,3
30,2023-07-24,ADANIENT,Sell,3,2418.2,18.136499999999998,7254.599999999999,12977.871048250014,3,0
31,2023-08-14,ADANIENT,Buy,5,2456.0,30.7,12280.0,12892.671548250015,0,5
