account_value,date
10000.0,2022-11-22
10000.0,2022-11-23
10000.0,2022-11-24
10000.0,2022-11-25
10000.0,2022-11-28
10000.0,2022-11-29
10000.0,2022-11-30
10000.0,2022-12-01
10000.0,2022-12-02
10000.0,2022-12-05
10000.0,2022-12-06
10000.0,2022-12-07
10000.0,2022-12-08
10000.0,2022-12-09
10000.0,2022-12-12
10000.0,2022-12-13
10000.0,2022-12-14
10000.0,2022-12-15
9717.191374725,2022-12-16
10073.591044725,2022-12-19
9978.991264725,2022-12-20
9686.391484725,2022-12-21
9678.141484725,2022-12-22
8987.341044725,2022-12-23
9118.791154725,2022-12-26
9240.891484725,2022-12-27
9166.091044725,2022-12-28
9166.258190175,2022-12-29
9162.160440225,2022-12-30
9162.160440225,2023-01-02
9162.160440225,2023-01-03
9162.160440225,2023-01-04
9162.160440225,2023-01-05
9162.160440225,2023-01-06
9170.695230275,2023-01-09
9168.653605225,2023-01-10
9147.302494675,2023-01-11
9108.802494675,2023-01-12
9116.4554496,2023-01-13
9100.5624492,2023-01-16
9100.5624492,2023-01-17
9100.5624492,2023-01-18
9100.5624492,2023-01-19
9082.861924325001,2023-01-20
9073.181299200001,2023-01-23
9053.636089250002,2023-01-24
8707.771159125,2023-01-25
7304.456663875002,2023-01-27
7305.056543875002,2023-01-30
7492.856783875002,2023-01-31
6198.8248288250015,2023-02-01
5805.187193850002,2023-02-02
6241.987193850001,2023-02-03
6801.187193850002,2023-02-06
6875.460043800002,2023-02-07
7425.894053700002,2023-02-08
7315.205243700002,2023-02-09
7326.270983850002,2023-02-10
6963.270983850002,2023-02-13
7100.0706238500015,2023-02-14
7147.470743850002,2023-02-15
7245.270983850002,2023-02-16
7262.6711038500025,2023-02-17
7275.270983850002,2023-02-20
7317.270983850002,2023-02-21
7230.490923600002,2023-02-22
7277.195674150003,2023-02-23
7368.846194150004,2023-02-24
7409.145934150003,2023-02-27
7804.996064150004,2023-02-28
7785.7414388250045,2023-03-01
7785.7414388250045,2023-03-02
7785.7414388250045,2023-03-03
7785.7414388250045,2023-03-06
7785.7414388250045,2023-03-08
7785.7414388250045,2023-03-09
7785.7414388250045,2023-03-10
7785.7414388250045,2023-03-13
7785.7414388250045,2023-03-14
7785.7414388250045,2023-03-15
7785.7414388250045,2023-03-16
7785.7414388250045,2023-03-17
7785.7414388250045,2023-03-20
7785.7414388250045,2023-03-21
7785.7414388250045,2023-03-22
7785.7414388250045,2023-03-23
7785.7414388250045,2023-03-24
7785.7414388250045,2023-03-27
7785.7414388250045,2023-03-28
7785.7414388250045,2023-03-29
7785.7414388250045,2023-03-31
7785.7414388250045,2023-04-03
7785.7414388250045,2023-04-05
7785.7414388250045,2023-04-06
7785.7414388250045,2023-04-10
7785.7414388250045,2023-04-11
7785.7414388250045,2023-04-12
7785.7414388250045,2023-04-13
7785.7414388250045,2023-04-17
7785.7414388250045,2023-04-18
7785.7414388250045,2023-04-19
7785.7414388250045,2023-04-20
7785.7414388250045,2023-04-21
7785.7414388250045,2023-04-24
7785.7414388250045,2023-04-25
7785.7414388250045,2023-04-26
7785.7414388250045,2023-04-27
7785.7414388250045,2023-04-28
7785.7414388250045,2023-05-02
7785.7414388250045,2023-05-03
7785.7414388250045,2023-05-04
7785.7414388250045,2023-05-05
7785.7414388250045,2023-05-08
7785.7414388250045,2023-05-09
7785.7414388250045,2023-05-10
7785.7414388250045,2023-05-11
7785.7414388250045,2023-05-12
7785.7414388250045,2023-05-15
7785.7414388250045,2023-05-16
7785.7414388250045,2023-05-17
7785.7414388250045,2023-05-18
7785.7414388250045,2023-05-19
7785.7414388250045,2023-05-22
7785.7414388250045,2023-05-23
7785.7414388250045,2023-05-24
7785.7414388250045,2023-05-25
7785.7414388250045,2023-05-26
7785.7414388250045,2023-05-29
7785.7414388250045,2023-05-30
7785.7414388250045,2023-05-31
7785.7414388250045,2023-06-01
7785.7414388250045,2023-06-02
7785.7414388250045,2023-06-05
7785.7414388250045,2023-06-06
7785.7414388250045,2023-06-07
7785.7414388250045,2023-06-08
7785.7414388250045,2023-06-09
7785.7414388250045,2023-06-12
7785.7414388250045,2023-06-13
7785.7414388250045,2023-06-14
7785.7414388250045,2023-06-15
7785.7414388250045,2023-06-16
7785.7414388250045,2023-06-19
7785.7414388250045,2023-06-20
7785.7414388250045,2023-06-21
7785.7414388250045,2023-06-22
7785.7414388250045,2023-06-23
7868.884239075005,2023-06-26
7829.723059025005,2023-06-27
8190.422434025005,2023-06-28
8171.509934025005,2023-06-30
8171.509934025005,2023-07-03
8198.531323475005,2023-07-04
8210.081213475005,2023-07-05
8180.381103475005,2023-07-06
7945.531323475005,2023-07-07
7960.9309934750045,2023-07-10
8068.731433475005,2023-07-11
8006.031323475005,2023-07-12
7929.031323475005,2023-07-13
8026.9309934750045,2023-07-14
8081.381103475005,2023-07-17
8049.481433475005,2023-07-18
8085.231433475005,2023-07-19
8096.781323475005,2023-07-20
8052.781323475005,2023-07-21
8128.131103475005,2023-07-24
8281.581213475005,2023-07-25
8318.981433475004,2023-07-26
8298.283557925004,2023-07-27
8298.283557925004,2023-07-28
8298.283557925004,2023-07-31
8298.283557925004,2023-08-01
8298.283557925004,2023-08-02
8298.283557925004,2023-08-03
8298.283557925004,2023-08-04
8298.283557925004,2023-08-07
8298.283557925004,2023-08-08
8298.283557925004,2023-08-09
8298.283557925004,2023-08-10
8298.283557925004,2023-08-11
8298.283557925004,2023-08-14
8298.283557925004,2023-08-16
8298.283557925004,2023-08-17
8298.283557925004,2023-08-18
8298.283557925004,2023-08-21
8298.283557925004,2023-08-22
8298.283557925004,2023-08-23
8298.283557925004,2023-08-24
8298.283557925004,2023-08-25
8298.283557925004,2023-08-28
8298.283557925004,2023-08-29
8298.283557925004,2023-08-30
8298.283557925004,2023-08-31
8298.283557925004,2023-09-01
8298.283557925004,2023-09-04
8298.283557925004,2023-09-05
8298.283557925004,2023-09-06
8298.283557925004,2023-09-07
8298.283557925004,2023-09-08
8298.283557925004,2023-09-11
8298.283557925004,2023-09-12
8298.283557925004,2023-09-13
8298.283557925004,2023-09-14
8298.283557925004,2023-09-15
8298.283557925004,2023-09-18
8298.283557925004,2023-09-20
8298.283557925004,2023-09-21
8298.283557925004,2023-09-22
8298.283557925004,2023-09-25
8298.283557925004,2023-09-26
8298.283557925004,2023-09-27
8298.283557925004,2023-09-28
8298.283557925004,2023-09-29
8298.283557925004,2023-10-03
8298.283557925004,2023-10-04
8298.283557925004,2023-10-05
8298.283557925004,2023-10-06
8298.283557925004,2023-10-09
8490.607753100005,2023-10-10
8476.266503100003,2023-10-11
8476.266503100003,2023-10-12
8476.266503100003,2023-10-13
8476.266503100003,2023-10-16
8450.624852600002,2023-10-17
8385.624852600002,2023-10-18
8328.124852600002,2023-10-19
8319.432262900003,2023-10-20
8311.495762700004,2023-10-23
8311.495762700004,2023-10-25
8311.495762700004,2023-10-26
