trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-12-15,ADANIPORTS,Buy,11,883.95001,24.308625275,9723.45011,9717.191374725,0,11
2,2022-12-28,ADANIPORTS,Sell,9,810.34998,18.23287455,7293.14982,9166.258190175,11,2
3,2022-12-29,ADANIPORTS,Sell,2,819.54999,4.09774995,1639.09998,9162.160440225,2,0
4,2023-01-06,ADANIPORTS,Buy,1,806.09998,2.01524995,806.09998,9170.695230275,0,1
5,2023-01-09,ADANIPORTS,Sell,1,816.65002,2.04162505,816.65002,9168.653605225,1,0
6,2023-01-10,ADANIPORTS,Buy,11,796.40002,21.90100055,8760.40022,9147.302494675,0,11
7,2023-01-12,ADANIPORTS,Sell,3,792.95001,5.947125075000001,2378.85003,9116.4554496,11,8
8,2023-01-13,ADANIPORTS,Sell,8,794.65002,15.893000400000002,6357.20016,9100.5624492,8,0
9,2023-01-19,ADANIPORTS,Buy,5,776.04999,9.700624875,3880.24995,9082.861924325001,0,5
10,2023-01-20,ADANIPORTS,Sell,5,774.45001,9.680625125,3872.25005,9073.181299200001,5,0
11,2023-01-23,ADANIPORTS,Buy,2,769.04999,3.84524995,1538.09998,9053.636089250002,0,2
12,2023-01-24,ADANIPORTS,Buy,5,761.20001,9.515000125,3806.00005,8707.771159125,2,7
13,2023-01-25,ADANIPORTS,Buy,5,713.15002,8.91437525,3565.7501,7304.456663875002,7,12
14,2023-01-31,ADANIPORTS,Sell,1,612.65002,1.5316250500000002,612.65002,6198.8248288250015,12,11
15,2023-02-01,ADANIPORTS,Buy,1,495.14999,1.237874975,495.14999,5805.187193850002,11,12
16,2023-02-06,ADANIPORTS,Sell,2,545.45001,2.7272500500000003,1090.90002,6875.460043800002,12,10
17,2023-02-07,ADANIPORTS,Buy,2,553.15002,2.7657501000000004,1106.30004,7425.894053700002,10,12
18,2023-02-08,ADANIPORTS,Sell,6,599.25,8.98875,3595.5,7315.205243700002,12,6
19,2023-02-09,ADANIPORTS,Buy,6,582.29999,8.73449985,3493.79994,7326.270983850002,6,12
20,2023-02-21,ADANIPORTS,Sell,10,583.20001,14.580000250000001,5832.0001,7230.490923600002,12,2
21,2023-02-22,ADANIPORTS,Buy,11,547.09998,15.04524945,6018.09978,7277.195674150003,2,13
22,2023-02-28,ADANIPORTS,Sell,13,592.45001,19.254625325000003,7701.850130000001,7785.7414388250045,13,0
23,2023-06-23,ADANIPORTS,Buy,10,714.29999,17.85749975,7142.9999,7868.884239075005,0,10
24,2023-06-26,ADANIPORTS,Sell,1,724.40002,1.81100005,724.40002,7829.723059025005,10,9
25,2023-06-27,ADANIPORTS,Buy,1,720.25,1.8006250000000001,720.25,8190.422434025005,9,10
26,2023-06-28,ADANIPORTS,Sell,10,756.5,18.9125,7565.0,8171.509934025005,10,0
27,2023-07-03,ADANIPORTS,Buy,11,737.40002,20.27850055,8111.40022,8198.531323475005,0,11
28,2023-07-26,ADANIPORTS,Sell,11,752.65002,20.69787555,8279.15022,8298.283557925004,11,0
29,2023-10-09,ADANIPORTS,Buy,7,790.04999,13.825874825000001,5530.34993,8490.607753100005,0,7
30,2023-10-10,ADANIPORTS,Sell,7,819.5,14.34125,5736.5,8476.266503100003,7,0
31,2023-10-16,ADANIPORTS,Buy,10,805.65002,20.1412505,8056.5002,8450.624852600002,0,10
32,2023-10-19,ADANIPORTS,Sell,6,792.84998,11.8927497,4757.09988,8319.432262900003,10,4
33,2023-10-20,ADANIPORTS,Sell,4,793.65002,7.9365002,3174.60008,8311.495762700004,4,0
34,2024-05-09,ADANIPORTS,Buy,6,1244.55,18.668249999999997,7467.299999999999,8426.027512700006,0,6
35,2024-05-10,ADANIPORTS,Sell,6,1266.75,19.00125,7600.5,8407.026262700005,6,0
36,2024-09-04,ADANIPORTS,Buy,5,1472.1,18.40125,7360.5,8355.875012700006,0,5
37,2024-09-10,ADANIPORTS,Sell,5,1453.4,18.1675,7267.0,8276.957512700006,5,0
38,2024-09-11,ADANIPORTS,Buy,5,1430.6,17.8825,7153.0,8469.075012700006,0,5
39,2024-09-12,ADANIPORTS,Sell,5,1472.6,18.4075,7363.0,8450.667512700007,5,0
40,2024-09-13,ADANIPORTS,Buy,2,1452.1,7.2604999999999995,2904.2,8420.607012700008,0,2
41,2024-09-16,ADANIPORTS,Buy,3,1440.7,10.805250000000001,4322.1,8339.301762700008,2,5
42,2024-09-18,ADANIPORTS,Sell,5,1428.8,17.86,7144.0,8332.441762700008,5,0
43,2024-09-19,ADANIPORTS,Buy,5,1408.2,17.6025,7041.0,8467.339262700007,0,5
44,2024-09-20,ADANIPORTS,Sell,5,1438.7,17.98375,7193.5,8449.355512700007,5,0
45,2024-10-03,ADANIPORTS,Buy,5,1425.2,17.815,7126.0,8374.040512700009,0,5
46,2024-10-08,ADANIPORTS,Sell,5,1418.55,17.731875,7092.75,8380.558637700007,5,0
47,2024-10-09,ADANIPORTS,Buy,5,1408.15,17.601875,7040.75,8408.206762700007,0,5
48,2024-10-10,ADANIPORTS,Sell,5,1417.2,17.715,7086.0,8390.491762700009,5,0
49,2024-10-16,ADANIPORTS,Buy,5,1403.8,17.5475,7019.0,8327.44426270001,0,5
50,2024-10-23,ADANIPORTS,Buy,1,1340.45,3.351125,1340.45,8136.5431377000095,5,6
51,2024-10-28,ADANIPORTS,Sell,6,1352.2,20.283,8113.200000000001,8103.06013770001,6,0
52,2024-11-04,ADANIPORTS,Buy,5,1349.25,16.865625,6746.25,7986.694512700011,0,5
53,2024-11-05,ADANIPORTS,Buy,1,1329.35,3.323375,1329.35,8227.27113770001,5,6
54,2024-11-06,ADANIPORTS,Sell,6,1370.0,20.55,8220.0,8206.721137700011,6,0
55,2024-11-07,ADANIPORTS,Buy,3,1353.1,10.148249999999999,4059.2999999999997,8223.572887700011,0,3
56,2024-11-08,ADANIPORTS,Sell,3,1362.1,10.21575,4086.2999999999997,8213.357137700012,3,0
57,2024-11-11,ADANIPORTS,Buy,6,1347.9,20.218500000000002,8087.400000000001,8061.738637700011,0,6
58,2024-11-19,ADANIPORTS,Sell,6,1289.65,19.34475,7737.900000000001,7824.293887700012,6,0
59,2024-11-21,ADANIPORTS,Buy,7,1114.65,19.506375000000002,7802.550000000001,7959.487512700011,0,7
60,2024-12-03,ADANIPORTS,Sell,7,1288.65,22.551375000000004,9020.550000000001,9000.236137700012,7,0
61,2025-01-06,ADANIPORTS,Buy,7,1163.05,20.353375,8141.349999999999,9056.532762700013,0,7
62,2025-01-07,ADANIPORTS,Sell,2,1174.0,5.87,2348.0,8942.162762700013,7,5
63,2025-01-08,ADANIPORTS,Buy,2,1152.3,5.7615,2304.6,8796.751262700012,5,7
64,2025-01-09,ADANIPORTS,Sell,7,1132.35,19.816124999999996,7926.449999999999,8776.935137700013,7,0
65,2025-01-13,ADANIPORTS,Buy,8,1066.65,21.333000000000002,8533.2,9159.202137700013,0,8
66,2025-01-14,ADANIPORTS,Sell,8,1117.1,22.342,8936.8,9136.860137700014,8,0
67,2025-01-30,ADANIPORTS,Buy,7,1077.05,18.848375,7539.349999999999,9274.111762700013,0,7
68,2025-01-31,ADANIPORTS,Sell,7,1099.35,19.238625,7695.449999999999,9254.873137700015,7,0
69,2025-02-14,ADANIPORTS,Buy,8,1062.7,21.254,8501.6,9395.219137700016,0,8
70,2025-02-20,ADANIPORTS,Sell,8,1111.7,22.234,8893.6,9603.385137700016,8,0
71,2025-02-21,ADANIPORTS,Buy,8,1083.25,21.665,8666.0,9478.920137700017,0,8
72,2025-03-05,ADANIPORTS,Sell,8,1112.7,22.254,8901.6,9795.066137700018,8,0
