account_value,date
10000.0,2021-07-23
10000.0,2021-07-26
10000.0,2021-07-27
10000.0,2021-07-28
10000.0,2021-07-29
10000.0,2021-07-30
10000.0,2021-08-02
10000.0,2021-08-03
10000.0,2021-08-04
10000.0,2021-08-05
10000.0,2021-08-06
10000.0,2021-08-09
10000.0,2021-08-10
10000.0,2021-08-11
10000.0,2021-08-12
10000.0,2021-08-13
10000.0,2021-08-16
10000.0,2021-08-17
10000.0,2021-08-18
10000.0,2021-08-20
10000.0,2021-08-23
10000.0,2021-08-24
10000.0,2021-08-25
10000.0,2021-08-26
10000.0,2021-08-27
10000.0,2021-08-30
10000.0,2021-08-31
10000.0,2021-09-01
10000.0,2021-09-02
10000.0,2021-09-03
10000.0,2021-09-06
10000.0,2021-09-07
10000.0,2021-09-08
10000.0,2021-09-09
10000.0,2021-09-13
10000.0,2021-09-14
10095.536949,2021-09-15
10272.937349,2021-09-16
10327.937349,2021-09-17
10267.637549,2021-09-20
10294.637549,2021-09-21
10321.237149,2021-09-22
10679.837749,2021-09-23
10654.416748000001,2021-09-24
10654.416748000001,2021-09-27
10654.416748000001,2021-09-28
10657.261899000003,2021-09-29
10773.462099000002,2021-09-30
10729.061699000004,2021-10-01
10906.761899000003,2021-10-04
10775.061699000004,2021-10-05
10567.761899000003,2021-10-06
10666.861499000002,2021-10-07
10568.761899000003,2021-10-08
10564.561699000004,2021-10-11
10512.861499000002,2021-10-12
10565.261899000003,2021-10-13
10467.061699000004,2021-10-14
10471.061699000004,2021-10-18
10412.361499000002,2021-10-19
10103.761899000003,2021-10-20
10079.962099000002,2021-10-21
9867.061699000002,2021-10-22
10138.261899000003,2021-10-25
10346.162299000003,2021-10-26
10363.361499000002,2021-10-27
10389.261899000003,2021-10-28
10334.361499000002,2021-10-29
10483.462099000002,2021-11-01
10390.061699000004,2021-11-02
10687.462099000002,2021-11-03
10665.269098500003,2021-11-04
10665.269098500003,2021-11-08
10665.269098500003,2021-11-09
10665.269098500003,2021-11-10
10665.269098500003,2021-11-11
10665.269098500003,2021-11-12
10665.269098500003,2021-11-15
10665.269098500003,2021-11-16
10665.269098500003,2021-11-17
10665.269098500003,2021-11-18
10665.269098500003,2021-11-22
10665.269098500003,2021-11-23
10665.269098500003,2021-11-24
10665.269098500003,2021-11-25
10665.269098500003,2021-11-26
10665.269098500003,2021-11-29
10665.269098500003,2021-11-30
10665.269098500003,2021-12-01
10665.269098500003,2021-12-02
10665.269098500003,2021-12-03
10665.269098500003,2021-12-06
10665.269098500003,2021-12-07
10665.269098500003,2021-12-08
10551.235148500004,2021-12-09
10563.153149000002,2021-12-10
10485.953949000002,2021-12-13
10496.553549000004,2021-12-14
10457.653149000002,2021-12-15
10481.153149000002,2021-12-16
9645.953949000002,2021-12-17
9482.453949000002,2021-12-20
9767.753749000003,2021-12-21
9623.653149000002,2021-12-22
9827.653149000002,2021-12-23
