trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-09-14,APOLLOHOSP,Buy,2,4732.4502,23.662251,9464.9004,10095.536949,0,2
2,2021-09-23,APOLLOHOSP,Sell,2,5084.2002,25.421001,10168.4004,10654.416748000001,2,0
3,2021-09-28,APOLLOHOSP,Buy,2,4411.0498,22.055249,8822.0996,10657.261899000003,0,2
4,2021-11-03,APOLLOHOSP,Sell,2,4438.6001,22.1930005,8877.2002,10665.269098500003,2,0
5,2021-12-08,APOLLOHOSP,Buy,1,5333.5,13.33375,5333.5,10551.235148500004,0,1
6,2021-12-09,APOLLOHOSP,Buy,1,5232.7998,13.0819995,5232.7998,10563.153149000002,1,2
7,2022-01-05,APOLLOHOSP,Sell,2,4973.25,24.86625,9946.5,9994.187299000005,2,0
8,2022-01-18,APOLLOHOSP,Buy,2,4615.7998,23.078999,9231.5996,9771.409100000006,0,2
9,2022-02-15,APOLLOHOSP,Sell,2,4663.3999,23.3169995,9326.7998,10042.991500500008,2,0
10,2022-02-18,APOLLOHOSP,Buy,2,4471.5498,22.357749,8943.0996,9930.83395150001,0,2
11,2022-02-22,APOLLOHOSP,Sell,2,4576.0498,22.880249,9152.0996,10206.753502500009,2,0
12,2022-02-24,APOLLOHOSP,Buy,2,4381.9502,21.909751,8763.9004,10687.84375150001,0,2
13,2022-02-25,APOLLOHOSP,Sell,2,4633.4502,23.167251,9266.9004,10664.67650050001,2,0
14,2022-03-24,APOLLOHOSP,Buy,2,4628.5498,23.142749,9257.0996,10750.834551500013,0,2
15,2022-04-19,APOLLOHOSP,Sell,2,4816.3501,24.0817505,9632.7002,10993.052601000012,2,0
16,2022-04-28,APOLLOHOSP,Buy,2,4537.8501,22.6892505,9075.7002,10803.363350500013,0,2
17,2022-05-30,APOLLOHOSP,Sell,2,3891.95,19.45975,7783.9,9659.103400500013,2,0
18,2022-06-03,APOLLOHOSP,Buy,2,3588.8,17.944000000000003,7177.6,9730.959400500013,0,2
19,2022-06-17,APOLLOHOSP,Sell,2,3701.25,18.50625,7402.5,9847.553150500014,2,0
20,2022-08-22,APOLLOHOSP,Buy,2,4024.8999,20.1244995,8049.7998,9919.528851000014,0,2
21,2022-09-02,APOLLOHOSP,Sell,2,4312.3501,21.5617505,8624.7002,10380.767300500014,2,0
22,2022-09-27,APOLLOHOSP,Buy,2,4242.9502,21.214751000000003,8485.9004,10411.552549500015,0,2
23,2022-10-27,APOLLOHOSP,Sell,2,4431.8501,22.1592505,8863.7002,10715.193099000015,2,0
24,2022-11-03,APOLLOHOSP,Buy,2,4395.0,21.975,8790.0,10628.418299000014,0,2
25,2022-11-24,APOLLOHOSP,Sell,2,4815.0498,24.075249,9630.0996,11509.242450000014,2,0
26,2022-12-08,APOLLOHOSP,Buy,2,4704.5,23.5225,9409.0,11446.920150000014,0,2
27,2023-02-08,APOLLOHOSP,Sell,2,4391.25,21.95625,8782.5,10837.263700000016,2,0
28,2023-02-28,APOLLOHOSP,Buy,2,4401.6499,22.0082495,8803.2998,10839.555250500016,0,2
29,2023-04-17,APOLLOHOSP,Sell,2,4386.7002,21.933501000000003,8773.4004,10763.422549500017,2,0
30,2023-04-18,APOLLOHOSP,Buy,2,4338.6499,21.693249500000004,8677.2998,10705.029100000016,0,2
31,2023-04-20,APOLLOHOSP,Sell,2,4348.3999,21.741999500000002,8696.7998,10739.487300500017,2,0
32,2023-05-18,APOLLOHOSP,Buy,2,4442.0,22.21,8884.0,10727.577100500019,0,2
33,2023-06-01,APOLLOHOSP,Sell,2,4814.25,24.07125,9628.5,11437.706050500019,2,0
34,2023-06-26,APOLLOHOSP,Buy,1,5036.9502,12.592375500000001,5036.9502,11530.96327500002,0,1
35,2023-06-27,APOLLOHOSP,Sell,1,5142.7998,12.8569995,5142.7998,11518.10627550002,1,0
36,2023-06-30,APOLLOHOSP,Buy,2,5098.2002,25.491001,10196.4004,11433.21487450002,0,2
37,2023-09-06,APOLLOHOSP,Sell,2,5033.1001,25.1655005,10066.2002,11337.24957400002,2,0
38,2023-10-04,APOLLOHOSP,Buy,2,5047.3999,25.236999500000003,10094.7998,11311.31237450002,0,2
39,2023-11-06,APOLLOHOSP,Sell,2,5164.9502,25.824751000000003,10329.9004,11521.28842350002,2,0
40,2023-12-14,APOLLOHOSP,Buy,2,5515.8999,27.5794995,11031.7998,11564.30952400002,0,2
41,2023-12-27,APOLLOHOSP,Sell,2,5687.4502,28.437251000000003,11374.9004,11808.37227300002,2,0
42,2024-02-29,APOLLOHOSP,Buy,1,6101.6001,15.254000249999999,6101.6001,11776.91807275002,0,1
43,2024-03-21,APOLLOHOSP,Sell,1,6182.5,15.45625,6182.5,11858.561922750021,1,0
44,2024-04-16,APOLLOHOSP,Buy,1,6334.75,15.836875000000001,6334.75,11582.12494775002,0,1
45,2024-05-27,APOLLOHOSP,Sell,1,5939.2998,14.8482495,5939.2998,11432.426598250022,1,0
46,2024-05-30,APOLLOHOSP,Buy,1,5766.4502,14.416125500000001,5766.4502,11490.760472750022,0,1
47,2024-06-07,APOLLOHOSP,Sell,1,6014.5498,15.036374499999999,6014.5498,11651.073698250022,1,0
48,2024-07-02,APOLLOHOSP,Buy,1,6097.6001,15.24400025,6097.6001,11730.929798000023,0,1
49,2024-07-05,APOLLOHOSP,Sell,1,6328.5498,15.8213745,6328.5498,11850.958023500023,1,0
50,2024-08-12,APOLLOHOSP,Buy,1,6502.3999,16.25599975,6502.3999,11921.702023750024,0,1
51,2024-08-23,APOLLOHOSP,Sell,1,6860.7002,17.151750500000002,6860.7002,12175.850573250023,1,0
52,2024-09-12,APOLLOHOSP,Buy,1,7061.8,17.654500000000002,7061.8,12115.546073250023,0,1
53,2024-09-17,APOLLOHOSP,Sell,1,7008.05,17.520125,7008.05,12086.925948250024,1,0
54,2024-09-20,APOLLOHOSP,Buy,1,7082.65,17.706625,7082.65,12139.369323250025,0,1
55,2024-09-24,APOLLOHOSP,Sell,1,7122.0,17.805,7122.0,12090.764323250025,1,0
56,2024-10-04,APOLLOHOSP,Buy,1,6773.6,16.934,6773.6,12073.380323250025,0,1
57,2024-11-07,APOLLOHOSP,Sell,1,7424.85,18.562125,7424.85,12706.518198250025,1,0
58,2024-11-12,APOLLOHOSP,Buy,1,7019.55,17.548875000000002,7019.55,12528.269323250026,0,1
59,2024-12-03,APOLLOHOSP,Sell,1,7126.55,17.816375,7126.55,12778.152948250026,1,0
60,2024-12-26,APOLLOHOSP,Buy,1,7261.15,18.152874999999998,7261.15,12745.150073250028,0,1
61,2025-01-01,APOLLOHOSP,Sell,1,7369.65,18.424125,7369.65,12850.075948250027,1,0
62,2025-01-09,APOLLOHOSP,Buy,1,7091.55,17.728875000000002,7091.55,12777.547073250027,0,1
63,2025-02-05,APOLLOHOSP,Sell,1,6944.65,17.361625,6944.65,12668.085448250027,1,0
64,2025-02-11,APOLLOHOSP,Buy,2,6317.35,31.586750000000002,12634.7,12750.898698250028,0,2
65,2025-03-19,APOLLOHOSP,Sell,2,6427.55,32.137750000000004,12855.1,12824.760948250028,2,0
66,2025-05-07,APOLLOHOSP,Buy,1,6983.0,17.4575,6983.0,12675.80344825003,0,1
67,2025-05-23,APOLLOHOSP,Sell,1,7064.5,17.66125,7064.5,12871.142198250029,1,0
68,2025-05-29,APOLLOHOSP,Buy,1,6923.0,17.3075,6923.0,12811.33469825003,0,1
69,2025-06-17,APOLLOHOSP,Sell,1,7006.5,17.51625,7006.5,12919.81844825003,1,0
70,2025-06-18,APOLLOHOSP,Buy,1,6933.5,17.333750000000002,6933.5,12978.48469825003,0,1
