account_value,date
10000.0,2020-12-14
10000.0,2020-12-15
10000.0,2020-12-16
10000.0,2020-12-17
10000.0,2020-12-18
10000.0,2020-12-21
10000.0,2020-12-22
10000.0,2020-12-23
10000.0,2020-12-24
10000.0,2020-12-28
10000.0,2020-12-29
10000.0,2020-12-30
10000.0,2020-12-31
10000.0,2021-01-01
10000.0,2021-01-04
10000.0,2021-01-05
10000.0,2021-01-06
10000.0,2021-01-07
10000.0,2021-01-08
10000.0,2021-01-11
10000.0,2021-01-12
10000.0,2021-01-13
10000.0,2021-01-14
10000.0,2021-01-15
10000.0,2021-01-18
10000.0,2021-01-19
10000.0,2021-01-20
10000.0,2021-01-21
10000.0,2021-01-22
10000.0,2021-01-25
9749.095675,2021-01-27
9764.395375,2021-01-28
9661.345675,2021-01-29
9817.126899750001,2021-02-01
9880.52649975,2021-02-02
9840.52649975,2021-02-03
9633.126899750001,2021-02-04
9532.92689975,2021-02-05
9693.32729975,2021-02-08
10053.32729975,2021-02-09
10028.258798750001,2021-02-10
10028.258798750001,2021-02-11
10028.258798750001,2021-02-12
10028.258798750001,2021-02-15
10028.258798750001,2021-02-16
9755.355898750002,2021-02-17
10085.756298750002,2021-02-18
10061.048798750004,2021-02-19
9919.284298750006,2021-02-22
9859.884298750005,2021-02-23
9816.484698750006,2021-02-24
9866.084298750005,2021-02-25
9479.884298750005,2021-02-26
9820.284298750006,2021-03-01
9932.683898750005,2021-03-02
9979.484698750006,2021-03-03
10039.484698750006,2021-03-04
10015.313697750007,2021-03-05
9973.842296750006,2021-03-08
10133.842296750006,2021-03-09
10109.615296750007,2021-03-10
10109.615296750007,2021-03-12
10109.615296750007,2021-03-15
10540.465696750009,2021-03-16
10515.779695750009,2021-03-17
10515.779695750009,2021-03-18
10515.779695750009,2021-03-19
10515.779695750009,2021-03-22
10515.779695750009,2021-03-23
10515.779695750009,2021-03-24
10515.779695750009,2021-03-25
10515.779695750009,2021-03-26
10515.779695750009,2021-03-30
10515.779695750009,2021-03-31
10515.779695750009,2021-04-01
10515.779695750009,2021-04-05
10515.779695750009,2021-04-06
10515.779695750009,2021-04-07
10515.779695750009,2021-04-08
10515.779695750009,2021-04-09
10515.779695750009,2021-04-12
10515.779695750009,2021-04-13
10515.779695750009,2021-04-15
10515.779695750009,2021-04-16
10515.779695750009,2021-04-19
10515.779695750009,2021-04-20
10515.779695750009,2021-04-22
10515.779695750009,2021-04-23
10515.779695750009,2021-04-26
10515.779695750009,2021-04-27
10515.779695750009,2021-04-28
10515.779695750009,2021-04-29
10515.779695750009,2021-04-30
10515.779695750009,2021-05-03
10515.779695750009,2021-05-04
10515.779695750009,2021-05-05
10515.779695750009,2021-05-06
10515.779695750009,2021-05-07
10515.779695750009,2021-05-10
10515.779695750009,2021-05-11
10515.779695750009,2021-05-12
10515.779695750009,2021-05-14
10515.779695750009,2021-05-17
10515.779695750009,2021-05-18
10515.779695750009,2021-05-19
10515.779695750009,2021-05-20
10515.779695750009,2021-05-21
10515.779695750009,2021-05-24
10515.779695750009,2021-05-25
10515.779695750009,2021-05-26
10515.779695750009,2021-05-27
10515.779695750009,2021-05-28
10515.779695750009,2021-05-31
10515.779695750009,2021-06-01
10515.779695750009,2021-06-02
10515.779695750009,2021-06-03
10515.779695750009,2021-06-04
10515.779695750009,2021-06-07
10515.779695750009,2021-06-08
10515.779695750009,2021-06-09
10515.779695750009,2021-06-10
10515.779695750009,2021-06-11
10515.779695750009,2021-06-14
10515.779695750009,2021-06-15
10515.779695750009,2021-06-16
10515.779695750009,2021-06-17
10515.779695750009,2021-06-18
10515.779695750009,2021-06-21
10515.779695750009,2021-06-22
10515.779695750009,2021-06-23
10515.779695750009,2021-06-24
10515.779695750009,2021-06-25
10515.779695750009,2021-06-28
10515.779695750009,2021-06-29
10515.779695750009,2021-06-30
10515.779695750009,2021-07-01
10515.779695750009,2021-07-02
10515.779695750009,2021-07-05
10515.779695750009,2021-07-06
10515.779695750009,2021-07-07
10515.779695750009,2021-07-08
10515.779695750009,2021-07-09
10515.779695750009,2021-07-12
10515.779695750009,2021-07-13
10515.779695750009,2021-07-14
10515.779695750009,2021-07-15
10515.779695750009,2021-07-16
10515.779695750009,2021-07-19
11024.715070750011,2021-07-20
11001.022195750013,2021-07-22
11001.022195750013,2021-07-23
11001.022195750013,2021-07-26
11001.022195750013,2021-07-27
11001.022195750013,2021-07-28
11001.022195750013,2021-07-29
11001.022195750013,2021-07-30
11001.022195750013,2021-08-02
11001.022195750013,2021-08-03
11001.022195750013,2021-08-04
11001.022195750013,2021-08-05
11001.022195750013,2021-08-06
11057.073820750016,2021-08-09
11034.629695750016,2021-08-10
10998.651671500018,2021-08-11
11007.351371500017,2021-08-12
11046.951371500016,2021-08-13
10995.051071500016,2021-08-16
11126.751371500019,2021-08-17
11104.13662150002,2021-08-18
11104.13662150002,2021-08-20
11104.13662150002,2021-08-23
11104.13662150002,2021-08-24
11104.13662150002,2021-08-25
11104.13662150002,2021-08-26
11104.13662150002,2021-08-27
11104.13662150002,2021-08-30
11104.13662150002,2021-08-31
11104.13662150002,2021-09-01
11104.13662150002,2021-09-02
11104.13662150002,2021-09-03
11104.13662150002,2021-09-06
11104.13662150002,2021-09-07
11104.13662150002,2021-09-08
11104.13662150002,2021-09-09
11104.13662150002,2021-09-13
11104.13662150002,2021-09-14
11104.13662150002,2021-09-15
11104.13662150002,2021-09-16
11104.13662150002,2021-09-17
11104.13662150002,2021-09-20
11104.13662150002,2021-09-21
11104.13662150002,2021-09-22
11104.13662150002,2021-09-23
11104.13662150002,2021-09-24
11104.13662150002,2021-09-27
11104.13662150002,2021-09-28
11104.13662150002,2021-09-29
11104.13662150002,2021-09-30
11104.13662150002,2021-10-01
11104.13662150002,2021-10-04
11104.13662150002,2021-10-05
11104.13662150002,2021-10-06
11104.13662150002,2021-10-07
11104.13662150002,2021-10-08
11104.13662150002,2021-10-11
11104.13662150002,2021-10-12
11104.13662150002,2021-10-13
11104.13662150002,2021-10-14
11104.13662150002,2021-10-18
11104.13662150002,2021-10-19
11037.808796500021,2021-10-20
10535.00849650002,2021-10-21
10476.20819650002,2021-10-22
10283.158496500022,2021-10-25
10438.408496500022,2021-10-26
10812.95819650002,2021-10-27
10877.908496500022,2021-10-28
10829.308796500021,2021-10-29
10894.408496500022,2021-11-01
10839.058796500021,2021-11-02
11040.95819650002,2021-11-03
11017.17832225002,2021-11-04
11017.17832225002,2021-11-08
11017.17832225002,2021-11-09
11017.17832225002,2021-11-10
11017.17832225002,2021-11-11
11172.40177225002,2021-11-12
11148.98002300002,2021-11-15
11148.98002300002,2021-11-16
11148.98002300002,2021-11-17
11148.98002300002,2021-11-18
11148.98002300002,2021-11-22
11148.98002300002,2021-11-23
11148.98002300002,2021-11-24
11148.98002300002,2021-11-25
11148.98002300002,2021-11-26
11148.98002300002,2021-11-29
11148.98002300002,2021-11-30
11148.98002300002,2021-12-01
11148.98002300002,2021-12-02
11148.98002300002,2021-12-03
11148.98002300002,2021-12-06
11102.34307300002,2021-12-07
11336.79277300002,2021-12-08
11313.47902300002,2021-12-09
11313.47902300002,2021-12-10
11313.47902300002,2021-12-13
11313.47902300002,2021-12-14
11313.47902300002,2021-12-15
11313.47902300002,2021-12-16
11313.47902300002,2021-12-17
11313.47902300002,2021-12-20
11313.47902300002,2021-12-21
11313.47902300002,2021-12-22
11313.47902300002,2021-12-23
11313.47902300002,2021-12-24
11313.47902300002,2021-12-27
11313.47902300002,2021-12-28
11313.47902300002,2021-12-29
11313.47902300002,2021-12-30
11313.47902300002,2021-12-31
11313.47902300002,2022-01-03
11313.47902300002,2022-01-04
11313.47902300002,2022-01-05
11313.47902300002,2022-01-06
11313.47902300002,2022-01-07
11313.47902300002,2022-01-10
11313.47902300002,2022-01-11
11313.47902300002,2022-01-12
11313.47902300002,2022-01-13
11313.47902300002,2022-01-14
11313.47902300002,2022-01-17
11313.47902300002,2022-01-18
11313.47902300002,2022-01-19
11313.47902300002,2022-01-20
11313.47902300002,2022-01-21
11313.47902300002,2022-01-24
11265.665998750022,2022-01-25
11242.062748000022,2022-01-27
11200.385923000025,2022-01-28
11324.585623000024,2022-01-31
11456.585623000024,2022-02-01
11432.613748000025,2022-02-02
11424.530998000027,2022-02-03
11525.480698000027,2022-02-04
11339.630998000026,2022-02-07
11464.581298000028,2022-02-08
11500.581298000028,2022-02-09
11476.368672250028,2022-02-10
11476.368672250028,2022-02-11
11476.368672250028,2022-02-14
11816.243097250031,2022-02-15
11791.758596500033,2022-02-16
11791.758596500033,2022-02-17
11791.758596500033,2022-02-18
11791.758596500033,2022-02-21
11791.758596500033,2022-02-22
11791.758596500033,2022-02-23
11791.758596500033,2022-02-24
11791.758596500033,2022-02-25
11791.758596500033,2022-02-28
11791.758596500033,2022-03-02
11297.891171500034,2022-03-03
10896.641171500034,2022-03-04
10807.541471500033,2022-03-07
10852.391171500034,2022-03-08
11307.041471500033,2022-03-09
11420.591471500036,2022-03-10
11478.191471500035,2022-03-11
11570.591471500036,2022-03-14
11643.641171500034,2022-03-15
11621.237547250035,2022-03-16
11621.237547250035,2022-03-17
11621.237547250035,2022-03-21
11621.237547250035,2022-03-22
11621.237547250035,2022-03-23
11621.237547250035,2022-03-24
11621.237547250035,2022-03-25
11621.237547250035,2022-03-28
11621.237547250035,2022-03-29
11621.237547250035,2022-03-30
11621.237547250035,2022-03-31
11621.237547250035,2022-04-01
11621.237547250035,2022-04-04
11621.237547250035,2022-04-05
11621.237547250035,2022-04-06
11621.237547250035,2022-04-07
11621.237547250035,2022-04-08
11621.237547250035,2022-04-11
11621.237547250035,2022-04-12
11621.237547250035,2022-04-13
11621.237547250035,2022-04-18
11621.237547250035,2022-04-19
11621.237547250035,2022-04-20
11621.237547250035,2022-04-21
11621.237547250035,2022-04-22
11621.237547250035,2022-04-25
11621.237547250035,2022-04-26
11621.237547250035,2022-04-27
11621.237547250035,2022-04-28
11621.237547250035,2022-04-29
11621.237547250035,2022-05-02
11621.237547250035,2022-05-04
11621.237547250035,2022-05-05
11621.237547250035,2022-05-06
11621.237547250035,2022-05-09
11621.237547250035,2022-05-10
11621.237547250035,2022-05-11
11621.237547250035,2022-05-12
11621.237547250035,2022-05-13
11621.237547250035,2022-05-16
11749.038598000037,2022-05-17
11726.163598000037,2022-05-18
11726.163598000037,2022-05-19
11726.163598000037,2022-05-20
11726.163598000037,2022-05-23
11726.163598000037,2022-05-24
11726.163598000037,2022-05-25
11706.182698000037,2022-05-26
11684.983498000038,2022-05-27
11721.583098000037,2022-05-30
11784.182698000037,2022-05-31
11755.583098000037,2022-06-01
