trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-01-25,ASIANPAINT,Buy,3,2513.95,18.854625,7541.849999999999,9749.095675,0,3
2,2021-01-29,ASIANPAINT,Buy,1,2407.3501,6.01837525,2407.3501,9817.126899750001,3,4
3,2021-02-09,ASIANPAINT,Sell,4,2506.8501,25.068501,10027.4004,10028.258798750001,4,0
4,2021-02-16,ASIANPAINT,Buy,4,2450.25,24.5025,9801.0,9755.355898750002,0,4
5,2021-02-18,ASIANPAINT,Sell,4,2470.75,24.7075,9883.0,10061.048798750004,4,0
6,2021-02-19,ASIANPAINT,Buy,4,2416.45,24.1645,9665.8,9919.284298750006,0,4
7,2021-03-04,ASIANPAINT,Sell,4,2417.1001,24.171001,9668.4004,10015.313697750007,4,0
8,2021-03-05,ASIANPAINT,Buy,4,2387.1001,23.871001000000003,9548.4004,9973.842296750006,0,4
9,2021-03-09,ASIANPAINT,Sell,4,2422.7,24.227,9690.8,10109.615296750007,4,0
10,2021-03-15,ASIANPAINT,Buy,4,2355.0,23.55,9420.0,10540.465696750009,0,4
11,2021-03-16,ASIANPAINT,Sell,4,2468.6001,24.686001,9874.4004,10515.779695750009,4,0
12,2021-07-19,ASIANPAINT,Buy,3,2981.95,22.364624999999997,8945.849999999999,11024.715070750011,0,3
13,2021-07-20,ASIANPAINT,Sell,3,3159.05,23.692875000000004,9477.150000000001,11001.022195750013,3,0
14,2021-08-06,ASIANPAINT,Buy,3,2966.45,22.248374999999996,8899.349999999999,11057.073820750016,0,3
15,2021-08-09,ASIANPAINT,Sell,3,2992.55,22.444125000000003,8977.650000000001,11034.629695750016,3,0
16,2021-08-10,ASIANPAINT,Buy,3,2977.1499,22.328624249999997,8931.4497,10998.651671500018,0,3
17,2021-08-17,ASIANPAINT,Sell,3,3015.3,22.614750000000004,9045.900000000001,11104.13662150002,3,0
18,2021-10-19,ASIANPAINT,Buy,3,3183.75,23.878125,9551.25,11037.808796500021,0,3
19,2021-11-03,ASIANPAINT,Sell,3,3170.6499,23.77987425,9511.9497,11017.17832225002,3,0
20,2021-11-11,ASIANPAINT,Buy,3,3063.5,22.97625,9190.5,11172.40177225002,0,3
21,2021-11-12,ASIANPAINT,Sell,3,3122.8999,23.421749249999998,9368.6997,11148.98002300002,3,0
22,2021-12-06,ASIANPAINT,Buy,3,3038.3,22.787250000000004,9114.900000000001,11102.34307300002,0,3
23,2021-12-08,ASIANPAINT,Sell,3,3108.5,23.31375,9325.5,11313.47902300002,3,0
