account_value,date
10000.0,2022-09-22
9729.1236397,2022-09-23
9417.1236397,2022-09-26
9355.9238797,2022-09-27
9103.3239997,2022-09-28
9133.9238797,2022-09-29
9304.3239997,2022-09-30
9178.9238797,2022-10-03
9419.5237597,2022-10-04
9567.1236397,2022-10-06
9574.3239997,2022-10-07
9735.9667596,2022-10-10
9720.429759999999,2022-10-11
9720.429759999999,2022-10-12
9720.429759999999,2022-10-13
9720.429759999999,2022-10-14
9720.429759999999,2022-10-17
9720.429759999999,2022-10-18
9720.429759999999,2022-10-19
9720.429759999999,2022-10-20
9720.429759999999,2022-10-21
9720.429759999999,2022-10-24
9720.429759999999,2022-10-25
9720.429759999999,2022-10-27
9720.429759999999,2022-10-28
9720.429759999999,2022-10-31
9720.429759999999,2022-11-01
9720.429759999999,2022-11-02
9720.429759999999,2022-11-03
9720.429759999999,2022-11-04
9720.429759999999,2022-11-07
9720.429759999999,2022-11-09
9720.429759999999,2022-11-10
9774.228009725,2022-11-11
9777.527899725,2022-11-14
9861.678119725,2022-11-15
9825.928119725,2022-11-16
9856.728009725,2022-11-17
9867.728009725,2022-11-18
9987.077789725001,2022-11-21
9987.077789725001,2022-11-22
10038.228009725,2022-11-23
10080.577789725001,2022-11-24
10056.417665,2022-11-25
10056.417665,2022-11-28
10056.417665,2022-11-29
10056.417665,2022-11-30
10056.417665,2022-12-01
10056.417665,2022-12-02
10056.417665,2022-12-05
10056.417665,2022-12-06
10056.417665,2022-12-07
10056.417665,2022-12-08
10056.417665,2022-12-09
10056.417665,2022-12-12
10056.417665,2022-12-13
10056.417665,2022-12-14
10056.417665,2022-12-15
10056.417665,2022-12-16
10056.417665,2022-12-19
10056.417665,2022-12-20
10056.417665,2022-12-21
10056.417665,2022-12-22
9903.928815250001,2022-12-23
10124.929115250003,2022-12-26
10159.929115250003,2022-12-27
10084.929115250003,2022-12-28
10183.42891525,2022-12-29
10175.429015250002,2022-12-30
10253.928815250001,2023-01-02
10460.92891525,2023-01-03
10412.429115250003,2023-01-04
10333.42891525,2023-01-05
10236.929215250002,2023-01-06
10425.429015250002,2023-01-09
10359.429215250002,2023-01-10
10335.429015250002,2023-01-11
10193.42891525,2023-01-12
10179.429215250002,2023-01-13
9969.429215250002,2023-01-16
10014.929115250003,2023-01-17
10077.929015250002,2023-01-18
10124.929115250003,2023-01-19
10143.42891525,2023-01-20
10164.929115250003,2023-01-23
9939.929115250003,2023-01-24
9761.428815250001,2023-01-25
9575.429015250002,2023-01-27
9556.428815250001,2023-01-30
9553.928815250001,2023-01-31
9410.429015250002,2023-02-01
9522.429115250003,2023-02-02
9663.928815250001,2023-02-03
9664.429215250002,2023-02-06
9628.928815250001,2023-02-07
9555.429015250002,2023-02-08
9514.929115250003,2023-02-09
9510.429015250002,2023-02-10
9428.928815250001,2023-02-13
9545.429015250002,2023-02-14
9520.92891525,2023-02-15
9485.429015250002,2023-02-16
9386.929215250002,2023-02-17
9305.429015250002,2023-02-20
9278.42891525,2023-02-21
9171.428815250001,2023-02-22
9290.345440300001,2023-02-23
9367.8958803,2023-02-24
9400.345440300001,2023-02-27
9287.595440300001,2023-02-28
9519.1458803,2023-03-01
9302.4457703,2023-03-02
9381.6458803,2023-03-03
9456.995660300001,2023-03-06
9472.9457703,2023-03-08
9548.295550300001,2023-03-09
9373.3958803,2023-03-10
9158.345440300001,2023-03-13
9163.845440300001,2023-03-14
9067.045550300001,2023-03-15
9138.545550300001,2023-03-16
9213.8958803,2023-03-17
9215.545550300001,2023-03-20
9414.095440300001,2023-03-21
9348.6458803,2023-03-22
9339.295550300001,2023-03-23
9241.3958803,2023-03-24
9169.345440300001,2023-03-27
9159.4457703,2023-03-28
9271.095440300001,2023-03-29
9445.995660300001,2023-03-31
9513.095440300001,2023-04-03
9467.995660300001,2023-04-05
9373.9457703,2023-04-06
9323.345440300001,2023-04-10
9388.795550300001,2023-04-11
9364.045550300001,2023-04-12
9510.345440300001,2023-04-13
9512.545550300001,2023-04-17
9499.345440300001,2023-04-18
9609.8958803,2023-04-19
9585.877379750002,2023-04-20
9565.711784750001,2023-04-21
9747.527564550002,2023-04-24
9704.077454550003,2023-04-25
9806.377894550002,2023-04-26
9781.967519000002,2023-04-27
9781.967519000002,2023-04-28
9875.467739000002,2023-05-02
9756.667299000002,2023-05-03
9823.767629000002,2023-05-04
9816.617409000002,2023-05-05
9961.267629000002,2023-05-08
10069.067519000002,2023-05-09
10087.217739000002,2023-05-10
10153.767629000002,2023-05-11
10315.467739000002,2023-05-12
