trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-09-22,AXISBANK,Buy,12,789.20001,23.676000300000002,9470.40012,9729.1236397,0,12
2,2022-10-07,AXISBANK,Sell,4,755.70001,7.557000100000001,3022.80004,9735.9667596,12,8
3,2022-10-10,AXISBANK,Sell,8,776.84998,15.5369996,6214.79984,9720.429759999999,8,0
4,2022-11-10,AXISBANK,Buy,11,843.70001,23.201750275,9280.70011,9774.228009725,0,11
5,2022-11-24,AXISBANK,Sell,11,878.54999,24.160124725000003,9664.04989,10056.417665,11,0
6,2022-12-22,AXISBANK,Buy,10,919.54999,22.988749749999997,9195.499899999999,9903.928815250001,0,10
7,2023-02-22,AXISBANK,Buy,1,833.34998,2.08337495,833.34998,9290.345440300001,10,11
8,2023-04-19,AXISBANK,Sell,11,873.40002,24.01850055,9607.40022,9585.877379750002,11,0
9,2023-04-20,AXISBANK,Buy,3,868.75,6.515625,2606.25,9565.711784750001,0,3
10,2023-04-21,AXISBANK,Buy,8,864.20001,17.2840002,6913.60008,9747.527564550002,3,11
11,2023-04-26,AXISBANK,Sell,11,887.65002,24.410375549999998,9764.15022,9781.967519000002,11,0
12,2023-04-28,AXISBANK,Buy,11,860.0,23.650000000000002,9460.0,9875.467739000002,0,11
13,2023-05-15,AXISBANK,Sell,11,915.79999,25.184499725000002,10073.79989,10346.932909275003,11,0
14,2023-05-31,AXISBANK,Buy,11,914.84998,25.15837445,10063.34978,10375.124864825002,0,11
15,2023-06-13,AXISBANK,Sell,11,985.84998,27.11087445,10844.34978,11075.663660375003,11,0
16,2023-06-15,AXISBANK,Buy,8,977.15002,19.5430004,7817.20016,11091.320419975003,0,8
17,2023-06-16,AXISBANK,Sell,3,981.54999,7.361624925,2944.64997,11004.458945050003,8,5
18,2023-06-19,AXISBANK,Buy,6,965.65002,14.484750300000002,5793.90012,11091.173754750003,5,11
19,2023-08-25,AXISBANK,Sell,11,983.09998,27.035249450000002,10814.09978,11154.888505300003,11,0
20,2023-09-06,AXISBANK,Buy,4,965.04999,9.6504999,3860.19996,11197.838085400002,0,4
21,2023-09-07,AXISBANK,Buy,7,978.20001,17.118500175,6847.40007,11203.819365225005,4,11
22,2023-09-15,AXISBANK,Sell,11,1027.15,28.246625000000005,11298.650000000001,11690.922850225004,11,0
23,2023-09-26,AXISBANK,Buy,11,1014.15,27.889125,11155.65,11784.583725225006,0,11
24,2023-11-07,AXISBANK,Sell,11,1020.9,28.074749999999998,11229.9,11709.208975225005,11,0
25,2023-12-20,AXISBANK,Buy,10,1110.25,27.75625,11102.5,11532.952725225006,0,10
26,2024-02-14,AXISBANK,Sell,10,1096.85,27.42125,10968.5,11520.031475225007,10,0
27,2024-02-16,AXISBANK,Buy,3,1068.75,8.015625,3206.25,11494.615850225007,0,3
28,2024-02-19,AXISBANK,Buy,7,1062.95,18.601625000000002,7440.650000000001,11732.514225225008,3,10
29,2024-02-20,AXISBANK,Sell,10,1088.6,27.215,10886.0,11705.299225225008,10,0
30,2024-03-05,AXISBANK,Buy,9,1100.8,24.767999999999997,9907.199999999999,11898.331225225009,0,9
31,2024-03-06,AXISBANK,Sell,9,1125.0,25.3125,10125.0,11873.018725225009,9,0
32,2024-03-11,AXISBANK,Buy,10,1105.1,27.6275,11051.0,11764.39122522501,0,10
33,2024-04-08,AXISBANK,Sell,10,1076.05,26.90125,10760.5,11527.989975225011,10,0
34,2024-05-17,AXISBANK,Buy,10,1141.35,28.53375,11413.5,11523.456225225013,0,10
35,2024-05-27,AXISBANK,Sell,10,1187.0,29.675,11870.0,11926.281225225013,10,0
36,2024-05-29,AXISBANK,Buy,10,1159.75,28.993750000000002,11597.5,11979.287475225014,0,10
37,2024-06-03,AXISBANK,Sell,10,1223.9,30.5975,12239.0,12508.189975225014,10,0
38,2024-06-04,AXISBANK,Buy,11,1131.25,31.109375,12443.75,13062.830600225014,0,11
39,2024-06-05,AXISBANK,Sell,7,1184.5,20.72875,8291.5,12987.901850225015,11,4
40,2024-06-06,AXISBANK,Buy,2,1170.95,5.85475,2341.9,13077.147100225013,4,6
41,2024-06-07,AXISBANK,Sell,6,1186.8,17.802,7120.799999999999,13059.345100225013,6,0
42,2024-06-13,AXISBANK,Buy,11,1174.65,32.30287500000001,12921.150000000001,13097.442225225011,0,11
43,2024-06-19,AXISBANK,Sell,11,1226.65,33.73287500000001,13493.150000000001,13565.309350225014,11,0
44,2024-07-19,AXISBANK,Buy,7,1292.35,22.616124999999997,9046.449999999999,13473.743225225016,0,7
45,2024-07-22,AXISBANK,Buy,3,1282.5,9.61875,3847.5,13271.624475225017,7,10
46,2024-08-16,AXISBANK,Sell,3,1166.85,8.751375,3500.5499999999997,12203.673100225016,10,7
47,2024-08-19,AXISBANK,Buy,3,1153.25,8.649375000000001,3459.75,12342.523725225015,7,10
48,2024-08-20,AXISBANK,Sell,10,1168.0,29.2,11680.0,12313.323725225018,10,0
49,2024-09-09,AXISBANK,Buy,9,1170.85,26.344125,10537.65,12434.12960022502,0,9
50,2024-09-10,AXISBANK,Buy,1,1187.2,2.968,1187.2,12420.16160022502,9,10
51,2024-09-13,AXISBANK,Sell,10,1217.45,30.43625,12174.5,12703.22535022502,10,0
52,2024-10-07,AXISBANK,Buy,11,1145.7,31.506750000000004,12602.7,12755.31860022502,0,11
53,2024-10-08,AXISBANK,Sell,11,1153.3,31.71575,12686.3,12723.602850225021,11,0
54,2024-10-15,AXISBANK,Buy,10,1153.85,28.84625,11538.5,12688.256600225022,0,10
55,2024-10-16,AXISBANK,Buy,1,1153.2,2.883,1153.2,12450.52360022502,10,11
56,2024-10-18,AXISBANK,Sell,11,1196.85,32.913374999999995,13165.349999999999,13132.61022522502,11,0
57,2024-10-22,AXISBANK,Buy,11,1175.75,32.333125,12933.25,12931.427100225023,0,11
58,2024-10-24,AXISBANK,Sell,4,1167.35,11.673499999999999,4669.4,13150.20360022502,11,7
