account_value,date
10000.0,2022-12-16
10142.551799500001,2022-12-19
10124.4030495,2022-12-20
10124.4030495,2022-12-21
10124.4030495,2022-12-22
10124.4030495,2022-12-23
10124.4030495,2022-12-26
10124.4030495,2022-12-27
10124.4030495,2022-12-28
10124.4030495,2022-12-29
10124.4030495,2022-12-30
10124.4030495,2023-01-02
10124.4030495,2023-01-03
10124.4030495,2023-01-04
10124.4030495,2023-01-05
10124.4030495,2023-01-06
10124.4030495,2023-01-09
10124.4030495,2023-01-10
10124.4030495,2023-01-11
10124.4030495,2023-01-12
10124.4030495,2023-01-13
10124.4030495,2023-01-16
10124.4030495,2023-01-17
10124.4030495,2023-01-18
10124.4030495,2023-01-19
10124.4030495,2023-01-20
10124.4030495,2023-01-23
10124.4030495,2023-01-24
10124.4030495,2023-01-25
10124.4030495,2023-01-27
10124.4030495,2023-01-30
10124.4030495,2023-01-31
10124.4030495,2023-02-01
10064.146549500001,2023-02-02
10187.846549500002,2023-02-03
10180.9467495,2023-02-06
10241.646549500001,2023-02-07
10243.346549500002,2023-02-08
10174.2465495,2023-02-09
10146.0463495,2023-02-10
10249.7465495,2023-02-13
10234.9467495,2023-02-14
10293.5463495,2023-02-15
10295.9467495,2023-02-16
10271.346549500002,2023-02-17
10290.346549500002,2023-02-20
10156.9467495,2023-02-21
10164.146549500001,2023-02-22
10146.5463495,2023-02-23
10182.646549500001,2023-02-24
10163.3967995,2023-02-27
10187.897348999999,2023-02-28
10328.797149,2023-03-01
10310.138899500002,2023-03-02
10310.138899500002,2023-03-03
10310.138899500002,2023-03-06
10310.138899500002,2023-03-08
10310.138899500002,2023-03-09
10310.138899500002,2023-03-10
10310.138899500002,2023-03-13
10310.138899500002,2023-03-14
10310.138899500002,2023-03-15
10310.138899500002,2023-03-16
10310.138899500002,2023-03-17
10310.138899500002,2023-03-20
10310.138899500002,2023-03-21
10310.138899500002,2023-03-22
10310.138899500002,2023-03-23
10310.138899500002,2023-03-24
10310.138899500002,2023-03-27
10310.138899500002,2023-03-28
10388.359799250002,2023-03-29
10378.661549250002,2023-03-31
10378.661549250002,2023-04-03
10378.661549250002,2023-04-05
10378.661549250002,2023-04-06
10378.661549250002,2023-04-10
10378.661549250002,2023-04-11
10378.661549250002,2023-04-12
10378.661549250002,2023-04-13
10378.661549250002,2023-04-17
10378.661549250002,2023-04-18
10378.661549250002,2023-04-19
10378.661549250002,2023-04-20
10378.661549250002,2023-04-21
10378.661549250002,2023-04-24
10378.661549250002,2023-04-25
10378.661549250002,2023-04-26
10378.661549250002,2023-04-27
10378.661549250002,2023-04-28
10378.661549250002,2023-05-02
10378.661549250002,2023-05-03
10378.661549250002,2023-05-04
10378.661549250002,2023-05-05
10378.661549250002,2023-05-08
10378.661549250002,2023-05-09
10378.661549250002,2023-05-10
10378.661549250002,2023-05-11
10378.661549250002,2023-05-12
10378.661549250002,2023-05-15
10378.661549250002,2023-05-16
10378.661549250002,2023-05-17
10378.661549250002,2023-05-18
10378.661549250002,2023-05-19
10378.661549250002,2023-05-22
10378.661549250002,2023-05-23
10378.661549250002,2023-05-24
10378.661549250002,2023-05-25
10378.661549250002,2023-05-26
10378.661549250002,2023-05-29
10378.661549250002,2023-05-30
10378.661549250002,2023-05-31
10378.661549250002,2023-06-01
10378.661549250002,2023-06-02
10378.661549250002,2023-06-05
10378.661549250002,2023-06-06
10378.661549250002,2023-06-07
10378.661549250002,2023-06-08
10378.661549250002,2023-06-09
10378.661549250002,2023-06-12
10378.661549250002,2023-06-13
10378.661549250002,2023-06-14
10378.661549250002,2023-06-15
10378.661549250002,2023-06-16
10266.25159825,2023-06-19
10395.551398250002,2023-06-20
10372.046298250003,2023-06-21
10284.3213235,2023-06-22
10305.3213235,2023-06-23
10282.208323000003,2023-06-26
10282.208323000003,2023-06-27
10282.208323000003,2023-06-28
10282.208323000003,2023-06-30
10282.208323000003,2023-07-03
10282.208323000003,2023-07-04
10282.208323000003,2023-07-05
10282.208323000003,2023-07-06
10282.208323000003,2023-07-07
10282.208323000003,2023-07-10
10282.208323000003,2023-07-11
10282.208323000003,2023-07-12
10282.208323000003,2023-07-13
10244.175872000002,2023-07-14
10191.275472000003,2023-07-17
10246.175872000002,2023-07-18
10172.275472000003,2023-07-19
10262.376072000003,2023-07-20
10250.376072000003,2023-07-21
10258.269121500003,2023-07-24
10246.062246500003,2023-07-25
10255.439871000002,2023-07-26
10243.263745500004,2023-07-27
10272.636245500005,2023-07-28
10260.404995500005,2023-07-31
10260.404995500005,2023-08-01
10260.404995500005,2023-08-02
10260.404995500005,2023-08-03
10260.404995500005,2023-08-04
10260.404995500005,2023-08-07
10260.404995500005,2023-08-08
10260.404995500005,2023-08-09
10260.404995500005,2023-08-10
10260.404995500005,2023-08-11
10260.404995500005,2023-08-14
10260.404995500005,2023-08-16
10260.404995500005,2023-08-17
10260.404995500005,2023-08-18
10260.404995500005,2023-08-21
10260.404995500005,2023-08-22
10260.404995500005,2023-08-23
10260.404995500005,2023-08-24
10202.729520750005,2023-08-25
10224.070196250006,2023-08-28
10352.269396250005,2023-08-29
10328.946647250006,2023-08-30
10328.946647250006,2023-08-31
10328.946647250006,2023-09-01
10328.946647250006,2023-09-04
10328.946647250006,2023-09-05
10328.946647250006,2023-09-06
10328.946647250006,2023-09-07
10328.946647250006,2023-09-08
10328.946647250006,2023-09-11
10328.946647250006,2023-09-12
10328.946647250006,2023-09-13
10328.946647250006,2023-09-14
10328.946647250006,2023-09-15
10328.946647250006,2023-09-18
10328.946647250006,2023-09-20
10328.946647250006,2023-09-21
10328.946647250006,2023-09-22
10328.946647250006,2023-09-25
10328.946647250006,2023-09-26
10328.946647250006,2023-09-27
10328.946647250006,2023-09-28
10418.113846750008,2023-09-29
10358.204596250009,2023-10-03
10149.963270750006,2023-10-04
10334.862670750008,2023-10-05
10341.963270750006,2023-10-06
10327.362670750008,2023-10-09
10387.763070750007,2023-10-10
10402.069220750007,2023-10-11
10389.408221000009,2023-10-12
10389.408221000009,2023-10-13
10389.408221000009,2023-10-16
10389.408221000009,2023-10-17
10389.408221000009,2023-10-18
10389.408221000009,2023-10-19
10389.408221000009,2023-10-20
10389.408221000009,2023-10-23
10389.408221000009,2023-10-25
10389.408221000009,2023-10-26
10389.408221000009,2023-10-27
10389.408221000009,2023-10-30
10389.408221000009,2023-10-31
10389.408221000009,2023-11-01
10389.408221000009,2023-11-02
10389.408221000009,2023-11-03
10389.408221000009,2023-11-06
10389.408221000009,2023-11-07
10389.408221000009,2023-11-08
10389.408221000009,2023-11-09
10389.408221000009,2023-11-10
10389.408221000009,2023-11-12
10389.408221000009,2023-11-13
10389.408221000009,2023-11-15
10389.408221000009,2023-11-16
10389.408221000009,2023-11-17
10389.408221000009,2023-11-20
10389.408221000009,2023-11-21
10389.408221000009,2023-11-22
10389.408221000009,2023-11-23
10389.408221000009,2023-11-24
10389.408221000009,2023-11-28
10389.408221000009,2023-11-29
10389.408221000009,2023-11-30
10389.408221000009,2023-12-01
10389.408221000009,2023-12-04
10389.408221000009,2023-12-05
10389.408221000009,2023-12-06
10389.408221000009,2023-12-07
10389.408221000009,2023-12-08
10389.408221000009,2023-12-11
10389.408221000009,2023-12-12
10389.408221000009,2023-12-13
10389.408221000009,2023-12-14
10389.408221000009,2023-12-15
10389.408221000009,2023-12-18
10389.408221000009,2023-12-19
10389.408221000009,2023-12-20
10389.408221000009,2023-12-21
10389.408221000009,2023-12-22
10389.408221000009,2023-12-26
10389.408221000009,2023-12-27
10389.408221000009,2023-12-28
10389.408221000009,2023-12-29
10389.408221000009,2024-01-01
10389.408221000009,2024-01-02
10389.408221000009,2024-01-03
10389.408221000009,2024-01-04
10389.408221000009,2024-01-05
10389.408221000009,2024-01-08
10389.408221000009,2024-01-09
10389.408221000009,2024-01-10
10389.408221000009,2024-01-11
10389.408221000009,2024-01-12
10389.408221000009,2024-01-15
10389.408221000009,2024-01-16
10389.408221000009,2024-01-17
10389.408221000009,2024-01-18
10389.408221000009,2024-01-19
10389.408221000009,2024-01-20
10389.408221000009,2024-01-23
10389.408221000009,2024-01-24
10389.408221000009,2024-01-25
10389.408221000009,2024-01-29
10389.408221000009,2024-01-30
10389.408221000009,2024-01-31
10389.408221000009,2024-02-01
10389.408221000009,2024-02-02
10389.408221000009,2024-02-05
10389.408221000009,2024-02-06
10389.408221000009,2024-02-07
10389.408221000009,2024-02-08
10389.408221000009,2024-02-09
10389.408221000009,2024-02-12
10389.408221000009,2024-02-13
10389.408221000009,2024-02-14
10389.408221000009,2024-02-15
10389.408221000009,2024-02-16
10389.408221000009,2024-02-19
10389.408221000009,2024-02-20
10389.408221000009,2024-02-21
10389.408221000009,2024-02-22
10389.408221000009,2024-02-23
10389.408221000009,2024-02-26
10389.408221000009,2024-02-27
10389.408221000009,2024-02-28
10389.408221000009,2024-02-29
10389.408221000009,2024-03-01
10389.408221000009,2024-03-02
10389.408221000009,2024-03-04
10389.408221000009,2024-03-05
10389.408221000009,2024-03-06
10389.408221000009,2024-03-07
10389.408221000009,2024-03-11
10389.408221000009,2024-03-12
10389.408221000009,2024-03-13
10367.09537000001,2024-03-14
10334.245770000009,2024-03-15
10505.34537000001,2024-03-18
10623.745770000009,2024-03-19
10619.145170000009,2024-03-20
10734.145170000009,2024-03-21
10712.268671000009,2024-03-22
10712.268671000009,2024-03-26
10712.268671000009,2024-03-27
10712.268671000009,2024-03-28
10712.268671000009,2024-04-01
10712.268671000009,2024-04-02
10712.268671000009,2024-04-03
10712.268671000009,2024-04-04
10712.268671000009,2024-04-05
10712.268671000009,2024-04-08
10712.268671000009,2024-04-09
10712.268671000009,2024-04-10
10712.268671000009,2024-04-12
10712.268671000009,2024-04-15
10712.268671000009,2024-04-16
10792.12019500001,2024-04-18
10575.32039500001,2024-04-19
10566.57039500001,2024-04-22
10566.62019500001,2024-04-23
10467.91999500001,2024-04-24
10505.72079500001,2024-04-25
10483.883544000011,2024-04-26
10483.883544000011,2024-04-29
10483.883544000011,2024-04-30
10483.883544000011,2024-05-02
10483.883544000011,2024-05-03
10483.883544000011,2024-05-06
10086.602769500012,2024-05-07
10158.102769500012,2024-05-08
10255.551969500011,2024-05-09
10390.502169500012,2024-05-10
10401.002169500012,2024-05-13
10473.952369500012,2024-05-14
10451.289244500013,2024-05-15
10397.730568500012,2024-05-16
10306.581168500012,2024-05-17
10339.730568500012,2024-05-18
10317.695944500012,2024-05-21
10317.695944500012,2024-05-22
10317.695944500012,2024-05-23
10317.695944500012,2024-05-24
10317.695944500012,2024-05-27
10317.695944500012,2024-05-28
10317.695944500012,2024-05-29
10317.695944500012,2024-05-30
10317.695944500012,2024-05-31
10317.695944500012,2024-06-03
10205.657119000014,2024-06-04
10561.157119000014,2024-06-05
10660.357319000013,2024-06-06
10684.456919000015,2024-06-07
10660.143044500015,2024-06-10
10660.143044500015,2024-06-11
10660.143044500015,2024-06-12
10660.143044500015,2024-06-13
10660.143044500015,2024-06-14
10660.143044500015,2024-06-18
10660.143044500015,2024-06-19
10582.128745000015,2024-06-20
10552.378745000015,2024-06-21
10695.378745000015,2024-06-24
10610.078945000014,2024-06-25
10424.779145000015,2024-06-26
10367.578945000014,2024-06-27
10451.779145000015,2024-06-28
10482.529145000015,2024-07-01
10351.378745000015,2024-07-02
10372.529145000015,2024-07-03
10410.978345000014,2024-07-04
10387.326221000014,2024-07-05
10387.326221000014,2024-07-08
10387.326221000014,2024-07-09
10387.326221000014,2024-07-10
10387.326221000014,2024-07-11
10327.609421500014,2024-07-12
10570.209021500013,2024-07-15
10546.025647500013,2024-07-16
10546.025647500013,2024-07-18
10281.809747000016,2024-07-19
10305.460147000014,2024-07-22
10278.259947000015,2024-07-23
10155.960147000014,2024-07-24
10132.809646500014,2024-07-25
10132.809646500014,2024-07-26
10132.809646500014,2024-07-29
10132.809646500014,2024-07-30
10132.809646500014,2024-07-31
10132.809646500014,2024-08-01
10132.809646500014,2024-08-02
9977.618746000016,2024-08-05
9919.969346000016,2024-08-06
10200.769146000015,2024-08-07
10133.868746000016,2024-08-08
10258.519146000015,2024-08-09
10203.418546000015,2024-08-12
10164.168546000015,2024-08-13
10242.168546000015,2024-08-14
10380.719346000016,2024-08-16
10263.219346000016,2024-08-19
10272.269146000015,2024-08-20
10344.568946000016,2024-08-21
10406.769146000015,2024-08-22
10899.018946000017,2024-08-23
10925.118946000015,2024-08-26
10899.037571000015,2024-08-27
10899.037571000015,2024-08-28
10899.037571000015,2024-08-29
10899.037571000015,2024-08-30
10899.037571000015,2024-09-02
10899.037571000015,2024-09-03
10899.037571000015,2024-09-04
10899.037571000015,2024-09-05
10899.037571000015,2024-09-06
10899.037571000015,2024-09-09
10899.037571000015,2024-09-10
10899.037571000015,2024-09-11
10899.037571000015,2024-09-12
10899.037571000015,2024-09-13
10899.037571000015,2024-09-16
10899.037571000015,2024-09-17
10899.037571000015,2024-09-18
10899.037571000015,2024-09-19
10899.037571000015,2024-09-20
10899.037571000015,2024-09-23
10899.037571000015,2024-09-24
10899.037571000015,2024-09-25
10899.037571000015,2024-09-26
10899.037571000015,2024-09-27
10899.037571000015,2024-09-30
10899.037571000015,2024-10-01
10899.037571000015,2024-10-03
10899.037571000015,2024-10-04
10899.037571000015,2024-10-07
10899.037571000015,2024-10-08
10899.037571000015,2024-10-09
10899.037571000015,2024-10-10
10899.037571000015,2024-10-11
10899.037571000015,2024-10-14
10899.037571000015,2024-10-15
10899.037571000015,2024-10-16
10899.037571000015,2024-10-17
10818.238946000016,2024-10-18
11254.788946000015,2024-10-21
11122.638946000015,2024-10-22
11341.038946000015,2024-10-23
11056.788946000015,2024-10-24
10960.388946000015,2024-10-25
10765.538946000015,2024-10-28
10605.138946000015,2024-10-29
10694.938946000015,2024-10-30
10590.588946000014,2024-10-31
10630.238946000016,2024-11-01
10279.838946000014,2024-11-04
10629.138946000015,2024-11-05
10774.788946000015,2024-11-06
10610.938946000015,2024-11-07
10664.688946000015,2024-11-08
10673.638946000015,2024-11-11
10432.988946000016,2024-11-12
10206.438946000015,2024-11-13
10237.238946000016,2024-11-14
10270.788946000015,2024-11-18
10299.988946000016,2024-11-19
10259.288946000015,2024-11-21
