trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-12-16,BAJAJ,Buy,2,3549.6001,17.7480005,7099.2002,10142.551799500001,0,2
2,2022-12-19,BAJAJ,Sell,2,3629.75,18.14875,7259.5,10124.4030495,2,0
3,2023-02-01,BAJAJ,Buy,2,3811.3,19.0565,7622.6,10064.146549500001,0,2
4,2023-02-24,BAJAJ,Sell,2,3849.95,19.24975,7699.9,10163.3967995,2,0
5,2023-02-27,BAJAJ,Buy,2,3639.8501,18.1992505,7279.7002,10187.897348999999,0,2
6,2023-03-01,BAJAJ,Sell,2,3731.6499,18.6582495,7463.2998,10310.138899500002,2,0
7,2023-03-28,BAJAJ,Buy,1,3791.6001,9.47900025,3791.6001,10388.359799250002,0,1
8,2023-03-29,BAJAJ,Sell,1,3879.3,9.69825,3879.3,10378.661549250002,1,0
9,2023-06-16,BAJAJ,Buy,2,4641.9502,23.209751,9283.9004,10266.25159825,0,2
10,2023-06-20,BAJAJ,Sell,1,4662.0,11.655,4662.0,10372.046298250003,2,1
11,2023-06-21,BAJAJ,Buy,1,4650.1499,11.62537475,4650.1499,10284.3213235,1,2
12,2023-06-23,BAJAJ,Sell,2,4622.6001,23.1130005,9245.2002,10282.208323000003,2,0
13,2023-07-13,BAJAJ,Buy,2,4866.4502,24.332251000000003,9732.9004,10244.175872000002,0,2
14,2023-07-21,BAJAJ,Sell,1,4862.7002,12.156750500000001,4862.7002,10258.269121500003,2,1
15,2023-07-24,BAJAJ,Sell,1,4882.75,12.206875,4882.75,10246.062246500003,1,0
16,2023-07-25,BAJAJ,Buy,1,4848.9502,12.1223755,4848.9502,10255.439871000002,0,1
17,2023-07-26,BAJAJ,Sell,1,4870.4502,12.176125500000001,4870.4502,10243.263745500004,1,0
18,2023-07-27,BAJAJ,Buy,1,4851.0,12.1275,4851.0,10272.636245500005,0,1
19,2023-07-28,BAJAJ,Sell,1,4892.5,12.231250000000001,4892.5,10260.404995500005,1,0
20,2023-08-24,BAJAJ,Buy,1,4630.1499,11.575374750000002,4630.1499,10202.729520750005,0,1
21,2023-08-25,BAJAJ,Buy,1,4584.0498,11.4601245,4584.0498,10224.070196250006,1,2
22,2023-08-29,BAJAJ,Sell,2,4664.5498,23.322748999999998,9329.0996,10328.946647250006,2,0
23,2023-09-28,BAJAJ,Buy,2,5006.6001,25.0330005,10013.2002,10418.113846750008,0,2
24,2023-09-29,BAJAJ,Sell,1,5063.7002,12.6592505,5063.7002,10358.204596250009,2,1
25,2023-10-03,BAJAJ,Buy,1,5016.4502,12.541125500000001,5016.4502,10149.963270750006,1,2
26,2023-10-10,BAJAJ,Sell,1,5037.5,12.59375,5037.5,10402.069220750007,2,1
27,2023-10-11,BAJAJ,Sell,1,5064.3999,12.660999750000002,5064.3999,10389.408221000009,1,0
28,2024-03-13,BAJAJ,Buy,1,8384.9004,20.962251000000002,8384.9004,10367.09537000001,0,1
29,2024-03-21,BAJAJ,Sell,1,8750.5996,21.876499,8750.5996,10712.268671000009,1,0
30,2024-04-16,BAJAJ,Buy,1,8919.1504,22.297876000000002,8919.1504,10792.12019500001,0,1
31,2024-04-25,BAJAJ,Sell,1,8734.9004,21.837251000000002,8734.9004,10483.883544000011,1,0
32,2024-05-06,BAJAJ,Buy,1,9052.5498,22.631374500000003,9052.5498,10086.602769500012,0,1
33,2024-05-14,BAJAJ,Sell,1,9065.25,22.663125,9065.25,10451.289244500013,1,0
34,2024-05-15,BAJAJ,Buy,1,8903.1504,22.257876000000003,8903.1504,10397.730568500012,0,1
35,2024-05-18,BAJAJ,Sell,1,8813.8496,22.034624,8813.8496,10317.695944500012,1,0
36,2024-06-03,BAJAJ,Buy,1,9335.4502,23.3386255,9335.4502,10205.657119000014,0,1
37,2024-06-07,BAJAJ,Sell,1,9725.5498,24.3138745,9725.5498,10660.143044500015,1,0
38,2024-06-19,BAJAJ,Buy,1,9685.7998,24.214499500000002,9685.7998,10582.128745000015,0,1
39,2024-07-04,BAJAJ,Sell,1,9460.8496,23.652124,9460.8496,10387.326221000014,1,0
40,2024-07-11,BAJAJ,Buy,1,9466.7998,23.666999500000003,9466.7998,10327.609421500014,0,1
41,2024-07-15,BAJAJ,Sell,1,9673.3496,24.183374,9673.3496,10546.025647500013,1,0
42,2024-07-18,BAJAJ,Buy,1,9626.2002,24.0655005,9626.2002,10281.809747000016,0,1
43,2024-07-24,BAJAJ,Sell,1,9260.2002,23.1505005,9260.2002,10132.809646500014,1,0
44,2024-08-02,BAJAJ,Buy,1,9616.2002,24.0405005,9616.2002,9977.618746000016,0,1
45,2024-08-26,BAJAJ,Sell,1,10432.55,26.081374999999998,10432.55,10899.037571000015,1,0
46,2024-10-17,BAJAJ,Buy,1,10119.45,25.298625,10119.45,10818.238946000016,0,1
47,2025-06-25,BAJAJ,Sell,1,8389.5,20.97375,8389.5,9122.815196000016,1,0
