account_value,date
10000.0,2022-12-16
10167.893500000002,2022-12-19
10147.493500000004,2022-12-20
9944.393500000002,2022-12-21
9719.393500000002,2022-12-22
9435.893500000002,2022-12-23
9663.593500000003,2022-12-26
9679.793500000003,2022-12-27
9589.793500000003,2022-12-28
9523.793500000003,2022-12-29
9740.693500000001,2022-12-30
9768.593500000003,2023-01-02
9831.593500000003,2023-01-03
9740.693500000001,2023-01-04
9266.693500000001,2023-01-05
9035.693500000001,2023-01-06
8937.593500000003,2023-01-09
8933.393500000002,2023-01-10
8851.793500000003,2023-01-11
8780.393500000002,2023-01-12
8800.493500000004,2023-01-13
8756.993500000004,2023-01-16
8690.993500000004,2023-01-17
8657.393500000002,2023-01-18
8584.493500000004,2023-01-19
8452.793500000003,2023-01-20
8450.093500000003,2023-01-23
8449.793500000003,2023-01-24
8339.693500000001,2023-01-25
8338.793500000003,2023-01-27
8516.693500000001,2023-01-30
8508.293500000003,2023-01-31
8063.393500000002,2023-02-01
8084.993500000003,2023-02-02
8478.293500000003,2023-02-03
8511.893500000002,2023-02-06
8555.993500000004,2023-02-07
8666.993500000004,2023-02-08
8855.093500000003,2023-02-09
8864.093500000003,2023-02-10
8784.893500000002,2023-02-13
8764.065250000003,2023-02-14
8764.065250000003,2023-02-15
8787.153250000005,2023-02-16
8702.253250000003,2023-02-17
8645.553250000003,2023-02-20
8583.753250000003,2023-02-21
8383.653250000005,2023-02-22
8299.653250000005,2023-02-23
8279.449000000004,2023-02-24
8279.449000000004,2023-02-27
8279.449000000004,2023-02-28
8313.425500000005,2023-03-01
8311.325500000003,2023-03-02
8382.125500000004,2023-03-03
8534.825500000003,2023-03-06
8534.825500000003,2023-03-08
8365.325500000003,2023-03-09
8223.125500000004,2023-03-10
8024.225500000005,2023-03-13
7933.325500000004,2023-03-14
7945.625500000004,2023-03-15
8011.625500000004,2023-03-16
8060.525500000004,2023-03-17
7722.425500000005,2023-03-20
7858.625500000004,2023-03-21
8017.325500000004,2023-03-22
7990.025500000004,2023-03-23
7693.925500000005,2023-03-24
7684.625500000004,2023-03-27
7588.925500000005,2023-03-28
7726.325500000004,2023-03-29
7849.025500000004,2023-03-31
7947.725500000005,2023-04-03
7925.825500000004,2023-04-05
8073.725500000005,2023-04-06
8080.325500000004,2023-04-10
8189.225500000005,2023-04-11
8179.325500000004,2023-04-12
8297.825500000003,2023-04-13
8296.925500000005,2023-04-17
8261.225500000004,2023-04-18
8238.125500000004,2023-04-19
8242.625500000004,2023-04-20
8157.425500000005,2023-04-21
8168.525500000004,2023-04-24
8324.825500000003,2023-04-25
8258.225500000004,2023-04-26
8410.025500000003,2023-04-27
8377.925500000005,2023-04-28
8344.325500000003,2023-05-02
8332.025500000003,2023-05-03
8496.725500000004,2023-05-04
8476.108750000007,2023-05-05
8729.020000000008,2023-05-08
8707.948000000008,2023-05-09
8721.317500000008,2023-05-10
8757.017500000009,2023-05-11
8775.317500000008,2023-05-12
8762.717500000006,2023-05-15
8804.717500000006,2023-05-16
8727.017500000009,2023-05-17
8727.317500000008,2023-05-18
8725.217500000006,2023-05-19
8712.617500000008,2023-05-22
8858.117500000008,2023-05-23
8836.558750000007,2023-05-24
8836.558750000007,2023-05-25
8836.558750000007,2023-05-26
8836.558750000007,2023-05-29
8836.558750000007,2023-05-30
8836.558750000007,2023-05-31
8836.558750000007,2023-06-01
8836.558750000007,2023-06-02
8836.558750000007,2023-06-05
8836.558750000007,2023-06-06
8836.558750000007,2023-06-07
8836.558750000007,2023-06-08
8836.558750000007,2023-06-09
8836.558750000007,2023-06-12
8836.558750000007,2023-06-13
8836.558750000007,2023-06-14
8836.558750000007,2023-06-15
8836.558750000007,2023-06-16
8836.558750000007,2023-06-19
8836.558750000007,2023-06-20
8836.558750000007,2023-06-21
8836.558750000007,2023-06-22
8836.558750000007,2023-06-23
8836.558750000007,2023-06-26
8836.558750000007,2023-06-27
8836.558750000007,2023-06-28
8836.558750000007,2023-06-30
8836.558750000007,2023-07-03
8836.558750000007,2023-07-04
8836.558750000007,2023-07-05
8836.558750000007,2023-07-06
8809.409500000009,2023-07-07
8736.972250000006,2023-07-10
8715.372250000008,2023-07-11
8718.572250000008,2023-07-12
8806.172250000007,2023-07-13
8802.572250000008,2023-07-14
8786.772250000007,2023-07-17
8818.972250000006,2023-07-18
8922.172250000007,2023-07-19
8901.541500000007,2023-07-20
8898.591500000006,2023-07-21
8923.241500000007,2023-07-24
8914.591500000006,2023-07-25
8892.191500000006,2023-07-26
8880.291500000007,2023-07-27
8850.591500000006,2023-07-28
8864.041500000007,2023-07-31
8838.091500000006,2023-08-01
8792.741500000007,2023-08-02
8759.391500000007,2023-08-03
8718.789125000007,2023-08-04
8807.189125000006,2023-08-07
8836.589125000006,2023-08-08
8839.989125000006,2023-08-09
8851.189125000006,2023-08-10
8789.589125000006,2023-08-11
8701.789125000007,2023-08-14
8652.989125000006,2023-08-16
8680.989125000006,2023-08-17
8614.189125000006,2023-08-18
8686.789125000007,2023-08-21
8644.789125000007,2023-08-22
8653.989125000006,2023-08-23
8647.989125000006,2023-08-24
8789.189125000006,2023-08-25
8773.189125000006,2023-08-28
8787.389125000005,2023-08-29
8779.589125000006,2023-08-30
8729.189125000006,2023-08-31
8831.589125000006,2023-09-01
8813.989125000006,2023-09-04
8815.389125000005,2023-09-05
8846.389125000005,2023-09-06
8851.789125000007,2023-09-07
8937.589125000006,2023-09-08
8972.389125000005,2023-09-11
8943.389125000005,2023-09-12
8984.789125000007,2023-09-13
8977.189125000006,2023-09-14
8925.989125000006,2023-09-15
9013.389125000005,2023-09-18
8986.989125000006,2023-09-20
8878.389125000005,2023-09-21
8948.389125000005,2023-09-22
8970.511375000007,2023-09-25
8960.811375000007,2023-09-26
8958.861375000008,2023-09-27
8932.811375000007,2023-09-28
8933.361375000008,2023-09-29
8954.161375000007,2023-10-03
8925.661375000007,2023-10-04
8935.661375000007,2023-10-05
9027.761375000007,2023-10-06
9014.661375000007,2023-10-09
9026.211375000006,2023-10-10
9029.661375000007,2023-10-11
9010.387250000007,2023-10-12
9057.387250000007,2023-10-13
9040.587250000008,2023-10-16
9101.787250000008,2023-10-17
8983.987250000007,2023-10-18
9010.187250000006,2023-10-19
9011.387250000007,2023-10-20
8923.787250000008,2023-10-23
8916.987250000007,2023-10-25
8853.451375000008,2023-10-26
8859.851375000007,2023-10-27
8854.551375000008,2023-10-30
8876.64312500001,2023-10-31
8889.843125000009,2023-11-01
8900.843125000009,2023-11-02
8743.04312500001,2023-11-03
8856.04312500001,2023-11-06
8877.64312500001,2023-11-07
8900.443125000009,2023-11-08
8927.443125000009,2023-11-09
8982.443125000009,2023-11-10
8976.843125000009,2023-11-12
8939.243125000008,2023-11-13
8946.64312500001,2023-11-15
9081.04312500001,2023-11-16
9064.138250000009,2023-11-17
9042.038250000009,2023-11-20
9058.638250000009,2023-11-21
9072.138250000009,2023-11-22
9072.18825000001,2023-11-23
9065.48825000001,2023-11-24
9102.638250000009,2023-11-28
9086.63025000001,2023-11-29
9166.63025000001,2023-11-30
9216.430250000009,2023-12-01
9257.63025000001,2023-12-04
9243.430250000009,2023-12-05
9274.030250000009,2023-12-06
9288.83025000001,2023-12-07
9313.23025000001,2023-12-08
9283.83025000001,2023-12-11
9299.63025000001,2023-12-12
9210.83025000001,2023-12-13
9396.430250000009,2023-12-14
9405.23025000001,2023-12-15
9371.030250000009,2023-12-18
9311.63025000001,2023-12-19
9196.23025000001,2023-12-20
9169.57350000001,2023-12-21
9174.77350000001,2023-12-22
9148.02350000001,2023-12-26
