trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-12-16,BAJAJFINSV,Buy,6,1587.1,23.806499999999996,9522.599999999999,10167.893500000002,0,6
2,2023-02-13,BAJAJFINSV,Sell,6,1388.55,20.828249999999997,8331.3,8764.065250000003,6,0
3,2023-02-15,BAJAJFINSV,Buy,6,1420.8,21.311999999999998,8524.8,8787.153250000005,0,6
4,2023-02-23,BAJAJFINSV,Sell,6,1346.95,20.204250000000002,8081.700000000001,8279.449000000004,6,0
5,2023-02-28,BAJAJFINSV,Buy,6,1334.9,20.023500000000002,8009.400000000001,8313.425500000005,0,6
6,2023-05-04,BAJAJFINSV,Sell,6,1374.45,20.616750000000003,8246.7,8476.108750000007,6,0
7,2023-05-05,BAJAJFINSV,Buy,6,1359.25,20.38875,8155.5,8729.020000000008,0,6
8,2023-05-08,BAJAJFINSV,Sell,6,1404.8,21.072,8428.8,8707.948000000008,6,0
9,2023-05-09,BAJAJFINSV,Buy,6,1408.7,21.1305,8452.2,8721.317500000008,0,6
10,2023-05-23,BAJAJFINSV,Sell,6,1437.25,21.55875,8623.5,8836.558750000007,6,0
11,2023-07-06,BAJAJFINSV,Buy,3,1619.9,12.149250000000002,4859.700000000001,8809.409500000009,0,3
12,2023-07-07,BAJAJFINSV,Buy,1,1614.9,4.03725,1614.9,8736.972250000006,3,4
13,2023-07-19,BAJAJFINSV,Sell,3,1644.1,12.330749999999998,4932.299999999999,8901.541500000007,4,1
14,2023-08-03,BAJAJFINSV,Buy,3,1493.65,11.202375000000002,4480.950000000001,8718.789125000007,1,4
15,2023-09-22,BAJAJFINSV,Sell,3,1543.7,11.577750000000002,4631.1,8970.511375000007,4,1
16,2023-10-11,BAJAJFINSV,Buy,3,1636.55,12.274125,4909.65,9010.387250000007,1,4
17,2023-10-25,BAJAJFINSV,Sell,3,1611.45,12.085875000000001,4834.35,8853.451375000008,4,1
18,2023-10-30,BAJAJFINSV,Buy,3,1561.1,11.708249999999998,4683.299999999999,8876.64312500001,1,4
19,2023-11-16,BAJAJFINSV,Sell,3,1620.65,12.154875000000002,4861.950000000001,9064.138250000009,4,1
20,2023-11-28,BAJAJFINSV,Buy,3,1654.4,12.408000000000001,4963.200000000001,9086.63025000001,1,4
21,2023-12-20,BAJAJFINSV,Sell,3,1680.9,12.606750000000002,5042.700000000001,9169.57350000001,4,1
22,2023-12-26,BAJAJFINSV,Buy,3,1645.3,12.339749999999999,4935.9,9232.28375000001,1,4
23,2023-12-28,BAJAJFINSV,Sell,3,1681.2,12.609000000000002,5043.6,9271.274750000011,4,1
24,2024-01-16,BAJAJFINSV,Buy,3,1623.5,12.17625,4870.5,9047.398500000012,1,4
25,2024-02-08,BAJAJFINSV,Sell,3,1570.55,11.779124999999999,4711.65,8973.619375000011,4,1
26,2024-02-09,BAJAJFINSV,Buy,3,1570.95,11.782125,4712.85,8907.037250000012,1,4
27,2024-02-26,BAJAJFINSV,Sell,3,1614.3,12.107249999999999,4842.9,9109.430000000011,4,1
28,2024-03-07,BAJAJFINSV,Buy,3,1582.8,11.870999999999999,4748.4,9143.759000000011,1,4
29,2024-03-11,BAJAJFINSV,Sell,3,1598.8,11.991,4796.4,9126.518000000011,4,1
30,2024-03-15,BAJAJFINSV,Buy,3,1571.45,11.785875,4714.35,9115.03212500001,1,4
31,2024-03-27,BAJAJFINSV,Sell,3,1582.65,11.869875000000002,4747.950000000001,9186.762250000013,4,1
32,2024-03-28,BAJAJFINSV,Buy,3,1643.85,12.328874999999998,4931.549999999999,9183.033375000014,1,4
33,2024-04-25,BAJAJFINSV,Sell,3,1655.55,12.416625,4966.65,9150.616750000012,4,1
34,2024-04-29,BAJAJFINSV,Buy,3,1595.65,11.967375000000002,4786.950000000001,9214.349375000013,1,4
35,2024-05-03,BAJAJFINSV,Sell,3,1627.3,12.204749999999999,4881.9,9235.394625000012,4,1
36,2024-05-09,BAJAJFINSV,Buy,3,1564.6,11.734499999999999,4693.799999999999,9209.310125000013,1,4
37,2024-05-28,BAJAJFINSV,Sell,3,1599.65,11.997375000000002,4798.950000000001,9275.362750000013,4,1
38,2024-05-31,BAJAJFINSV,Buy,5,1528.6,19.1075,7643.0,9498.155250000014,1,6
39,2024-07-01,BAJAJFINSV,Sell,6,1580.2,23.703000000000003,9481.2,9500.852250000014,6,0
40,2024-07-19,BAJAJFINSV,Buy,5,1640.25,20.503125,8201.25,9434.849125000015,0,5
41,2024-07-24,BAJAJFINSV,Sell,5,1579.25,19.740625,7896.25,9155.608500000017,5,0
42,2024-07-26,BAJAJFINSV,Buy,5,1586.45,19.830625,7932.25,9289.277875000018,0,5
43,2024-07-30,BAJAJFINSV,Sell,5,1642.65,20.533125000000002,8213.25,9396.244750000016,5,0
44,2024-08-01,BAJAJFINSV,Buy,5,1634.8,20.435,8174.0,9319.059750000017,0,5
45,2024-08-05,BAJAJFINSV,Sell,5,1567.7,19.59625,7838.5,9020.713500000016,5,0
46,2024-08-06,BAJAJFINSV,Buy,1,1564.1,3.91025,1564.1,9024.103250000016,0,1
47,2024-08-07,BAJAJFINSV,Buy,3,1571.4,11.785500000000003,4714.200000000001,8886.917750000015,1,4
48,2024-09-18,BAJAJFINSV,Sell,3,1888.2,14.161500000000002,5664.6,10267.556250000018,4,1
49,2024-10-14,BAJAJFINSV,Buy,3,1867.2,14.004000000000001,5601.6,10177.352250000018,1,4
50,2024-12-11,BAJAJFINSV,Sell,3,1686.5,12.64875,5059.5,9487.703500000018,4,1
51,2024-12-12,BAJAJFINSV,Buy,3,1679.3,12.59475,5037.9,9476.70875000002,1,4
52,2024-12-13,BAJAJFINSV,Sell,3,1679.7,12.597750000000001,5039.1,9458.06100000002,4,1
53,2024-12-16,BAJAJFINSV,Buy,1,1673.65,4.184125,1673.65,9392.87687500002,1,2
54,2024-12-17,BAJAJFINSV,Sell,1,1643.15,4.107875,1643.15,9376.36900000002,2,1
55,2024-12-20,BAJAJFINSV,Buy,3,1569.65,11.772375000000002,4708.950000000001,9278.49662500002,1,4
56,2025-01-20,BAJAJFINSV,Sell,3,1735.2,13.014000000000001,5205.6,9934.482625000019,4,1
57,2025-01-21,BAJAJFINSV,Buy,3,1717.0,12.8775,5151.0,10026.805125000019,1,4
58,2025-01-22,BAJAJFINSV,Sell,3,1743.3,13.07475,5229.9,10016.580375000018,4,1
59,2025-01-23,BAJAJFINSV,Buy,3,1746.15,13.096125000000002,5238.450000000001,9933.684250000017,1,4
60,2025-01-28,BAJAJFINSV,Sell,3,1768.95,13.267125000000002,5306.85,10102.867125000017,4,1
61,2025-02-21,BAJAJFINSV,Buy,3,1879.35,14.095124999999998,5638.049999999999,10091.522000000019,1,4
62,2025-02-27,BAJAJFINSV,Sell,3,1925.55,14.441625,5776.65,10294.830375000018,4,1
63,2025-02-28,BAJAJFINSV,Buy,3,1872.3,14.04225,5616.9,10145.78812500002,1,4
64,2025-03-03,BAJAJFINSV,Sell,3,1838.55,13.789124999999999,5515.65,10083.749000000018,4,1
65,2025-04-23,BAJAJFINSV,Buy,3,2100.8,15.756000000000002,6302.400000000001,10395.29300000002,1,4
66,2025-04-28,BAJAJFINSV,Sell,3,2049.7,15.372749999999998,6149.099999999999,10175.92025000002,4,1
67,2025-06-05,BAJAJFINSV,Buy,3,1944.0,14.58,5832.0,10222.440250000018,1,4
68,2025-06-09,BAJAJFINSV,Sell,3,2017.4,15.130500000000001,6052.200000000001,10297.60975000002,4,1
