account_value,date
10000.0,2020-12-22
10123.445850475,2020-12-23
10305.845850475,2020-12-24
10342.326230475,2020-12-28
10335.486040474998,2020-12-29
10589.420850474999,2020-12-30
10515.416420475,2020-12-31
10486.820850475,2021-01-01
10365.316420474997,2021-01-04
10180.636040475,2021-01-05
10012.105660475,2021-01-06
10108.436040474999,2021-01-07
10110.336040474998,2021-01-08
9924.611040475,2021-01-11
10034.716420474999,2021-01-12
9770.045850474999,2021-01-13
9721.501230474998,2021-01-14
9733.376230474998,2021-01-15
9422.251230474998,2021-01-18
9876.920850474999,2021-01-19
9920.241420474998,2021-01-20
10179.305660474998,2021-01-21
9902.380660474999,2021-01-22
9781.066420475,2021-01-25
9660.036040474999,2021-01-27
9594.011040475,2021-01-28
9450.180660474998,2021-01-29
10065.876230474998,2021-02-01
10283.616420474998,2021-02-02
10420.226230474998,2021-02-03
10913.751230474998,2021-02-04
10977.780660474999,2021-02-05
10900.166420475,2021-02-08
10715.105660475,2021-02-09
10858.745850474997,2021-02-10
11031.930660474998,2021-02-11
11051.691420474997,2021-02-12
11436.251230474998,2021-02-15
11399.011040475,2021-02-16
11294.320850475,2021-02-17
11024.901230475,2021-02-18
10900.641420475,2021-02-19
10670.551230475,2021-02-22
10683.566420474997,2021-02-23
11024.045850474999,2021-02-24
10961.441420474997,2021-02-25
10457.845850475,2021-02-26
10461.455660475,2021-03-01
10555.505660475,2021-03-02
10986.045850474999,2021-03-03
10877.745850474997,2021-03-04
10799.845850475,2021-03-05
10563.770850474999,2021-03-08
10743.130660475,2021-03-09
10990.130660475,2021-03-10
11014.451230475,2021-03-12
10788.730660475,2021-03-15
10820.841420474999,2021-03-16
10638.155660474999,2021-03-17
10661.051230475,2021-03-18
10815.711040475,2021-03-19
10694.301230475,2021-03-22
10674.255660475,2021-03-23
10468.105660475,2021-03-24
10186.716420474999,2021-03-25
10302.330660475,2021-03-26
10322.280660474999,2021-03-30
10239.251230474998,2021-03-31
10471.620850474997,2021-04-01
9883.286040474999,2021-04-05
9941.426230475,2021-04-06
10101.026230475,2021-04-07
10010.586040474998,2021-04-08
9711.905660474999,2021-04-09
9025.436040474999,2021-04-12
9459.808290474999,2021-04-13
9322.907890475,2021-04-15
9235.508490474998,2021-04-16
8961.508490474998,2021-04-19
9229.608090474998,2021-04-20
9379.708690475,2021-04-22
9337.907890475,2021-04-23
9475.407890475,2021-04-26
9732.407890474999,2021-04-27
10564.108090474998,2021-04-28
10972.008490474998,2021-04-29
10906.108090474998,2021-04-30
11104.608090475,2021-05-03
11233.808290474999,2021-05-04
11032.608090475,2021-05-05
11059.907890475,2021-05-06
10989.907890475,2021-05-07
10997.308290474999,2021-05-10
10851.708690474998,2021-05-11
10719.108090474998,2021-05-12
10663.008490475,2021-05-14
10862.508490474998,2021-05-17
11379.808290474999,2021-05-18
11264.708690474998,2021-05-19
11179.808290474999,2021-05-20
11265.808290474999,2021-05-21
11208.108090475,2021-05-24
11239.608090475,2021-05-25
11544.608090475,2021-05-26
11366.708690474998,2021-05-27
11223.808290474999,2021-05-28
11258.208690475,2021-05-31
11571.907890474999,2021-06-01
11619.608090475,2021-06-02
11805.308290474999,2021-06-03
11989.208690474998,2021-06-04
11461.808290474999,2021-06-07
11513.108090475,2021-06-08
11351.308290474999,2021-06-09
12175.108090475,2021-06-10
12242.308290474999,2021-06-11
12390.608090475,2021-06-14
12324.608090475,2021-06-15
12165.508490475,2021-06-16
12102.808290474999,2021-06-17
12176.407890474999,2021-06-18
12234.308290474999,2021-06-21
12035.907890474999,2021-06-22
12033.508490475,2021-06-23
12089.508490474998,2021-06-24
12153.907890474999,2021-06-25
12076.407890474999,2021-06-28
12107.108090475,2021-06-29
12034.008490474998,2021-06-30
11936.608090474998,2021-07-01
11997.808290474999,2021-07-02
12147.708690475,2021-07-05
12407.108090475,2021-07-06
12399.508490474998,2021-07-07
12237.907890475,2021-07-08
12274.608090475,2021-07-09
12301.407890474999,2021-07-12
12310.907890474999,2021-07-13
12270.108090475,2021-07-14
12261.708690474998,2021-07-15
12253.208690475,2021-07-16
12033.108090475,2021-07-19
11886.008490475,2021-07-20
12393.407890474999,2021-07-22
12364.108090474998,2021-07-23
12327.208690474998,2021-07-26
12465.208690475,2021-07-27
12526.308290474999,2021-07-28
12802.508490474998,2021-07-29
12458.508490475,2021-07-30
12403.308290474999,2021-08-02
12666.108090474998,2021-08-03
12720.608090475,2021-08-04
12498.808290474999,2021-08-05
12450.907890474999,2021-08-06
12388.608090474998,2021-08-09
12342.508490474998,2021-08-10
12337.907890475,2021-08-11
12401.308290474999,2021-08-12
12315.407890475,2021-08-13
12756.608090474998,2021-08-16
12822.508490474998,2021-08-17
13090.508490475,2021-08-18
13324.508490474998,2021-08-20
13506.708690474998,2021-08-23
13962.508490474998,2021-08-24
13892.208690474998,2021-08-25
13866.208690475,2021-08-26
13935.508490475,2021-08-27
14333.308290474999,2021-08-30
15051.308290474999,2021-08-31
15041.508490474998,2021-09-01
14999.208690474998,2021-09-02
15049.108090474998,2021-09-03
15015.008490474998,2021-09-06
14916.907890474999,2021-09-07
14928.708690475,2021-09-08
14863.608090474998,2021-09-09
14893.407890474999,2021-09-13
14837.407890475,2021-09-14
14830.608090475,2021-09-15
14825.308290474999,2021-09-16
14859.907890475,2021-09-17
14887.208690474998,2021-09-20
15630.008490474998,2021-09-21
15589.608090475,2021-09-22
15800.407890475,2021-09-23
15589.108090474998,2021-09-24
15593.208690475,2021-09-27
15088.907890474999,2021-09-28
15033.108090475,2021-09-29
15338.508490475,2021-09-30
15047.808290474999,2021-10-01
15392.407890475,2021-10-04
15450.708690475,2021-10-05
15472.608090475,2021-10-06
15498.108090475,2021-10-07
15466.708690474998,2021-10-08
15636.508490474998,2021-10-11
15713.808290474999,2021-10-12
15860.907890474999,2021-10-13
15728.108090475,2021-10-14
15733.407890474999,2021-10-18
15480.907890474999,2021-10-19
15525.008490474998,2021-10-20
15476.907890474999,2021-10-21
15422.708690475,2021-10-22
15295.608090475,2021-10-25
15713.608090474998,2021-10-26
14966.608090474998,2021-10-27
14970.808290474999,2021-10-28
14802.708690475,2021-10-29
14830.208690475,2021-11-01
14913.008490475,2021-11-02
15034.808290474999,2021-11-03
15052.508490474998,2021-11-04
15349.608090475,2021-11-08
15157.308290474999,2021-11-09
15165.208690475,2021-11-10
14907.708690475,2021-11-11
15160.508490475,2021-11-12
15070.808290474999,2021-11-15
15113.708690475,2021-11-16
15217.608090475,2021-11-17
14972.208690474998,2021-11-18
14118.907890474999,2021-11-22
14230.907890474999,2021-11-23
14356.907890474999,2021-11-24
14253.907890474999,2021-11-25
13616.407890474999,2021-11-26
13813.808290474999,2021-11-29
13996.808290474999,2021-11-30
14079.708690474998,2021-12-01
14363.308290474999,2021-12-02
14140.808290474999,2021-12-03
13905.808290474999,2021-12-06
14208.608090474998,2021-12-07
14725.308290474999,2021-12-08
14882.907890475,2021-12-09
14907.308290474999,2021-12-10
14439.808290474999,2021-12-13
14134.108090474998,2021-12-14
13696.808290474999,2021-12-15
14060.008490474998,2021-12-16
13804.508490474998,2021-12-17
13270.608090475,2021-12-20
13157.407890475,2021-12-21
13544.708690474998,2021-12-22
13837.808290474999,2021-12-23
13706.308290474999,2021-12-24
13783.808290474999,2021-12-27
13815.608090475,2021-12-28
13825.608090475,2021-12-29
13744.508490474998,2021-12-30
13956.907890474999,2021-12-31
14441.508490474998,2022-01-03
14688.308290474999,2022-01-04
15343.907890474999,2022-01-05
15498.808290474999,2022-01-06
15321.008490475,2022-01-07
15464.907890475,2022-01-10
15342.008490474998,2022-01-11
15551.308290474999,2022-01-12
15619.008490474998,2022-01-13
15666.708690474998,2022-01-14
15707.508490474998,2022-01-17
15490.308290474999,2022-01-18
15145.907890474999,2022-01-19
15062.808290474999,2022-01-20
14749.808290474999,2022-01-21
13865.808290474999,2022-01-24
13929.808290474999,2022-01-25
13676.308290474999,2022-01-27
13736.808290474999,2022-01-28
14002.808290474999,2022-01-31
14031.508490474998,2022-02-01
14497.208690474998,2022-02-02
14223.608090474998,2022-02-03
14319.108090474998,2022-02-04
13863.508490475,2022-02-07
14112.308290474999,2022-02-08
14237.008490474998,2022-02-09
14276.308290474999,2022-02-10
14025.508490475,2022-02-11
13574.208690474998,2022-02-14
14286.407890474999,2022-02-15
14139.508490474998,2022-02-16
14167.208690474998,2022-02-17
14062.508490474998,2022-02-18
14015.008490474998,2022-02-21
14025.008490474998,2022-02-22
14091.407890474999,2022-02-23
13257.907890475,2022-02-24
13941.108090474998,2022-02-25
14006.907890474999,2022-02-28
13665.407890475,2022-03-02
13499.008490474998,2022-03-03
13078.108090475,2022-03-04
12252.308290474999,2022-03-07
12326.008490475,2022-03-08
12947.308290474999,2022-03-09
13172.108090475,2022-03-10
13258.308290474999,2022-03-11
13333.208690475,2022-03-14
13335.407890475,2022-03-15
13683.508490475,2022-03-16
13991.108090474998,2022-03-17
13743.108090475,2022-03-21
13973.907890474999,2022-03-22
14011.907890474999,2022-03-23
13997.407890475,2022-03-24
13949.308290474999,2022-03-25
14005.108090475,2022-03-28
14081.008490475,2022-03-29
14506.008490475,2022-03-30
14522.208690474998,2022-03-31
14818.508490475,2022-04-01
14983.608090474998,2022-04-04
14779.208690474998,2022-04-05
14696.208690475,2022-04-06
14582.708690475,2022-04-07
14735.508490475,2022-04-08
14675.608090475,2022-04-11
14551.308290474999,2022-04-12
14659.208690474998,2022-04-13
14525.208690475,2022-04-18
14521.407890474999,2022-04-19
14067.308290474999,2022-04-20
14278.508490475,2022-04-21
14223.808290474999,2022-04-22
14013.308290474999,2022-04-25
14483.407890474999,2022-04-26
13430.508490475,2022-04-27
13457.608090475,2022-04-28
13345.907890474999,2022-04-29
13254.608090475,2022-05-02
12681.808290474999,2022-05-04
12621.208690475,2022-05-05
12002.907890475,2022-05-06
12076.208690475,2022-05-09
11859.208690474998,2022-05-10
11616.308290474999,2022-05-11
11189.108090474998,2022-05-12
11033.808290474999,2022-05-13
11293.108090475,2022-05-16
11676.907890474999,2022-05-17
11632.708690475,2022-05-18
11416.308290474999,2022-05-19
11541.508490474998,2022-05-20
11590.308290474999,2022-05-23
11599.907890475,2022-05-24
11657.108090475,2022-05-25
11637.907890475,2022-05-26
11989.308290474999,2022-05-27
12224.708690474998,2022-05-30
12166.608090474998,2022-05-31
12022.608090475,2022-06-01
12118.008490475,2022-06-02
12058.708690475,2022-06-03
12044.308290474999,2022-06-06
11759.508490474998,2022-06-07
11910.907890474999,2022-06-08
11799.407890474999,2022-06-09
11337.308290474999,2022-06-10
10718.808290474999,2022-06-13
10753.808290474999,2022-06-14
10972.208690474998,2022-06-15
10570.108090475,2022-06-16
10841.407890474999,2022-06-17
10943.208690475,2022-06-20
11100.608090475,2022-06-21
10881.508490474998,2022-06-22
10898.608090474998,2022-06-23
11177.808290474999,2022-06-24
11284.708690474998,2022-06-27
11154.808290474999,2022-06-28
11027.907890475,2022-06-29
10803.308290474999,2022-06-30
11231.108090474998,2022-07-01
11262.907890475,2022-07-04
11324.508490474998,2022-07-05
11835.708690475,2022-07-06
11723.708690475,2022-07-07
11748.708690475,2022-07-08
11725.308290474999,2022-07-11
11749.407890474999,2022-07-12
11760.108090475,2022-07-13
11664.008490474998,2022-07-14
11832.708690475,2022-07-15
12121.907890474999,2022-07-18
12134.208690474998,2022-07-19
12151.108090474998,2022-07-20
12536.108090474998,2022-07-21
12518.808290474999,2022-07-22
12456.308290474999,2022-07-25
12531.208690475,2022-07-26
12795.008490474998,2022-07-27
14155.508490475,2022-07-28
14120.125489975,2022-07-29
14120.125489975,2022-08-01
14120.125489975,2022-08-02
14120.125489975,2022-08-03
14124.037447,2022-08-04
14101.333017,2022-08-05
14172.583017,2022-08-08
13806.262447000001,2022-08-10
14128.408017000002,2022-08-11
14110.262447000001,2022-08-12
14065.992827,2022-08-16
14523.892827000001,2022-08-17
14450.077637000002,2022-08-18
14095.633017000002,2022-08-19
13716.583017,2022-08-22
13917.033017000002,2022-08-23
13858.512447000001,2022-08-24
13611.987447,2022-08-25
13640.392827000001,2022-08-26
13454.667827000001,2022-08-29
14104.277637000001,2022-08-30
13866.872257000003,2022-09-01
13884.067827000003,2022-09-02
13895.183017,2022-09-05
13749.167827000001,2022-09-06
13838.752637000001,2022-09-07
14011.937447000002,2022-09-08
13866.112447,2022-09-09
14067.512447000001,2022-09-12
14288.958017,2022-09-13
14440.958017,2022-09-14
14256.372257000003,2022-09-15
14043.192827000003,2022-09-16
14464.992827,2022-09-19
14729.662447,2022-09-20
14834.637447000001,2022-09-21
14889.547257,2022-09-22
14485.987447,2022-09-23
14015.452637000002,2022-09-26
13983.817827000003,2022-09-27
13907.152637000001,2022-09-28
13721.427637,2022-09-29
14160.327637000002,2022-09-30
13848.822257000002,2022-10-03
14450.933017,2022-10-04
14290.287447,2022-10-06
14178.187447000002,2022-10-07
14079.862447,2022-10-10
13907.722257000001,2022-10-11
13952.183017,2022-10-12
13810.537447,2022-10-13
14040.152637000001,2022-10-14
14197.283017000002,2022-10-17
