trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-10-29,BEL,Buy,37,68.94993416,6.3778689098,2551.14756392,9915.9220855802,0,37
2,2021-11-01,BEL,Sell,1,66.84993293,0.167124832325,66.84993293,9916.355080027875,37,36
3,2021-11-02,BEL,Sell,2,66.86660291,0.33433301455,133.73320582,9913.187416513325,36,34
4,2021-11-03,BEL,Buy,10,66.78326966,1.6695817415,667.8326966,9933.517812771825,34,44
5,2021-11-04,BEL,Sell,11,67.28326916,1.8502899019,740.11596076,10048.267296049926,44,33
6,2021-11-08,BEL,Buy,12,70.81659562,2.1244978686000002,849.7991474400001,10171.392672481325,33,45
7,2021-11-09,BEL,Sell,45,73.59992616,8.279991693,3311.9966772,10163.112680788327,45,0
8,2021-12-23,BEL,Buy,34,69.63326014,5.9188271119,2367.53084476,10102.227355536426,0,34
9,2021-12-24,BEL,Buy,95,68.01659843,16.153942127125003,6461.5768508500005,10210.7732874193,34,129
10,2021-12-27,BEL,Buy,18,68.98326412,3.1042468854000003,1241.6987541600001,10212.5690356339,129,147
11,2021-12-30,BEL,Sell,48,69.98326312,8.3979915744,3359.19662976,10346.270901959502,147,99
12,2021-12-31,BEL,Sell,99,69.98326312,17.320857622200002,6928.34304888,10328.950044337304,99,0
13,2022-01-20,BEL,Buy,24,70.78326565,4.2469959390000005,1698.7983756,10281.503011678304,0,24
14,2022-01-21,BEL,Sell,24,68.98326412,4.1389958472,1655.59833888,10277.364015831105,24,0
15,2022-01-27,BEL,Buy,64,68.29992814,10.927988502400002,4371.19540096,10313.369740608705,0,64
16,2022-01-28,BEL,Buy,85,69.03326741,14.669569324625,5867.82772985,10427.83287782408,64,149
17,2022-02-28,BEL,Sell,5,70.14992962,0.8768741202499999,350.74964809999994,10730.60569861383,149,144
18,2022-03-02,BEL,Sell,144,71.99992776,25.919973993600003,10367.98959744,10704.68572462023,144,0
19,2022-03-30,BEL,Buy,20,69.48326362,3.474163181,1389.6652724,10716.878212439231,0,20
20,2022-03-31,BEL,Buy,50,70.26659617,8.78332452125,3513.3298085,10808.428354017979,20,70
21,2022-04-01,BEL,Sell,22,71.6999314,3.9434962270000002,1577.3984908,10874.08462787098,70,48
22,2022-04-04,BEL,Sell,48,73.14992661,8.7779911932,3511.1964772799997,10865.306636677778,48,0
23,2022-06-27,BEL,Buy,18,80.01658639,3.60074638755,1440.29855502,10840.105911890229,0,18
24,2022-06-28,BEL,Buy,22,78.81658759,4.33491231745,1733.96492698,10831.104471172779,18,40
25,2022-06-29,BEL,Sell,13,78.69992438,2.55774754235,1023.09901694,10810.546741630431,40,27
26,2022-06-30,BEL,Sell,4,78.03325838,0.7803325838,312.13303352,10776.79969875663,27,23
27,2022-07-01,BEL,Sell,23,76.59992315,4.4044955811249995,1761.79823245,10772.395203175505,23,0
28,2022-12-15,BEL,Buy,9,103.25,2.323125,929.25,10735.872051175504,0,9
29,2022-12-16,BEL,Sell,9,99.449997,2.2376249324999997,895.0499729999999,10733.634426243005,9,0
