account_value,date
10000.0,2022-01-06
10000.0,2022-01-07
10000.0,2022-01-10
10000.0,2022-01-11
10000.0,2022-01-12
10000.0,2022-01-13
10000.0,2022-01-14
10000.0,2022-01-17
10000.0,2022-01-18
10000.0,2022-01-19
10000.0,2022-01-20
10000.0,2022-01-21
9964.559475000002,2022-01-24
10256.33616455,2022-01-25
10203.21786475,2022-01-27
10295.49962975,2022-01-28
10275.815130025001,2022-01-31
10275.815130025001,2022-02-01
10275.815130025001,2022-02-02
10275.815130025001,2022-02-03
10275.815130025001,2022-02-04
10229.313599950001,2022-02-07
10243.48512995,2022-02-08
10389.78456995,2022-02-09
10455.584709950002,2022-02-10
10330.98512995,2022-02-11
9974.684989950001,2022-02-14
10280.584709950002,2022-02-15
10424.084709950002,2022-02-16
10356.884849950002,2022-02-17
10294.584709950002,2022-02-18
10258.184989950001,2022-02-21
10108.384849950002,2022-02-22
10180.48512995,2022-02-23
9711.48512995,2022-02-24
9959.98512995,2022-02-25
9929.884849950002,2022-02-28
9758.384849950002,2022-03-02
9727.584709950002,2022-03-03
9470.684989950001,2022-03-04
9774.48512995,2022-03-07
9778.711569400002,2022-03-08
9773.589069400003,2022-03-09
9773.589069400003,2022-03-10
9773.589069400003,2022-03-11
9773.589069400003,2022-03-14
9773.589069400003,2022-03-15
9773.589069400003,2022-03-16
9837.429209400003,2022-03-17
9635.485579100005,2022-03-21
9779.135449100002,2022-03-22
9593.235579100005,2022-03-23
9611.4351891,2022-03-24
9636.137564250002,2022-03-25
9669.350584650001,2022-03-28
9665.685334700001,2022-03-29
9665.685334700001,2022-03-30
9665.685334700001,2022-03-31
9665.685334700001,2022-04-01
9665.685334700001,2022-04-04
9665.685334700001,2022-04-05
9665.685334700001,2022-04-06
9665.685334700001,2022-04-07
9665.685334700001,2022-04-08
9665.685334700001,2022-04-11
9665.685334700001,2022-04-12
9665.685334700001,2022-04-13
9665.685334700001,2022-04-18
9563.976584700002,2022-04-19
9770.0263247,2022-04-20
9723.226584700002,2022-04-21
9762.226584700002,2022-04-22
9770.0263247,2022-04-25
9990.376454700001,2022-04-26
9940.976584700002,2022-04-27
9874.0263247,2022-04-28
9765.476584700002,2022-04-29
9796.0263247,2022-05-02
9549.676844700003,2022-05-04
9504.826714700002,2022-05-05
9391.726584700002,2022-05-06
9407.976584700002,2022-05-09
9513.926844700003,2022-05-10
9555.5263247,2022-05-11
9328.676844700003,2022-05-12
9127.176844700003,2022-05-13
9170.076714700002,2022-05-16
9350.126454700001,2022-05-17
9272.353259875003,2022-05-18
9093.672349775003,2022-05-19
9262.694484775004,2022-05-20
9237.034834625003,2022-05-23
9160.535134625003,2022-05-24
9285.448634550003,2022-05-25
9327.616724450003,2022-05-26
9266.914349300003,2022-05-27
9393.631079150002,2022-05-30
9389.493034275003,2022-05-31
9330.790624150004,2022-06-01
9340.743993950004,2022-06-02
9217.893863950003,2022-06-03
9171.743993950004,2022-06-06
9202.293733950002,2022-06-07
8916.293733950002,2022-06-08
9085.943603950001,2022-06-09
9046.943603950001,2022-06-10
9020.293733950002,2022-06-13
9160.043733950002,2022-06-14
9153.673144050003,2022-06-15
8872.968194100004,2022-06-16
8730.911824025005,2022-06-17
8695.161824025005,2022-06-20
