trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-01-21,BHARTIARTL,Buy,5,695.25,8.690625,3476.25,9964.559475000002,0,5
2,2022-01-24,BHARTIARTL,Buy,9,689.90002,15.522750450000002,6209.10018,10256.33616455,5,14
3,2022-01-25,BHARTIARTL,Sell,4,711.84998,7.1184997999999995,2847.39992,10203.21786475,14,10
4,2022-01-27,BHARTIARTL,Buy,1,707.25,1.768125,707.25,10295.49962975,10,11
5,2022-01-28,BHARTIARTL,Sell,11,715.79999,19.684499725000002,7873.79989,10275.815130025001,11,0
6,2022-02-04,BHARTIARTL,Buy,3,720.20001,5.401500075,2160.60003,10229.313599950001,0,3
7,2022-02-07,BHARTIARTL,Buy,11,706.5,19.42875,7771.5,10243.48512995,3,14
8,2022-03-07,BHARTIARTL,Sell,11,675.40002,18.573500550000002,7429.40022,9778.711569400002,14,3
9,2022-03-08,BHARTIARTL,Sell,3,683.0,5.1225000000000005,2049.0,9773.589069400003,3,0
10,2022-03-16,BHARTIARTL,Buy,7,712.0,12.46,4984.0,9837.429209400003,0,7
11,2022-03-17,BHARTIARTL,Buy,6,722.90002,10.8435003,4337.40012,9635.485579100005,7,13
12,2022-03-24,BHARTIARTL,Sell,3,706.34998,5.29762485,2119.04994,9636.137564250002,13,10
13,2022-03-25,BHARTIARTL,Sell,8,709.34998,14.1869996,5674.79984,9669.350584650001,10,2
14,2022-03-28,BHARTIARTL,Sell,2,733.04999,3.6652499499999998,1466.09998,9665.685334700001,2,0
15,2022-04-18,BHARTIARTL,Buy,13,729.5,23.708750000000002,9483.5,9563.976584700002,0,13
16,2022-05-17,BHARTIARTL,Sell,7,707.04999,12.373374825,4949.34993,9272.353259875003,13,6
17,2022-05-18,BHARTIARTL,Buy,2,696.15002,3.4807501000000003,1392.30004,9093.672349775003,6,8
18,2022-05-19,BHARTIARTL,Buy,5,674.25,8.428125,3371.25,9262.694484775004,8,13
19,2022-05-20,BHARTIARTL,Sell,3,687.90002,5.15925015,2063.70006,9237.034834625003,13,10
20,2022-05-24,BHARTIARTL,Buy,3,678.20001,5.086500075,2034.60003,9285.448634550003,10,13
21,2022-05-25,BHARTIARTL,Sell,4,688.20001,6.8820001,2752.80004,9327.616724450003,13,9
22,2022-05-26,BHARTIARTL,Sell,3,693.65002,5.202375150000001,2080.95006,9266.914349300003,9,6
23,2022-05-27,BHARTIARTL,Buy,3,684.40002,5.13300015,2053.20006,9393.631079150002,6,9
24,2022-05-30,BHARTIARTL,Sell,5,699.04999,8.738124875,3495.24995,9389.493034275003,9,4
25,2022-05-31,BHARTIARTL,Buy,5,700.20001,8.752500125000001,3501.00005,9330.790624150004,4,9
26,2022-06-01,BHARTIARTL,Buy,4,694.65002,6.946500200000001,2778.60008,9340.743993950004,9,13
