account_value,date
10000.0,2021-07-23
10001.7999,2021-07-26
9627.2998,2021-07-27
9395.300200000001,2021-07-28
9327.2998,2021-07-29
9696.7999,2021-07-30
9706.7999,2021-08-02
9777.800200000001,2021-08-03
9892.800200000001,2021-08-04
9950.300200000001,2021-08-05
9609.2999,2021-08-06
9682.800200000001,2021-08-09
9622.2998,2021-08-10
9594.7998,2021-08-11
9549.2999,2021-08-12
9440.300200000001,2021-08-13
9378.800000000001,2021-08-16
9542.800200000001,2021-08-17
9584.7998,2021-08-18
9404.7998,2021-08-20
9479.7998,2021-08-23
9672.800200000001,2021-08-24
9622.2998,2021-08-25
9609.2999,2021-08-26
9735.300200000001,2021-08-27
9843.300100000002,2021-08-30
9974.2999,2021-08-31
9950.60490025,2021-09-01
9950.60490025,2021-09-02
9950.60490025,2021-09-03
9950.60490025,2021-09-06
9950.60490025,2021-09-07
9950.60490025,2021-09-08
9950.60490025,2021-09-09
9950.60490025,2021-09-13
9950.60490025,2021-09-14
9950.60490025,2021-09-15
9937.28105,2021-09-16
9913.43105,2021-09-17
9748.414835225,2021-09-20
9926.069585275,2021-09-21
10000.069785275002,2021-09-22
10046.069585275,2021-09-23
10041.569985275,2021-09-24
9992.069885275003,2021-09-27
10075.069785275002,2021-09-28
10241.069585275,2021-09-29
10216.379585775001,2021-09-30
10216.379585775001,2021-10-01
10216.379585775001,2021-10-04
9962.941985775,2021-10-05
9751.942185775002,2021-10-06
9777.941985775,2021-10-07
9788.441885775,2021-10-08
9754.942085775001,2021-10-11
9776.942185775002,2021-10-12
9752.442085775001,2021-10-13
9730.941885775,2021-10-14
9654.942085775001,2021-10-18
9679.442185775002,2021-10-19
9676.442285775001,2021-10-20
9732.941985775,2021-10-21
9580.941885775,2021-10-22
9635.941885775,2021-10-25
9692.442085775001,2021-10-26
9842.442085775001,2021-10-27
9534.942085775001,2021-10-28
9667.941985775,2021-10-29
9709.942085775001,2021-11-01
9651.442285775001,2021-11-02
9743.942285775001,2021-11-03
9724.442185775002,2021-11-04
9754.442185775002,2021-11-08
9758.942285775001,2021-11-09
9741.942185775002,2021-11-10
9666.442285775001,2021-11-11
9776.942185775002,2021-11-12
9998.942285775001,2021-11-15
9975.488535275003,2021-11-16
9975.488535275003,2021-11-17
9822.354885775003,2021-11-18
9854.224465800004,2021-11-22
10021.424025800005,2021-11-23
9832.774355800004,2021-11-24
9904.274355800004,2021-11-25
10638.524355800004,2021-11-26
10611.940105525004,2021-11-29
10611.940105525004,2021-11-30
10611.940105525004,2021-12-01
10611.940105525004,2021-12-02
10485.405620525004,2021-12-03
10297.305840525003,2021-12-06
10234.605730525003,2021-12-07
10330.305840525003,2021-12-08
10292.355730525003,2021-12-09
10285.755950525003,2021-12-10
10257.155620525004,2021-12-13
10304.455510525004,2021-12-14
10305.555840525003,2021-12-15
10143.855730525003,2021-12-16
9915.055840525003,2021-12-17
10284.655620525004,2021-12-20
10207.105730525003,2021-12-21
10239.555840525003,2021-12-22
10460.105730525003,2021-12-23
10444.155620525004,2021-12-24
10443.398130775002,2021-12-27
10441.072505775002,2021-12-28
10441.072505775002,2021-12-29
10441.072505775002,2021-12-30
10441.072505775002,2021-12-31
10441.072505775002,2022-01-03
10441.072505775002,2022-01-04
10462.955520775004,2022-01-05
10390.905630775003,2022-01-06
