trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-07-23,CIPLA,Buy,10,948.0,23.7,9480.0,10001.7999,0,10
2,2021-08-31,CIPLA,Sell,10,947.79999,23.694999749999997,9477.999899999999,9950.60490025,10,0
3,2021-09-15,CIPLA,Buy,10,952.95001,23.823750250000003,9529.500100000001,9937.28105,0,10
4,2021-09-16,CIPLA,Sell,10,954.0,23.85,9540.0,9913.43105,10,0
5,2021-09-17,CIPLA,Buy,9,954.04999,21.466124774999997,8586.44991,9748.414835225,0,9
6,2021-09-20,CIPLA,Buy,1,938.09998,2.34524995,938.09998,9926.069585275,9,10
7,2021-09-29,CIPLA,Sell,10,987.59998,24.6899995,9875.9998,10216.379585775001,10,0
8,2021-10-04,CIPLA,Buy,10,957.5,23.9375,9575.0,9962.941985775,0,10
9,2021-11-15,CIPLA,Sell,10,938.15002,23.4537505,9381.5002,9975.488535275003,10,0
10,2021-11-17,CIPLA,Buy,10,905.34998,22.6337495,9053.4998,9822.354885775003,0,10
11,2021-11-18,CIPLA,Buy,1,892.29999,2.230749975,892.29999,9854.224465800004,10,11
12,2021-11-26,CIPLA,Sell,11,966.70001,26.584250275,10633.70011,10611.940105525004,11,0
13,2021-12-02,CIPLA,Buy,11,921.25,25.334375,10133.75,10485.405620525004,0,11
14,2021-12-24,CIPLA,Sell,10,908.29999,22.707499749999997,9082.999899999999,10443.398130775002,11,1
15,2021-12-27,CIPLA,Sell,1,930.25,2.325625,930.25,10441.072505775002,1,0
16,2022-01-04,CIPLA,Buy,11,924.25,25.416875,10166.75,10462.955520775004,0,11
17,2022-01-27,CIPLA,Sell,9,927.59998,20.870999549999997,8348.399819999999,10440.934451225003,11,2
18,2022-01-28,CIPLA,Sell,2,932.25,4.66125,1864.5,10436.273201225004,2,0
19,2022-02-15,CIPLA,Buy,11,921.84998,25.350874450000003,10140.34978,10534.672326775004,0,11
20,2022-03-08,CIPLA,Sell,11,969.54999,26.662624725,10665.04989,10908.959812050005,11,0
21,2022-03-23,CIPLA,Buy,10,1014.45,25.361250000000002,10144.5,11029.098562050005,0,10
22,2022-05-30,CIPLA,Sell,10,986.79999,24.66999975,9867.999899999999,10582.428462300004,10,0
23,2022-06-01,CIPLA,Buy,8,983.54999,19.6709998,7868.39992,10591.157382500005,0,8
24,2022-06-02,CIPLA,Sell,8,987.09998,19.7419996,7896.79984,10571.415382900004,8,0
25,2022-06-03,CIPLA,Buy,10,960.95001,24.023750250000003,9609.500100000001,10698.391432650002,0,10
26,2022-06-17,CIPLA,Buy,1,914.75,2.286875,914.75,10205.204437650003,10,11
27,2022-07-20,CIPLA,Sell,11,981.5,26.99125,10796.5,10790.363407650004,11,0
28,2022-07-21,CIPLA,Buy,11,968.5,26.63375,10653.5,10803.329437650005,0,11
29,2022-08-01,CIPLA,Sell,11,1004.55,27.625124999999997,11050.05,11132.654532650005,11,0
30,2022-08-17,CIPLA,Buy,10,1025.75,25.64375,10257.5,11171.510782650006,0,10
31,2022-09-08,CIPLA,Sell,10,1056.05,26.40125,10560.5,11383.609532650007,10,0
32,2022-09-15,CIPLA,Buy,10,1033.3,25.8325,10333.0,11459.777032650009,0,10
33,2022-09-16,CIPLA,Sell,1,1043.5,2.60875,1043.5,11392.368282650008,10,9
34,2022-09-19,CIPLA,Buy,1,1036.3,2.59075,1036.3,11949.777532650009,9,10
35,2022-09-20,CIPLA,Sell,10,1092.3,27.3075,10923.0,11922.47003265001,10,0
36,2022-10-11,CIPLA,Buy,10,1110.1,27.7525,11101.0,11878.217532650011,0,10
37,2022-10-25,CIPLA,Sell,10,1155.9,28.8975,11559.0,12323.820032650012,10,0
38,2022-11-04,CIPLA,Buy,10,1146.1,28.6525,11461.0,12143.167532650012,0,10
39,2022-12-22,CIPLA,Sell,10,1122.45,28.06125,11224.5,12030.606282650013,10,0
40,2022-12-26,CIPLA,Buy,10,1096.5,27.4125,10965.0,11996.693782650014,0,10
41,2023-01-25,CIPLA,Buy,1,1035.25,2.5881250000000002,1035.25,11520.105657650014,10,11
42,2023-04-12,CIPLA,Sell,1,917.95001,2.294875025,917.95001,10073.510792625015,11,10
43,2023-04-17,CIPLA,Buy,1,906.45001,2.266125025,906.45001,10174.044657600014,10,11
44,2023-04-18,CIPLA,Sell,11,924.25,25.416875,10166.75,10148.627782600015,11,0
45,2023-04-19,CIPLA,Buy,11,911.90002,25.07725055,10030.90022,10036.650312050017,0,11
46,2023-05-09,CIPLA,Sell,11,939.20001,25.828000275,10331.20011,10398.022421775016,11,0
47,2023-05-15,CIPLA,Buy,11,922.79999,25.376999725,10150.79989,10364.945312050017,0,11
48,2023-05-29,CIPLA,Sell,11,956.25,26.296875,10518.75,10714.298657050016,11,0
49,2023-06-12,CIPLA,Buy,11,959.95001,26.398625275,10559.45011,10924.949921775016,0,11
50,2023-06-15,CIPLA,Sell,11,998.20001,27.450500275,10980.20011,11081.199531500017,11,0
51,2023-06-23,CIPLA,Buy,11,989.40002,27.20850055,10883.40022,11411.490810950017,0,11
52,2023-06-26,CIPLA,Sell,11,1021.9,28.102249999999998,11240.9,11383.388560950018,11,0
53,2023-06-27,CIPLA,Buy,6,1009.25,15.13875,6055.5,11372.149810950017,0,6
54,2023-06-28,CIPLA,Sell,6,1009.9,15.148499999999999,6059.4,11357.001310950018,6,0
55,2023-07-03,CIPLA,Buy,11,1001.8,27.5495,11019.8,11440.00181095002,0,11
56,2023-07-20,CIPLA,Sell,11,1056.55,29.055125,11622.05,11902.64668595002,11,0
57,2023-08-14,CIPLA,Buy,9,1235.6,27.801,11120.4,11946.39568595002,0,9
58,2023-08-16,CIPLA,Sell,9,1243.55,27.979874999999996,11191.949999999999,11918.41581095002,9,0
59,2023-08-17,CIPLA,Buy,9,1241.0,27.9225,11169.0,11849.093310950022,0,9
60,2023-09-06,CIPLA,Sell,9,1256.75,28.276875,11310.75,12003.966435950022,9,0
61,2023-09-07,CIPLA,Buy,9,1249.3,28.10925,11243.699999999999,11933.557185950023,0,9
62,2023-10-18,CIPLA,Sell,9,1210.6,27.2385,10895.4,11600.318685950024,9,0
63,2023-10-25,CIPLA,Buy,9,1157.45,26.042625000000005,10417.050000000001,11514.876060950022,0,9
64,2023-10-26,CIPLA,Buy,1,1150.85,2.877125,1150.85,11745.998935950023,9,10
65,2023-10-31,CIPLA,Sell,10,1200.0,30.0,12000.0,11973.498935950023,10,0
66,2023-11-16,CIPLA,Buy,9,1234.8,27.782999999999998,11113.199999999999,12077.115935950025,0,9
67,2023-11-17,CIPLA,Sell,9,1249.4,28.111500000000003,11244.6,12049.004435950026,9,0
68,2023-11-29,CIPLA,Buy,10,1201.55,30.03875,12015.5,12126.465685950026,0,10
69,2023-12-26,CIPLA,Sell,10,1244.95,31.12375,12449.5,12421.841935950028,10,0
70,2024-01-08,CIPLA,Buy,9,1271.75,28.614375,11445.75,12551.627560950028,0,9
71,2024-01-09,CIPLA,Sell,9,1289.35,29.010375,11604.15,12522.617185950028,9,0
72,2024-01-16,CIPLA,Buy,9,1302.35,29.302875,11721.15,12418.16431095003,0,9
73,2024-01-19,CIPLA,Sell,9,1327.95,29.878875000000004,11951.550000000001,12693.835435950032,9,0
74,2024-01-20,CIPLA,Buy,9,1316.25,29.615625,11846.25,13498.969810950033,0,9
75,2024-01-23,CIPLA,Sell,9,1409.0,31.7025,12681.0,13467.267310950034,9,0
76,2024-01-29,CIPLA,Buy,10,1336.85,33.42125,13368.5,13236.346060950034,0,10
77,2024-02-01,CIPLA,Sell,10,1387.65,34.691250000000004,13876.5,13907.154810950035,10,0
78,2024-02-21,CIPLA,Buy,7,1447.3,25.32775,10131.1,13923.827060950036,0,7
79,2024-02-22,CIPLA,Sell,5,1453.3,18.16625,7266.5,13931.860810950035,7,2
80,2024-02-23,CIPLA,Sell,2,1466.4,7.332000000000001,2932.8,13924.528810950036,2,0
81,2024-03-12,CIPLA,Buy,9,1465.75,32.979375,13191.75,13941.049435950037,0,9
82,2024-03-14,CIPLA,Sell,9,1496.65,33.674625,13469.85,14135.974810950038,9,0
83,2024-03-15,CIPLA,Buy,1,1488.05,3.720125,1488.05,14132.65468595004,0,1
84,2024-03-18,CIPLA,Sell,1,1488.45,3.7211250000000002,1488.45,14128.93356095004,1,0
85,2024-03-19,CIPLA,Buy,9,1435.7,32.303250000000006,12921.300000000001,13931.93031095004,0,9
86,2024-03-28,CIPLA,Sell,9,1496.95,33.681375,13472.550000000001,14614.19893595004,9,0
87,2024-04-02,CIPLA,Buy,9,1489.4,33.5115,13404.6,14419.587435950041,0,9
88,2024-05-15,CIPLA,Sell,2,1406.7,7.0335,2813.4,13930.15393595004,9,7
89,2024-05-16,CIPLA,Sell,4,1421.1,14.210999999999999,5684.4,13849.792935950041,7,3
90,2024-05-17,CIPLA,Buy,6,1399.05,20.98575,8394.3,13873.807185950041,3,9
91,2024-05-21,CIPLA,Sell,9,1442.3,32.45175,12980.699999999999,14185.605435950041,9,0
92,2024-05-31,CIPLA,Buy,9,1447.2,32.562000000000005,13024.800000000001,14199.39343595004,0,9
93,2024-06-05,CIPLA,Sell,9,1496.95,33.681375,13472.550000000001,14567.112060950041,9,0
94,2024-06-06,CIPLA,Buy,9,1477.0,33.2325,13293.0,14716.129560950041,0,9
95,2024-06-07,CIPLA,Sell,6,1497.25,22.458750000000002,8983.5,14804.670810950041,9,3
96,2024-06-10,CIPLA,Sell,3,1534.25,11.506875,4602.75,14793.16393595004,3,0
97,2024-06-24,CIPLA,Buy,9,1504.4,33.849000000000004,13539.6,14717.014935950041,0,9
98,2024-07-26,CIPLA,Sell,9,1575.0,35.4375,14175.0,15359.27743595004,9,0
99,2024-07-30,CIPLA,Buy,8,1528.9,30.578000000000003,12231.2,15451.89943595004,0,8
100,2024-07-31,CIPLA,Sell,8,1544.3,30.886,12354.4,15421.01343595004,8,0
101,2024-08-02,CIPLA,Buy,10,1528.8,38.22,15288.0,15245.293435950041,0,10
102,2024-08-08,CIPLA,Sell,10,1569.95,39.24875,15699.5,15755.044685950043,10,0
103,2024-08-14,CIPLA,Buy,7,1563.8,27.366500000000002,10946.6,15813.778185950041,0,7
104,2024-08-16,CIPLA,Sell,7,1576.1,27.58175,11032.699999999999,15786.196435950042,7,0
