account_value,date
10000.0,2023-05-03
10000.0,2023-05-04
10000.0,2023-05-05
10000.0,2023-05-08
10000.0,2023-05-09
10000.0,2023-05-10
10000.0,2023-05-11
10000.0,2023-05-12
10000.0,2023-05-15
10000.0,2023-05-16
10000.0,2023-05-17
10000.0,2023-05-18
10000.0,2023-05-19
10000.0,2023-05-22
10000.0,2023-05-23
10000.0,2023-05-24
10000.0,2023-05-25
10000.0,2023-05-26
10000.0,2023-05-29
10000.0,2023-05-30
10000.0,2023-05-31
10000.0,2023-06-01
10000.0,2023-06-02
10000.0,2023-06-05
10000.0,2023-06-06
10000.0,2023-06-07
10000.0,2023-06-08
10000.0,2023-06-09
10013.275045425,2023-06-12
9996.240045425002,2023-06-13
9996.240045425002,2023-06-14
9981.190475424999,2023-06-15
9979.040045425001,2023-06-16
9918.839615425,2023-06-19
9923.140045425,2023-06-20
9974.740045425002,2023-06-21
9910.240045425002,2023-06-22
9865.089615425,2023-06-23
9796.290045425001,2023-06-26
9832.839615425,2023-06-27
9923.140045425,2023-06-28
10084.390045425,2023-06-30
10112.339615425,2023-07-03
10118.790045425001,2023-07-04
10101.589615425,2023-07-05
10239.190475424999,2023-07-06
10213.390045425,2023-07-07
10202.640045425,2023-07-10
10213.390045425,2023-07-11
10230.589615425,2023-07-12
10037.089615425,2023-07-13
10086.540045425001,2023-07-14
10053.803295425001,2023-07-17
10037.113795425,2023-07-18
10037.113795425,2023-07-19
10037.113795425,2023-07-20
10037.113795425,2023-07-21
10037.113795425,2023-07-24
10037.113795425,2023-07-25
10037.113795425,2023-07-26
10037.113795425,2023-07-27
10037.113795425,2023-07-28
10037.113795425,2023-07-31
10037.113795425,2023-08-01
10037.113795425,2023-08-02
10037.113795425,2023-08-03
10037.113795425,2023-08-04
10037.113795425,2023-08-07
10037.113795425,2023-08-08
10037.113795425,2023-08-09
10037.113795425,2023-08-10
10037.113795425,2023-08-11
10037.113795425,2023-08-14
10037.113795425,2023-08-16
10037.113795425,2023-08-17
10037.113795425,2023-08-18
10037.113795425,2023-08-21
10037.113795425,2023-08-22
10037.113795425,2023-08-23
10037.113795425,2023-08-24
10037.113795425,2023-08-25
10037.113795425,2023-08-28
10037.113795425,2023-08-29
10037.113795425,2023-08-30
10037.113795425,2023-08-31
10112.412175425,2023-09-01
10408.136455825,2023-09-04
10595.028205825001,2023-09-05
10587.7757504,2023-09-06
10582.6597504,2023-09-07
10582.6597504,2023-09-08
10582.6597504,2023-09-11
10582.6597504,2023-09-12
10582.6597504,2023-09-13
10582.6597504,2023-09-14
10582.6597504,2023-09-15
10582.6597504,2023-09-18
10582.6597504,2023-09-20
10582.6597504,2023-09-21
10582.6597504,2023-09-22
10582.6597504,2023-09-25
10582.6597504,2023-09-26
10582.6597504,2023-09-27
10582.6597504,2023-09-28
10582.6597504,2023-09-29
10582.6597504,2023-10-03
10582.6597504,2023-10-04
10582.6597504,2023-10-05
10582.6597504,2023-10-06
10582.6597504,2023-10-09
10582.6597504,2023-10-10
10582.6597504,2023-10-11
10582.6597504,2023-10-12
10582.6597504,2023-10-13
10582.6597504,2023-10-16
10582.6597504,2023-10-17
10582.6597504,2023-10-18
