trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2023-06-09,COALINDIA,Buy,17,227.64999,9.675124575,3870.04983,10013.275045425,0,17
2,2023-06-12,COALINDIA,Buy,26,229.0,14.885,5954.0,9996.240045425002,17,43
3,2023-07-14,COALINDIA,Sell,14,231.05,8.08675,3234.7000000000003,10053.803295425001,43,29
4,2023-07-17,COALINDIA,Sell,29,230.2,16.6895,6675.799999999999,10037.113795425,29,0
5,2023-08-31,COALINDIA,Buy,12,230.05,6.901500000000001,2760.6000000000004,10112.412175425,0,12
6,2023-09-01,COALINDIA,Buy,16,236.89999,9.4759996,3790.39984,10408.136455825,12,28
7,2023-09-04,COALINDIA,Sell,3,247.8,1.8585000000000003,743.4000000000001,10595.028205825001,28,25
8,2023-09-05,COALINDIA,Sell,17,255.35001,10.852375425,4340.95017,10587.7757504,25,8
9,2023-09-06,COALINDIA,Sell,8,255.8,5.1160000000000005,2046.4,10582.6597504,8,0
10,2024-02-23,COALINDIA,Buy,1,443.89999,1.109749975,443.89999,10579.950000425,0,1
11,2024-02-26,COALINDIA,Buy,3,442.29999,3.317249925,1326.89997,10573.0327505,1,4
12,2024-02-27,COALINDIA,Buy,10,441.39999,11.034999749999999,4413.9999,10461.198030750002,4,14
13,2024-02-28,COALINDIA,Buy,10,434.20001,10.855000250000002,4342.0001,10510.343030500002,14,24
14,2024-03-02,COALINDIA,Sell,3,448.5,3.36375,1345.5,10935.0788305,24,21
15,2024-03-04,COALINDIA,Sell,21,455.39999,23.908499475,9563.39979,10911.170331025001,21,0
16,2024-03-18,COALINDIA,Buy,19,421.85001,20.037875475,8015.15019,10837.932075550001,0,19
17,2024-03-19,COALINDIA,Buy,6,419.04999,6.28574985,2514.29994,10842.8965757,19,25
18,2024-04-01,COALINDIA,Sell,8,442.04999,8.8409998,3536.39992,11417.355665900002,25,17
19,2024-04-02,COALINDIA,Sell,17,443.20001,18.836000425,7534.400170000001,11398.519665475003,17,0
20,2024-06-26,COALINDIA,Buy,16,468.75,18.75,7500.0,11352.569505475003,0,16
21,2024-06-27,COALINDIA,Buy,8,467.04999,9.3409998,3736.39992,11489.628505675006,16,24
22,2024-07-03,COALINDIA,Sell,13,484.95001,15.760875325000002,6304.350130000001,11807.667890350005,24,11
23,2024-07-04,COALINDIA,Sell,11,489.54999,13.462624725000001,5385.04989,11794.205265625005,11,0
24,2024-09-05,COALINDIA,Buy,12,497.0,14.91,5964.0,11677.895145625005,0,12
25,2024-09-06,COALINDIA,Buy,11,488.54999,13.435124725000001,5374.04989,11570.160250900006,12,23
26,2024-09-25,COALINDIA,Sell,7,505.3,8.84275,3537.1,12060.867500900005,23,16
27,2024-09-26,COALINDIA,Sell,16,506.55,20.262,8104.8,12040.605500900007,16,0
28,2024-10-23,COALINDIA,Buy,14,474.1,16.593500000000002,6637.400000000001,12068.112000900006,0,14
29,2024-10-24,COALINDIA,Buy,11,477.25,13.124375,5249.75,11651.237625900007,14,25
30,2024-12-06,COALINDIA,Sell,3,417.15,3.1286249999999995,1251.4499999999998,10480.059000900006,25,22
31,2024-12-09,COALINDIA,Sell,1,414.0,1.035,414.0,10480.074000900007,22,21
32,2024-12-10,COALINDIA,Buy,4,414.05,4.1405,1656.2,10548.433500900006,21,25
33,2025-01-23,COALINDIA,Sell,8,385.8,7.716,3086.4,9715.217500900008,25,17
34,2025-01-24,COALINDIA,Sell,17,383.05,16.279625000000003,6511.85,9698.937875900008,17,0
35,2025-02-11,COALINDIA,Buy,11,359.0,9.8725,3949.0,9703.91537590001,0,11
36,2025-02-12,COALINDIA,Buy,15,360.35,13.513125,5405.25,9724.202250900009,11,26
37,2025-03-03,COALINDIA,Sell,11,360.35,9.909625000000002,3963.8500000000004,9732.99262590001,26,15
38,2025-03-04,COALINDIA,Sell,15,363.85,13.644375,5457.75,9719.34825090001,15,0
