account_value,date
10000.0,2020-12-07
10000.0,2020-12-08
10052.4916,2020-12-09
10045.6516,2020-12-10
9980.5816,2020-12-11
9991.111599999998,2020-12-14
10006.5016,2020-12-15
10020.1816,2020-12-16
10081.2016,2020-12-17
10361.8216,2020-12-18
10338.292225,2020-12-21
10499.449474999998,2020-12-22
10624.049474999998,2020-12-23
10596.081025,2020-12-24
10572.672924999999,2020-12-28
10500.272925,2020-12-29
10510.972925000002,2020-12-30
10579.272925000001,2020-12-31
10651.772925000001,2021-01-01
10713.572925,2021-01-04
10742.872925000001,2021-01-05
10745.672925,2021-01-06
10710.872925000001,2021-01-07
10845.572925,2021-01-08
11002.672924999999,2021-01-11
10876.772925000001,2021-01-12
10749.072925,2021-01-13
10786.872925,2021-01-14
10594.672924999999,2021-01-15
10273.272925,2021-01-18
10346.872925,2021-01-19
10330.372925,2021-01-20
10273.472925000002,2021-01-21
10242.872925,2021-01-22
10333.872925,2021-01-25
9987.672925,2021-01-27
9912.672925,2021-01-28
9374.472925,2021-01-29
9025.372925,2021-02-01
9134.072925,2021-02-02
9468.172925,2021-02-03
9504.972925,2021-02-04
9770.872925,2021-02-05
9888.672925,2021-02-08
9857.272925000001,2021-02-09
9817.172924999999,2021-02-10
9819.172925,2021-02-11
9753.072925,2021-02-12
9588.772925000001,2021-02-15
9562.272925000001,2021-02-16
9370.172925,2021-02-17
9402.972925,2021-02-18
9531.972925,2021-02-19
9107.572925,2021-02-22
9159.372925,2021-02-23
9040.172925,2021-02-24
9129.372925,2021-02-25
9022.172924999999,2021-02-26
9075.872925,2021-03-01
8978.472925000002,2021-03-02
9174.172925,2021-03-03
9319.172925,2021-03-04
9154.072925,2021-03-05
9153.572925,2021-03-08
9065.672925,2021-03-09
9169.872925000001,2021-03-10
9022.072925,2021-03-12
8853.572925,2021-03-15
9068.472925000002,2021-03-16
8880.772925,2021-03-17
8594.572925,2021-03-18
8717.972925,2021-03-19
8876.972925,2021-03-22
8913.572925,2021-03-23
8870.072925,2021-03-24
8930.172925,2021-03-25
8981.072925,2021-03-26
9205.472925,2021-03-30
9201.072925,2021-03-31
9344.372925,2021-04-01
9282.272925000001,2021-04-05
9407.572925,2021-04-06
9554.372925,2021-04-07
9547.172924999999,2021-04-08
9689.672924999999,2021-04-09
10162.972925,2021-04-12
10137.988175,2021-04-13
10205.556274999999,2021-04-15
10191.019625,2021-04-16
10191.019625,2021-04-19
10191.019625,2021-04-20
10191.019625,2021-04-22
10191.019625,2021-04-23
10191.019625,2021-04-26
10191.019625,2021-04-27
10140.133375000001,2021-04-28
10255.833375000002,2021-04-29
10377.433375,2021-04-30
10351.617875000002,2021-05-03
10114.621100000002,2021-05-04
10283.281100000002,2021-05-05
10296.781100000002,2021-05-06
10308.031100000002,2021-05-07
10583.161100000001,2021-05-10
10559.187125000002,2021-05-11
10545.255350000003,2021-05-12
10356.97535,2021-05-14
10453.185350000002,2021-05-17
10390.455350000002,2021-05-18
10430.685350000002,2021-05-19
10427.985350000003,2021-05-20
10392.255350000003,2021-05-21
10492.515350000003,2021-05-24
10562.805350000002,2021-05-25
10516.005350000003,2021-05-26
10486.575350000003,2021-05-27
10352.835350000003,2021-05-28
10559.115350000002,2021-05-31
10572.345350000001,2021-06-01
10564.875350000002,2021-06-02
10511.235350000003,2021-06-03
10461.645350000003,2021-06-04
10397.205350000002,2021-06-07
10497.195350000004,2021-06-08
10403.685350000002,2021-06-09
10528.335350000003,2021-06-10
10818.045350000002,2021-06-11
10793.506850000003,2021-06-14
10793.506850000003,2021-06-15
10760.608025000003,2021-06-16
10545.328025000003,2021-06-17
10540.648025000004,2021-06-18
10537.228025000004,2021-06-21
10584.658025000004,2021-06-22
10568.458025000002,2021-06-23
10529.398025000004,2021-06-24
10586.368025000003,2021-06-25
10757.278025000003,2021-06-28
10809.208025000002,2021-06-29
10791.118025000003,2021-06-30
11034.928025000005,2021-07-01
11065.888025000004,2021-07-02
11012.164475000003,2021-07-05
11006.647625000005,2021-07-06
11047.417625000006,2021-07-07
10875.787625000004,2021-07-08
10864.177625000004,2021-07-09
10925.377625000005,2021-07-12
10822.417625000006,2021-07-13
10739.167625000006,2021-07-14
10744.207625000003,2021-07-15
10767.427625000004,2021-07-16
10790.467625000001,2021-07-19
10654.927625000004,2021-07-20
10727.737625000005,2021-07-22
10795.507625000006,2021-07-23
10775.887625000003,2021-07-26
9753.667625000002,2021-07-27
9528.045950000003,2021-07-28
9409.845950000003,2021-07-29
9486.945950000003,2021-07-30
9467.645950000002,2021-08-02
9507.945950000003,2021-08-03
9602.145950000004,2021-08-04
9629.145950000004,2021-08-05
9637.145950000004,2021-08-06
9701.545950000003,2021-08-09
9604.045950000003,2021-08-10
9554.245950000004,2021-08-11
9497.345950000003,2021-08-12
9368.945950000005,2021-08-13
9386.845950000003,2021-08-16
9465.545950000003,2021-08-17
9438.645950000004,2021-08-18
