trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2020-12-08,DRREDDY,Buy,9,1003.04,22.5684,9027.36,10052.4916,0,9
2,2020-12-18,DRREDDY,Sell,9,1045.75,23.529375,9411.75,10338.292225,9,0
3,2020-12-21,DRREDDY,Buy,10,1013.71,25.342750000000002,10137.1,10499.449474999998,0,10
4,2020-12-23,DRREDDY,Sell,9,1044.82,23.50845,9403.38,10596.081025,10,1
5,2020-12-24,DRREDDY,Buy,9,1040.36,23.4081,9363.24,10572.672924999999,1,10
6,2021-04-12,DRREDDY,Sell,10,999.39,24.98475,9993.9,10137.988175,10,0
7,2021-04-13,DRREDDY,Buy,6,955.46,14.331900000000001,5732.76,10205.556274999999,0,6
8,2021-04-15,DRREDDY,Sell,6,969.11,14.53665,5814.66,10191.019625,6,0
9,2021-04-27,DRREDDY,Buy,10,1011.45,25.28625,10114.5,10140.133375000001,0,10
10,2021-04-30,DRREDDY,Sell,10,1032.62,25.815499999999997,10326.199999999999,10351.617875000002,10,0
11,2021-05-03,DRREDDY,Buy,9,1037.19,23.336775000000003,9334.710000000001,10114.621100000002,0,9
12,2021-05-10,DRREDDY,Sell,9,1065.51,23.973975,9589.59,10559.187125000002,9,0
13,2021-05-11,DRREDDY,Buy,9,1059.19,23.831775000000004,9532.710000000001,10545.255350000003,0,9
14,2021-06-11,DRREDDY,Sell,9,1090.6,24.5385,9815.4,10793.506850000003,9,0
15,2021-06-15,DRREDDY,Buy,9,1082.17,24.348825,9739.53,10760.608025000003,0,9
16,2021-07-02,DRREDDY,Sell,3,1115.14,8.36355,3345.42,11012.164475000003,9,6
17,2021-07-05,DRREDDY,Buy,3,1107.58,8.306849999999999,3322.74,11006.647625000005,6,9
18,2021-07-27,DRREDDY,Buy,1,968.67,2.421675,968.67,9528.045950000003,9,10
19,2021-10-01,DRREDDY,Sell,10,991.17,24.779249999999998,9911.699999999999,9951.466700000003,10,0
20,2021-10-06,DRREDDY,Buy,10,991.32,24.783,9913.2,9795.683700000003,0,10
21,2021-12-29,DRREDDY,Sell,10,966.63,24.16575,9666.3,9655.617950000002,10,0
22,2022-01-03,DRREDDY,Buy,9,970.63,21.839175,8735.67,9601.918775000002,0,9
23,2022-01-24,DRREDDY,Buy,1,872.87,2.182175,872.87,8828.756600000002,9,10
24,2022-03-24,DRREDDY,Sell,10,865.7,21.642500000000002,8657.0,8658.414100000002,10,0
25,2022-03-28,DRREDDY,Buy,10,857.09,21.42725,8570.9,8713.186850000004,0,10
26,2022-05-20,DRREDDY,Sell,10,849.82,21.245500000000003,8498.2,8543.041350000005,10,0
27,2022-05-26,DRREDDY,Buy,9,860.83,19.368675,7747.47,8679.102675000006,0,9
28,2022-05-27,DRREDDY,Sell,9,878.1,19.757250000000003,7902.900000000001,8659.345425000007,9,0
29,2022-05-30,DRREDDY,Buy,9,874.06,19.666349999999998,7866.539999999999,8638.509075000009,0,9
30,2022-06-28,DRREDDY,Sell,9,874.92,19.6857,7874.28,8627.733375000007,9,0
31,2022-06-29,DRREDDY,Buy,9,872.87,19.639575,7855.83,8661.103800000008,0,9
