account_value,date
10000.0,2021-07-26
10005.226300000002,2021-07-27
9942.3757,2021-07-28
9875.6257,2021-07-29
9881.926000000001,2021-07-30
10098.976300000002,2021-08-02
10239.076000000001,2021-08-03
10216.576000000001,2021-08-04
10487.6257,2021-08-05
10533.226300000002,2021-08-06
10478.176000000001,2021-08-09
10494.226300000002,2021-08-10
10473.718674250002,2021-08-11
10473.718674250002,2021-08-12
10244.844549250003,2021-08-13
10034.677949250003,2021-08-16
10113.877149250002,2021-08-17
10409.877149250002,2021-08-18
10457.877149250002,2021-08-20
10227.277549250002,2021-08-23
10242.877149250002,2021-08-24
10369.277549250002,2021-08-25
10366.277549250002,2021-08-26
10355.677949250003,2021-08-27
10267.077549250002,2021-08-30
10768.277549250002,2021-08-31
10863.877149250002,2021-09-01
10984.077549250002,2021-09-02
11261.677949250003,2021-09-03
11233.651948250003,2021-09-06
11233.651948250003,2021-09-07
11233.651948250003,2021-09-08
11233.651948250003,2021-09-09
11233.651948250003,2021-09-13
11233.651948250003,2021-09-14
11233.651948250003,2021-09-15
11233.651948250003,2021-09-16
11233.651948250003,2021-09-17
11233.651948250003,2021-09-20
11233.651948250003,2021-09-21
11233.651948250003,2021-09-22
11233.651948250003,2021-09-23
11233.651948250003,2021-09-24
11233.651948250003,2021-09-27
11233.651948250003,2021-09-28
11233.651948250003,2021-09-29
11053.177573250001,2021-09-30
10999.927573250001,2021-10-01
10920.277273250002,2021-10-04
10962.877873250003,2021-10-05
10869.427573250003,2021-10-06
11145.427573250001,2021-10-07
11136.427573250001,2021-10-08
11237.827573250002,2021-10-11
11411.377873250003,2021-10-12
11399.827573250002,2021-10-13
11242.177573250001,2021-10-14
11161.627873250003,2021-10-18
10793.677573250003,2021-10-19
10636.177573250003,2021-10-20
10678.149973250003,2021-10-21
10474.949573250004,2021-10-22
10271.749573250003,2021-10-25
10385.749573250003,2021-10-26
10360.349173250002,2021-10-27
10134.749573250003,2021-10-28
9963.949573250004,2021-10-29
10264.749573250003,2021-11-01
10194.549573250002,2021-11-02
10112.149973250003,2021-11-03
10671.149973250003,2021-11-04
10869.749573250003,2021-11-08
10921.749573250003,2021-11-09
11011.749573250003,2021-11-10
10842.149973250003,2021-11-11
10916.749573250003,2021-11-12
10762.149973250003,2021-11-15
10865.949573250004,2021-11-16
10721.549573250002,2021-11-17
10437.949573250004,2021-11-18
10216.949573250004,2021-11-22
10421.549573250002,2021-11-23
10172.549573250002,2021-11-24
10106.349173250002,2021-11-25
9760.349173250002,2021-11-26
9678.349173250002,2021-11-29
9506.549573250002,2021-11-30
9777.949573250004,2021-12-01
9830.949573250004,2021-12-02
9846.949573250004,2021-12-03
9801.149973250003,2021-12-06
9911.949573250004,2021-12-07
10046.949573250004,2021-12-08
10196.549573250002,2021-12-09
10135.349173250002,2021-12-10
10011.549573250002,2021-12-13
9974.549573250002,2021-12-14
9998.149973250003,2021-12-15
9909.349173250002,2021-12-16
9860.749573250003,2021-12-17
9650.549573250002,2021-12-20
9691.349173250002,2021-12-21
9972.149973250003,2021-12-22
9945.749573250003,2021-12-23
9776.349173250002,2021-12-24
9780.549573250002,2021-12-27
9946.349173250002,2021-12-28
10273.749573250003,2021-12-29
10252.749573250003,2021-12-30
10392.349173250002,2021-12-31
10899.949573250004,2022-01-03
10844.749573250003,2022-01-04
10817.699573250004,2022-01-05
10817.699573250004,2022-01-06
10817.699573250004,2022-01-07
10817.699573250004,2022-01-10
10817.699573250004,2022-01-11
10817.699573250004,2022-01-12
10817.699573250004,2022-01-13
10817.699573250004,2022-01-14
10817.699573250004,2022-01-17
10817.699573250004,2022-01-18
10817.699573250004,2022-01-19
10842.609323250006,2022-01-20
10774.509623250005,2022-01-21
10610.409023250004,2022-01-24
10717.209323250005,2022-01-25
10572.759623250005,2022-01-27
10474.059323250003,2022-01-28
10605.731948250006,2022-01-31
10512.531948250005,2022-02-01
10702.731948250006,2022-02-02
10707.132348250005,2022-02-03
10549.331548250004,2022-02-04
10429.132348250005,2022-02-07
10380.331548250004,2022-02-08
10526.331548250004,2022-02-09
10585.132348250005,2022-02-10
10416.331548250004,2022-02-11
10306.931948250007,2022-02-14
10919.731948250006,2022-02-15
10849.531948250005,2022-02-16
10914.731948250006,2022-02-17
10820.731948250006,2022-02-18
10819.731948250006,2022-02-21
10925.731948250006,2022-02-22
10850.331548250004,2022-02-23
10492.331548250004,2022-02-24
10537.331548250004,2022-02-25
10382.931948250007,2022-02-28
10056.132348250005,2022-03-02
9661.731948250006,2022-03-03
9380.731948250006,2022-03-04
9062.331548250004,2022-03-07
9047.931948250007,2022-03-08
9195.931948250007,2022-03-09
9235.731948250006,2022-03-10
9186.731948250006,2022-03-11
9277.931948250007,2022-03-14
9244.731948250006,2022-03-15
9455.331548250004,2022-03-16
9771.531948250005,2022-03-17
9538.731948250006,2022-03-21
9545.331548250004,2022-03-22
9600.132348250005,2022-03-23
9502.331548250004,2022-03-24
9371.132348250005,2022-03-25
9543.731948250006,2022-03-28
9945.731948250006,2022-03-29
9969.931948250007,2022-03-30
9852.331548250004,2022-03-31
9948.531948250005,2022-04-01
10059.531948250005,2022-04-04
10197.531948250005,2022-04-05
10172.097448250006,2022-04-06
10172.097448250006,2022-04-07
10172.097448250006,2022-04-08
10172.097448250006,2022-04-11
10172.097448250006,2022-04-12
10172.097448250006,2022-04-13
10172.097448250006,2022-04-18
10172.097448250006,2022-04-19
10475.348547250007,2022-04-20
10934.148547250006,2022-04-21
10907.633547250007,2022-04-22
10907.633547250007,2022-04-25
10907.633547250007,2022-04-26
10907.633547250007,2022-04-27
10907.633547250007,2022-04-28
10907.633547250007,2022-04-29
10907.633547250007,2022-05-02
10907.633547250007,2022-05-04
10684.201547250008,2022-05-05
10399.801547250006,2022-05-06
10327.201547250008,2022-05-09
10612.201547250008,2022-05-10
10506.601147250007,2022-05-11
10488.601147250007,2022-05-12
10680.601147250007,2022-05-13
11421.801547250006,2022-05-16
11776.801547250006,2022-05-17
11734.001547250007,2022-05-18
11552.001547250007,2022-05-19
11781.201547250008,2022-05-20
11915.201547250008,2022-05-23
11887.78854725001,2022-05-24
11887.78854725001,2022-05-25
11887.78854725001,2022-05-26
11887.78854725001,2022-05-27
11887.78854725001,2022-05-30
11887.78854725001,2022-05-31
11887.78854725001,2022-06-01
11887.78854725001,2022-06-02
11887.78854725001,2022-06-03
11887.78854725001,2022-06-06
11840.456746250009,2022-06-07
11845.456746250009,2022-06-08
12112.85714625001,2022-06-09
12100.25754625001,2022-06-10
12052.05714625001,2022-06-13
12139.85714625001,2022-06-14
12129.25754625001,2022-06-15
11858.85714625001,2022-06-16
11668.05714625001,2022-06-17
11741.85714625001,2022-06-20
12060.05714625001,2022-06-21
11899.85714625001,2022-06-22
12525.05714625001,2022-06-23
12760.456746250009,2022-06-24
12642.05714625001,2022-06-27
12704.05714625001,2022-06-28
12675.419146250011,2022-06-29
12675.419146250011,2022-06-30
12675.419146250011,2022-07-01
12675.419146250011,2022-07-04
12675.419146250011,2022-07-05
12675.419146250011,2022-07-06
12675.419146250011,2022-07-07
12675.419146250011,2022-07-08
12675.419146250011,2022-07-11
12675.419146250011,2022-07-12
12675.419146250011,2022-07-13
12675.419146250011,2022-07-14
12675.419146250011,2022-07-15
12675.419146250011,2022-07-18
12675.419146250011,2022-07-19
12675.419146250011,2022-07-20
12675.419146250011,2022-07-21
12675.419146250011,2022-07-22
12675.419146250011,2022-07-25
12675.419146250011,2022-07-26
12675.419146250011,2022-07-27
12675.419146250011,2022-07-28
12675.419146250011,2022-07-29
12675.419146250011,2022-08-01
12675.419146250011,2022-08-02
12675.419146250011,2022-08-03
12675.419146250011,2022-08-04
12675.419146250011,2022-08-05
12675.419146250011,2022-08-08
12675.419146250011,2022-08-10
12675.419146250011,2022-08-11
12675.419146250011,2022-08-12
12675.419146250011,2022-08-16
12675.419146250011,2022-08-17
12675.419146250011,2022-08-18
12675.419146250011,2022-08-19
12675.419146250011,2022-08-22
12675.419146250011,2022-08-23
12675.419146250011,2022-08-24
12675.419146250011,2022-08-25
12675.419146250011,2022-08-26
12675.419146250011,2022-08-29
12675.419146250011,2022-08-30
12675.419146250011,2022-09-01
12675.419146250011,2022-09-02
12675.419146250011,2022-09-05
12675.419146250011,2022-09-06
12675.419146250011,2022-09-07
12776.342072000012,2022-09-08
12750.648947000012,2022-09-09
12750.648947000012,2022-09-12
12750.648947000012,2022-09-13
12750.648947000012,2022-09-14
12750.648947000012,2022-09-15
12750.648947000012,2022-09-16
12750.648947000012,2022-09-19
12750.648947000012,2022-09-20
12750.648947000012,2022-09-21
12750.648947000012,2022-09-22
12750.648947000012,2022-09-23
12750.648947000012,2022-09-26
12750.648947000012,2022-09-27
12750.648947000012,2022-09-28
12750.648947000012,2022-09-29
12750.648947000012,2022-09-30
12750.648947000012,2022-10-03
12999.623521250012,2022-10-04
12972.961021250014,2022-10-06
12848.075595500015,2022-10-07
12947.225895500014,2022-10-10
12576.425595500014,2022-10-11
12727.025595500012,2022-10-12
12766.025595500012,2022-10-13
12784.025595500012,2022-10-14
12896.525595500012,2022-10-17
13189.925595500014,2022-10-18
13189.325595500015,2022-10-19
13305.875295500013,2022-10-20
