account_value,date
10000.0,2024-12-05
10000.0,2024-12-06
10000.0,2024-12-09
10000.0,2024-12-10
10000.0,2024-12-11
10000.0,2024-12-12
10092.32125,2024-12-13
10067.099375000002,2024-12-16
10067.099375000002,2024-12-17
10067.099375000002,2024-12-18
10067.099375000002,2024-12-19
9824.976875000004,2024-12-20
9547.876875000002,2024-12-23
9578.476875000004,2024-12-24
9522.376875000002,2024-12-26
9456.076875000002,2024-12-27
9824.976875000004,2024-12-30
9687.276875000003,2024-12-31
9634.576875000002,2025-01-01
9909.976875000004,2025-01-02
9510.476875000004,2025-01-03
9238.476875000004,2025-01-06
8816.876875000002,2025-01-07
8735.276875000003,2025-01-08
8575.476875000002,2025-01-09
8493.876875000002,2025-01-10
7956.676875000003,2025-01-13
8175.976875000002,2025-01-14
8526.176875000003,2025-01-15
8458.176875000003,2025-01-16
8692.776875000003,2025-01-17
8385.076875000002,2025-01-20
7528.276875000003,2025-01-21
7592.876875000002,2025-01-22
7779.876875000002,2025-01-23
7563.976875000002,2025-01-24
7244.376875000002,2025-01-27
7312.376875000002,2025-01-28
7798.5768750000025,2025-01-29
7672.776875000003,2025-01-30
7725.476875000002,2025-01-31
8268.456875000003,2025-02-01
8332.376875000002,2025-02-03
8312.129875000002,2025-02-04
8227.996525000002,2025-02-05
8147.457325000003,2025-02-06
8317.207325000003,2025-02-07
8084.457325000003,2025-02-10
7671.457325000003,2025-02-11
7645.207325000003,2025-02-12
7756.157325000002,2025-02-13
7690.357325000003,2025-02-14
7779.257325000002,2025-02-17
7946.557325000003,2025-02-18
8324.207325000003,2025-02-19
8318.257325000002,2025-02-20
8193.307325000003,2025-02-21
7924.857325000003,2025-02-24
8027.757325000002,2025-02-25
8147.107325000003,2025-02-27
7904.207325000003,2025-02-28
7905.607325000003,2025-03-03
8097.057325000003,2025-03-04
8076.407325000004,2025-03-05
8052.453275000003,2025-03-06
8042.162550000003,2025-03-07
7823.389925000003,2025-03-10
7707.829925000003,2025-03-11
7613.869925000004,2025-03-12
7468.789925000004,2025-03-13
7550.149925000003,2025-03-17
8072.149925000003,2025-03-18
8264.389925000003,2025-03-19
8298.229925000003,2025-03-20
8408.029925000003,2025-03-21
8387.553125000004,2025-03-24
7886.3141250000035,2025-03-25
7645.074125000003,2025-03-26
7755.704125000003,2025-03-27
7586.244125000003,2025-03-28
7597.714125000003,2025-04-01
7968.454125000003,2025-04-02
7926.644125000003,2025-04-03
7912.954125000003,2025-04-04
7879.654125000003,2025-04-07
8085.374125000003,2025-04-08
7944.774125000003,2025-04-09
8159.744125000003,2025-04-11
8345.854125000003,2025-04-15
8340.304125000004,2025-04-16
8692.544125000002,2025-04-17
8671.121125000003,2025-04-21
8671.121125000003,2025-04-22
8671.121125000003,2025-04-23
8671.121125000003,2025-04-24
8671.121125000003,2025-04-25
8671.121125000003,2025-04-28
8671.121125000003,2025-04-29
8671.121125000003,2025-04-30
8671.121125000003,2025-05-02
8671.121125000003,2025-05-05
8671.121125000003,2025-05-06
8671.121125000003,2025-05-07
8671.121125000003,2025-05-08
8551.073700000004,2025-05-09
9008.393700000004,2025-05-12
8717.943700000005,2025-05-13
8910.713700000004,2025-05-14
8888.804150000004,2025-05-15
8888.804150000004,2025-05-16
8888.804150000004,2025-05-19
8888.804150000004,2025-05-20
8931.337550000006,2025-05-21
8909.490400000006,2025-05-22
9211.873500000005,2025-05-23
9189.306250000005,2025-05-26
9086.226250000005,2025-05-27
9061.826250000006,2025-05-28
9229.426250000004,2025-05-29
9627.026250000004,2025-05-30
9742.626250000005,2025-06-02
9602.626250000005,2025-06-03
9921.826250000006,2025-06-04
10357.026250000004,2025-06-05
10569.026250000006,2025-06-06
10542.840250000007,2025-06-09
10542.840250000007,2025-06-10
10542.840250000007,2025-06-11
10542.840250000007,2025-06-12
10415.375350000008,2025-06-13
10541.245350000007,2025-06-16
10515.399975000008,2025-06-17
10538.158725000007,2025-06-18
10580.578725000007,2025-06-19
10744.798725000008,2025-06-20
10718.199075000008,2025-06-23
10718.199075000008,2025-06-24
10718.199075000008,2025-06-25
10718.199075000008,2025-06-26
10718.199075000008,2025-06-27
10718.199075000008,2025-06-30
