trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2024-12-12,ETERNAL,Buy,35,284.9,24.92875,9971.5,10092.32125,0,35
2,2024-12-13,ETERNAL,Sell,35,288.25,25.221875,10088.75,10067.099375000002,35,0
3,2024-12-19,ETERNAL,Buy,34,288.5,24.5225,9809.0,9824.976875000004,0,34
4,2025-02-03,ETERNAL,Sell,34,238.2,20.247,8098.799999999999,8312.129875000002,34,0
5,2025-02-04,ETERNAL,Buy,21,234.54,12.31335,4925.34,8227.996525000002,0,21
6,2025-02-05,ETERNAL,Buy,14,231.12,8.089200000000002,3235.6800000000003,8147.457325000003,21,35
7,2025-03-05,ETERNAL,Sell,31,227.02,17.59405,7037.62,8052.453275000003,35,4
8,2025-03-06,ETERNAL,Sell,3,225.43,1.690725,676.29,8042.162550000003,4,1
9,2025-03-07,ETERNAL,Buy,35,216.83,18.972625,7589.05,7823.389925000003,1,36
10,2025-03-21,ETERNAL,Sell,36,227.52,20.4768,8190.72,8387.553125000004,36,0
11,2025-03-24,ETERNAL,Buy,37,222.8,20.609,8243.6,7886.3141250000035,0,37
12,2025-04-17,ETERNAL,Sell,37,231.6,21.423,8569.199999999999,8671.121125000003,37,0
13,2025-05-08,ETERNAL,Buy,37,229.81,21.257424999999998,8502.97,8551.073700000004,0,37
14,2025-05-14,ETERNAL,Sell,37,236.86,21.90955,8763.82,8888.804150000004,37,0
15,2025-05-20,ETERNAL,Buy,38,228.28,21.6866,8674.64,8931.337550000006,0,38
16,2025-05-21,ETERNAL,Sell,38,229.97,21.847150000000003,8738.86,8909.490400000006,38,0
17,2025-05-22,ETERNAL,Buy,38,229.02,21.7569,8702.76,9211.873500000005,0,38
18,2025-05-23,ETERNAL,Sell,38,237.55,22.567249999999998,9026.9,9189.306250000005,38,0
19,2025-05-26,ETERNAL,Buy,40,226.8,22.68,9072.0,9086.226250000005,0,40
20,2025-06-06,ETERNAL,Sell,40,261.86,26.186000000000003,10474.400000000001,10542.840250000007,40,0
21,2025-06-12,ETERNAL,Buy,41,251.56,25.784900000000004,10313.960000000001,10415.375350000008,0,41
22,2025-06-16,ETERNAL,Sell,41,252.15,25.845375,10338.15,10515.399975000008,41,0
23,2025-06-17,ETERNAL,Buy,42,247.25,25.96125,10384.5,10538.158725000007,0,42
24,2025-06-20,ETERNAL,Sell,42,253.33,26.59965,10639.86,10718.199075000008,42,0
