account_value,date
10000.0,2021-07-23
9981.332118400001,2021-07-26
9792.7857184,2021-07-27
9881.5310104,2021-07-28
9947.5670704,2021-07-29
9987.9058444,2021-07-30
10228.7432344,2021-08-02
10233.225324400002,2021-08-03
10008.8222404,2021-08-04
9904.5390544,2021-08-05
9866.291922400002,2021-08-06
9753.6421744,2021-08-09
9731.050222435,2021-08-10
9731.050222435,2021-08-11
9731.050222435,2021-08-12
9732.781800665001,2021-08-13
9691.7191743575,2021-08-16
9628.84323454,2021-08-17
9749.56073854,2021-08-18
9650.65604854,2021-08-20
9387.70703254,2021-08-23
9504.24125854,2021-08-24
9429.838636539998,2021-08-25
9378.14525254,2021-08-26
9493.18544854,2021-08-27
9569.97851254,2021-08-30
9744.77984854,2021-08-31
9658.723804539999,2021-09-01
9636.522541029999,2021-09-02
9636.522541029999,2021-09-03
9636.522541029999,2021-09-06
9636.522541029999,2021-09-07
9727.976379342499,2021-09-08
9850.74393945,2021-09-09
9901.24210545,2021-09-13
9933.81192345,2021-09-14
9903.93135345,2021-09-15
9734.508525449999,2021-09-16
9676.83902145,2021-09-17
9478.43203545,2021-09-20
9607.21729545,2021-09-21
9711.79928745,2021-09-22
9904.23015945,2021-09-23
10041.08316945,2021-09-24
10154.928141449998,2021-09-27
10154.62933545,2021-09-28
10281.02414745,2021-09-29
10278.33489945,2021-09-30
10324.35097545,2021-10-01
10109.21087145,2021-10-04
10024.64885745,2021-10-05
9857.31766545,2021-10-06
9815.484867449999,2021-10-07
9856.12244145,2021-10-08
10172.55767745,2021-10-11
10088.29446945,2021-10-12
10323.75336345,2021-10-13
10774.65116745,2021-10-14
10783.31652945,2021-10-18
10567.877619449999,2021-10-19
10416.084321449998,2021-10-20
10734.611199449999,2021-10-21
10543.37555145,2021-10-22
10524.55079145,2021-10-25
10696.36407345,2021-10-26
10630.62681945,2021-10-27
10475.24785545,2021-10-28
10587.00118545,2021-10-29
10992.77932545,2021-11-01
10724.153001449999,2021-11-02
10972.16172945,2021-11-03
11008.31721945,2021-11-04
11351.04735945,2021-11-08
11440.091457449998,2021-11-09
11503.438269449998,2021-11-10
11323.557237449999,2021-11-11
11407.82044545,2021-11-12
11392.28254545,2021-11-15
11196.86361945,2021-11-16
11014.592139449998,2021-11-17
10906.12566945,2021-11-18
10928.834907449998,2021-11-22
10959.014283449998,2021-11-23
10741.48373145,2021-11-24
10859.81078745,2021-11-25
10401.741651449998,2021-11-26
10364.98854945,2021-11-29
10236.50210145,2021-11-30
10338.99245145,2021-12-01
10603.435497449998,2021-12-02
10484.21202345,2021-12-03
10381.28441571,2021-12-06
10471.81880694,2021-12-07
10646.891311815001,2021-12-08
10621.250047680001,2021-12-09
10621.250047680001,2021-12-10
10621.250047680001,2021-12-13
10621.250047680001,2021-12-14
10621.250047680001,2021-12-15
10621.250047680001,2021-12-16
10621.250047680001,2021-12-17
10621.250047680001,2021-12-20
10621.250047680001,2021-12-21
10619.3166494475,2021-12-22
10724.414084285003,2021-12-23
10433.377334285,2021-12-24
10383.476780285,2021-12-27
10499.413394285002,2021-12-28
10396.026620285,2021-12-29
10330.289366285,2021-12-30
10501.206230285003,2021-12-31
10736.366312285001,2022-01-03
10918.040180285,2022-01-04
11247.025256285,2022-01-05
11088.658232285,2022-01-06
11549.416622285,2022-01-07
11795.632520285002,2022-01-10
11843.740238285001,2022-01-11
12005.692928285,2022-01-12
11903.202572285001,2022-01-13
11905.891826285002,2022-01-14
12272.825222285002,2022-01-17
11875.712450285002,2022-01-18
11602.305236285003,2022-01-19
11748.720026285002,2022-01-20
11516.249192285002,2022-01-21
10910.271230285001,2022-01-24
11093.140322285002,2022-01-25
10888.458416285,2022-01-27
10947.920750285,2022-01-28
11130.192230285,2022-01-31
11392.244828285002,2022-02-01
11432.583596285,2022-02-02
11202.059727825,2022-02-03
11180.4872013125,2022-02-04
11180.4872013125,2022-02-07
11180.4872013125,2022-02-08
11180.4872013125,2022-02-09
11180.4872013125,2022-02-10
11180.4872013125,2022-02-11
11180.4872013125,2022-02-14
11180.4872013125,2022-02-15
11180.4872013125,2022-02-16
11180.4872013125,2022-02-17
11180.4872013125,2022-02-18
11180.4872013125,2022-02-21
11180.4872013125,2022-02-22
11180.4872013125,2022-02-23
11180.4872013125,2022-02-24
11180.4872013125,2022-02-25
11366.854935505,2022-02-28
11018.248285505002,2022-03-02
10705.199507505002,2022-03-03
10523.924049505002,2022-03-04
10307.439319505002,2022-03-07
10388.664673505002,2022-03-08
10633.735149505,2022-03-09
11062.869932505002,2022-03-10
11142.003644505001,2022-03-11
11220.440135505001,2022-03-14
11128.059378505002,2022-03-15
11318.477044900003,2022-03-16
11420.648423515,2022-03-17
11069.252924515,2022-03-21
11160.239260515002,2022-03-22
11157.450404515,2022-03-23
11278.068307515001,2022-03-24
11219.850994515002,2022-03-25
11358.596440515,2022-03-28
11447.491134515001,2022-03-29
