trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-07-23,GRASIM,Buy,6,1543.33144,23.1499716,9259.98864,9981.332118400001,0,6
2,2021-08-09,GRASIM,Sell,6,1506.130131,22.591951965,9036.780786,9731.050222435,6,0
3,2021-08-12,GRASIM,Buy,2,1486.359154,7.43179577,2972.718308,9732.781800665001,0,2
4,2021-08-13,GRASIM,Buy,3,1490.940841,11.182056307500002,4472.822523000001,9691.7191743575,2,5
5,2021-08-16,GRASIM,Buy,1,1484.964727,3.7124118175,1484.964727,9628.84323454,5,6
6,2021-09-01,GRASIM,Sell,6,1480.084234,22.20126351,8880.505404,9636.522541029999,6,0
7,2021-09-07,GRASIM,Buy,5,1548.261735,19.3532716875,7741.308675,9727.976379342499,0,5
8,2021-09-08,GRASIM,Buy,1,1570.423157,3.9260578925,1570.423157,9850.74393945,5,6
9,2021-12-03,GRASIM,Sell,4,1697.116774,16.971167740000002,6788.467096,10381.28441571,6,2
10,2021-12-06,GRASIM,Buy,2,1654.138554,8.27069277,3308.277108,10471.81880694,2,4
11,2021-12-07,GRASIM,Buy,2,1678.839825,8.394199125,3357.67965,10646.891311815001,4,6
12,2021-12-08,GRASIM,Sell,6,1709.417609,25.641264135,10256.505654,10621.250047680001,6,0
13,2021-12-21,GRASIM,Buy,1,1629.935293,4.0748382325,1629.935293,10619.3166494475,0,1
14,2021-12-22,GRASIM,Buy,5,1632.076733,20.4009591625,8160.383665,10724.414084285003,1,6
15,2022-02-02,GRASIM,Sell,1,1771.021384,4.4275534599999995,1771.021384,11202.059727825,6,5
16,2022-02-03,GRASIM,Sell,5,1725.802121,21.572526512499998,8629.010605,11180.4872013125,5,0
17,2022-02-25,GRASIM,Buy,7,1561.608389,27.328146807499998,10931.258722999999,11366.854935505,0,7
18,2022-03-15,GRASIM,Sell,2,1558.022721,7.790113605,3116.045442,11318.477044900003,7,5
19,2022-03-16,GRASIM,Buy,2,1597.664277,7.988321385000001,3195.328554,11420.648423515,5,7
20,2022-05-04,GRASIM,Sell,2,1615.791823,8.078959115,3231.583646,11352.858126400002,7,5
21,2022-05-05,GRASIM,Buy,2,1600.502931,8.002514655,3201.005862,11056.906516745003,5,7
22,2022-06-22,GRASIM,Sell,4,1319.625573,13.19625573,5278.502292,9339.073546015003,7,3
23,2022-06-23,GRASIM,Sell,3,1310.810805,9.8310810375,3932.432415,9329.242464977504,3,0
24,2022-07-04,GRASIM,Buy,1,1345.422465,3.3635561625,1345.422465,9324.833088815003,0,1
25,2022-07-05,GRASIM,Buy,5,1344.376645,16.8047080625,6721.8832250000005,9426.953048752504,1,6
26,2022-10-06,GRASIM,Sell,4,1676.399579,16.76399579,6705.598316,11312.884150962504,6,2
27,2022-10-07,GRASIM,Sell,2,1691.14066,8.4557033,3382.28132,11304.428447662503,2,0
28,2022-10-27,GRASIM,Buy,2,1717.584965,8.587924825,3435.16993,11215.660992837504,0,2
29,2022-10-28,GRASIM,Sell,2,1677.4952,8.387476000000001,3354.9904,11207.273516837504,2,0
30,2022-10-31,GRASIM,Buy,1,1714.845912,4.2871147800000005,1714.845912,11242.428755057503,0,1
31,2022-11-01,GRASIM,Buy,5,1754.288265,21.928603312499998,8771.441325,11213.030007745005,1,6
32,2022-11-17,GRASIM,Sell,2,1703.839902,8.51919951,3407.679804,10902.119438235004,6,4
