account_value,date
10000.0,2021-09-20
10000.0,2021-09-21
10000.0,2021-09-22
10000.0,2021-09-23
10000.0,2021-09-24
10000.0,2021-09-27
10000.0,2021-09-28
10000.0,2021-09-29
10000.0,2021-09-30
10000.0,2021-10-01
10000.0,2021-10-04
10000.0,2021-10-05
10000.0,2021-10-06
10000.0,2021-10-07
10000.0,2021-10-08
10000.0,2021-10-11
10000.0,2021-10-12
10000.0,2021-10-13
10000.0,2021-10-14
10000.0,2021-10-18
10000.0,2021-10-19
10000.0,2021-10-20
10000.0,2021-10-21
10000.0,2021-10-22
10000.0,2021-10-25
10000.0,2021-10-26
10000.0,2021-10-27
10000.0,2021-10-28
10000.0,2021-10-29
10000.0,2021-11-01
10000.0,2021-11-02
10000.0,2021-11-03
10000.0,2021-11-04
10000.0,2021-11-08
10000.0,2021-11-09
10000.0,2021-11-10
10000.0,2021-11-11
10052.4895,2021-11-12
10034.90425,2021-11-15
10034.90425,2021-11-16
10034.90425,2021-11-17
9788.986375,2021-11-18
9718.286375,2021-11-22
9735.786375,2021-11-23
9783.736375,2021-11-24
9821.186375,2021-11-25
9717.936375,2021-11-26
9879.636375000002,2021-11-29
9859.806250000001,2021-11-30
9859.806250000001,2021-12-01
9859.806250000001,2021-12-02
9859.806250000001,2021-12-03
9859.806250000001,2021-12-06
9859.806250000001,2021-12-07
9859.806250000001,2021-12-08
9859.806250000001,2021-12-09
9859.806250000001,2021-12-10
9859.806250000001,2021-12-13
9859.806250000001,2021-12-14
9859.806250000001,2021-12-15
9859.806250000001,2021-12-16
9859.806250000001,2021-12-17
9859.806250000001,2021-12-20
9859.806250000001,2021-12-21
9859.806250000001,2021-12-22
9859.806250000001,2021-12-23
9859.806250000001,2021-12-24
9859.806250000001,2021-12-27
9859.806250000001,2021-12-28
9859.806250000001,2021-12-29
9859.806250000001,2021-12-30
9859.806250000001,2021-12-31
9859.806250000001,2022-01-03
9859.806250000001,2022-01-04
9859.806250000001,2022-01-05
9859.806250000001,2022-01-06
9859.806250000001,2022-01-07
9859.806250000001,2022-01-10
9859.806250000001,2022-01-11
9859.806250000001,2022-01-12
9859.806250000001,2022-01-13
9859.806250000001,2022-01-14
9859.806250000001,2022-01-17
9859.806250000001,2022-01-18
9859.806250000001,2022-01-19
9859.806250000001,2022-01-20
9859.806250000001,2022-01-21
9859.806250000001,2022-01-24
9859.806250000001,2022-01-25
9859.806250000001,2022-01-27
9859.806250000001,2022-01-28
9859.806250000001,2022-01-31
9859.806250000001,2022-02-01
9859.806250000001,2022-02-02
9859.806250000001,2022-02-03
9859.806250000001,2022-02-04
9859.806250000001,2022-02-07
9859.806250000001,2022-02-08
9859.806250000001,2022-02-09
9859.806250000001,2022-02-10
9859.806250000001,2022-02-11
9859.806250000001,2022-02-14
9859.806250000001,2022-02-15
9859.806250000001,2022-02-16
9859.806250000001,2022-02-17
9859.806250000001,2022-02-18
9859.806250000001,2022-02-21
9859.806250000001,2022-02-22
9859.806250000001,2022-02-23
9859.806250000001,2022-02-24
10058.631625000002,2022-02-25
10038.861875000002,2022-02-28
10038.861875000002,2022-03-02
10188.389750000004,2022-03-03
10168.445000000003,2022-03-04
10168.445000000003,2022-03-07
10168.445000000003,2022-03-08
10168.445000000003,2022-03-09
10168.445000000003,2022-03-10
10168.445000000003,2022-03-11
10168.445000000003,2022-03-14
10168.445000000003,2022-03-15
10168.445000000003,2022-03-16
10168.445000000003,2022-03-17
10168.445000000003,2022-03-21
10168.445000000003,2022-03-22
10168.445000000003,2022-03-23
10168.445000000003,2022-03-24
10168.445000000003,2022-03-25
10168.445000000003,2022-03-28
10168.445000000003,2022-03-29
10168.445000000003,2022-03-30
10168.445000000003,2022-03-31
10168.445000000003,2022-04-01
10168.445000000003,2022-04-04
10168.445000000003,2022-04-05
10168.445000000003,2022-04-06
10168.445000000003,2022-04-07
10168.445000000003,2022-04-08
10168.445000000003,2022-04-11
10132.158750000006,2022-04-12
10089.808750000004,2022-04-13
9926.358750000003,2022-04-18
9671.604375000004,2022-04-19
9824.804375000005,2022-04-20
9903.204375000005,2022-04-21
9926.004375000004,2022-04-22
9828.404375000004,2022-04-25
9864.004375000004,2022-04-26
9874.404375000004,2022-04-27
9849.604375000004,2022-04-28
9743.604375000004,2022-04-29
9644.804375000005,2022-05-02
9469.204375000005,2022-05-04
9686.004375000004,2022-05-05
9645.393500000004,2022-05-06
9834.215000000002,2022-05-09
9811.833250000001,2022-05-10
9699.863625000004,2022-05-11
9687.863625000004,2022-05-12
9629.863625000004,2022-05-13
9569.063625000003,2022-05-16
9875.863625000004,2022-05-17
9847.712875000005,2022-05-18
9783.412875000004,2022-05-19
9921.348375000003,2022-05-20
9836.948375000004,2022-05-23
9624.548375000004,2022-05-24
9486.148455000004,2022-05-25
9536.148455000004,2022-05-26
9721.748375000003,2022-05-27
10009.748375000005,2022-05-30
9992.400125000006,2022-05-31
9969.550125000005,2022-06-01
10126.136875000007,2022-06-02
10111.242125000008,2022-06-03
10105.542125000007,2022-06-06
9972.189375000009,2022-06-07
10030.58937500001,2022-06-08
10011.010875000009,2022-06-09
9886.60950000001,2022-06-10
9698.209420000008,2022-06-13
9739.009660000009,2022-06-14
9683.009660000009,2022-06-15
9483.409580000009,2022-06-16
9433.809500000008,2022-06-17
9444.209420000008,2022-06-20
9656.609340000008,2022-06-21
9614.043850350008,2022-06-22
9676.821180525008,2022-06-23
9640.421260525009,2022-06-24
9845.621020525008,2022-06-27
9837.85491587501,2022-06-28
9823.454905875009,2022-06-29
9809.15491587501,2022-06-30
9808.25659087501,2022-07-01
9900.75659087501,2022-07-04
9876.14159137501,2022-07-05
9896.08744087501,2022-07-06
9871.42244137501,2022-07-07
9871.42244137501,2022-07-08
9871.42244137501,2022-07-11
