account_value,date
10000.0,2021-01-12
10000.0,2021-01-13
10000.0,2021-01-14
10000.0,2021-01-15
10000.0,2021-01-18
10000.0,2021-01-19
10000.0,2021-01-20
10000.0,2021-01-21
10000.0,2021-01-22
10094.14675,2021-01-25
10072.204,2021-01-27
10072.204,2021-01-28
10072.204,2021-01-29
10072.204,2021-02-01
10072.204,2021-02-02
10072.204,2021-02-03
10072.204,2021-02-04
10072.204,2021-02-05
10072.204,2021-02-08
10072.204,2021-02-09
10072.204,2021-02-10
10072.204,2021-02-11
10072.204,2021-02-12
10072.204,2021-02-15
10072.204,2021-02-16
10072.204,2021-02-17
10072.204,2021-02-18
9957.689499999999,2021-02-19
10011.0895,2021-02-22
9897.989500000001,2021-02-23
10383.0895,2021-02-24
10358.9395,2021-02-25
10358.9395,2021-02-26
10358.9395,2021-03-01
10358.9395,2021-03-02
10358.9395,2021-03-03
10358.9395,2021-03-04
10358.9395,2021-03-05
10358.9395,2021-03-08
10358.9395,2021-03-09
10358.9395,2021-03-10
10358.9395,2021-03-12
10358.9395,2021-03-15
10358.9395,2021-03-16
10358.9395,2021-03-17
10358.9395,2021-03-18
10358.9395,2021-03-19
10358.9395,2021-03-22
10358.9395,2021-03-23
10358.9395,2021-03-24
10358.9395,2021-03-25
10358.9395,2021-03-26
10358.9395,2021-03-30
10358.9395,2021-03-31
10358.9395,2021-04-01
10358.9395,2021-04-05
10358.9395,2021-04-06
10358.9395,2021-04-07
10358.9395,2021-04-08
10358.9395,2021-04-09
10358.9395,2021-04-12
10358.9395,2021-04-13
10358.9395,2021-04-15
10358.9395,2021-04-16
10358.9395,2021-04-19
10358.9395,2021-04-20
10358.9395,2021-04-22
10358.9395,2021-04-23
10358.9395,2021-04-26
10358.9395,2021-04-27
10358.9395,2021-04-28
10358.9395,2021-04-29
10358.9395,2021-04-30
10358.9395,2021-05-03
10358.9395,2021-05-04
10358.9395,2021-05-05
10358.9395,2021-05-06
10358.9395,2021-05-07
10358.9395,2021-05-10
10358.9395,2021-05-11
10358.9395,2021-05-12
10358.9395,2021-05-14
10358.9395,2021-05-17
10358.9395,2021-05-18
10358.9395,2021-05-19
10358.9395,2021-05-20
10358.9395,2021-05-21
10358.9395,2021-05-24
10358.9395,2021-05-25
10358.9395,2021-05-26
10358.9395,2021-05-27
10358.9395,2021-05-28
10358.9395,2021-05-31
10358.9395,2021-06-01
10358.9395,2021-06-02
10358.9395,2021-06-03
10358.9395,2021-06-04
10334.677625,2021-06-07
10230.128,2021-06-08
10213.628,2021-06-09
10218.128,2021-06-10
10249.928,2021-06-11
10227.63275,2021-06-14
10227.63275,2021-06-15
10227.63275,2021-06-16
10227.63275,2021-06-17
10227.63275,2021-06-18
10227.63275,2021-06-21
10227.63275,2021-06-22
10227.63275,2021-06-23
10227.63275,2021-06-24
10227.63275,2021-06-25
10227.63275,2021-06-28
10227.63275,2021-06-29
10227.63275,2021-06-30
10227.63275,2021-07-01
10227.63275,2021-07-02
10227.63275,2021-07-05
10227.63275,2021-07-06
10227.63275,2021-07-07
10227.63275,2021-07-08
10227.63275,2021-07-09
10227.63275,2021-07-12
10227.63275,2021-07-13
10227.63275,2021-07-14
10227.63275,2021-07-15
10227.63275,2021-07-16
10227.63275,2021-07-19
10227.63275,2021-07-20
10227.63275,2021-07-22
10227.63275,2021-07-23
10227.63275,2021-07-26
10227.63275,2021-07-27
10227.63275,2021-07-28
10227.63275,2021-07-29
10227.63275,2021-07-30
10227.63275,2021-08-02
10227.63275,2021-08-03
10227.63275,2021-08-04
10227.63275,2021-08-05
10227.63275,2021-08-06
10227.63275,2021-08-09
10227.63275,2021-08-10
10227.63275,2021-08-11
10227.63275,2021-08-12
10227.63275,2021-08-13
10227.63275,2021-08-16
10227.63275,2021-08-17
10227.63275,2021-08-18
10227.63275,2021-08-20
10227.63275,2021-08-23
10227.63275,2021-08-24
10227.63275,2021-08-25
10227.63275,2021-08-26
10227.63275,2021-08-27
10227.63275,2021-08-30
10227.63275,2021-08-31
10227.63275,2021-09-01
10227.63275,2021-09-02
10227.63275,2021-09-03
10141.892000000003,2021-09-06
10163.192000000003,2021-09-07
10206.092000000004,2021-09-08
10159.292000000001,2021-09-09
10080.992000000002,2021-09-13
10038.992000000002,2021-09-14
10028.492000000002,2021-09-15
10107.392000000003,2021-09-16
