account_value,date
10000.0,2024-05-18
10000.0,2024-05-21
10000.0,2024-05-22
10065.43299915,2024-05-23
10041.392873300001,2024-05-24
10041.392873300001,2024-05-27
10258.812418300002,2024-05-28
10234.228292875003,2024-05-29
10009.145403775005,2024-05-30
9992.945043775004,2024-05-31
9997.445043775004,2024-06-03
9715.745583775006,2024-06-04
9993.073333725006,2024-06-05
9970.995333325005,2024-06-06
9970.995333325005,2024-06-07
9970.995333325005,2024-06-10
9970.995333325005,2024-06-11
9970.995333325005,2024-06-12
9970.995333325005,2024-06-13
9970.995333325005,2024-06-14
9970.995333325005,2024-06-18
9970.995333325005,2024-06-19
9970.995333325005,2024-06-20
9970.995333325005,2024-06-21
9970.995333325005,2024-06-24
9970.995333325005,2024-06-25
9970.995333325005,2024-06-26
9970.995333325005,2024-06-27
9970.995333325005,2024-06-28
9970.995333325005,2024-07-01
9970.995333325005,2024-07-02
9970.995333325005,2024-07-03
9970.995333325005,2024-07-04
9970.995333325005,2024-07-05
9970.995333325005,2024-07-08
9970.995333325005,2024-07-09
9970.995333325005,2024-07-10
9970.995333325005,2024-07-11
9970.995333325005,2024-07-12
9970.995333325005,2024-07-15
9970.995333325005,2024-07-16
9970.995333325005,2024-07-18
9970.995333325005,2024-07-19
9970.995333325005,2024-07-22
9970.995333325005,2024-07-23
9970.995333325005,2024-07-24
9970.995333325005,2024-07-25
9970.995333325005,2024-07-26
9970.995333325005,2024-07-29
9970.995333325005,2024-07-30
9970.995333325005,2024-07-31
9970.995333325005,2024-08-01
9970.995333325005,2024-08-02
9970.995333325005,2024-08-05
9970.995333325005,2024-08-06
9970.995333325005,2024-08-07
9970.995333325005,2024-08-08
9970.995333325005,2024-08-09
9970.995333325005,2024-08-12
9970.995333325005,2024-08-13
9970.995333325005,2024-08-14
9970.995333325005,2024-08-16
9970.995333325005,2024-08-19
9970.995333325005,2024-08-20
9970.995333325005,2024-08-21
9970.995333325005,2024-08-22
9970.995333325005,2024-08-23
9970.995333325005,2024-08-26
9970.995333325005,2024-08-27
9970.995333325005,2024-08-28
9970.995333325005,2024-08-29
9970.995333325005,2024-08-30
9970.995333325005,2024-09-02
9970.995333325005,2024-09-03
9970.995333325005,2024-09-04
9970.995333325005,2024-09-05
9970.995333325005,2024-09-06
9970.995333325005,2024-09-09
9970.995333325005,2024-09-10
9970.995333325005,2024-09-11
9970.995333325005,2024-09-12
9970.995333325005,2024-09-13
9970.995333325005,2024-09-16
9970.995333325005,2024-09-17
9970.995333325005,2024-09-18
9970.995333325005,2024-09-19
9970.995333325005,2024-09-20
9970.995333325005,2024-09-23
9970.995333325005,2024-09-24
9970.995333325005,2024-09-25
9970.995333325005,2024-09-26
9970.995333325005,2024-09-27
9970.995333325005,2024-09-30
9970.995333325005,2024-10-01
9961.269833325005,2024-10-03
10030.146708325005,2024-10-04
10005.338708325005,2024-10-07
10005.338708325005,2024-10-08
10005.338708325005,2024-10-09
10005.338708325005,2024-10-10
10005.338708325005,2024-10-11
10005.338708325005,2024-10-14
10005.338708325005,2024-10-15
10145.275583325005,2024-10-16
10135.058583325006,2024-10-17
10345.793333325006,2024-10-18
10321.663708325006,2024-10-21
10321.663708325006,2024-10-22
10321.663708325006,2024-10-23
10321.663708325006,2024-10-24
10221.043958325008,2024-10-25
10344.243958325007,2024-10-28
10345.050833325007,2024-10-29
10343.194833325007,2024-10-30
10343.194833325007,2024-10-31
10367.68958332501,2024-11-01
10187.789583325008,2024-11-04
10277.389583325008,2024-11-05
10252.285833325008,2024-11-06
10252.285833325008,2024-11-07
10252.285833325008,2024-11-08
10252.285833325008,2024-11-11
10252.285833325008,2024-11-12
10252.285833325008,2024-11-13
10252.285833325008,2024-11-14
10252.285833325008,2024-11-18
10252.285833325008,2024-11-19
10252.285833325008,2024-11-21
10252.285833325008,2024-11-22
10252.285833325008,2024-11-25
10252.285833325008,2024-11-26
10252.285833325008,2024-11-27
10252.285833325008,2024-11-28
10252.285833325008,2024-11-29
10252.285833325008,2024-12-02
10252.285833325008,2024-12-03
10252.285833325008,2024-12-04
10252.285833325008,2024-12-05
10252.285833325008,2024-12-06
10252.285833325008,2024-12-09
10252.285833325008,2024-12-10
10252.285833325008,2024-12-11
10252.285833325008,2024-12-12
10252.285833325008,2024-12-13
10252.285833325008,2024-12-16
10252.285833325008,2024-12-17
10252.285833325008,2024-12-18
10252.285833325008,2024-12-19
10252.285833325008,2024-12-20
10252.285833325008,2024-12-23
10252.285833325008,2024-12-24
10252.285833325008,2024-12-26
10252.285833325008,2024-12-27
10252.285833325008,2024-12-30
10221.989833325008,2024-12-31
10224.389833325009,2025-01-01
10271.589833325008,2025-01-02
10317.189833325008,2025-01-03
10044.389833325009,2025-01-06
10266.789833325009,2025-01-07
10237.189833325008,2025-01-08
10144.389833325009,2025-01-09
10087.589833325008,2025-01-10
9945.189833325008,2025-01-13
9956.389833325009,2025-01-14
9856.389833325009,2025-01-15
10465.533333325007,2025-01-16
10444.687833325008,2025-01-17
10434.932333325007,2025-01-20
10250.355458325008,2025-01-21
10157.555458325009,2025-01-22
10202.355458325008,2025-01-23
10203.955458325008,2025-01-24
10029.555458325009,2025-01-27
10051.155458325007,2025-01-28
10081.680083325009,2025-01-29
10076.967458325009,2025-01-30
10076.967458325009,2025-01-31
10076.967458325009,2025-02-01
10076.967458325009,2025-02-03
10124.11145832501,2025-02-04
10155.31145832501,2025-02-05
10175.55445832501,2025-02-06
10162.91545832501,2025-02-07
10162.91545832501,2025-02-10
10162.91545832501,2025-02-11
10306.97145832501,2025-02-12
10304.057083325011,2025-02-13
10275.78708332501,2025-02-14
10212.93208332501,2025-02-17
10144.13208332501,2025-02-18
10206.532083325012,2025-02-19
10160.93208332501,2025-02-20
10188.932083325011,2025-02-21
10153.075083325011,2025-02-24
10146.905083325011,2025-02-25
10146.905083325011,2025-02-27
10078.229083325012,2025-02-28
10215.016583325012,2025-03-03
10191.016583325012,2025-03-04
10266.216583325013,2025-03-05
10219.016583325012,2025-03-06
10330.216583325013,2025-03-07
10341.416583325012,2025-03-10
10518.216583325013,2025-03-11
10439.016583325012,2025-03-12
10285.416583325012,2025-03-13
10403.816583325011,2025-03-17
10575.816583325011,2025-03-18
10780.606958325012,2025-03-19
10765.654583325013,2025-03-20
10765.654583325013,2025-03-21
10765.654583325013,2025-03-24
10765.654583325013,2025-03-25
10765.654583325013,2025-03-26
10765.654583325013,2025-03-27
10765.654583325013,2025-03-28
10765.654583325013,2025-04-01
10765.654583325013,2025-04-02
10765.654583325013,2025-04-03
10765.654583325013,2025-04-04
10765.654583325013,2025-04-07
10765.654583325013,2025-04-08
10765.654583325013,2025-04-09
10765.654583325013,2025-04-11
10765.654583325013,2025-04-15
10765.654583325013,2025-04-16
10765.654583325013,2025-04-17
10765.654583325013,2025-04-21
10765.654583325013,2025-04-22
10765.654583325013,2025-04-23
10765.654583325013,2025-04-24
10765.654583325013,2025-04-25
10765.654583325013,2025-04-28
10765.654583325013,2025-04-29
10765.654583325013,2025-04-30
10765.654583325013,2025-05-02
10765.654583325013,2025-05-05
10765.654583325013,2025-05-06
10765.654583325013,2025-05-07
10765.654583325013,2025-05-08
10765.654583325013,2025-05-09
10765.654583325013,2025-05-12
10765.654583325013,2025-05-13
10765.654583325013,2025-05-14
10765.654583325013,2025-05-15
10765.654583325013,2025-05-16
10765.654583325013,2025-05-19
10765.654583325013,2025-05-20
10765.654583325013,2025-05-21
10765.654583325013,2025-05-22
10765.654583325013,2025-05-23
10765.654583325013,2025-05-26
10765.654583325013,2025-05-27
10765.654583325013,2025-05-28
10765.654583325013,2025-05-29
10765.654583325013,2025-05-30
10765.654583325013,2025-06-02
10765.654583325013,2025-06-03
10765.654583325013,2025-06-04
10765.654583325013,2025-06-05
10765.654583325013,2025-06-06
10765.654583325013,2025-06-09
10765.654583325013,2025-06-10
10765.654583325013,2025-06-11
10765.654583325013,2025-06-12
10765.654583325013,2025-06-13
10797.290333325012,2025-06-16
10793.437583325012,2025-06-17
10793.437583325012,2025-06-18
10793.437583325012,2025-06-19
10793.437583325012,2025-06-20
10793.437583325012,2025-06-23
10793.437583325012,2025-06-24
10793.437583325012,2025-06-25
10793.437583325012,2025-06-26
10793.437583325012,2025-06-27
10793.437583325012,2025-06-30
