trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2024-05-22,HDFCLIFE,Buy,17,560.40002,23.817000850000003,9526.800340000002,10065.43299915,0,17
2,2024-05-23,HDFCLIFE,Sell,17,565.65002,24.040125850000006,9616.050340000002,10041.392873300001,17,0
3,2024-05-27,HDFCLIFE,Buy,17,564.25,23.980625,9592.25,10258.812418300002,0,17
4,2024-05-28,HDFCLIFE,Sell,17,578.45001,24.584125425000003,9833.65017,10234.228292875003,17,0
5,2024-05-29,HDFCLIFE,Buy,18,561.84998,25.2832491,10113.29964,10009.145403775005,0,18
6,2024-06-04,HDFCLIFE,Sell,2,534.45001,2.67225005,1068.90002,9993.073333725006,18,16
7,2024-06-05,HDFCLIFE,Sell,16,551.95001,22.0780004,8831.20016,9970.995333325005,16,0
8,2024-10-01,HDFCLIFE,Buy,1,710.2,1.7755,710.2,9961.269833325005,0,1
9,2024-10-03,HDFCLIFE,Buy,13,702.25,22.823125,9129.25,10030.146708325005,1,14
10,2024-10-04,HDFCLIFE,Sell,14,708.8,24.807999999999996,9923.199999999999,10005.338708325005,14,0
11,2024-10-15,HDFCLIFE,Buy,13,714.25,23.213125,9285.25,10145.275583325005,0,13
12,2024-10-16,HDFCLIFE,Sell,1,726.8,1.817,726.8,10135.058583325006,13,12
13,2024-10-17,HDFCLIFE,Buy,1,726.1,1.81525,726.1,10345.793333325006,12,13
14,2024-10-18,HDFCLIFE,Sell,13,742.45,24.129625,9651.85,10321.663708325006,13,0
15,2024-10-24,HDFCLIFE,Buy,14,714.85,25.01975,10007.9,10221.043958325008,0,14
16,2024-10-28,HDFCLIFE,Sell,13,718.25,23.343125,9337.25,10345.050833325007,14,1
17,2024-10-29,HDFCLIFE,Sell,1,742.4,1.8559999999999999,742.4,10343.194833325007,1,0
18,2024-10-31,HDFCLIFE,Buy,14,720.15,25.205250000000003,10082.1,10367.68958332501,0,14
19,2024-11-05,HDFCLIFE,Sell,14,717.25,25.10375,10041.5,10252.285833325008,14,0
20,2024-12-30,HDFCLIFE,Buy,16,617.4,24.695999999999998,9878.4,10221.989833325008,0,16
21,2025-01-15,HDFCLIFE,Sell,3,594.2,4.4565,1782.6000000000001,10465.533333325007,16,13
22,2025-01-16,HDFCLIFE,Sell,13,641.4,20.845499999999998,8338.199999999999,10444.687833325008,13,0
23,2025-01-17,HDFCLIFE,Buy,1,642.2,1.6055000000000001,642.2,10434.932333325007,0,1
24,2025-01-20,HDFCLIFE,Buy,15,634.05,23.776875,9510.75,10250.355458325008,1,16
25,2025-01-28,HDFCLIFE,Sell,13,611.55,19.875375,7950.15,10081.680083325009,16,3
26,2025-01-29,HDFCLIFE,Sell,3,628.35,4.712625000000001,1885.0500000000002,10076.967458325009,3,0
27,2025-02-03,HDFCLIFE,Buy,16,621.4,24.855999999999998,9942.4,10124.11145832501,0,16
28,2025-02-05,HDFCLIFE,Sell,8,627.85,12.557,5022.8,10175.55445832501,16,8
29,2025-02-06,HDFCLIFE,Sell,8,631.95,12.639000000000001,5055.6,10162.91545832501,8,0
30,2025-02-11,HDFCLIFE,Buy,16,618.6,24.744,9897.6,10306.97145832501,0,16
31,2025-02-12,HDFCLIFE,Sell,5,629.15,7.864375,3145.75,10304.057083325011,16,11
32,2025-02-13,HDFCLIFE,Sell,5,629.6,7.87,3148.0,10275.78708332501,11,6
33,2025-02-14,HDFCLIFE,Buy,10,626.2,15.655000000000001,6262.0,10212.93208332501,6,16
34,2025-02-20,HDFCLIFE,Sell,4,620.0,6.2,2480.0,10188.932083325011,16,12
35,2025-02-21,HDFCLIFE,Sell,8,622.85,12.457,4982.8,10153.075083325011,12,4
36,2025-02-24,HDFCLIFE,Sell,4,617.0,6.17,2468.0,10146.905083325011,4,0
37,2025-02-27,HDFCLIFE,Buy,6,618.4,9.276,3710.3999999999996,10078.229083325012,0,6
38,2025-02-28,HDFCLIFE,Buy,10,608.5,15.2125,6085.0,10215.016583325012,6,16
39,2025-03-18,HDFCLIFE,Sell,7,640.55,11.209624999999999,4483.849999999999,10780.606958325012,16,9
40,2025-03-19,HDFCLIFE,Sell,9,664.55,14.952375,5980.95,10765.654583325013,9,0
41,2025-06-13,HDFCLIFE,Buy,2,752.85,3.76425,1505.7,10797.290333325012,0,2
42,2025-06-16,HDFCLIFE,Sell,2,770.55,3.85275,1541.1,10793.437583325012,2,0
