account_value,date
10000.0,2022-01-27
10000.0,2022-01-28
10136.409175750003,2022-01-31
10134.498425750002,2022-02-01
10054.63125075,2022-02-02
10291.931550750001,2022-02-03
10165.477800750003,2022-02-04
9937.573425750004,2022-02-07
10009.273425750001,2022-02-08
9989.233800750004,2022-02-09
9989.233800750004,2022-02-10
9989.233800750004,2022-02-11
9989.233800750004,2022-02-14
9989.233800750004,2022-02-15
9989.233800750004,2022-02-16
9989.233800750004,2022-02-17
9989.233800750004,2022-02-18
9989.233800750004,2022-02-21
9989.233800750004,2022-02-22
9922.056200750005,2022-02-23
9367.952951250005,2022-02-24
9571.952951250005,2022-02-25
9503.103251250004,2022-02-28
9175.653251250005,2022-03-02
9148.952951250005,2022-03-03
8830.653251250005,2022-03-04
8492.853251250004,2022-03-07
8651.702951250005,2022-03-08
8768.253251250004,2022-03-09
8859.003251250004,2022-03-10
8890.353251250004,2022-03-11
8922.452951250005,2022-03-14
8851.952951250005,2022-03-15
9005.253251250004,2022-03-16
9156.452951250005,2022-03-17
9071.403251250005,2022-03-21
9167.702951250005,2022-03-22
9080.702951250005,2022-03-23
9133.202951250005,2022-03-24
9031.952951250005,2022-03-25
9030.603251250004,2022-03-28
8528.702951250005,2022-03-29
8711.702951250005,2022-03-30
8779.202951250005,2022-03-31
8617.202951250005,2022-04-01
8832.003251250004,2022-04-04
8893.503251250004,2022-04-05
8937.452951250005,2022-04-06
8948.553551250006,2022-04-07
8984.103251250004,2022-04-08
8902.952951250005,2022-04-11
8822.114451500005,2022-04-12
8745.869701750004,2022-04-13
8778.869701750004,2022-04-18
8712.420001750004,2022-04-19
8747.220301750005,2022-04-20
8875.619701750004,2022-04-21
8805.420001750004,2022-04-22
8788.470301750005,2022-04-25
9144.420001750004,2022-04-26
9422.670001750004,2022-04-27
9474.570001750006,2022-04-28
9442.619701750004,2022-04-29
9384.570001750006,2022-05-02
9365.915251750006,2022-05-04
9538.167551750006,2022-05-05
9717.014027000008,2022-05-06
9505.213727000006,2022-05-09
9469.749977000007,2022-05-10
9464.675602000007,2022-05-11
9251.199852000005,2022-05-12
9395.049552000006,2022-05-13
9535.299552000006,2022-05-16
9618.099852000007,2022-05-17
9664.599852000007,2022-05-18
9594.099852000007,2022-05-19
9818.049552000006,2022-05-20
9921.699852000005,2022-05-23
9902.014602000007,2022-05-24
9902.014602000007,2022-05-25
9902.014602000007,2022-05-26
9902.014602000007,2022-05-27
9902.014602000007,2022-05-30
9902.014602000007,2022-05-31
9902.014602000007,2022-06-01
9902.014602000007,2022-06-02
9643.991051250006,2022-06-03
9514.991051250006,2022-06-06
9605.291351250007,2022-06-07
9650.591051250005,2022-06-08
9687.041351250007,2022-06-09
9698.591051250005,2022-06-10
9689.141051250008,2022-06-13
9565.541351250007,2022-06-14
9708.641051250008,2022-06-15
9449.891051250008,2022-06-16
9294.940751250006,2022-06-17
9250.391051250008,2022-06-20
9390.341051250005,2022-06-21
9466.091051250005,2022-06-22
9915.041351250007,2022-06-23
10172.591051250005,2022-06-24
10159.241051250006,2022-06-27
10192.841051250005,2022-06-28
10149.940751250006,2022-06-29
10051.841051250005,2022-06-30
10031.443301250007,2022-07-01
10031.443301250007,2022-07-04
10031.443301250007,2022-07-05
10031.443301250007,2022-07-06
10031.443301250007,2022-07-07
10031.443301250007,2022-07-08
10031.443301250007,2022-07-11
10031.443301250007,2022-07-12
10031.443301250007,2022-07-13
9858.467875500008,2022-07-14
9880.217875500008,2022-07-15
9933.917875500005,2022-07-18
9883.667875500005,2022-07-19
9960.317875500006,2022-07-20
9939.117250500007,2022-07-21
9939.117250500007,2022-07-22
9939.117250500007,2022-07-25
9939.117250500007,2022-07-26
9939.117250500007,2022-07-27
9939.117250500007,2022-07-28
9939.117250500007,2022-07-29
9939.117250500007,2022-08-01
9939.117250500007,2022-08-02
9939.117250500007,2022-08-03
9939.117250500007,2022-08-04
9939.117250500007,2022-08-05
9939.117250500007,2022-08-08
9939.117250500007,2022-08-10
9939.117250500007,2022-08-11
9939.117250500007,2022-08-12
9939.117250500007,2022-08-16
9939.117250500007,2022-08-17
9939.117250500007,2022-08-18
9939.117250500007,2022-08-19
9939.117250500007,2022-08-22
9939.117250500007,2022-08-23
9939.117250500007,2022-08-24
9939.117250500007,2022-08-25
9939.117250500007,2022-08-26
9939.117250500007,2022-08-29
9949.864375500005,2022-08-30
9928.581625500005,2022-09-01
9928.581625500005,2022-09-02
9928.581625500005,2022-09-05
9928.581625500005,2022-09-06
9928.581625500005,2022-09-07
9928.581625500005,2022-09-08
9928.581625500005,2022-09-09
9928.581625500005,2022-09-12
9928.581625500005,2022-09-13
9928.581625500005,2022-09-14
9928.581625500005,2022-09-15
9928.581625500005,2022-09-16
9928.581625500005,2022-09-19
9928.581625500005,2022-09-20
9928.581625500005,2022-09-21
9928.581625500005,2022-09-22
9928.581625500005,2022-09-23
9928.581625500005,2022-09-26
9928.581625500005,2022-09-27
9928.581625500005,2022-09-28
9928.581625500005,2022-09-29
9928.581625500005,2022-09-30
9928.581625500005,2022-10-03
10198.390000500005,2022-10-04
10271.290300500004,2022-10-06
10222.374850250004,2022-10-07
10052.462475250004,2022-10-10
9985.412175250003,2022-10-11
9991.112475250005,2022-10-12
9980.312475250004,2022-10-13
9948.662175250003,2022-10-14
10002.062475250004,2022-10-17
10026.962475250004,2022-10-18
9964.562475250004,2022-10-19
10037.612475250005,2022-10-20
10050.512775250005,2022-10-21
10086.662175250003,2022-10-24
10097.762775250005,2022-10-25
10141.598575000004,2022-10-27
10128.544825000004,2022-10-28
10128.544825000004,2022-10-31
10128.544825000004,2022-11-01
10128.544825000004,2022-11-02
10128.544825000004,2022-11-03
10128.544825000004,2022-11-04
10205.578375750007,2022-11-07
10296.928375750005,2022-11-09
10479.928375750005,2022-11-10
10347.928375750005,2022-11-11
10407.628075750006,2022-11-14
10534.678375750005,2022-11-15
10560.778375750004,2022-11-16
10574.428375750005,2022-11-17
10553.848375750007,2022-11-18
10553.848375750007,2022-11-21
10557.767500750007,2022-11-22
10477.967800750008,2022-11-23
10520.717800750008,2022-11-24
10625.867200750006,2022-11-25
10851.917500750009,2022-11-28
10986.167500750009,2022-11-29
11057.117200750006,2022-11-30
11035.727951500008,2022-12-01
11035.727951500008,2022-12-02
11035.727951500008,2022-12-05
11035.727951500008,2022-12-06
11035.727951500008,2022-12-07
11010.981326500007,2022-12-08
10990.881326500008,2022-12-09
11050.731326500007,2022-12-12
11014.731326500007,2022-12-13
10978.431626500009,2022-12-14
11048.931626500009,2022-12-15
10910.931626500009,2022-12-16
11127.119501250008,2022-12-19
11094.919101250009,2022-12-20
11042.687726250007,2022-12-21
11022.006851250007,2022-12-22
11022.006851250007,2022-12-23
11022.006851250007,2022-12-26
11022.006851250007,2022-12-27
11022.006851250007,2022-12-28
11022.006851250007,2022-12-29
11022.006851250007,2022-12-30
11022.006851250007,2023-01-02
11022.006851250007,2023-01-03
11022.006851250007,2023-01-04
11022.006851250007,2023-01-05
11022.006851250007,2023-01-06
11022.006851250007,2023-01-09
11022.006851250007,2023-01-10
11022.006851250007,2023-01-11
11022.006851250007,2023-01-12
11022.006851250007,2023-01-13
11022.006851250007,2023-01-16
11022.006851250007,2023-01-17
11022.006851250007,2023-01-18
11022.006851250007,2023-01-19
11022.006851250007,2023-01-20
11022.006851250007,2023-01-23
11022.006851250007,2023-01-24
11022.006851250007,2023-01-25
11022.006851250007,2023-01-27
11022.006851250007,2023-01-30
11238.783851250008,2023-01-31
11094.783851250008,2023-02-01
10829.583851250007,2023-02-02
10802.879101250008,2023-02-03
10789.607851250008,2023-02-06
10789.607851250008,2023-02-07
10789.607851250008,2023-02-08
10789.607851250008,2023-02-09
10789.607851250008,2023-02-10
10789.607851250008,2023-02-13
10764.153976250007,2023-02-14
