account_value,date
10000.0,2020-12-08
9984.05725,2020-12-09
10011.10725,2020-12-10
10039.13534,2020-12-11
10149.836159999999,2020-12-14
10076.035750000003,2020-12-15
10358.93575,2020-12-16
10129.336159999999,2020-12-17
10295.38534,2020-12-18
9573.785750000003,2020-12-21
9549.975000000002,2020-12-22
9549.975000000002,2020-12-23
9549.975000000002,2020-12-24
9549.975000000002,2020-12-28
9549.975000000002,2020-12-29
9549.975000000002,2020-12-30
9549.975000000002,2020-12-31
9549.975000000002,2021-01-01
9549.975000000002,2021-01-04
9378.452250000002,2021-01-05
9702.20188,2021-01-06
10214.651880000001,2021-01-07
10040.752620000003,2021-01-08
9911.252620000003,2021-01-11
9898.302620000002,2021-01-12
9835.401880000001,2021-01-13
9789.151880000001,2021-01-14
9506.095580050001,2021-01-15
9483.927454175002,2021-01-18
9483.927454175002,2021-01-19
9483.927454175002,2021-01-20
9483.927454175002,2021-01-21
9483.927454175002,2021-01-22
9483.927454175002,2021-01-25
9483.927454175002,2021-01-27
9483.927454175002,2021-01-28
9483.927454175002,2021-01-29
9483.927454175002,2021-02-01
9483.927454175002,2021-02-02
9483.927454175002,2021-02-03
9483.927454175002,2021-02-04
9467.560233275,2021-02-05
10075.960953275002,2021-02-08
10043.560233275,2021-02-09
10092.160233275,2021-02-10
10668.160233275,2021-02-11
10502.560233275,2021-02-12
10524.160233275,2021-02-15
10930.960953275002,2021-02-16
10974.160233275,2021-02-17
11190.160233275,2021-02-18
11121.760593275001,2021-02-19
11413.360953275002,2021-02-22
12023.560233275,2021-02-23
12023.560233275,2021-02-24
12658.960953275002,2021-02-25
12282.760593275001,2021-02-26
12421.360953275002,2021-03-01
12462.760593275001,2021-03-02
12970.360953275002,2021-03-03
12613.960953275002,2021-03-04
12196.360953275002,2021-03-05
12156.225452975,2021-03-08
12063.250682900001,2021-03-09
12040.756307900001,2021-03-10
12040.756307900001,2021-03-12
12040.756307900001,2021-03-15
12040.756307900001,2021-03-16
12040.756307900001,2021-03-17
12040.756307900001,2021-03-18
12040.756307900001,2021-03-19
12040.756307900001,2021-03-22
12040.756307900001,2021-03-23
12040.756307900001,2021-03-24
12040.756307900001,2021-03-25
12040.756307900001,2021-03-26
12040.756307900001,2021-03-30
12040.756307900001,2021-03-31
12040.756307900001,2021-04-01
12027.914162900002,2021-04-05
12017.778188075003,2021-04-06
12065.012437725003,2021-04-07
12507.012437725003,2021-04-08
12365.911757725,2021-04-09
11521.012437725003,2021-04-12
11492.435436875006,2021-04-13
11492.435436875006,2021-04-15
11492.435436875006,2021-04-16
11216.210146875008,2021-04-19
11177.397367325008,2021-04-20
11167.515242050009,2021-04-22
11167.515242050009,2021-04-23
11167.515242050009,2021-04-26
11167.515242050009,2021-04-27
11080.76855705001,2021-04-28
11357.29645677501,2021-04-29
11124.79645677501,2021-04-30
11291.297056775009,2021-05-03
11069.29645677501,2021-05-04
11047.561602500009,2021-05-05
11550.58235182501,2021-05-06
11988.96747680001,2021-05-07
12703.81718680001,2021-05-10
12328.266896800009,2021-05-11
11922.266896800009,2021-05-12
11458.266896800009,2021-05-14
11430.51389752501,2021-05-17
11430.51389752501,2021-05-18
11435.966336825011,2021-05-19
10929.166896825012,2021-05-20
10902.202896125013,2021-05-21
10902.202896125013,2021-05-24
10902.202896125013,2021-05-25
10902.202896125013,2021-05-26
10902.202896125013,2021-05-27
10902.202896125013,2021-05-28
10902.202896125013,2021-05-31
10902.202896125013,2021-06-01
10902.202896125013,2021-06-02
10902.202896125013,2021-06-03
10902.202896125013,2021-06-04
10902.202896125013,2021-06-07
10902.202896125013,2021-06-08
10902.202896125013,2021-06-09
10902.202896125013,2021-06-10
10902.202896125013,2021-06-11
10902.202896125013,2021-06-14
10902.202896125013,2021-06-15
10902.202896125013,2021-06-16
10902.202896125013,2021-06-17
10902.202896125013,2021-06-18
10902.202896125013,2021-06-21
10902.202896125013,2021-06-22
10902.202896125013,2021-06-23
10902.202896125013,2021-06-24
10902.202896125013,2021-06-25
10902.202896125013,2021-06-28
10902.202896125013,2021-06-29
10902.202896125013,2021-06-30
10902.202896125013,2021-07-01
10902.202896125013,2021-07-02
10902.202896125013,2021-07-05
10902.202896125013,2021-07-06
10902.202896125013,2021-07-07
10902.202896125013,2021-07-08
10902.202896125013,2021-07-09
10902.202896125013,2021-07-12
10902.202896125013,2021-07-13
10902.202896125013,2021-07-14
10902.202896125013,2021-07-15
10929.620180900012,2021-07-16
10690.086690900014,2021-07-19
10664.284940250014,2021-07-20
10664.284940250014,2021-07-22
10664.284940250014,2021-07-23
10664.284940250014,2021-07-26
10664.284940250014,2021-07-27
10611.950064625014,2021-07-28
11656.950564625015,2021-07-29
11324.450064625014,2021-07-30
11349.450064625014,2021-08-02
11424.450064625014,2021-08-03
11271.950564625016,2021-08-04
11281.950564625015,2021-08-05
11258.200064625016,2021-08-06
11071.950564625016,2021-08-09
11044.781814000016,2021-08-10
11044.781814000016,2021-08-11
11044.781814000016,2021-08-12
11044.781814000016,2021-08-13
11044.781814000016,2021-08-16
11044.781814000016,2021-08-17
11044.781814000016,2021-08-18
11044.781814000016,2021-08-20
11044.781814000016,2021-08-23
11044.781814000016,2021-08-24
11044.781814000016,2021-08-25
11044.781814000016,2021-08-26
11044.781814000016,2021-08-27
11044.781814000016,2021-08-30
11503.898814600017,2021-08-31
11259.099294600017,2021-09-01
11231.499294600018,2021-09-02
11335.898814600017,2021-09-03
11526.699054600018,2021-09-06
11359.898814600017,2021-09-07
11215.898814600017,2021-09-08
11272.428314950019,2021-09-09
11611.404545300018,2021-09-13
11601.80454530002,2021-09-14
11814.204065300019,2021-09-15
11730.204065300019,2021-09-16
11628.87206570002,2021-09-17
11619.411065900018,2021-09-20
11619.411065900018,2021-09-21
11619.411065900018,2021-09-22
11619.411065900018,2021-09-23
11619.411065900018,2021-09-24
11619.411065900018,2021-09-27
11619.411065900018,2021-09-28
11619.411065900018,2021-09-29
11619.411065900018,2021-09-30
11619.411065900018,2021-10-01
11619.411065900018,2021-10-04
11619.411065900018,2021-10-05
11619.411065900018,2021-10-06
11619.411065900018,2021-10-07
11619.411065900018,2021-10-08
11619.411065900018,2021-10-11
11619.411065900018,2021-10-12
11619.411065900018,2021-10-13
11619.411065900018,2021-10-14
12178.42578700002,2021-10-18
11979.32600700002,2021-10-19
11521.72622700002,2021-10-20
11493.51397645002,2021-10-21
11493.51397645002,2021-10-22
11493.51397645002,2021-10-25
11493.51397645002,2021-10-26
11493.51397645002,2021-10-27
11493.51397645002,2021-10-28
11493.51397645002,2021-10-29
11493.51397645002,2021-11-01
11493.51397645002,2021-11-02
11493.51397645002,2021-11-03
11493.51397645002,2021-11-04
11493.51397645002,2021-11-08
11493.51397645002,2021-11-09
11493.51397645002,2021-11-10
11493.51397645002,2021-11-11
11493.51397645002,2021-11-12
11493.51397645002,2021-11-15
11493.51397645002,2021-11-16
11493.51397645002,2021-11-17
11493.51397645002,2021-11-18
11493.51397645002,2021-11-22
11493.51397645002,2021-11-23
11493.51397645002,2021-11-24
11493.51397645002,2021-11-25
11493.51397645002,2021-11-26
11493.51397645002,2021-11-29
11493.51397645002,2021-11-30
11493.51397645002,2021-12-01
11493.51397645002,2021-12-02
11493.51397645002,2021-12-03
11493.51397645002,2021-12-06
11493.51397645002,2021-12-07
11493.51397645002,2021-12-08
11493.51397645002,2021-12-09
11493.51397645002,2021-12-10
11493.51397645002,2021-12-13
11493.51397645002,2021-12-14
11493.51397645002,2021-12-15
11493.51397645002,2021-12-16
11493.51397645002,2021-12-17
11493.51397645002,2021-12-20
11493.51397645002,2021-12-21
11493.51397645002,2021-12-22
11493.51397645002,2021-12-23
11493.51397645002,2021-12-24
11493.51397645002,2021-12-27
11493.51397645002,2021-12-28
11493.51397645002,2021-12-29
11493.51397645002,2021-12-30
11493.51397645002,2021-12-31
11493.51397645002,2022-01-03
11493.51397645002,2022-01-04
11493.51397645002,2022-01-05
11493.51397645002,2022-01-06
11493.51397645002,2022-01-07
11491.68021645002,2022-01-10
11485.13023645002,2022-01-11
11483.91436142502,2022-01-12
11583.57574112502,2022-01-13
11545.588461125022,2022-01-14
11528.995585900022,2022-01-17
11512.552210575022,2022-01-18
11512.552210575022,2022-01-19
11512.552210575022,2022-01-20
11512.552210575022,2022-01-21
11512.552210575022,2022-01-24
11512.552210575022,2022-01-25
11512.552210575022,2022-01-27
11512.552210575022,2022-01-28
11512.552210575022,2022-01-31
11512.552210575022,2022-02-01
11512.552210575022,2022-02-02
11512.552210575022,2022-02-03
11512.552210575022,2022-02-04
11431.430994525019,2022-02-07
11519.63120452502,2022-02-08
11845.13120452502,2022-02-09
11949.08141452502,2022-02-10
11853.531624525021,2022-02-11
11403.08141452502,2022-02-14
11375.715789525022,2022-02-15
11375.715789525022,2022-02-16
11375.715789525022,2022-02-17
11375.715789525022,2022-02-18
11375.715789525022,2022-02-21
11375.715789525022,2022-02-22
11375.715789525022,2022-02-23
11375.715789525022,2022-02-24
11375.715789525022,2022-02-25
11375.715789525022,2022-02-28
11849.112284525023,2022-03-02
11966.912474525023,2022-03-03
11539.412474525023,2022-03-04
12222.462664525023,2022-03-07
11656.262854525023,2022-03-08
11620.162474525023,2022-03-09
11729.412474525023,2022-03-10
11646.543304575021,2022-03-11
11675.670734625022,2022-03-14
11323.781844800023,2022-03-15
11308.388719800023,2022-03-16
11308.388719800023,2022-03-17
11308.388719800023,2022-03-21
11308.388719800023,2022-03-22
11308.388719800023,2022-03-23
11308.388719800023,2022-03-24
11293.900969350023,2022-03-25
11428.900969350023,2022-03-28
11448.70060935002,2022-03-29
10881.70060935002,2022-03-30
10854.70960980002,2022-03-31
10854.70960980002,2022-04-01
10854.70960980002,2022-04-04
10854.70960980002,2022-04-05
10854.70960980002,2022-04-06
10854.70960980002,2022-04-07
10854.70960980002,2022-04-08
10854.70960980002,2022-04-11
10854.70960980002,2022-04-12
10854.70960980002,2022-04-13
10854.70960980002,2022-04-18
10854.70960980002,2022-04-19
10854.70960980002,2022-04-20
10854.70960980002,2022-04-21
10854.70960980002,2022-04-22
10854.70960980002,2022-04-25
10854.70960980002,2022-04-26
10854.70960980002,2022-04-27
10854.70960980002,2022-04-28
10854.70960980002,2022-04-29
10854.70960980002,2022-05-02
10854.70960980002,2022-05-04
10854.70960980002,2022-05-05
10854.70960980002,2022-05-06
10854.70960980002,2022-05-09
10854.70960980002,2022-05-10
10854.70960980002,2022-05-11
10854.70960980002,2022-05-12
10854.70960980002,2022-05-13
10854.70960980002,2022-05-16
10854.70960980002,2022-05-17
10854.70960980002,2022-05-18
10854.70960980002,2022-05-19
10854.70960980002,2022-05-20
10854.70960980002,2022-05-23
10854.70960980002,2022-05-24
10854.70960980002,2022-05-25
10854.70960980002,2022-05-26
10854.70960980002,2022-05-27
10854.70960980002,2022-05-30
10854.70960980002,2022-05-31
10854.70960980002,2022-06-01
10854.70960980002,2022-06-02
