trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2020-12-08,HINDALCO,Buy,3,245.7,1.8427499999999999,737.0999999999999,9984.05725,0,3
2,2020-12-09,HINDALCO,Buy,20,241.0,12.05,4820.0,10011.10725,3,23
3,2020-12-10,HINDALCO,Buy,18,242.7,10.921499999999998,4368.599999999999,10039.13534,23,41
4,2020-12-21,HINDALCO,Sell,41,232.3,23.810750000000002,9524.300000000001,9549.975000000002,41,0
5,2021-01-04,HINDALCO,Buy,37,254.3,23.522750000000002,9409.1,9378.452250000002,0,37
6,2021-01-14,HINDALCO,Sell,2,261.39999,1.30699995,522.79998,9506.095580050001,37,35
7,2021-01-15,HINDALCO,Sell,35,253.35001,22.168125875,8867.25035,9483.927454175002,35,0
8,2021-02-04,HINDALCO,Buy,36,261.85001,23.5665009,9426.60036,9467.560233275,0,36
9,2021-03-05,HINDALCO,Sell,12,337.85001,10.1355003,4054.20012,12156.225452975,36,24
10,2021-03-08,HINDALCO,Buy,3,336.60001,2.524500075,1009.80003,12063.250682900001,24,27
11,2021-03-09,HINDALCO,Sell,27,333.25,22.494375,8997.75,12040.756307900001,27,0
12,2021-04-01,HINDALCO,Buy,27,350.25,23.641875,9456.75,12027.914162900002,0,27
13,2021-04-05,HINDALCO,Sell,7,350.64999,6.136374825000001,2454.54993,12017.778188075003,27,20
14,2021-04-06,HINDALCO,Buy,14,350.45001,12.265750350000001,4906.30014,12065.012437725003,20,34
15,2021-04-12,HINDALCO,Sell,34,336.20001,28.577000850000005,11430.800340000002,11492.435436875006,34,0
16,2021-04-16,HINDALCO,Buy,29,370.0,26.825,10730.0,11216.210146875008,0,29
17,2021-04-19,HINDALCO,Sell,18,361.39999,16.26299955,6505.19982,11177.397367325008,29,11
18,2021-04-20,HINDALCO,Sell,11,359.35001,9.882125275,3952.85011,11167.515242050009,11,0
19,2021-04-27,HINDALCO,Buy,19,366.25,17.396875,6958.75,11080.76855705001,0,19
20,2021-04-28,HINDALCO,Buy,11,362.60001,9.971500275,3988.60011,11357.29645677501,19,30
21,2021-05-04,HINDALCO,Sell,29,362.54999,26.284874274999996,10513.949709999999,11047.561602500009,30,1
22,2021-05-05,HINDALCO,Buy,27,367.10001,24.779250675,9911.70027,11550.58235182501,1,28
23,2021-05-06,HINDALCO,Buy,1,385.95001,0.9648750250000001,385.95001,11988.96747680001,28,29
24,2021-05-14,HINDALCO,Sell,29,382.79999,27.752999274999997,11101.199709999999,11430.51389752501,29,0
25,2021-05-18,HINDALCO,Buy,28,402.10001,28.1470007,11258.80028,11435.966336825011,0,28
26,2021-05-20,HINDALCO,Sell,28,385.20001,26.964000700000003,10785.60028,10902.202896125013,28,0
27,2021-07-15,HINDALCO,Buy,9,401.45001,9.032625225,3613.05009,10929.620180900012,0,9
28,2021-07-16,HINDALCO,Buy,17,405.5,17.23375,6893.5,10690.086690900014,9,26
29,2021-07-19,HINDALCO,Sell,26,396.95001,25.801750650000002,10320.700260000001,10664.284940250014,26,0
30,2021-07-27,HINDALCO,Buy,25,417.35001,26.084375625,10433.75025,10611.950064625014,0,25
31,2021-08-09,HINDALCO,Sell,25,434.70001,27.168750625,10867.500250000001,11044.781814000016,25,0
32,2021-08-30,HINDALCO,Buy,24,448.04999,26.8829994,10753.19976,11503.898814600017,0,24
33,2021-09-08,HINDALCO,Sell,14,456.29999,15.970499649999999,6388.19986,11272.428314950019,24,10
34,2021-09-09,HINDALCO,Buy,14,463.54999,16.22424965,6489.69986,11611.404545300018,10,24
35,2021-09-16,HINDALCO,Sell,16,483.29999,19.3319996,7732.79984,11628.87206570002,24,8
36,2021-09-17,HINDALCO,Sell,8,473.04999,9.4609998,3784.39992,11619.411065900018,8,0
37,2021-10-14,HINDALCO,Buy,22,516.09998,28.385498899999998,11354.19956,12178.42578700002,0,22
38,2021-10-20,HINDALCO,Sell,22,512.95001,28.21225055,11284.90022,11493.51397645002,22,0
39,2022-01-07,HINDALCO,Buy,1,493.5,1.2337500000000001,493.5,11491.68021645002,0,1
40,2022-01-11,HINDALCO,Sell,1,486.35001,1.215875025,486.35001,11483.91436142502,1,0
41,2022-01-12,HINDALCO,Buy,12,497.95001,14.938500300000001,5975.40012,11583.57574112502,0,12
42,2022-01-13,HINDALCO,Buy,10,507.5,12.6875,5075.0,11545.588461125022,12,22
43,2022-01-14,HINDALCO,Sell,9,506.35001,11.392875225000001,4557.15009,11528.995585900022,22,13
44,2022-01-17,HINDALCO,Sell,13,505.95001,16.443375325,6577.350130000001,11512.552210575022,13,0
45,2022-02-04,HINDALCO,Buy,21,525.15002,27.570376050000004,11028.150420000002,11431.430994525019,0,21
46,2022-02-14,HINDALCO,Sell,21,521.25,27.365625,10946.25,11375.715789525022,21,0
47,2022-02-28,HINDALCO,Buy,19,573.75,27.253125,10901.25,11849.112284525023,0,19
48,2022-03-10,HINDALCO,Sell,2,593.79999,2.96899995,1187.59998,11646.543304575021,19,17
49,2022-03-11,HINDALCO,Buy,1,589.09998,1.4727499499999999,589.09998,11675.670734625022,17,18
