account_value,date
10000.0,2021-02-05
9845.704099999999,2021-02-08
9764.1045,2021-02-09
9841.1045,2021-02-10
9951.1045,2021-02-11
9865.3045,2021-02-12
9759.904499999999,2021-02-15
9683.5049,2021-02-16
9554.704099999999,2021-02-17
9486.5049,2021-02-18
9623.5049,2021-02-19
9569.5049,2021-02-22
9616.1045,2021-02-23
9607.1045,2021-02-24
9552.3045,2021-02-25
9427.3045,2021-02-26
9472.704099999999,2021-03-01
9610.904499999999,2021-03-02
9673.1045,2021-03-03
9686.704099999999,2021-03-04
9703.5049,2021-03-05
9597.3045,2021-03-08
9693.1045,2021-03-09
9810.5049,2021-03-10
9718.1045,2021-03-12
9742.5049,2021-03-15
9875.3045,2021-03-16
9804.3045,2021-03-17
9759.904499999999,2021-03-18
10147.3045,2021-03-19
10311.904499999999,2021-03-22
10288.3725,2021-03-23
10288.3725,2021-03-24
10288.3725,2021-03-25
10589.4016,2021-03-26
10912.802,2021-03-30
10888.8145,2021-03-31
10888.8145,2021-04-01
10888.8145,2021-04-05
10888.8145,2021-04-06
10888.8145,2021-04-07
10883.3616,2021-04-08
11147.762,2021-04-09
11123.002,2021-04-12
11123.002,2021-04-13
11123.458001,2021-04-15
11116.458001,2021-04-16
11027.458001,2021-04-19
10870.658401,2021-04-20
10678.458001,2021-04-22
10511.858401000001,2021-04-23
10723.458001,2021-04-26
10800.258801000002,2021-04-27
10907.058401000002,2021-04-28
10911.258801000002,2021-04-29
10695.858401000001,2021-04-30
10912.858401000001,2021-05-03
10911.458001,2021-05-04
10859.458001,2021-05-05
10840.858401000001,2021-05-06
10925.658401,2021-05-07
11012.458001,2021-05-10
10889.258801000002,2021-05-11
10596.658401,2021-05-12
10788.258801000002,2021-05-14
10785.858401000001,2021-05-17
10777.858401000001,2021-05-18
10719.858401000001,2021-05-19
10657.458001,2021-05-20
10729.858401000001,2021-05-21
10627.058401000002,2021-05-24
10657.058401000002,2021-05-25
10696.858401000001,2021-05-26
10586.458001,2021-05-27
10567.658401,2021-05-28
10641.058401000002,2021-05-31
10714.058401000002,2021-06-01
10716.058401000002,2021-06-02
10733.858401000001,2021-06-03
10649.058401000002,2021-06-04
10638.058401000002,2021-06-07
10716.858401000001,2021-06-08
10704.858401000001,2021-06-09
10796.058401000002,2021-06-10
10746.858401000001,2021-06-11
10739.258801000002,2021-06-14
10848.658401,2021-06-15
10912.458001,2021-06-16
10951.658401,2021-06-17
10927.481401000001,2021-06-18
10927.481401000001,2021-06-21
10927.481401000001,2021-06-22
10927.481401000001,2021-06-23
10927.481401000001,2021-06-24
10927.481401000001,2021-06-25
10949.195302000002,2021-06-28
11078.595302000003,2021-06-29
11053.669802000004,2021-06-30
11055.756802000004,2021-07-01
11092.956802000004,2021-07-02
11139.956802000004,2021-07-05
11033.756802000004,2021-07-06
11070.356402000003,2021-07-07
10933.956802000004,2021-07-08
10949.556802000003,2021-07-09
10920.356402000003,2021-07-12
10890.556802000003,2021-07-13
10803.157202000004,2021-07-14
10793.157202000004,2021-07-15
10813.356402000003,2021-07-16
10778.356402000003,2021-07-19
10883.356402000003,2021-07-20
10656.356402000003,2021-07-22
10576.157202000004,2021-07-23
10538.556802000003,2021-07-26
10513.356402000003,2021-07-27
10589.356402000003,2021-07-28
10482.756802000004,2021-07-29
10476.956802000004,2021-07-30
10474.956802000004,2021-08-02
10691.157202000004,2021-08-03
10652.157202000004,2021-08-04
10574.556802000003,2021-08-05
10629.756802000004,2021-08-06
10681.756802000004,2021-08-09
10670.956802000004,2021-08-10
10705.556802000003,2021-08-11
10712.956802000004,2021-08-12
10761.756802000004,2021-08-13
10849.356402000003,2021-08-16
11078.956802000004,2021-08-17
11054.118802000005,2021-08-18
11054.118802000005,2021-08-20
11054.118802000005,2021-08-23
11054.118802000005,2021-08-24
11054.118802000005,2021-08-25
11054.118802000005,2021-08-26
11054.118802000005,2021-08-27
11054.118802000005,2021-08-30
11054.118802000005,2021-08-31
11054.118802000005,2021-09-01
11054.118802000005,2021-09-02
11054.118802000005,2021-09-03
11054.118802000005,2021-09-06
11054.118802000005,2021-09-07
11054.118802000005,2021-09-08
11054.118802000005,2021-09-09
11054.118802000005,2021-09-13
11054.118802000005,2021-09-14
11072.099677000002,2021-09-15
11050.499677000003,2021-09-16
10912.499677000003,2021-09-17
11218.094452000005,2021-09-20
11266.494052000002,2021-09-21
11154.694052000003,2021-09-22
11145.894052000003,2021-09-23
11003.293652000004,2021-09-24
10854.694052000003,2021-09-27
10912.094452000005,2021-09-28
10757.894052000003,2021-09-29
10823.894052000003,2021-09-30
10832.894052000003,2021-10-01
10761.494052000002,2021-10-04
10851.293652000004,2021-10-05
10760.894052000003,2021-10-06
10694.293652000004,2021-10-07
10576.894052000003,2021-10-08
10597.094452000005,2021-10-11
10721.293652000004,2021-10-12
10603.694052000003,2021-10-13
10614.894052000003,2021-10-14
10632.694052000003,2021-10-18
10203.894052000003,2021-10-19
9931.293652000004,2021-10-20
9799.694052000003,2021-10-21
9833.094452000005,2021-10-22
9840.094452000005,2021-10-25
9764.094452000005,2021-10-26
9603.094452000005,2021-10-27
9575.293652000004,2021-10-28
9589.293652000004,2021-10-29
9645.094452000005,2021-11-01
9692.293652000004,2021-11-02
9662.094452000005,2021-11-03
9708.094452000005,2021-11-04
9744.293652000004,2021-11-08
9741.293652000004,2021-11-09
9617.293652000004,2021-11-10
9521.494052000002,2021-11-11
9636.494052000002,2021-11-12
9715.694052000003,2021-11-15
9643.293652000004,2021-11-16
9581.293652000004,2021-11-17
9614.293652000004,2021-11-18
9570.894052000003,2021-11-22
9593.494052000002,2021-11-23
9515.694052000003,2021-11-24
9412.894052000003,2021-11-25
9357.094452000005,2021-11-26
9334.293652000004,2021-11-29
9286.894052000003,2021-11-30
9396.094452000005,2021-12-01
9549.894052000003,2021-12-02
9391.293652000004,2021-12-03
9242.694052000003,2021-12-06
9303.094452000005,2021-12-07
9379.094452000005,2021-12-08
9375.694052000003,2021-12-09
9347.894052000003,2021-12-10
9234.094452000005,2021-12-13
9289.894052000003,2021-12-14
9300.494052000002,2021-12-15
9254.694052000003,2021-12-16
8937.694052000003,2021-12-17
9093.094452000005,2021-12-20
9108.094452000005,2021-12-21
9127.293652000004,2021-12-22
9219.293652000004,2021-12-23
9204.494052000002,2021-12-24
9222.293652000004,2021-12-27
9253.094452000005,2021-12-28
9244.094452000005,2021-12-29
9319.094452000005,2021-12-30
9457.293652000004,2021-12-31
9461.894052000003,2022-01-03
9621.694052000003,2022-01-04
9597.681552000005,2022-01-05
9597.681552000005,2022-01-06
9597.681552000005,2022-01-07
9597.681552000005,2022-01-10
9597.681552000005,2022-01-11
9597.681552000005,2022-01-12
9597.681552000005,2022-01-13
9597.681552000005,2022-01-14
9677.444552000008,2022-01-17
9597.244552000007,2022-01-18
9358.844152000007,2022-01-19
9166.444552000008,2022-01-20
9420.844152000007,2022-01-21
9257.644952000008,2022-01-24
9428.244552000007,2022-01-25
9300.644952000008,2022-01-27
9253.444552000008,2022-01-28
9214.244552000007,2022-01-31
9341.844152000007,2022-02-01
9430.844152000007,2022-02-02
9311.844152000007,2022-02-03
9345.644952000008,2022-02-04
9149.644952000008,2022-02-07
9176.644952000008,2022-02-08
9229.844152000007,2022-02-09
9251.844152000007,2022-02-10
9151.244552000007,2022-02-11
9033.444552000008,2022-02-14
9279.644952000008,2022-02-15
9265.244552000007,2022-02-16
9349.444552000008,2022-02-17
9369.444552000008,2022-02-18
9298.444552000008,2022-02-21
9199.044552000007,2022-02-22
9160.844152000007,2022-02-23
8804.844152000007,2022-02-24
8802.044552000007,2022-02-25
8807.644952000008,2022-02-28
8715.644952000008,2022-03-02
8483.244552000007,2022-03-03
8197.244552000007,2022-03-04
7895.044552000008,2022-03-07
7915.244552000007,2022-03-08
8110.844552000008,2022-03-09
8527.044552000007,2022-03-10
8496.844152000007,2022-03-11
8356.444552000008,2022-03-14
8272.044552000007,2022-03-15
8407.844152000007,2022-03-16
8527.444552000008,2022-03-17
8324.044552000007,2022-03-21
8093.244552000007,2022-03-22
8033.444552000007,2022-03-23
7982.844552000008,2022-03-24
7931.244552000007,2022-03-25
8019.644552000007,2022-03-28
8067.444552000007,2022-03-29
8182.844552000008,2022-03-30
8313.844152000007,2022-03-31
8431.844152000007,2022-04-01
8633.044552000007,2022-04-04
8678.444552000008,2022-04-05
8687.444552000008,2022-04-06
8778.444552000008,2022-04-07
8851.444552000008,2022-04-08
8829.614052000008,2022-04-11
8829.614052000008,2022-04-12
8887.891152000007,2022-04-13
8989.891152000007,2022-04-18
8968.114653000008,2022-04-19
9154.584153000007,2022-04-20
9286.584153000007,2022-04-21
9002.584153000007,2022-04-22
8897.784153000008,2022-04-25
9088.184553000008,2022-04-26
9075.184553000008,2022-04-27
9462.184553000008,2022-04-28
9434.184553000008,2022-04-29
9416.784153000008,2022-05-02
9180.984153000009,2022-05-04
9161.184553000008,2022-05-05
9091.584153000007,2022-05-06
8961.383753000007,2022-05-09
9216.383753000007,2022-05-10
9148.784153000008,2022-05-11
9049.984153000009,2022-05-12
9271.184553000008,2022-05-13
9363.784153000008,2022-05-16
9474.784153000008,2022-05-17
9660.383753000007,2022-05-18
9552.984153000009,2022-05-19
9798.584153000007,2022-05-20
9775.324653000007,2022-05-23
9775.324653000007,2022-05-24
9708.428554000007,2022-05-25
9634.428554000007,2022-05-26
9836.028954000009,2022-05-27
9909.428554000007,2022-05-30
9926.628554000008,2022-05-31
9747.428554000007,2022-06-01
9652.828554000009,2022-06-02
9681.428554000007,2022-06-03
9635.628554000008,2022-06-06
9360.028954000009,2022-06-07
9301.828554000009,2022-06-08
9304.428554000007,2022-06-09
9313.228154000008,2022-06-10
9301.228154000008,2022-06-13
9197.628554000008,2022-06-14
9099.828554000009,2022-06-15
9100.428554000007,2022-06-16
8955.428554000007,2022-06-17
9297.228154000008,2022-06-20
9333.628554000008,2022-06-21
9325.028954000009,2022-06-22
9524.028954000009,2022-06-23
9729.228154000008,2022-06-24
9706.189155000007,2022-06-27
9706.189155000007,2022-06-28
9706.189155000007,2022-06-29
9672.45505500001,2022-06-30
9879.45505500001,2022-07-01
10250.854655000008,2022-07-04
10227.10265500001,2022-07-05
10227.10265500001,2022-07-06
10227.10265500001,2022-07-07
10227.10265500001,2022-07-08
10227.10265500001,2022-07-11
10227.10265500001,2022-07-12
10227.10265500001,2022-07-13
10227.10265500001,2022-07-14
10227.10265500001,2022-07-15
10227.10265500001,2022-07-18
10227.10265500001,2022-07-19
10227.10265500001,2022-07-20
10227.10265500001,2022-07-21
10227.10265500001,2022-07-22
10227.10265500001,2022-07-25
10227.10265500001,2022-07-26
10341.031254000009,2022-07-27
10493.63165400001,2022-07-28
10562.830854000009,2022-07-29
10385.23125400001,2022-08-01
10554.23125400001,2022-08-02
10518.63165400001,2022-08-03
10525.031254000009,2022-08-04
10594.830854000009,2022-08-05
10614.63165400001,2022-08-08
10584.43125400001,2022-08-10
10468.031254000009,2022-08-11
10393.031254000009,2022-08-12
10591.23125400001,2022-08-16
10751.830854000009,2022-08-17
10741.43125400001,2022-08-18
10551.43125400001,2022-08-19
10520.031254000009,2022-08-22
10384.23125400001,2022-08-23
10366.23125400001,2022-08-24
10310.031254000009,2022-08-25
10299.43125400001,2022-08-26
10316.43125400001,2022-08-29
10652.63165400001,2022-08-30
10437.23125400001,2022-09-01
10427.63165400001,2022-09-02
10415.63165400001,2022-09-05
10305.63165400001,2022-09-06
10271.63165400001,2022-09-07
10321.830854000009,2022-09-08
10368.031254000009,2022-09-09
10334.830854000009,2022-09-12
10359.63165400001,2022-09-13
10298.830854000009,2022-09-14
10254.830854000009,2022-09-15
10125.830854000009,2022-09-16
10330.23125400001,2022-09-19
10347.43125400001,2022-09-20
10507.63165400001,2022-09-21
10784.23125400001,2022-09-22
10749.367504000009,2022-09-23
10735.95725400001,2022-09-26
10784.15175400001,2022-09-27
10875.55215400001,2022-09-28
10869.35175400001,2022-09-29
10852.951754000009,2022-09-30
10557.15175400001,2022-10-03
10738.951754000009,2022-10-04
10523.15175400001,2022-10-06
10465.951754000009,2022-10-07
10489.55215400001,2022-10-10
10269.751354000009,2022-10-11
10432.55215400001,2022-10-12
10332.751354000009,2022-10-13
10370.35175400001,2022-10-14
10429.35175400001,2022-10-17
10476.15175400001,2022-10-18
10399.15175400001,2022-10-19
10470.751354000009,2022-10-20
10682.751354000009,2022-10-21
10359.55215400001,2022-10-24
10088.751354000009,2022-10-25
10143.15175400001,2022-10-27
10164.15175400001,2022-10-28
10269.951754000009,2022-10-31
10274.35175400001,2022-11-01
10140.35175400001,2022-11-02
10252.55215400001,2022-11-03
10148.55215400001,2022-11-04
10198.35175400001,2022-11-07
10102.35175400001,2022-11-09
10121.55215400001,2022-11-10
10079.35175400001,2022-11-11
9898.35175400001,2022-11-14
9897.15175400001,2022-11-15
9978.55215400001,2022-11-16
9907.15175400001,2022-11-17
10001.951754000009,2022-11-18
10072.751354000009,2022-11-21
10129.951754000009,2022-11-22
10096.55215400001,2022-11-23
10263.751354000009,2022-11-24
10216.951754000009,2022-11-25
10167.951754000009,2022-11-28
10603.951754000009,2022-11-29
10577.60975400001,2022-11-30
10577.60975400001,2022-12-01
10577.60975400001,2022-12-02
10570.45875300001,2022-12-05
10709.25835300001,2022-12-06
10682.71285300001,2022-12-07
10682.71285300001,2022-12-08
10682.71285300001,2022-12-09
10682.71285300001,2022-12-12
10682.71285300001,2022-12-13
10682.71285300001,2022-12-14
10598.378278750011,2022-12-15
10622.528278750011,2022-12-16
10762.928578750012,2022-12-19
10742.542828000012,2022-12-20
10682.397328000012,2022-12-21
10598.997728000013,2022-12-22
10501.997728000013,2022-12-23
10487.397328000012,2022-12-26
10390.597328000013,2022-12-27
10351.997728000013,2022-12-28
10289.797328000013,2022-12-29
10261.797328000013,2022-12-30
10251.196928000012,2023-01-02
10185.797328000013,2023-01-03
10161.997728000013,2023-01-04
10352.397328000012,2023-01-05
10323.397328000012,2023-01-06
10513.797328000013,2023-01-09
10592.997728000013,2023-01-10
10390.597328000013,2023-01-11
10377.797328000013,2023-01-12
10513.597328000013,2023-01-13
10405.997728000013,2023-01-16
10687.797328000013,2023-01-17
10762.397328000012,2023-01-18
10735.535328000013,2023-01-19
10305.037828000013,2023-01-20
10495.637428000013,2023-01-23
10512.037828000013,2023-01-24
10599.438228000014,2023-01-25
10558.637428000013,2023-01-27
10382.637428000013,2023-01-30
10417.037828000013,2023-01-31
10407.037828000013,2023-02-01
10649.438228000014,2023-02-02
10705.037828000013,2023-02-03
10660.438228000014,2023-02-06
10514.837828000012,2023-02-07
10441.237828000014,2023-02-08
10456.837828000012,2023-02-09
10420.037828000013,2023-02-10
10434.037828000013,2023-02-13
10428.438228000014,2023-02-14
10303.837828000012,2023-02-15
10218.438228000014,2023-02-16
10172.037828000013,2023-02-17
10155.837828000012,2023-02-20
10174.637428000013,2023-02-21
10086.237828000014,2023-02-22
10072.637428000013,2023-02-23
10046.837828000012,2023-02-24
9982.637428000013,2023-02-27
9952.637428000013,2023-02-28
9975.037828000013,2023-03-01
9931.438228000014,2023-03-02
9994.037828000013,2023-03-03
10049.438228000014,2023-03-06
10050.438228000014,2023-03-08
9955.637428000013,2023-03-09
9971.837828000012,2023-03-10
9930.438228000014,2023-03-13
9879.837828000012,2023-03-14
9734.438228000014,2023-03-15
9947.438228000014,2023-03-16
9899.637428000013,2023-03-17
10154.837828000012,2023-03-20
9960.438228000014,2023-03-21
10015.438228000014,2023-03-22
10050.438228000014,2023-03-23
10033.237828000014,2023-03-24
10106.037828000013,2023-03-27
10041.237828000014,2023-03-28
10233.438228000014,2023-03-29
10351.438228000014,2023-03-31
10325.834727000014,2023-04-03
10487.073326000014,2023-04-05
10461.245826000015,2023-04-06
10461.245826000015,2023-04-10
10498.324727000016,2023-04-11
10423.124727000015,2023-04-12
10452.124727000015,2023-04-13
10514.725127000016,2023-04-17
10471.524727000016,2023-04-18
10433.725127000016,2023-04-19
10277.725127000016,2023-04-20
10299.124727000015,2023-04-21
10306.324727000016,2023-04-24
10269.124727000015,2023-04-25
10350.524727000016,2023-04-26
10183.124727000015,2023-04-27
10136.524727000016,2023-04-28
10114.124727000015,2023-05-02
10251.324727000016,2023-05-03
10334.324727000016,2023-05-04
10310.324727000016,2023-05-05
10372.524727000016,2023-05-08
10370.524727000016,2023-05-09
10398.124727000015,2023-05-10
10676.924327000015,2023-05-11
10651.000328000016,2023-05-12
10651.000328000016,2023-05-15
10651.000328000016,2023-05-16
10651.000328000016,2023-05-17
10651.000328000016,2023-05-18
10651.000328000016,2023-05-19
10651.000328000016,2023-05-22
10651.000328000016,2023-05-23
10651.000328000016,2023-05-24
10554.050828000018,2023-05-25
10774.451228000018,2023-05-26
10766.250828000018,2023-05-29
10791.250828000018,2023-05-30
10835.250828000018,2023-05-31
10956.650428000017,2023-06-01
11031.850828000017,2023-06-02
11004.683828000017,2023-06-05
10959.125428000018,2023-06-06
11059.325828000017,2023-06-07
10914.125428000018,2023-06-08
10739.325828000017,2023-06-09
10768.325828000017,2023-06-12
10898.125428000018,2023-06-13
10989.525828000018,2023-06-14
10953.325828000017,2023-06-15
11057.125428000018,2023-06-16
10927.525828000018,2023-06-19
10898.926228000018,2023-06-20
10900.926228000018,2023-06-21
10811.926228000018,2023-06-22
10760.926228000018,2023-06-23
10802.926228000018,2023-06-26
10799.926228000018,2023-06-27
10839.525828000018,2023-06-28
10907.125428000018,2023-06-30
10998.725828000019,2023-07-03
10994.525828000018,2023-07-04
11217.926228000018,2023-07-05
11190.367727000019,2023-07-06
11190.367727000019,2023-07-07
10997.18632600002,2023-07-10
11108.986326000018,2023-07-11
11065.585926000018,2023-07-12
10989.786326000018,2023-07-13
11078.585926000018,2023-07-14
11097.786326000018,2023-07-17
11102.18632600002,2023-07-18
11057.386726000019,2023-07-19
11183.986326000018,2023-07-20
10786.986326000018,2023-07-21
10691.986326000018,2023-07-24
10643.585926000018,2023-07-25
10704.18632600002,2023-07-26
10650.386726000019,2023-07-27
10709.386726000019,2023-07-28
10614.18632600002,2023-07-31
10575.386726000019,2023-08-01
10646.786326000018,2023-08-02
10576.18632600002,2023-08-03
10554.986326000018,2023-08-04
10647.786326000018,2023-08-07
10634.386726000019,2023-08-08
10579.786326000018,2023-08-09
10517.786326000018,2023-08-10
10378.18632600002,2023-08-11
10503.386726000019,2023-08-14
10581.386726000019,2023-08-16
10543.986326000018,2023-08-17
10589.986326000018,2023-08-18
10621.986326000018,2023-08-21
10634.18632600002,2023-08-22
10667.18632600002,2023-08-23
10695.986326000018,2023-08-24
10625.18632600002,2023-08-25
10593.786326000018,2023-08-28
10475.585926000018,2023-08-29
10498.786326000018,2023-08-30
10391.18632600002,2023-08-31
10390.18632600002,2023-09-01
10376.585926000018,2023-09-04
10399.18632600002,2023-09-05
10464.986326000018,2023-09-06
10400.786326000018,2023-09-07
10426.18632600002,2023-09-08
10515.986326000018,2023-09-11
10366.386726000019,2023-09-12
10397.18632600002,2023-09-13
10374.18632600002,2023-09-14
10249.786326000018,2023-09-15
10325.585926000018,2023-09-18
10238.386726000019,2023-09-20
10264.386726000019,2023-09-21
10300.786326000018,2023-09-22
10274.386726000019,2023-09-25
10286.786326000018,2023-09-26
10377.986326000018,2023-09-27
10212.386726000019,2023-09-28
10233.386726000019,2023-09-29
10246.585926000018,2023-10-03
10402.386726000019,2023-10-04
10449.18632600002,2023-10-05
10368.585926000018,2023-10-06
10416.18632600002,2023-10-09
10435.786326000018,2023-10-10
10596.585926000018,2023-10-11
10571.021927000018,2023-10-12
10571.021927000018,2023-10-13
10571.021927000018,2023-10-16
10571.021927000018,2023-10-17
10571.021927000018,2023-10-18
10544.939827000018,2023-10-19
10333.139027000017,2023-10-20
10286.539427000018,2023-10-23
10261.739427000019,2023-10-25
10258.139027000017,2023-10-26
10280.739427000019,2023-10-27
10268.139027000017,2023-10-30
10288.539427000018,2023-10-31
10241.539427000018,2023-11-01
10299.739427000019,2023-11-02
10389.539427000018,2023-11-03
10342.139027000017,2023-11-06
10338.339427000017,2023-11-07
10429.939827000018,2023-11-08
10259.339427000017,2023-11-09
10298.739427000019,2023-11-10
10318.739427000019,2023-11-12
10265.139027000017,2023-11-13
10298.139027000017,2023-11-15
10317.339427000017,2023-11-16
10467.739427000019,2023-11-17
10378.339427000017,2023-11-20
10373.539427000018,2023-11-21
10440.139027000017,2023-11-22
10432.139027000017,2023-11-23
10413.339427000017,2023-11-24
10394.739427000019,2023-11-28
10452.739427000019,2023-11-29
10534.739427000019,2023-11-30
10509.283927000019,2023-12-01
10509.283927000019,2023-12-04
10509.283927000019,2023-12-05
10509.283927000019,2023-12-06
10509.283927000019,2023-12-07
10500.30142700002,2023-12-08
10425.70102700002,2023-12-11
10422.10142700002,2023-12-12
10458.70102700002,2023-12-13
10476.50182700002,2023-12-14
10502.70102700002,2023-12-15
10553.10142700002,2023-12-18
10653.901427000019,2023-12-19
10641.10142700002,2023-12-20
10623.901427000019,2023-12-21
10713.50182700002,2023-12-22
10750.10142700002,2023-12-26
10724.25392700002,2023-12-27
10724.25392700002,2023-12-28
10724.25392700002,2023-12-29
10724.25392700002,2024-01-01
10724.25392700002,2024-01-02
10724.25392700002,2024-01-03
10642.188427000021,2024-01-04
10752.188427000021,2024-01-05
10584.98842700002,2024-01-08
10590.98842700002,2024-01-09
10581.58802700002,2024-01-10
10416.78842700002,2024-01-11
10447.98842700002,2024-01-12
10564.78842700002,2024-01-15
10548.38882700002,2024-01-16
10523.58802700002,2024-01-17
10463.98842700002,2024-01-18
10533.58802700002,2024-01-19
10147.58802700002,2024-01-20
9774.188427000021,2024-01-23
10038.58802700002,2024-01-24
9985.188427000021,2024-01-25
10049.58802700002,2024-01-29
10106.58802700002,2024-01-30
10198.188427000021,2024-01-31
10166.38882700002,2024-02-01
10082.38882700002,2024-02-02
9949.98842700002,2024-02-05
9977.38882700002,2024-02-06
9973.78842700002,2024-02-07
9940.188427000021,2024-02-08
9968.58802700002,2024-02-09
9814.58802700002,2024-02-12
9847.98842700002,2024-02-13
9823.78842700002,2024-02-14
9675.38882700002,2024-02-15
9772.98842700002,2024-02-16
9820.58802700002,2024-02-19
9888.38882700002,2024-02-20
9900.38882700002,2024-02-21
9824.38882700002,2024-02-22
9848.38882700002,2024-02-23
9888.98842700002,2024-02-26
9893.188427000021,2024-02-27
9958.188427000021,2024-02-28
9921.188427000021,2024-02-29
9910.78842700002,2024-03-01
9936.78842700002,2024-03-02
9959.98842700002,2024-03-04
9871.38882700002,2024-03-05
9875.188427000021,2024-03-06
9950.188427000021,2024-03-07
9831.38882700002,2024-03-11
9784.58802700002,2024-03-12
9522.38882700002,2024-03-13
9610.38882700002,2024-03-14
9582.78842700002,2024-03-15
9471.78842700002,2024-03-18
9339.78842700002,2024-03-19
9239.78842700002,2024-03-20
9241.38882700002,2024-03-21
9298.188427000021,2024-03-22
9231.98842700002,2024-03-26
9230.78842700002,2024-03-27
9329.38882700002,2024-03-28
9415.58802700002,2024-04-01
9418.78842700002,2024-04-02
9332.78842700002,2024-04-03
9331.78842700002,2024-04-04
9339.78842700002,2024-04-05
9347.78842700002,2024-04-08
9328.58802700002,2024-04-09
9315.58802700002,2024-04-10
9201.188427000021,2024-04-12
9048.188427000021,2024-04-15
9155.188427000021,2024-04-16
9131.188427000021,2024-04-18
9198.38882700002,2024-04-19
9237.98842700002,2024-04-22
9322.98842700002,2024-04-23
9312.98842700002,2024-04-24
9195.38882700002,2024-04-25
9162.58802700002,2024-04-26
9176.38882700002,2024-04-29
9193.78842700002,2024-04-30
9177.188427000021,2024-05-02
9140.188427000021,2024-05-03
9296.78842700002,2024-05-06
9789.58802700002,2024-05-07
9765.79402800002,2024-05-08
9765.79402800002,2024-05-09
9765.79402800002,2024-05-10
9765.79402800002,2024-05-13
9765.79402800002,2024-05-14
9765.79402800002,2024-05-15
