trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-02-05,HINDUNILVR,Buy,4,2269.55,22.695500000000003,9078.2,9845.704099999999,0,4
2,2021-03-22,HINDUNILVR,Sell,4,2353.2,23.532,9412.8,10288.3725,4,0
3,2021-03-25,HINDUNILVR,Buy,4,2237.05,22.370500000000003,8948.2,10589.4016,0,4
4,2021-03-30,HINDUNILVR,Sell,4,2398.75,23.9875,9595.0,10888.8145,4,0
5,2021-04-07,HINDUNILVR,Buy,4,2405.25,24.052500000000002,9621.0,10883.3616,0,4
6,2021-04-09,HINDUNILVR,Sell,4,2476.0,24.76,9904.0,11123.002,4,0
7,2021-04-13,HINDUNILVR,Buy,4,2454.3999,24.543999,9817.5996,11123.458001,0,4
8,2021-06-17,HINDUNILVR,Sell,4,2417.7,24.177,9670.8,10927.481401000001,4,0
9,2021-06-25,HINDUNILVR,Buy,4,2448.6499,24.486499,9794.5996,10949.195302000002,0,4
10,2021-06-29,HINDUNILVR,Sell,4,2492.55,24.925500000000003,9970.2,11053.669802000004,4,0
11,2021-06-30,HINDUNILVR,Buy,4,2471.3,24.713,9885.2,11055.756802000004,0,4
12,2021-08-17,HINDUNILVR,Sell,4,2483.8,24.838,9935.2,11054.118802000005,4,0
13,2021-09-14,HINDUNILVR,Buy,3,2762.55,20.719125000000005,8287.650000000001,11072.099677000002,0,3
14,2021-09-17,HINDUNILVR,Buy,1,2722.25,6.805625,2722.25,11218.094452000005,3,4
15,2022-01-04,HINDUNILVR,Sell,4,2401.25,24.0125,9605.0,9597.681552000005,4,0
16,2022-01-14,HINDUNILVR,Buy,4,2363.7,23.636999999999997,9454.8,9677.444552000008,0,4
17,2022-04-08,HINDUNILVR,Sell,4,2183.05,21.8305,8732.2,8829.614052000008,4,0
18,2022-04-12,HINDUNILVR,Buy,4,2132.25,21.3225,8529.0,8887.891152000007,0,4
19,2022-04-18,HINDUNILVR,Sell,4,2177.6499,21.776498999999998,8710.5996,8968.114653000008,4,0
20,2022-04-19,HINDUNILVR,Buy,4,2113.05,21.1305,8452.2,9154.584153000007,0,4
