account_value,date
10000.0,2021-05-19
10000.0,2021-05-20
10000.0,2021-05-21
10000.0,2021-05-24
10000.0,2021-05-25
10000.0,2021-05-26
10000.0,2021-05-27
10000.0,2021-05-28
10000.0,2021-05-31
10000.0,2021-06-01
10000.0,2021-06-02
10000.0,2021-06-03
10000.0,2021-06-04
10000.0,2021-06-07
9910.9541197,2021-06-08
9811.63551955,2021-06-09
9876.13611955,2021-06-10
9805.63596955,2021-06-11
9797.38611955,2021-06-14
9949.63566955,2021-06-15
9871.63551955,2021-06-16
9765.13581955,2021-06-17
9726.13611955,2021-06-18
9738.88581955,2021-06-21
9732.88551955,2021-06-22
9640.63596955,2021-06-23
9780.88566955,2021-06-24
10005.13581955,2021-06-25
10024.63566955,2021-06-28
9871.63551955,2021-06-29
9733.63611955,2021-06-30
9732.88551955,2021-07-01
9873.88581955,2021-07-02
9987.88551955,2021-07-05
10024.63566955,2021-07-06
10080.13581955,2021-07-07
9898.63611955,2021-07-08
9848.38566955,2021-07-09
9963.88581955,2021-07-12
10244.38596955,2021-07-13
10235.38551955,2021-07-14
10281.88596955,2021-07-15
10174.63566955,2021-07-16
10108.63611955,2021-07-19
9898.63611955,2021-07-20
10109.38596955,2021-07-22
10419.88611955,2021-07-23
10421.38581955,2021-07-26
10398.399579550001,2021-07-27
10396.705954525001,2021-07-28
10396.705954525001,2021-07-29
10396.705954525001,2021-07-30
10396.705954525001,2021-08-02
10396.705954525001,2021-08-03
10396.705954525001,2021-08-04
10396.705954525001,2021-08-05
10396.705954525001,2021-08-06
10396.705954525001,2021-08-09
10396.705954525001,2021-08-10
10396.705954525001,2021-08-11
10396.705954525001,2021-08-12
10396.705954525001,2021-08-13
10396.705954525001,2021-08-16
10396.705954525001,2021-08-17
10396.705954525001,2021-08-18
10266.215734875,2021-08-20
10294.51398485,2021-08-23
10470.76398485,2021-08-24
10419.76368485,2021-08-25
10536.01368485,2021-08-26
10550.26383485,2021-08-27
10758.76413485,2021-08-30
10767.922734350002,2021-08-31
10758.934609475002,2021-09-01
10758.934609475002,2021-09-02
10758.934609475002,2021-09-03
10758.934609475002,2021-09-06
10758.934609475002,2021-09-07
10758.934609475002,2021-09-08
10758.934609475002,2021-09-09
10758.934609475002,2021-09-13
10758.934609475002,2021-09-14
10830.773439125001,2021-09-15
11021.738014175002,2021-09-16
10915.988164175002,2021-09-17
10880.632893475004,2021-09-20
10883.532593475004,2021-09-21
10756.032593475004,2021-09-22
10960.782893475003,2021-09-23
11050.033043475003,2021-09-24
11155.782893475003,2021-09-27
10963.033193475003,2021-09-28
10930.282922775004,2021-09-29
10775.700122775006,2021-09-30
10648.200122775006,2021-10-01
10765.950572775006,2021-10-04
10719.450122775006,2021-10-05
10605.450422775006,2021-10-06
10795.950572775006,2021-10-07
10813.950722775005,2021-10-08
10962.450272775006,2021-10-11
10891.950122775006,2021-10-12
10912.200572775006,2021-10-13
11172.450272775006,2021-10-14
11444.700572775006,2021-10-18
11420.609822425005,2021-10-19
11418.741197400004,2021-10-20
11418.741197400004,2021-10-21
11418.741197400004,2021-10-22
11418.741197400004,2021-10-25
11418.741197400004,2021-10-26
11418.741197400004,2021-10-27
11418.741197400004,2021-10-28
11418.741197400004,2021-10-29
11418.741197400004,2021-11-01
11418.741197400004,2021-11-02
11418.741197400004,2021-11-03
11418.741197400004,2021-11-04
11418.741197400004,2021-11-08
11418.741197400004,2021-11-09
11312.112367750005,2021-11-10
11179.812227750004,2021-11-11
11251.911807750004,2021-11-12
11205.711947750005,2021-11-15
11076.211947750005,2021-11-16
11037.711947750005,2021-11-17
11060.112367750005,2021-11-18
10907.512087750005,2021-11-22
10905.411807750004,2021-11-23
11022.312227750004,2021-11-24
10894.211947750005,2021-11-25
10490.312227750004,2021-11-26
10437.112367750005,2021-11-29
10380.411807750004,2021-11-30
10567.312227750004,2021-12-01
10493.112367750005,2021-12-02
10407.711947750005,2021-12-03
10313.211947750005,2021-12-06
10664.612367750005,2021-12-07
10927.112367750005,2021-12-08
10949.512087750005,2021-12-09
10991.512087750005,2021-12-10
10935.512087750005,2021-12-13
11000.612367750005,2021-12-14
10911.012087750005,2021-12-15
10755.612367750005,2021-12-16
10575.711947750005,2021-12-17
10318.812227750004,2021-12-20
10464.411807750004,2021-12-21
10638.711947750005,2021-12-22
10617.711947750005,2021-12-23
10558.911807750004,2021-12-24
10683.512087750005,2021-12-27
10680.711947750005,2021-12-28
10679.312227750004,2021-12-29
10679.312227750004,2021-12-30
10741.612367750005,2021-12-31
11085.312227750004,2022-01-03
11199.411807750004,2022-01-04
11172.362058450004,2022-01-05
11172.362058450004,2022-01-06
11172.362058450004,2022-01-07
11172.362058450004,2022-01-10
11172.362058450004,2022-01-11
11172.362058450004,2022-01-12
11172.362058450004,2022-01-13
11172.362058450004,2022-01-14
11172.362058450004,2022-01-17
11172.362058450004,2022-01-18
11172.362058450004,2022-01-19
11172.362058450004,2022-01-20
11172.362058450004,2022-01-21
11172.362058450004,2022-01-24
11172.362058450004,2022-01-25
11172.362058450004,2022-01-27
11172.362058450004,2022-01-28
11252.121387750005,2022-01-31
11553.121387750005,2022-02-01
11601.421527750004,2022-02-02
11534.221667750004,2022-02-03
11496.520192525006,2022-02-04
11217.306987750006,2022-02-07
11302.706707750007,2022-02-08
11446.906567750008,2022-02-09
11484.706707750007,2022-02-10
11278.906567750008,2022-02-11
10759.506847750006,2022-02-14
11072.406567750008,2022-02-15
10904.406567750008,2022-02-16
10712.606427750005,2022-02-17
10692.306987750006,2022-02-18
10770.006847750006,2022-02-21
10725.906567750008,2022-02-22
10632.106427750005,2022-02-23
10111.306987750006,2022-02-24
10428.406567750008,2022-02-25
10605.506847750006,2022-02-28
10215.606427750005,2022-03-02
9983.906567750008,2022-03-03
9840.406567750008,2022-03-04
9360.206707750007,2022-03-07
9517.706707750007,2022-03-08
9552.006847750006,2022-03-09
9680.106427750005,2022-03-10
9698.306987750006,2022-03-11
9953.806987750006,2022-03-14
9970.606427750005,2022-03-15
10119.706707750007,2022-03-16
10289.106427750005,2022-03-17
10158.206707750007,2022-03-21
10262.506847750006,2022-03-22
10263.906567750008,2022-03-23
10066.506847750006,2022-03-24
9997.206707750007,2022-03-25
10152.606427750005,2022-03-28
10221.906567750008,2022-03-29
10440.306987750006,2022-03-30
10431.906567750008,2022-03-31
10406.346068100007,2022-04-01
10406.346068100007,2022-04-04
10406.346068100007,2022-04-05
10406.346068100007,2022-04-06
10406.346068100007,2022-04-07
10406.346068100007,2022-04-08
10406.346068100007,2022-04-11
10406.346068100007,2022-04-12
10406.346068100007,2022-04-13
10406.346068100007,2022-04-18
10406.346068100007,2022-04-19
10406.346068100007,2022-04-20
10406.346068100007,2022-04-21
10406.346068100007,2022-04-22
10406.346068100007,2022-04-25
10406.346068100007,2022-04-26
10406.346068100007,2022-04-27
10526.86170775001,2022-04-28
10472.96128775001,2022-04-29
10440.761427750009,2022-05-02
10206.261427750009,2022-05-04
10269.96128775001,2022-05-05
10136.261427750009,2022-05-06
10011.661147750008,2022-05-09
10024.96128775001,2022-05-10
10065.561567750008,2022-05-11
9807.96128775001,2022-05-12
9549.661147750008,2022-05-13
9628.761427750009,2022-05-16
10006.761427750009,2022-05-17
9969.661147750008,2022-05-18
9730.96128775001,2022-05-19
10000.46128775001,2022-05-20
10021.46128775001,2022-05-23
9980.86170775001,2022-05-24
10053.661147750008,2022-05-25
10265.761427750009,2022-05-26
10423.96128775001,2022-05-27
10545.761427750009,2022-05-30
10519.563927750009,2022-05-31
10519.563927750009,2022-06-01
10519.563927750009,2022-06-02
10519.563927750009,2022-06-03
10519.563927750009,2022-06-06
10519.563927750009,2022-06-07
10519.563927750009,2022-06-08
10519.563927750009,2022-06-09
10315.417677750009,2022-06-10
9867.417677750009,2022-06-13
9832.417677750009,2022-06-14
9856.917677750009,2022-06-15
9734.417677750009,2022-06-16
9851.317397750008,2022-06-17
9838.717817750008,2022-06-20
9980.817397750008,2022-06-21
9847.817397750008,2022-06-22
10023.51795775001,2022-06-23
10223.717817750008,2022-06-24
10278.317397750008,2022-06-27
10179.61753775001,2022-06-28
10073.917677750009,2022-06-29
10136.217817750008,2022-06-30
10090.01795775001,2022-07-01
10316.817397750008,2022-07-04
10307.717817750008,2022-07-05
10398.717817750008,2022-07-06
10480.498757550009,2022-07-07
10469.368757550008,2022-07-08
10469.368757550008,2022-07-11
10469.368757550008,2022-07-12
10469.368757550008,2022-07-13
10469.368757550008,2022-07-14
10469.368757550008,2022-07-15
10469.368757550008,2022-07-18
10469.368757550008,2022-07-19
10469.368757550008,2022-07-20
10469.368757550008,2022-07-21
10469.368757550008,2022-07-22
10469.368757550008,2022-07-25
10469.368757550008,2022-07-26
10469.368757550008,2022-07-27
10469.368757550008,2022-07-28
10469.368757550008,2022-07-29
10469.368757550008,2022-08-01
10469.368757550008,2022-08-02
10469.368757550008,2022-08-03
10469.368757550008,2022-08-04
10469.368757550008,2022-08-05
10469.368757550008,2022-08-08
10469.368757550008,2022-08-10
10469.368757550008,2022-08-11
10469.368757550008,2022-08-12
10469.368757550008,2022-08-16
10469.368757550008,2022-08-17
10469.368757550008,2022-08-18
10469.368757550008,2022-08-19
10469.368757550008,2022-08-22
10469.368757550008,2022-08-23
10469.368757550008,2022-08-24
10469.368757550008,2022-08-25
10469.368757550008,2022-08-26
10469.368757550008,2022-08-29
10469.368757550008,2022-08-30
10469.368757550008,2022-09-01
10469.368757550008,2022-09-02
10469.368757550008,2022-09-05
10469.368757550008,2022-09-06
10469.368757550008,2022-09-07
10469.368757550008,2022-09-08
10469.368757550008,2022-09-09
10469.368757550008,2022-09-12
10469.368757550008,2022-09-13
10469.368757550008,2022-09-14
10469.368757550008,2022-09-15
10469.368757550008,2022-09-16
10469.368757550008,2022-09-19
10469.368757550008,2022-09-20
10469.368757550008,2022-09-21
10469.368757550008,2022-09-22
10469.368757550008,2022-09-23
10469.368757550008,2022-09-26
10341.537257850008,2022-09-27
10304.937377850008,2022-09-28
10237.737617850009,2022-09-29
10454.937377850008,2022-09-30
10291.137137850008,2022-10-03
10522.737617850009,2022-10-04
10736.337497850009,2022-10-06
10701.537257850008,2022-10-07
10691.937377850008,2022-10-10
10558.137137850008,2022-10-11
10531.137137850008,2022-10-12
10354.137137850008,2022-10-13
10553.937377850008,2022-10-14
10733.337497850009,2022-10-17
10873.737617850009,2022-10-18
10816.137137850008,2022-10-19
10789.374138450008,2022-10-20
10789.374138450008,2022-10-21
10789.374138450008,2022-10-24
10789.374138450008,2022-10-25
10789.374138450008,2022-10-27
10789.374138450008,2022-10-28
10789.374138450008,2022-10-31
10789.374138450008,2022-11-01
10789.374138450008,2022-11-02
10789.374138450008,2022-11-03
10789.374138450008,2022-11-04
10888.74173870001,2022-11-07
10809.447988700009,2022-11-09
10811.648098700009,2022-11-10
10765.99787870001,2022-11-11
10638.398098700009,2022-11-14
10822.648098700009,2022-11-15
10843.54776870001,2022-11-16
10911.74787870001,2022-11-17
10917.79776870001,2022-11-18
10929.348208700008,2022-11-21
10908.61319820001,2022-11-22
10906.30394817501,2022-11-23
10906.30394817501,2022-11-24
10906.30394817501,2022-11-25
10906.30394817501,2022-11-28
10906.30394817501,2022-11-29
10906.30394817501,2022-11-30
10906.30394817501,2022-12-01
10906.30394817501,2022-12-02
10906.30394817501,2022-12-05
10906.30394817501,2022-12-06
10906.30394817501,2022-12-07
10980.75019767501,2022-12-08
10956.420447625009,2022-12-09
10960.82011762501,2022-12-12
10989.970337625009,2022-12-13
10866.77022762501,2022-12-14
10724.32011762501,2022-12-15
10649.52022762501,2022-12-16
10698.470337625009,2022-12-19
10734.220337625009,2022-12-20
10542.27022762501,2022-12-21
10524.670447625009,2022-12-22
10395.420447625009,2022-12-23
10552.720337625009,2022-12-26
10634.670447625009,2022-12-27
10615.970337625009,2022-12-28
10716.07011762501,2022-12-29
10526.87000762501,2022-12-30
10654.470337625009,2023-01-02
10642.37000762501,2023-01-03
10617.62000762501,2023-01-04
10398.170447625009,2023-01-05
10298.62000762501,2023-01-06
10334.37000762501,2023-01-09
10202.37000762501,2023-01-10
10256.82011762501,2023-01-11
10194.670447625009,2023-01-12
10335.470337625009,2023-01-13
10245.27022762501,2023-01-16
10244.170447625009,2023-01-17
10292.02022762501,2023-01-18
10255.170447625009,2023-01-19
10301.37000762501,2023-01-20
10316.220337625009,2023-01-23
10305.77022762501,2023-01-24
10135.82011762501,2023-01-25
9716.720337625009,2023-01-27
9786.02022762501,2023-01-30
9878.420447625009,2023-01-31
10054.970337625009,2023-02-01
10164.420447625009,2023-02-02
10229.32011762501,2023-02-03
10118.220337625009,2023-02-06
10107.77022762501,2023-02-07
10177.62000762501,2023-02-08
10196.32011762501,2023-02-09
10119.87000762501,2023-02-10
10084.670447625009,2023-02-13
10245.82011762501,2023-02-14
10306.32011762501,2023-02-15
10291.470337625009,2023-02-16
10216.670447625009,2023-02-17
10100.62000762501,2023-02-20
10123.720337625009,2023-02-21
9959.27022762501,2023-02-22
9964.77022762501,2023-02-23
9964.220337625009,2023-02-24
10147.920447625009,2023-02-27
10130.87000762501,2023-02-28
10146.82011762501,2023-03-01
10121.52022762501,2023-03-02
10281.57011762501,2023-03-03
10272.77022762501,2023-03-06
10320.62000762501,2023-03-08
10142.970337625009,2023-03-09
10007.830562600011,2023-03-10
9848.973937550008,2023-03-13
9870.42349755001,2023-03-14
9821.473937550008,2023-03-15
9799.473937550008,2023-03-16
9935.323717550009,2023-03-17
9937.523827550009,2023-03-20
10112.973937550008,2023-03-21
10198.773827550009,2023-03-22
10146.523827550009,2023-03-23
10112.973937550008,2023-03-24
10072.273827550009,2023-03-27
10138.823717550009,2023-03-28
10097.573717550009,2023-03-29
10386.323717550009,2023-03-31
10370.942457550009,2023-04-03
10368.73295757501,2023-04-05
10368.73295757501,2023-04-06
10368.73295757501,2023-04-10
10368.73295757501,2023-04-11
10368.73295757501,2023-04-12
10368.73295757501,2023-04-13
10368.73295757501,2023-04-17
10368.73295757501,2023-04-18
10368.73295757501,2023-04-19
10368.73295757501,2023-04-20
10368.73295757501,2023-04-21
10368.73295757501,2023-04-24
10368.73295757501,2023-04-25
10368.73295757501,2023-04-26
10368.73295757501,2023-04-27
10368.73295757501,2023-04-28
10368.73295757501,2023-05-02
10368.73295757501,2023-05-03
10368.73295757501,2023-05-04
10368.73295757501,2023-05-05
10368.73295757501,2023-05-08
10368.73295757501,2023-05-09
10368.73295757501,2023-05-10
10368.73295757501,2023-05-11
10368.73295757501,2023-05-12
10368.73295757501,2023-05-15
10368.73295757501,2023-05-16
10368.73295757501,2023-05-17
10368.73295757501,2023-05-18
10368.73295757501,2023-05-19
10368.73295757501,2023-05-22
10368.73295757501,2023-05-23
10368.73295757501,2023-05-24
10368.73295757501,2023-05-25
10368.73295757501,2023-05-26
10368.73295757501,2023-05-29
10368.73295757501,2023-05-30
10368.73295757501,2023-05-31
10368.73295757501,2023-06-01
10368.15253767501,2023-06-02
10441.64394222501,2023-06-05
10390.49372222501,2023-06-06
10369.59405222501,2023-06-07
10344.29416222501,2023-06-08
10345.94383222501,2023-06-09
10322.84405222501,2023-06-12
10406.44383222501,2023-06-13
10365.19383222501,2023-06-14
10219.99372222501,2023-06-15
10303.59405222501,2023-06-16
10182.04416222501,2023-06-19
10208.44383222501,2023-06-20
10199.09405222501,2023-06-21
10210.64394222501,2023-06-22
10185.89394222501,2023-06-23
10229.34405222501,2023-06-26
10324.49372222501,2023-06-27
10339.34405222501,2023-06-28
10307.99372222501,2023-06-30
10395.44383222501,2023-07-03
10419.09405222501,2023-07-04
10565.39394222501,2023-07-05
10580.79416222501,2023-07-06
10437.79416222501,2023-07-07
10459.79416222501,2023-07-10
10421.84405222501,2023-07-11
10415.79416222501,2023-07-12
10540.09405222501,2023-07-13
10587.94383222501,2023-07-14
10683.09405222501,2023-07-17
10665.626551975012,2023-07-18
10663.187926950011,2023-07-19
10663.187926950011,2023-07-20
10663.187926950011,2023-07-21
10663.187926950011,2023-07-24
10663.187926950011,2023-07-25
10663.187926950011,2023-07-26
10663.187926950011,2023-07-27
10663.187926950011,2023-07-28
10663.187926950011,2023-07-31
10663.187926950011,2023-08-01
10663.187926950011,2023-08-02
10663.187926950011,2023-08-03
10663.187926950011,2023-08-04
10690.425626950013,2023-08-07
10732.925626950013,2023-08-08
10660.925526950014,2023-08-09
10574.925226950012,2023-08-10
10462.425226950012,2023-08-11
10529.425326950011,2023-08-14
10498.925426950012,2023-08-16
10450.425626950013,2023-08-17
10440.425626950013,2023-08-18
10485.925526950014,2023-08-21
10453.925426950012,2023-08-22
10602.425226950012,2023-08-23
10623.425526950014,2023-08-24
10637.925626950013,2023-08-25
10639.425326950011,2023-08-28
10611.425426950012,2023-08-29
10522.925626950013,2023-08-30
10521.425426950012,2023-08-31
10620.925526950014,2023-09-01
10607.425226950012,2023-09-04
10617.925626950013,2023-09-05
10508.925426950012,2023-09-06
10590.425626950013,2023-09-07
10639.425326950011,2023-09-08
10716.425426950012,2023-09-11
10838.925426950012,2023-09-12
10831.925326950011,2023-09-13
10810.551006975013,2023-09-14
10855.581756950014,2023-09-15
10833.081756950014,2023-09-18
10802.581856950013,2023-09-20
10524.081556950012,2023-09-21
10434.081556950012,2023-09-22
10494.581456950013,2023-09-25
10418.081756950014,2023-09-26
10362.081456950013,2023-09-27
10357.081456950013,2023-09-28
10450.081856950013,2023-09-29
10334.081556950012,2023-10-03
10231.581556950012,2023-10-04
10339.581456950013,2023-10-05
10383.081756950014,2023-10-06
10317.081456950013,2023-10-09
10443.081756950014,2023-10-10
10462.081456950013,2023-10-11
10473.581656950013,2023-10-12
10444.081556950012,2023-10-13
10445.081856950013,2023-10-16
10470.081856950013,2023-10-17
10368.581656950013,2023-10-18
10288.581656950013,2023-10-19
10258.581656950013,2023-10-20
10230.581756950014,2023-10-23
10092.081456950013,2023-10-25
10007.841647000012,2023-10-26
10052.941427000012,2023-10-27
10186.591647000012,2023-10-30
10081.541207000013,2023-10-31
10067.241317000013,2023-11-01
10132.141537000012,2023-11-02
10284.491317000013,2023-11-03
10412.641537000012,2023-11-06
10441.791207000013,2023-11-07
10305.941427000012,2023-11-08
10323.541207000013,2023-11-09
10337.291207000013,2023-11-10
10378.541427000013,2023-11-12
10291.641537000012,2023-11-13
10364.791207000013,2023-11-15
10308.691427000012,2023-11-16
10153.041207000013,2023-11-17
10148.641537000012,2023-11-20
10199.791207000013,2023-11-21
10162.941427000012,2023-11-22
10165.691427000012,2023-11-23
10236.091647000012,2023-11-24
10193.191427000012,2023-11-28
10348.291207000013,2023-11-29
10297.141537000012,2023-11-30
10426.391537000012,2023-12-01
10915.891537000012,2023-12-04
10913.361526750015,2023-12-05
10910.827901750015,2023-12-06
10910.827901750015,2023-12-07
10910.827901750015,2023-12-08
10910.827901750015,2023-12-11
10910.827901750015,2023-12-12
10910.827901750015,2023-12-13
10910.827901750015,2023-12-14
10910.827901750015,2023-12-15
10910.827901750015,2023-12-18
10910.827901750015,2023-12-19
10910.827901750015,2023-12-20
10910.827901750015,2023-12-21
10910.827901750015,2023-12-22
10910.827901750015,2023-12-26
10957.450602250015,2023-12-27
10993.950602250015,2023-12-28
10900.950402250015,2023-12-29
10928.950802250016,2024-01-01
10757.450602250015,2024-01-02
10775.450502250014,2024-01-03
10806.450802250016,2024-01-04
10871.950702250017,2024-01-05
10754.950602250015,2024-01-08
10732.450602250015,2024-01-09
10865.450502250014,2024-01-10
10846.450802250016,2024-01-11
10969.950602250015,2024-01-12
11033.450602250015,2024-01-15
11025.450602250015,2024-01-16
10752.450602250015,2024-01-17
10798.450402250015,2024-01-18
10926.950702250017,2024-01-19
11021.950602250015,2024-01-20
11225.450602250015,2024-01-23
11199.724352250016,2024-01-24
11199.724352250016,2024-01-25
11199.724352250016,2024-01-29
11199.724352250016,2024-01-30
11199.724352250016,2024-01-31
11199.724352250016,2024-02-01
11199.724352250016,2024-02-02
11199.724352250016,2024-02-05
11199.724352250016,2024-02-06
11199.724352250016,2024-02-07
11199.724352250016,2024-02-08
11388.991952500017,2024-02-09
11225.864982500018,2024-02-12
11486.565202500016,2024-02-13
11518.465202500018,2024-02-14
11451.915202500017,2024-02-15
11524.515202500017,2024-02-16
11750.015202500017,2024-02-19
11728.921452500017,2024-02-20
11726.299577500016,2024-02-21
11726.299577500016,2024-02-22
11726.299577500016,2024-02-23
11726.299577500016,2024-02-26
11726.299577500016,2024-02-27
11726.299577500016,2024-02-28
11726.299577500016,2024-02-29
11726.299577500016,2024-03-01
11726.299577500016,2024-03-02
11726.299577500016,2024-03-04
11726.299577500016,2024-03-05
11726.299577500016,2024-03-06
11726.299577500016,2024-03-07
11726.299577500016,2024-03-11
11726.299577500016,2024-03-12
11726.299577500016,2024-03-13
11726.299577500016,2024-03-14
11726.299577500016,2024-03-15
11726.299577500016,2024-03-18
11726.299577500016,2024-03-19
11726.299577500016,2024-03-20
11726.299577500016,2024-03-21
11726.299577500016,2024-03-22
11726.299577500016,2024-03-26
11726.299577500016,2024-03-27
11726.299577500016,2024-03-28
11726.299577500016,2024-04-01
11726.299577500016,2024-04-02
11726.299577500016,2024-04-03
11726.299577500016,2024-04-04
11744.828327500018,2024-04-05
11782.328327500018,2024-04-08
11981.328327500018,2024-04-09
11953.652077500019,2024-04-10
11953.652077500019,2024-04-12
11953.652077500019,2024-04-15
11953.652077500019,2024-04-16
11810.97582750002,2024-04-18
11938.13720250002,2024-04-19
12151.537202500022,2024-04-22
12191.13720250002,2024-04-23
12262.63720250002,2024-04-24
12449.63720250002,2024-04-25
12412.877827500022,2024-04-26
12407.338327500021,2024-04-29
12407.338327500021,2024-04-30
12407.338327500021,2024-05-02
12407.338327500021,2024-05-03
12407.338327500021,2024-05-06
12407.338327500021,2024-05-07
12407.338327500021,2024-05-08
