account_value,date
10000.0,2021-06-04
10120.390750000002,2021-06-07
10074.940750000002,2021-06-08
9925.54075,2021-06-09
10112.74075,2021-06-10
10029.49075,2021-06-11
10112.29075,2021-06-14
10203.640750000002,2021-06-15
10016.890750000002,2021-06-16
9750.04066,2021-06-17
9852.190930000002,2021-06-18
9961.54075,2021-06-21
9894.49075,2021-06-22
9889.54066,2021-06-23
9899.440750000002,2021-06-24
10009.690750000002,2021-06-25
9973.690750000002,2021-06-28
10056.940750000002,2021-06-29
10040.74075,2021-06-30
9962.890750000002,2021-07-01
9980.440750000002,2021-07-02
10078.54075,2021-07-05
10173.04075,2021-07-06
10297.690750000002,2021-07-07
10302.640750000002,2021-07-08
10253.140750000002,2021-07-09
10337.29075,2021-07-12
10396.690750000002,2021-07-13
10366.99075,2021-07-14
10389.49075,2021-07-15
10292.29075,2021-07-16
10036.24075,2021-07-19
9727.54066,2021-07-20
9822.940930000002,2021-07-22
9800.617554550003,2021-07-23
9800.617554550003,2021-07-26
9800.617554550003,2021-07-27
9800.617554550003,2021-07-28
9800.617554550003,2021-07-29
9800.617554550003,2021-07-30
9800.617554550003,2021-08-02
9800.617554550003,2021-08-03
9800.617554550003,2021-08-04
9800.617554550003,2021-08-05
9800.617554550003,2021-08-06
9800.617554550003,2021-08-09
9800.617554550003,2021-08-10
9800.617554550003,2021-08-11
9724.540554550002,2021-08-12
9623.740554550002,2021-08-13
9577.390554550002,2021-08-16
9408.190554550003,2021-08-17
9313.240734550003,2021-08-18
9290.973609100003,2021-08-20
9290.973609100003,2021-08-23
9290.973609100003,2021-08-24
9290.973609100003,2021-08-25
9290.973609100003,2021-08-26
9290.973609100003,2021-08-27
9290.973609100003,2021-08-30
9290.973609100003,2021-08-31
9290.973609100003,2021-09-01
9290.973609100003,2021-09-02
9290.973609100003,2021-09-03
9290.973609100003,2021-09-06
9290.973609100003,2021-09-07
9290.973609100003,2021-09-08
9290.973609100003,2021-09-09
9290.973609100003,2021-09-13
9631.256949325003,2021-09-14
9787.406949325004,2021-09-15
10480.406949325004,2021-09-16
10471.856949325003,2021-09-17
10111.406949325004,2021-09-20
10539.806949325002,2021-09-21
10574.456949325004,2021-09-22
10824.206949325004,2021-09-23
10769.306949325002,2021-09-24
10658.156949325004,2021-09-27
10514.606949325003,2021-09-28
10410.656949325004,2021-09-29
10308.956949325004,2021-09-30
10238.306949325002,2021-10-01
10380.056949325002,2021-10-04
10819.256949325003,2021-10-05
10488.506949325003,2021-10-06
10802.156949325004,2021-10-07
10871.456949325004,2021-10-08
10861.106949325003,2021-10-11
10938.956949325004,2021-10-12
10962.356949325003,2021-10-13
11191.856949325003,2021-10-14
11278.256949325003,2021-10-18
11047.856949325003,2021-10-19
11117.156949325004,2021-10-20
10961.456949325004,2021-10-21
11069.456949325004,2021-10-22
10901.606949325003,2021-10-25
10695.956949325004,2021-10-26
10584.806949325002,2021-10-27
10885.856949325003,2021-10-28
10859.396949325004,2021-10-29
10859.396949325004,2021-11-01
10859.396949325004,2021-11-02
10859.396949325004,2021-11-03
10933.243074325002,2021-11-04
9781.693074325003,2021-11-08
9757.817199325003,2021-11-09
9757.817199325003,2021-11-10
9757.817199325003,2021-11-11
9757.817199325003,2021-11-12
9757.817199325003,2021-11-15
9757.817199325003,2021-11-16
9757.817199325003,2021-11-17
9757.817199325003,2021-11-18
9757.817199325003,2021-11-22
9757.817199325003,2021-11-23
9757.817199325003,2021-11-24
9757.817199325003,2021-11-25
9757.817199325003,2021-11-26
9757.817199325003,2021-11-29
9757.817199325003,2021-11-30
9757.817199325003,2021-12-01
9757.817199325003,2021-12-02
9757.817199325003,2021-12-03
9757.817199325003,2021-12-06
9757.817199325003,2021-12-07
9757.817199325003,2021-12-08
9757.817199325003,2021-12-09
9757.817199325003,2021-12-10
9757.817199325003,2021-12-13
9757.817199325003,2021-12-14
9757.817199325003,2021-12-15
9757.817199325003,2021-12-16
9757.817199325003,2021-12-17
9757.817199325003,2021-12-20
9757.817199325003,2021-12-21
9757.817199325003,2021-12-22
9757.817199325003,2021-12-23
9757.817199325003,2021-12-24
9757.817199325003,2021-12-27
9757.817199325003,2021-12-28
9757.817199325003,2021-12-29
9757.817199325003,2021-12-30
9757.817199325003,2021-12-31
9757.817199325003,2022-01-03
9676.371439525004,2022-01-04
9667.349339425005,2022-01-05
9844.849339425005,2022-01-06
9850.349239425004,2022-01-07
9836.349039425004,2022-01-10
9807.349339425005,2022-01-11
10043.349139425003,2022-01-12
9898.849039425004,2022-01-13
9828.349139425003,2022-01-14
9832.849239425004,2022-01-17
9624.349439425005,2022-01-18
9560.349239425004,2022-01-19
9399.849339425005,2022-01-20
9377.919339175005,2022-01-21
9377.919339175005,2022-01-24
9377.919339175005,2022-01-25
9377.919339175005,2022-01-27
9377.919339175005,2022-01-28
9377.919339175005,2022-01-31
9377.919339175005,2022-02-01
9377.919339175005,2022-02-02
9377.919339175005,2022-02-03
9335.656554625006,2022-02-04
9128.656554625006,2022-02-07
9170.506734625007,2022-02-08
9435.556824625008,2022-02-09
9482.356464625005,2022-02-10
9572.806824625008,2022-02-11
9205.606464625005,2022-02-14
9458.506734625007,2022-02-15
9446.806824625008,2022-02-16
9333.406554625006,2022-02-17
9329.356464625005,2022-02-18
9303.256734625007,2022-02-21
9183.106464625005,2022-02-22
9287.506734625007,2022-02-23
8612.056824625008,2022-02-24
8592.354699175008,2022-02-25
8592.354699175008,2022-02-28
8592.354699175008,2022-03-02
8592.354699175008,2022-03-03
8592.354699175008,2022-03-04
8592.354699175008,2022-03-07
8592.354699175008,2022-03-08
8592.354699175008,2022-03-09
8592.354699175008,2022-03-10
8592.354699175008,2022-03-11
8592.354699175008,2022-03-14
8592.354699175008,2022-03-15
8592.354699175008,2022-03-16
8592.354699175008,2022-03-17
8592.354699175008,2022-03-21
8700.503108725008,2022-03-22
8733.352838725006,2022-03-23
8674.402928725007,2022-03-24
8687.453018725007,2022-03-25
8767.553198725009,2022-03-28
8713.553198725009,2022-03-29
8687.902928725007,2022-03-30
8769.803198725009,2022-03-31
9068.602838725006,2022-04-01
9236.003108725008,2022-04-04
9110.453018725007,2022-04-05
9065.902928725007,2022-04-06
9104.602838725006,2022-04-07
9221.602838725006,2022-04-08
9175.253108725008,2022-04-11
9217.102838725006,2022-04-12
9201.803198725009,2022-04-13
9148.253108725008,2022-04-18
9025.402928725007,2022-04-19
9104.152928725007,2022-04-20
9254.453018725007,2022-04-21
8989.852838725006,2022-04-22
8870.152928725007,2022-04-25
9175.253108725008,2022-04-26
9153.192983500008,2022-04-27
9255.916553500007,2022-04-28
9167.716643500007,2022-04-29
9523.666733500007,2022-05-02
9165.466643500007,2022-05-04
8791.966643500007,2022-05-05
8599.36691350001,2022-05-06
8368.066823500008,2022-05-09
8348.04857327501,2022-05-10
8348.04857327501,2022-05-11
8348.04857327501,2022-05-12
8348.04857327501,2022-05-13
8348.04857327501,2022-05-16
8348.04857327501,2022-05-17
8348.04857327501,2022-05-18
8348.04857327501,2022-05-19
8348.04857327501,2022-05-20
8348.04857327501,2022-05-23
8348.04857327501,2022-05-24
8348.04857327501,2022-05-25
8348.04857327501,2022-05-26
8348.04857327501,2022-05-27
8348.04857327501,2022-05-30
8348.04857327501,2022-05-31
8309.43157367501,2022-06-01
8426.231813675011,2022-06-02
8277.03165367501,2022-06-03
8312.63173367501,2022-06-06
8272.231813675011,2022-06-07
8192.231813675011,2022-06-08
8245.03165367501,2022-06-09
8188.23181367501,2022-06-10
8169.96781347501,2022-06-13
8169.96781347501,2022-06-14
8169.96781347501,2022-06-15
8169.96781347501,2022-06-16
8169.96781347501,2022-06-17
8169.96781347501,2022-06-20
8169.96781347501,2022-06-21
8169.96781347501,2022-06-22
8169.96781347501,2022-06-23
8169.96781347501,2022-06-24
8169.96781347501,2022-06-27
8169.96781347501,2022-06-28
8169.96781347501,2022-06-29
8169.96781347501,2022-06-30
8169.96781347501,2022-07-01
8169.96781347501,2022-07-04
8169.96781347501,2022-07-05
8169.96781347501,2022-07-06
8371.195528700011,2022-07-07
8259.595348700012,2022-07-08
8347.345348700012,2022-07-11
8245.64543870001,2022-07-12
7993.64543870001,2022-07-13
8010.295708700011,2022-07-14
7957.64543870001,2022-07-15
7939.306813925011,2022-07-18
8073.608099150011,2022-07-19
8174.408189150011,2022-07-20
8793.60809915001,2022-07-21
8742.758369150011,2022-07-22
8919.15818915001,2022-07-25
8915.10809915001,2022-07-26
9078.90818915001,2022-07-27
9420.008279150014,2022-07-28
9652.20827915001,2022-07-29
9622.058279150013,2022-08-01
9865.95827915001,2022-08-02
9785.408279150011,2022-08-03
9712.508279150014,2022-08-04
9587.408279150011,2022-08-05
9712.508279150014,2022-08-08
9828.608279150012,2022-08-10
9973.508279150014,2022-08-11
9984.758279150014,2022-08-12
10020.758279150014,2022-08-16
10058.108279150012,2022-08-17
10206.608279150012,2022-08-18
9830.408279150011,2022-08-19
9775.508279150014,2022-08-22
9900.158279150011,2022-08-23
10177.808279150013,2022-08-24
10070.258279150014,2022-08-25
9888.45827915001,2022-08-26
9793.508279150014,2022-08-29
10227.758279150014,2022-08-30
10263.308279150013,2022-09-01
10167.45827915001,2022-09-02
10232.70827915001,2022-09-05
10239.908279150011,2022-09-06
10070.258279150014,2022-09-07
10235.408279150011,2022-09-08
10495.058279150013,2022-09-09
10492.358279150012,2022-09-12
10734.908279150011,2022-09-13
11202.45827915001,2022-09-14
11023.358279150012,2022-09-15
11306.858279150012,2022-09-16
11292.45827915001,2022-09-19
11637.608279150012,2022-09-20
11278.95827915001,2022-09-21
11209.658279150011,2022-09-22
10910.858279150012,2022-09-23
10607.108279150012,2022-09-26
10746.608279150012,2022-09-27
10528.808279150013,2022-09-28
10540.95827915001,2022-09-29
10927.508279150014,2022-09-30
10900.841279150012,2022-10-03
10900.841279150012,2022-10-04
10900.841279150012,2022-10-06
10900.841279150012,2022-10-07
10900.841279150012,2022-10-10
10900.841279150012,2022-10-11
10900.841279150012,2022-10-12
10900.841279150012,2022-10-13
10900.841279150012,2022-10-14
10900.841279150012,2022-10-17
10900.841279150012,2022-10-18
10900.841279150012,2022-10-19
10900.841279150012,2022-10-20
10715.442404150011,2022-10-21
10689.741779150012,2022-10-24
10689.741779150012,2022-10-25
10689.741779150012,2022-10-27
10689.741779150012,2022-10-28
10689.741779150012,2022-10-31
10689.741779150012,2022-11-01
10689.741779150012,2022-11-02
10689.741779150012,2022-11-03
10689.741779150012,2022-11-04
10689.741779150012,2022-11-07
10689.741779150012,2022-11-09
10689.741779150012,2022-11-10
10689.741779150012,2022-11-11
10689.741779150012,2022-11-14
10689.741779150012,2022-11-15
10689.741779150012,2022-11-16
10689.741779150012,2022-11-17
10689.741779150012,2022-11-18
10689.741779150012,2022-11-21
10717.294279150012,2022-11-22
10738.456279150012,2022-11-23
10749.256279150011,2022-11-24
10853.206279150012,2022-11-25
10949.956279150012,2022-11-28
10794.706279150012,2022-11-29
10679.506279150011,2022-11-30
10734.406279150013,2022-12-01
10777.606279150014,2022-12-02
10928.806279150012,2022-12-05
10826.206279150012,2022-12-06
10651.156279150013,2022-12-07
10886.956279150012,2022-12-08
10991.806279150012,2022-12-09
11030.056279150012,2022-12-12
11283.856279150014,2022-12-13
11447.656279150013,2022-12-14
11325.706279150012,2022-12-15
11235.256279150011,2022-12-16
11181.256279150011,2022-12-19
11227.156279150013,2022-12-20
10985.506279150011,2022-12-21
10790.656279150013,2022-12-22
10499.956279150012,2022-12-23
10930.606279150014,2022-12-26
10903.703029150014,2022-12-27
10903.703029150014,2022-12-28
10903.703029150014,2022-12-29
10903.703029150014,2022-12-30
10903.703029150014,2023-01-02
10903.703029150014,2023-01-03
10736.084029150014,2023-01-04
10678.084029150014,2023-01-05
10406.484029150015,2023-01-06
10700.484029150015,2023-01-09
10771.684029150014,2023-01-10
10657.284029150014,2023-01-11
10624.484029150015,2023-01-12
10826.484029150015,2023-01-13
10865.284029150014,2023-01-16
10794.084029150014,2023-01-17
10735.284029150014,2023-01-18
10555.684029150014,2023-01-19
10570.884029150015,2023-01-20
10588.884029150015,2023-01-23
10649.684029150014,2023-01-24
10200.484029150015,2023-01-25
10177.361029150015,2023-01-27
10177.361029150015,2023-01-30
10177.361029150015,2023-01-31
10177.361029150015,2023-02-01
10177.361029150015,2023-02-02
10177.361029150015,2023-02-03
10177.361029150015,2023-02-06
10177.361029150015,2023-02-07
10177.361029150015,2023-02-08
10177.361029150015,2023-02-09
10177.361029150015,2023-02-10
10177.361029150015,2023-02-13
10177.361029150015,2023-02-14
10177.361029150015,2023-02-15
10144.369029150015,2023-02-16
9875.169029150016,2023-02-17
9831.969029150016,2023-02-20
9809.783029150016,2023-02-21
9809.783029150016,2023-02-22
9809.783029150016,2023-02-23
9809.783029150016,2023-02-24
9809.783029150016,2023-02-27
9809.783029150016,2023-02-28
9809.783029150016,2023-03-01
9809.783029150016,2023-03-02
9809.783029150016,2023-03-03
9809.783029150016,2023-03-06
9809.783029150016,2023-03-08
9809.783029150016,2023-03-09
9586.387029150017,2023-03-10
8908.787029150017,2023-03-13
8887.585029150017,2023-03-14
8887.585029150017,2023-03-15
8887.585029150017,2023-03-16
8887.585029150017,2023-03-17
8887.585029150017,2023-03-20
8887.585029150017,2023-03-21
8887.585029150017,2023-03-22
8887.585029150017,2023-03-23
8887.585029150017,2023-03-24
8887.585029150017,2023-03-27
8887.585029150017,2023-03-28
8887.585029150017,2023-03-29
8887.585029150017,2023-03-31
8887.585029150017,2023-04-03
8887.585029150017,2023-04-05
8887.585029150017,2023-04-06
8764.345029150018,2023-04-10
8803.545029150018,2023-04-11
8807.945029150018,2023-04-12
9084.345029150018,2023-04-13
9204.745029150017,2023-04-17
9385.145029150019,2023-04-18
9173.145029150019,2023-04-19
9219.545029150018,2023-04-20
9140.745029150017,2023-04-21
9025.945029150018,2023-04-24
9183.945029150018,2023-04-25
9312.345029150018,2023-04-26
9367.945029150018,2023-04-27
9432.345029150018,2023-04-28
9417.145029150019,2023-05-02
9379.145029150019,2023-05-03
9286.745029150017,2023-05-04
8796.345029150018,2023-05-05
9220.745029150017,2023-05-08
9334.745029150017,2023-05-09
9311.933029150017,2023-05-10
9395.713404150018,2023-05-11
9544.113404150019,2023-05-12
9620.413404150018,2023-05-15
9625.663404150018,2023-05-16
9736.613404150019,2023-05-17
9755.863404150019,2023-05-18
9819.563404150018,2023-05-19
9806.613404150019,2023-05-22
9904.963404150018,2023-05-23
9985.813404150018,2023-05-24
9927.363404150019,2023-05-25
9959.913404150018,2023-05-26
10078.213404150018,2023-05-29
10136.313404150018,2023-05-30
10089.763404150017,2023-05-31
10114.613404150019,2023-06-01
10100.963404150018,2023-06-02
10196.163404150018,2023-06-05
10225.563404150018,2023-06-06
10261.963404150018,2023-06-07
10210.513404150017,2023-06-08
10400.913404150018,2023-06-09
10410.713404150018,2023-06-12
10437.313404150018,2023-06-13
10346.313404150018,2023-06-14
10163.263404150017,2023-06-15
10281.563404150018,2023-06-16
10193.363404150019,2023-06-19
10172.363404150019,2023-06-20
10089.763404150017,2023-06-21
9992.463404150018,2023-06-22
10244.463404150018,2023-06-23
10288.913404150018,2023-06-26
10295.213404150018,2023-06-27
10421.913404150018,2023-06-28
10706.113404150019,2023-06-30
10746.013404150017,2023-07-03
10655.013404150017,2023-07-04
10880.413404150018,2023-07-05
10814.963404150018,2023-07-06
10583.263404150017,2023-07-07
10652.563404150018,2023-07-10
10750.213404150018,2023-07-11
10683.713404150018,2023-07-12
10717.663404150018,2023-07-13
10722.563404150018,2023-07-14
10817.063404150018,2023-07-17
10815.313404150018,2023-07-18
11020.413404150018,2023-07-19
11059.613404150019,2023-07-20
10935.013404150017,2023-07-21
11133.463404150018,2023-07-24
10991.713404150018,2023-07-25
11077.463404150018,2023-07-26
10992.763404150017,2023-07-27
10897.213404150018,2023-07-28
11007.813404150018,2023-07-31
10845.763404150017,2023-08-01
10752.313404150018,2023-08-02
10635.063404150018,2023-08-03
10950.763404150017,2023-08-04
10926.095404150017,2023-08-07
10822.228529150017,2023-08-08
10853.728529150017,2023-08-09
11005.978529150017,2023-08-10
10775.328529150018,2023-08-11
10716.878529150019,2023-08-14
10659.478529150017,2023-08-16
10614.678529150018,2023-08-17
10596.478529150017,2023-08-18
10572.473779150017,2023-08-21
10572.473779150017,2023-08-22
10572.473779150017,2023-08-23
10717.006279150019,2023-08-24
10549.006279150019,2023-08-25
10607.106279150017,2023-08-28
10542.006279150019,2023-08-29
10488.106279150017,2023-08-30
10388.006279150019,2023-08-31
10656.806279150018,2023-09-01
10693.556279150018,2023-09-04
10707.206279150018,2023-09-05
10601.506279150019,2023-09-06
10818.156279150016,2023-09-07
10882.906279150016,2023-09-08
10892.356279150017,2023-09-11
10745.006279150019,2023-09-12
10926.306279150018,2023-09-13
10948.706279150018,2023-09-14
10890.956279150018,2023-09-15
10939.256279150019,2023-09-18
10824.106279150017,2023-09-20
10620.056279150018,2023-09-21
10911.256279150019,2023-09-22
10840.206279150018,2023-09-25
10702.306279150018,2023-09-26
10796.106279150017,2023-09-27
10631.956279150018,2023-09-28
10742.906279150016,2023-09-29
10788.756279150019,2023-10-03
10550.056279150018,2023-10-04
10525.533529150018,2023-10-05
10525.533529150018,2023-10-06
10525.533529150018,2023-10-09
10525.533529150018,2023-10-10
10505.223904150018,2023-10-11
10526.573904150018,2023-10-12
10802.723904150018,2023-10-13
10681.62390415002,2023-10-16
10608.823904150018,2023-10-17
10499.273904150017,2023-10-18
10709.273904150017,2023-10-19
10840.523904150017,2023-10-20
10601.823904150018,2023-10-23
10445.723904150018,2023-10-25
10459.37390415002,2023-10-26
10645.923904150019,2023-10-27
10739.37390415002,2023-10-30
10645.923904150019,2023-10-31
10585.023904150017,2023-11-01
10785.223904150018,2023-11-02
10708.573904150018,2023-11-03
10848.573904150018,2023-11-06
10961.62390415002,2023-11-07
10979.473904150018,2023-11-08
11108.273904150017,2023-11-09
11048.423904150019,2023-11-10
11071.523904150017,2023-11-12
11124.023904150017,2023-11-13
11014.473904150018,2023-11-15
11047.37390415002,2023-11-16
11045.973904150018,2023-11-17
11090.423904150019,2023-11-20
11071.173904150019,2023-11-21
10849.62390415002,2023-11-22
10959.523904150017,2023-11-23
10890.223904150018,2023-11-24
10899.673904150019,2023-11-28
10873.81677915002,2023-11-29
10873.81677915002,2023-11-30
10873.81677915002,2023-12-01
10873.81677915002,2023-12-04
10873.81677915002,2023-12-05
10873.81677915002,2023-12-06
10873.81677915002,2023-12-07
10876.88365415002,2023-12-08
10967.18365415002,2023-12-11
10793.23365415002,2023-12-12
10862.533654150022,2023-12-13
11176.13365415002,2023-12-14
11309.833654150021,2023-12-15
11208.68365415002,2023-12-18
11280.083654150021,2023-12-19
11207.283654150022,2023-12-20
11304.23365415002,2023-12-21
11250.68365415002,2023-12-22
11309.833654150021,2023-12-26
11496.38365415002,2023-12-27
11588.083654150021,2023-12-28
11506.88365415002,2023-12-29
11506.18365415002,2024-01-01
11343.43365415002,2024-01-02
11522.283654150022,2024-01-03
11854.083654150021,2024-01-04
11816.63365415002,2024-01-05
11703.93365415002,2024-01-08
11689.93365415002,2024-01-09
11795.283654150022,2024-01-10
11919.18365415002,2024-01-11
12032.23365415002,2024-01-12
12136.18365415002,2024-01-15
11983.583654150021,2024-01-16
11821.533654150022,2024-01-17
11604.533654150022,2024-01-18
11241.93365415002,2024-01-19
11061.68365415002,2024-01-20
10406.13365415002,2024-01-23
10380.903904150022,2024-01-24
10380.903904150022,2024-01-25
10380.903904150022,2024-01-29
10380.903904150022,2024-01-30
10380.903904150022,2024-01-31
10380.903904150022,2024-02-01
10380.903904150022,2024-02-02
10380.903904150022,2024-02-05
10380.903904150022,2024-02-06
10380.903904150022,2024-02-07
10380.903904150022,2024-02-08
10380.903904150022,2024-02-09
10380.903904150022,2024-02-12
10380.903904150022,2024-02-13
10380.903904150022,2024-02-14
10380.903904150022,2024-02-15
10380.903904150022,2024-02-16
10380.903904150022,2024-02-19
10380.903904150022,2024-02-20
10380.903904150022,2024-02-21
10380.903904150022,2024-02-22
10305.466654150021,2024-02-23
10222.666654150022,2024-02-26
10381.966654150021,2024-02-27
10118.866654150022,2024-02-28
10097.128654150023,2024-02-29
10097.128654150023,2024-03-01
10070.328904150023,2024-03-02
10102.128904150022,2024-03-04
10169.028904150024,2024-03-05
10241.628904150022,2024-03-06
10296.828904150023,2024-03-07
10160.628904150022,2024-03-11
10112.628904150022,2024-03-12
9930.228904150024,2024-03-13
9774.828904150023,2024-03-14
9820.428904150021,2024-03-15
9798.163654150021,2024-03-18
9798.163654150021,2024-03-19
9798.163654150021,2024-03-20
9798.163654150021,2024-03-21
9798.163654150021,2024-03-22
9798.163654150021,2024-03-26
9798.163654150021,2024-03-27
9798.163654150021,2024-03-28
9798.163654150021,2024-04-01
9877.027654150022,2024-04-02
9776.527654150022,2024-04-03
9787.327654150022,2024-04-04
9835.027654150022,2024-04-05
9930.72765415002,2024-04-08
9850.327654150022,2024-04-09
9837.72765415002,2024-04-10
9854.527654150022,2024-04-12
9760.027654150022,2024-04-15
9466.327654150022,2024-04-16
9367.027654150022,2024-04-18
9412.92765415002,2024-04-19
9390.696904150022,2024-04-22
9390.696904150022,2024-04-23
9390.696904150022,2024-04-24
9390.696904150022,2024-04-25
9390.696904150022,2024-04-26
9390.696904150022,2024-04-29
9390.696904150022,2024-04-30
9390.696904150022,2024-05-02
9390.696904150022,2024-05-03
9390.696904150022,2024-05-06
9390.696904150022,2024-05-07
9390.696904150022,2024-05-08
9390.696904150022,2024-05-09
9390.696904150022,2024-05-10
9390.696904150022,2024-05-13
9390.696904150022,2024-05-14
9390.696904150022,2024-05-15
9390.696904150022,2024-05-16
9390.696904150022,2024-05-17
9390.696904150022,2024-05-18
9390.696904150022,2024-05-21
9390.696904150022,2024-05-22
9390.696904150022,2024-05-23
9390.696904150022,2024-05-24
9390.696904150022,2024-05-27
9390.696904150022,2024-05-28
9374.206654150023,2024-05-29
9293.506654150022,2024-05-30
9383.806654150021,2024-05-31
9790.906654150023,2024-06-03
8961.706654150023,2024-06-04
9618.406654150023,2024-06-05
9499.306654150021,2024-06-06
9565.306654150021,2024-06-07
9527.806654150021,2024-06-10
9499.006654150022,2024-06-11
9518.206654150023,2024-06-12
9656.206654150023,2024-06-13
9626.806654150021,2024-06-14
9660.106654150024,2024-06-18
9781.906654150023,2024-06-19
9779.806654150021,2024-06-20
9775.606654150024,2024-06-21
9555.106654150024,2024-06-24
9586.006654150022,2024-06-25
9600.106654150024,2024-06-26
9629.206654150023,2024-06-27
9399.706654150023,2024-06-28
9354.106654150024,2024-07-01
9189.406654150023,2024-07-02
9167.964904150023,2024-07-03
9167.964904150023,2024-07-04
9167.964904150023,2024-07-05
9167.964904150023,2024-07-08
9167.964904150023,2024-07-09
9167.964904150023,2024-07-10
9167.964904150023,2024-07-11
9167.964904150023,2024-07-12
9167.964904150023,2024-07-15
9167.964904150023,2024-07-16
9167.964904150023,2024-07-18
9167.964904150023,2024-07-19
9167.964904150023,2024-07-22
9167.964904150023,2024-07-23
