trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-06-04,INDUSINDBK,Buy,9,1009.3,22.709249999999997,9083.699999999999,10120.390750000002,0,9
2,2021-07-22,INDUSINDBK,Sell,9,992.15002,22.323375450000004,8929.350180000001,9800.617554550003,9,0
3,2021-08-11,INDUSINDBK,Buy,9,1041.2,23.427000000000003,9370.800000000001,9724.540554550002,0,9
4,2021-08-18,INDUSINDBK,Sell,9,989.65002,22.267125450000005,8906.850180000001,9290.973609100003,9,0
5,2021-09-13,INDUSINDBK,Buy,9,996.29999,22.416749775,8966.69991,9631.256949325003,0,9
6,2021-10-28,INDUSINDBK,Sell,9,1176.0,26.46,10584.0,10859.396949325004,9,0
7,2021-11-03,INDUSINDBK,Buy,9,1177.95,26.503875000000004,10601.550000000001,10933.243074325002,0,9
8,2021-11-08,INDUSINDBK,Sell,9,1061.15,23.875875,9550.35,9757.817199325003,9,0
9,2022-01-03,INDUSINDBK,Buy,8,912.29999,18.2459998,7298.39992,9676.371439525004,0,8
10,2022-01-04,INDUSINDBK,Buy,2,904.40002,4.5220001000000005,1808.80004,9667.349339425005,8,10
11,2022-01-20,INDUSINDBK,Sell,10,877.20001,21.930000250000003,8772.000100000001,9377.919339175005,10,0
12,2022-02-03,INDUSINDBK,Buy,9,958.34998,21.562874549999997,8625.149819999999,9335.656554625006,0,9
13,2022-02-24,INDUSINDBK,Sell,9,875.65002,19.70212545,7880.85018,8592.354699175008,9,0
14,2022-03-21,INDUSINDBK,Buy,9,913.40002,20.551500450000002,8220.600180000001,8700.503108725008,0,9
15,2022-04-26,INDUSINDBK,Sell,9,980.45001,22.060125225000004,8824.05009,9153.192983500008,9,0
16,2022-04-27,INDUSINDBK,Buy,9,974.5,21.92625,8770.5,9255.916553500007,0,9
17,2022-05-09,INDUSINDBK,Sell,9,889.70001,20.018250225000003,8007.300090000001,8348.04857327501,9,0
18,2022-05-31,INDUSINDBK,Buy,8,930.84998,18.6169996,7446.79984,8309.43157367501,0,8
19,2022-06-10,INDUSINDBK,Sell,8,913.20001,18.2640002,7305.60008,8169.96781347501,8,0
20,2022-07-06,INDUSINDBK,Buy,9,836.54999,18.822374775,7528.949909999999,8371.195528700011,0,9
21,2022-07-15,INDUSINDBK,Sell,9,815.04999,18.338624775,7335.449909999999,7939.306813925011,9,0
22,2022-07-18,INDUSINDBK,Buy,9,851.04999,19.148624775,7659.449909999999,8073.608099150011,0,9
23,2022-09-30,INDUSINDBK,Sell,9,1185.2,26.667,10666.800000000001,10900.841279150012,9,0
24,2022-10-20,INDUSINDBK,Buy,9,1159.95,26.098875000000003,10439.550000000001,10715.442404150011,0,9
25,2022-10-21,INDUSINDBK,Sell,9,1142.25,25.700625000000002,10280.25,10689.741779150012,9,0
26,2022-11-21,INDUSINDBK,Buy,1,1139.0,2.8475,1139.0,10717.294279150012,0,1
27,2022-11-22,INDUSINDBK,Buy,8,1169.4,23.388,9355.2,10738.456279150012,1,9
28,2022-12-26,INDUSINDBK,Sell,9,1195.7,26.903250000000003,10761.300000000001,10903.703029150014,9,0
29,2023-01-03,INDUSINDBK,Buy,8,1240.95,24.819000000000003,9927.6,10736.084029150014,0,8
30,2023-01-25,INDUSINDBK,Sell,8,1156.15,23.123,9249.2,10177.361029150015,8,0
31,2023-02-15,INDUSINDBK,Buy,8,1149.6,22.991999999999997,9196.8,10144.369029150015,0,8
32,2023-02-20,INDUSINDBK,Sell,8,1109.3,22.186,8874.4,9809.783029150016,8,0
33,2023-03-09,INDUSINDBK,Buy,8,1169.8,23.396,9358.4,9586.387029150017,0,8
34,2023-03-13,INDUSINDBK,Sell,8,1060.1,21.201999999999998,8480.8,8887.585029150017,8,0
