account_value,date
10000.0,2021-02-05
10197.888250000002,2021-02-08
10211.888250000002,2021-02-09
10148.538250000001,2021-02-10
10121.588250000003,2021-02-11
10241.638250000002,2021-02-12
10228.090250000001,2021-02-15
10080.243750000001,2021-02-16
10016.54375,2021-02-17
10094.59375,2021-02-18
10086.54375,2021-02-19
9903.84375,2021-02-22
9911.89375,2021-02-23
9967.54375,2021-02-24
9969.29375,2021-02-25
9820.54375,2021-02-26
9916.443750000002,2021-03-01
10178.943750000002,2021-03-02
10156.115000000002,2021-03-03
10156.115000000002,2021-03-04
10156.115000000002,2021-03-05
10156.115000000002,2021-03-08
10156.115000000002,2021-03-09
10156.115000000002,2021-03-10
10156.115000000002,2021-03-12
10156.115000000002,2021-03-15
10156.115000000002,2021-03-16
10156.115000000002,2021-03-17
10156.115000000002,2021-03-18
10184.165750000002,2021-03-19
10368.615750000003,2021-03-22
10344.626750000003,2021-03-23
10344.626750000003,2021-03-24
10181.286125000004,2021-03-25
10198.086125000003,2021-03-26
10541.786125000004,2021-03-30
10517.543375000005,2021-03-31
10613.652500000004,2021-04-01
10589.411500000004,2021-04-05
10589.411500000004,2021-04-06
10589.411500000004,2021-04-07
10589.411500000004,2021-04-08
10589.411500000004,2021-04-09
10589.411500000004,2021-04-12
10364.260875000005,2021-04-13
10109.460875000004,2021-04-15
10060.460875000004,2021-04-16
10122.060875000005,2021-04-19
10043.660875000003,2021-04-20
10041.910875000003,2021-04-22
9920.810875000005,2021-04-23
9989.060875000005,2021-04-26
10023.710875000004,2021-04-27
10076.210875000004,2021-04-28
10078.660875000003,2021-04-29
10064.660875000003,2021-04-30
10048.560875000005,2021-05-03
9890.010875000005,2021-05-04
9974.710875000004,2021-05-05
10115.410875000003,2021-05-06
10052.060875000005,2021-05-07
9961.060875000005,2021-05-10
9898.760875000005,2021-05-11
9873.210875000004,2021-05-12
9799.010875000005,2021-05-14
9890.010875000005,2021-05-17
9964.210875000004,2021-05-18
9943.210875000004,2021-05-19
9959.310875000005,2021-05-20
10065.710875000004,2021-05-21
10042.007125000006,2021-05-24
10113.266250000004,2021-05-25
10089.438250000005,2021-05-26
10089.438250000005,2021-05-27
10089.438250000005,2021-05-28
10089.438250000005,2021-05-31
10089.438250000005,2021-06-01
10089.438250000005,2021-06-02
10142.311875000005,2021-06-03
10117.993000000006,2021-06-04
10121.744125000007,2021-06-07
10284.844125000005,2021-06-08
10260.117500000006,2021-06-09
10260.117500000006,2021-06-10
10260.117500000006,2021-06-11
10260.117500000006,2021-06-14
10260.117500000006,2021-06-15
10260.117500000006,2021-06-16
10260.117500000006,2021-06-17
10260.117500000006,2021-06-18
10260.117500000006,2021-06-21
10260.117500000006,2021-06-22
10260.117500000006,2021-06-23
10260.117500000006,2021-06-24
10260.117500000006,2021-06-25
10260.117500000006,2021-06-28
10260.117500000006,2021-06-29
10260.117500000006,2021-06-30
10260.117500000006,2021-07-01
10260.117500000006,2021-07-02
10260.117500000006,2021-07-05
10260.117500000006,2021-07-06
10260.117500000006,2021-07-07
10260.117500000006,2021-07-08
10249.606250000008,2021-07-09
10159.306250000005,2021-07-12
10141.906250000007,2021-07-13
10333.606250000008,2021-07-14
10309.952750000008,2021-07-15
10309.952750000008,2021-07-16
10204.121000000008,2021-07-19
10254.221000000007,2021-07-20
10495.121000000008,2021-07-22
10471.26800000001,2021-07-23
10471.26800000001,2021-07-26
10471.26800000001,2021-07-27
10471.26800000001,2021-07-28
10471.26800000001,2021-07-29
10471.26800000001,2021-07-30
10471.26800000001,2021-08-02
10471.26800000001,2021-08-03
10471.26800000001,2021-08-04
10471.26800000001,2021-08-05
10471.26800000001,2021-08-06
10471.26800000001,2021-08-09
10471.26800000001,2021-08-10
10471.26800000001,2021-08-11
10471.26800000001,2021-08-12
10471.26800000001,2021-08-13
10471.26800000001,2021-08-16
10471.26800000001,2021-08-17
10471.26800000001,2021-08-18
10471.26800000001,2021-08-20
10471.26800000001,2021-08-23
10471.26800000001,2021-08-24
10471.26800000001,2021-08-25
10471.26800000001,2021-08-26
10471.26800000001,2021-08-27
10381.13600000001,2021-08-30
10431.536000000011,2021-08-31
10259.33600000001,2021-09-01
10327.436000000009,2021-09-02
10396.736000000012,2021-09-03
10575.236000000012,2021-09-06
10549.280000000012,2021-09-07
10443.28025000001,2021-09-08
10433.38025000001,2021-09-09
10435.180250000012,2021-09-13
10400.680250000012,2021-09-14
10552.480250000011,2021-09-15
10526.808500000012,2021-09-16
10435.574750000013,2021-09-17
10414.874750000012,2021-09-20
10598.474750000014,2021-09-21
10572.698000000015,2021-09-22
10572.698000000015,2021-09-23
10572.698000000015,2021-09-24
10572.698000000015,2021-09-27
10342.580750000012,2021-09-28
10373.480750000013,2021-09-29
10271.180750000014,2021-09-30
10210.880750000015,2021-10-01
10292.480750000013,2021-10-04
10376.780750000013,2021-10-05
10261.280750000013,2021-10-06
10365.980750000013,2021-10-07
10563.080750000012,2021-10-08
10537.223000000013,2021-10-11
10477.058750000015,2021-10-12
10621.358750000014,2021-10-13
10595.720750000015,2021-10-14
10595.720750000015,2021-10-18
10595.720750000015,2021-10-19
10595.720750000015,2021-10-20
10595.720750000015,2021-10-21
10366.316000000013,2021-10-22
10292.816000000013,2021-10-25
10269.716000000015,2021-10-26
10421.216000000015,2021-10-27
10270.916000000016,2021-10-28
10054.016000000014,2021-10-29
10247.816000000013,2021-11-01
10234.916000000016,2021-11-02
10262.516000000014,2021-11-03
10299.716000000015,2021-11-04
10472.516000000014,2021-11-08
10446.453500000014,2021-11-09
10446.453500000014,2021-11-10
10446.453500000014,2021-11-11
10446.453500000014,2021-11-12
10446.453500000014,2021-11-15
10446.453500000014,2021-11-16
10446.453500000014,2021-11-17
10446.453500000014,2021-11-18
10446.453500000014,2021-11-22
10446.453500000014,2021-11-23
10220.242250000014,2021-11-24
10374.402250000016,2021-11-25
10189.902250000016,2021-11-26
10218.102250000013,2021-11-29
10315.902250000016,2021-11-30
10329.402250000016,2021-12-01
10529.502250000014,2021-12-02
10503.278500000015,2021-12-03
10503.278500000015,2021-12-06
10575.949000000017,2021-12-07
10826.149000000014,2021-12-08
10799.848750000014,2021-12-09
10799.848750000014,2021-12-10
10799.848750000014,2021-12-13
10799.848750000014,2021-12-14
10799.848750000014,2021-12-15
10998.235750000013,2021-12-16
10971.661750000014,2021-12-17
10971.661750000014,2021-12-20
10971.661750000014,2021-12-21
10971.661750000014,2021-12-22
10971.661750000014,2021-12-23
10971.661750000014,2021-12-24
10971.661750000014,2021-12-27
10971.661750000014,2021-12-28
10971.661750000014,2021-12-29
10971.661750000014,2021-12-30
10971.661750000014,2021-12-31
10971.661750000014,2022-01-03
10971.661750000014,2022-01-04
10971.661750000014,2022-01-05
10814.353625000014,2022-01-06
10796.853625000014,2022-01-07
10979.103625000014,2022-01-10
11003.353625000014,2022-01-11
11112.603625000014,2022-01-12
11089.135500000015,2022-01-13
11089.135500000015,2022-01-14
11089.135500000015,2022-01-17
11089.135500000015,2022-01-18
11089.135500000015,2022-01-19
10849.047375000015,2022-01-20
10659.047375000015,2022-01-21
10414.547375000015,2022-01-24
10341.297375000015,2022-01-25
10075.692000000014,2022-01-27
10121.292000000016,2022-01-28
10421.292000000016,2022-01-31
10636.392000000014,2022-02-01
10726.692000000014,2022-02-02
10435.392000000014,2022-02-03
10450.692000000014,2022-02-04
10294.092000000015,2022-02-07
10307.892000000014,2022-02-08
10427.892000000014,2022-02-09
10621.692000000014,2022-02-10
10332.192000000014,2022-02-11
10097.292000000016,2022-02-14
10433.592000000015,2022-02-15
10407.518250000016,2022-02-16
10407.518250000016,2022-02-17
10407.518250000016,2022-02-18
10524.414000000015,2022-02-21
10498.453500000016,2022-02-22
10498.453500000016,2022-02-23
10498.453500000016,2022-02-24
10571.981250000013,2022-02-25
10546.562250000014,2022-02-28
10546.562250000014,2022-03-02
10546.562250000014,2022-03-03
10546.562250000014,2022-03-04
10546.562250000014,2022-03-07
10546.562250000014,2022-03-08
10546.562250000014,2022-03-09
10546.562250000014,2022-03-10
10546.562250000014,2022-03-11
10546.562250000014,2022-03-14
10546.562250000014,2022-03-15
10546.562250000014,2022-03-16
10546.562250000014,2022-03-17
10546.562250000014,2022-03-21
10546.562250000014,2022-03-22
10546.562250000014,2022-03-23
10546.562250000014,2022-03-24
10546.562250000014,2022-03-25
10546.562250000014,2022-03-28
10546.562250000014,2022-03-29
10546.562250000014,2022-03-30
10546.562250000014,2022-03-31
10546.562250000014,2022-04-01
10546.562250000014,2022-04-04
10413.775375000014,2022-04-05
10252.525375000014,2022-04-06
10163.275375000014,2022-04-07
10181.275375000014,2022-04-08
9941.025375000014,2022-04-11
9820.525375000014,2022-04-12
9851.025375000014,2022-04-13
9215.275375000014,2022-04-18
8918.275375000014,2022-04-19
9046.775375000014,2022-04-20
9202.275375000014,2022-04-21
9035.525375000014,2022-04-22
8913.775375000014,2022-04-25
9013.275375000014,2022-04-26
8872.275375000014,2022-04-27
9021.275375000014,2022-04-28
8946.025375000014,2022-04-29
8813.275375000014,2022-05-02
8786.025375000014,2022-05-04
9034.025375000014,2022-05-05
8822.525375000014,2022-05-06
8960.025375000014,2022-05-09
8873.275375000014,2022-05-10
8742.025375000014,2022-05-11
8652.275375000014,2022-05-12
8630.275375000014,2022-05-13
8553.775375000014,2022-05-16
8700.525375000014,2022-05-17
8654.275375000014,2022-05-18
8244.025375000014,2022-05-19
8384.025375000014,2022-05-20
8450.275375000014,2022-05-23
8313.275375000014,2022-05-24
8160.525375000014,2022-05-25
8228.025375000014,2022-05-26
8415.025375000014,2022-05-27
8742.275375000014,2022-05-30
8723.190375000013,2022-05-31
8723.190375000013,2022-06-01
8851.958500000013,2022-06-02
8833.108500000013,2022-06-03
8833.108500000013,2022-06-06
8833.108500000013,2022-06-07
8833.108500000013,2022-06-08
8833.108500000013,2022-06-09
8833.108500000013,2022-06-10
8553.148500000014,2022-06-13
8645.887250000013,2022-06-14
8535.787250000014,2022-06-15
8385.787250000014,2022-06-16
8326.387250000013,2022-06-17
8487.487250000015,2022-06-20
8701.987250000015,2022-06-21
8680.238750000015,2022-06-22
8749.880000000016,2022-06-23
8728.093250000016,2022-06-24
8817.785000000016,2022-06-27
8806.725500000017,2022-06-28
8806.725500000017,2022-06-29
8806.725500000017,2022-06-30
8806.725500000017,2022-07-01
8806.725500000017,2022-07-04
8806.725500000017,2022-07-05
8806.725500000017,2022-07-06
8806.725500000017,2022-07-07
8806.725500000017,2022-07-08
8806.725500000017,2022-07-11
8615.561125000018,2022-07-12
8644.811125000018,2022-07-13
8566.811125000018,2022-07-14
8574.311125000018,2022-07-15
8872.061125000018,2022-07-18
8853.437375000018,2022-07-19
8853.437375000018,2022-07-20
8853.437375000018,2022-07-21
8853.437375000018,2022-07-22
8853.437375000018,2022-07-25
8853.437375000018,2022-07-26
8951.070125000017,2022-07-27
9229.170125000019,2022-07-28
9206.409125000018,2022-07-29
9206.409125000018,2022-08-01
9206.409125000018,2022-08-02
9206.409125000018,2022-08-03
9206.409125000018,2022-08-04
9206.409125000018,2022-08-05
9206.409125000018,2022-08-08
9206.409125000018,2022-08-10
9206.409125000018,2022-08-11
9206.409125000018,2022-08-12
9206.409125000018,2022-08-16
9206.409125000018,2022-08-17
9206.409125000018,2022-08-18
9257.372250000019,2022-08-19
9150.122250000019,2022-08-22
8983.872250000019,2022-08-23
8959.372250000019,2022-08-24
8862.622250000019,2022-08-25
8879.622250000019,2022-08-26
8580.622250000019,2022-08-29
8736.622250000019,2022-08-30
8592.872250000019,2022-09-01
8536.872250000019,2022-09-02
8578.372250000019,2022-09-05
8547.372250000019,2022-09-06
8560.122250000019,2022-09-07
8651.372250000019,2022-09-08
8830.122250000019,2022-09-09
8952.872250000019,2022-09-12
8933.66975000002,2022-09-13
8933.66975000002,2022-09-14
8655.938750000018,2022-09-15
8321.438750000018,2022-09-16
8400.938750000018,2022-09-19
8390.438750000018,2022-09-20
8322.638750000018,2022-09-21
8266.838750000019,2022-09-22
8251.838750000019,2022-09-23
8340.638750000018,2022-09-26
8420.438750000018,2022-09-27
8427.338750000019,2022-09-28
8451.03875000002,2022-09-29
8539.838750000019,2022-09-30
8421.638750000018,2022-10-03
8635.53875000002,2022-10-04
8614.09775000002,2022-10-06
8614.09775000002,2022-10-07
8614.09775000002,2022-10-10
8614.09775000002,2022-10-11
8614.09775000002,2022-10-12
8614.09775000002,2022-10-13
8614.09775000002,2022-10-14
8614.09775000002,2022-10-17
8614.09775000002,2022-10-18
8614.09775000002,2022-10-19
8614.09775000002,2022-10-20
8614.09775000002,2022-10-21
8614.09775000002,2022-10-24
8614.09775000002,2022-10-25
8614.09775000002,2022-10-27
8614.09775000002,2022-10-28
8614.09775000002,2022-10-31
8614.09775000002,2022-11-01
8614.09775000002,2022-11-02
8481.93150000002,2022-11-03
8398.18150000002,2022-11-04
8365.43150000002,2022-11-07
8384.18150000002,2022-11-09
8337.93150000002,2022-11-10
8678.68150000002,2022-11-11
8659.055250000023,2022-11-14
8659.055250000023,2022-11-15
8659.055250000023,2022-11-16
8659.055250000023,2022-11-17
8659.055250000023,2022-11-18
8659.055250000023,2022-11-21
8723.702750000022,2022-11-22
8703.889625000023,2022-11-23
8703.889625000023,2022-11-24
8703.889625000023,2022-11-25
8703.889625000023,2022-11-28
8703.889625000023,2022-11-29
8703.889625000023,2022-11-30
8703.889625000023,2022-12-01
8703.889625000023,2022-12-02
8703.889625000023,2022-12-05
8703.889625000023,2022-12-06
8646.728375000024,2022-12-07
8719.978375000024,2022-12-08
8465.728375000024,2022-12-09
8355.228375000024,2022-12-12
8479.978375000024,2022-12-13
8516.228375000024,2022-12-14
8321.728375000024,2022-12-15
8230.228375000024,2022-12-16
8155.978375000024,2022-12-19
8155.728375000024,2022-12-20
8166.978375000024,2022-12-21
8229.478375000024,2022-12-22
8104.728375000024,2022-12-23
8131.228375000024,2022-12-26
8193.478375000024,2022-12-27
8169.978375000024,2022-12-28
8206.978375000024,2022-12-29
8160.228375000024,2022-12-30
8239.228375000024,2023-01-02
8231.978375000024,2023-01-03
8093.228375000024,2023-01-04
7995.228375000024,2023-01-05
7861.728375000024,2023-01-06
8041.478375000024,2023-01-09
7967.978375000024,2023-01-10
7975.478375000024,2023-01-11
8022.228375000024,2023-01-12
8137.478375000024,2023-01-13
8118.6827500000245,2023-01-16
8118.6827500000245,2023-01-17
8118.6827500000245,2023-01-18
8118.6827500000245,2023-01-19
8118.6827500000245,2023-01-20
8118.6827500000245,2023-01-23
8118.6827500000245,2023-01-24
8118.6827500000245,2023-01-25
8118.6827500000245,2023-01-27
8197.943375000024,2023-01-30
8178.708375000026,2023-01-31
8246.286500000026,2023-02-01
8263.425500000027,2023-02-02
8259.466125000026,2023-02-03
8259.466125000026,2023-02-06
8202.593000000026,2023-02-07
8343.093000000026,2023-02-08
8323.211750000028,2023-02-09
8323.211750000028,2023-02-10
8323.211750000028,2023-02-13
8432.618625000028,2023-02-14
8412.703000000029,2023-02-15
8412.703000000029,2023-02-16
8412.703000000029,2023-02-17
8436.15550000003,2023-02-20
8371.40550000003,2023-02-21
8282.90550000003,2023-02-22
8227.40550000003,2023-02-23
8227.15550000003,2023-02-24
8020.405500000029,2023-02-27
7911.655500000029,2023-02-28
7954.155500000029,2023-03-01
7834.655500000029,2023-03-02
7870.405500000029,2023-03-03
8011.155500000029,2023-03-06
7937.405500000029,2023-03-08
7875.905500000029,2023-03-09
7831.655500000029,2023-03-10
7649.405500000029,2023-03-13
7573.905500000029,2023-03-14
7572.155500000029,2023-03-15
7494.405500000029,2023-03-16
7577.405500000029,2023-03-17
7492.155500000029,2023-03-20
7427.405500000029,2023-03-21
7420.155500000029,2023-03-22
7346.655500000029,2023-03-23
7377.155500000029,2023-03-24
7418.655500000029,2023-03-27
7361.905500000029,2023-03-28
7391.655500000029,2023-03-29
7613.655500000029,2023-03-31
7528.155500000029,2023-04-03
7591.655500000029,2023-04-05
7583.405500000029,2023-04-06
7611.905500000029,2023-04-10
7594.06050000003,2023-04-11
7687.23362500003,2023-04-12
7669.379875000031,2023-04-13
6997.514875000031,2023-04-17
7002.764875000031,2023-04-18
6867.014875000031,2023-04-19
6823.014875000031,2023-04-20
6842.764875000031,2023-04-21
6837.514875000031,2023-04-24
6830.514875000031,2023-04-25
6843.764875000031,2023-04-26
6937.264875000031,2023-04-27
6969.764875000031,2023-04-28
7093.264875000031,2023-05-02
7051.764875000031,2023-05-03
7073.764875000031,2023-05-04
7001.514875000031,2023-05-05
6985.776125000031,2023-05-08
6985.776125000031,2023-05-09
6985.776125000031,2023-05-10
6985.776125000031,2023-05-11
6985.776125000031,2023-05-12
6985.776125000031,2023-05-15
6985.776125000031,2023-05-16
6985.776125000031,2023-05-17
6965.689875000032,2023-05-18
7080.189875000032,2023-05-19
7064.328625000032,2023-05-22
7064.328625000032,2023-05-23
7064.328625000032,2023-05-24
7064.328625000032,2023-05-25
7064.328625000032,2023-05-26
7064.328625000032,2023-05-29
7064.328625000032,2023-05-30
7064.328625000032,2023-05-31
7064.328625000032,2023-06-01
7064.328625000032,2023-06-02
7075.591125000033,2023-06-05
6948.091125000033,2023-06-06
6997.841125000033,2023-06-07
6967.091125000033,2023-06-08
6882.841125000033,2023-06-09
7012.841125000033,2023-06-12
7077.341125000033,2023-06-13
7055.091125000033,2023-06-14
6987.091125000033,2023-06-15
7011.341125000033,2023-06-16
7023.091125000033,2023-06-19
7070.091125000033,2023-06-20
7049.841125000033,2023-06-21
6960.841125000033,2023-06-22
6878.091125000033,2023-06-23
6904.841125000033,2023-06-26
6948.841125000033,2023-06-27
7019.841125000033,2023-06-28
7230.591125000033,2023-06-30
7213.897375000033,2023-07-03
7213.897375000033,2023-07-04
7213.897375000033,2023-07-05
7213.897375000033,2023-07-06
7213.897375000033,2023-07-07
7213.897375000033,2023-07-10
7213.897375000033,2023-07-11
7213.897375000033,2023-07-12
7356.231125000034,2023-07-13
7339.167375000035,2023-07-14
7339.167375000035,2023-07-17
7339.167375000035,2023-07-18
7339.167375000035,2023-07-19
7339.167375000035,2023-07-20
7339.167375000035,2023-07-21
7347.522375000035,2023-07-24
7337.522375000035,2023-07-25
7408.772375000035,2023-07-26
7430.272375000035,2023-07-27
7367.022375000035,2023-07-28
7443.022375000035,2023-07-31
7490.522375000035,2023-08-01
7448.772375000035,2023-08-02
7486.022375000035,2023-08-03
7556.272375000035,2023-08-04
7539.043000000035,2023-08-07
7539.043000000035,2023-08-08
7539.043000000035,2023-08-09
7539.043000000035,2023-08-10
7539.043000000035,2023-08-11
7630.394875000035,2023-08-14
7612.975500000036,2023-08-16
7612.975500000036,2023-08-17
7612.975500000036,2023-08-18
