trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-02-05,INFY,Buy,7,1272.1,22.26175,8904.699999999999,10197.888250000002,0,7
2,2021-02-12,INFY,Sell,4,1309.8,13.097999999999999,5239.2,10228.090250000001,7,3
3,2021-02-15,INFY,Buy,4,1309.65,13.0965,5238.6,10080.243750000001,3,7
4,2021-03-02,INFY,Sell,7,1304.5,22.82875,9131.5,10156.115000000002,7,0
5,2021-03-18,INFY,Buy,7,1337.1,23.39925,9359.699999999999,10184.165750000002,0,7
6,2021-03-22,INFY,Sell,7,1370.8,23.989,9595.6,10344.626750000003,7,0
7,2021-03-24,INFY,Buy,7,1353.75,23.690625,9476.25,10181.286125000004,0,7
8,2021-03-30,INFY,Sell,7,1385.3,24.24275,9697.1,10517.543375000005,7,0
9,2021-03-31,INFY,Buy,7,1368.05,23.940875000000002,9576.35,10613.652500000004,0,7
10,2021-04-01,INFY,Sell,7,1385.2,24.241,9696.4,10589.411500000004,7,0
11,2021-04-12,INFY,Buy,7,1425.75,24.950625000000002,9980.25,10364.260875000005,0,7
12,2021-05-21,INFY,Sell,7,1354.5,23.70375,9481.5,10042.007125000006,7,0
13,2021-05-24,INFY,Buy,7,1348.05,23.590875,9436.35,10113.266250000004,0,7
14,2021-05-25,INFY,Sell,7,1361.6,23.828,9531.199999999999,10089.438250000005,7,0
15,2021-06-02,INFY,Buy,7,1378.65,24.126375000000003,9650.550000000001,10142.311875000005,0,7
16,2021-06-03,INFY,Sell,7,1389.65,24.318875000000002,9727.550000000001,10117.993000000006,7,0
17,2021-06-04,INFY,Buy,7,1385.65,24.248875,9699.550000000001,10121.744125000007,0,7
18,2021-06-08,INFY,Sell,7,1412.95,24.726625,9890.65,10260.117500000006,7,0
19,2021-07-08,INFY,Buy,6,1560.75,23.41125,9364.5,10249.606250000008,0,6
20,2021-07-14,INFY,Sell,6,1576.9,23.653500000000005,9461.400000000001,10309.952750000008,6,0
21,2021-07-16,INFY,Buy,6,1555.45,23.331750000000003,9332.7,10204.121000000008,0,6
22,2021-07-22,INFY,Sell,6,1590.2,23.853,9541.2,10471.26800000001,6,0
23,2021-08-27,INFY,Buy,6,1708.8,25.631999999999998,10252.8,10381.13600000001,0,6
24,2021-09-06,INFY,Sell,6,1730.4,25.956000000000003,10382.400000000001,10549.280000000012,6,0
25,2021-09-07,INFY,Buy,6,1706.65,25.599750000000004,10239.900000000001,10443.28025000001,0,6
26,2021-09-15,INFY,Sell,6,1711.45,25.671750000000003,10268.7,10526.808500000012,6,0
27,2021-09-16,INFY,Buy,6,1702.25,25.53375,10213.5,10435.574750000013,0,6
28,2021-09-21,INFY,Sell,6,1718.45,25.776750000000003,10310.7,10572.698000000015,6,0
29,2021-09-27,INFY,Buy,6,1721.15,25.817250000000005,10326.900000000001,10342.580750000012,0,6
30,2021-10-08,INFY,Sell,6,1723.85,25.857749999999996,10343.099999999999,10537.223000000013,6,0
31,2021-10-11,INFY,Buy,6,1690.95,25.364250000000002,10145.7,10477.058750000015,0,6
32,2021-10-13,INFY,Sell,6,1709.2,25.638,10255.2,10595.720750000015,6,0
33,2021-10-21,INFY,Buy,6,1753.65,26.304750000000006,10521.900000000001,10366.316000000013,0,6
34,2021-11-08,INFY,Sell,6,1737.5,26.0625,10425.0,10446.453500000014,6,0
35,2021-11-23,INFY,Buy,5,1736.9,21.71125,8684.5,10220.242250000014,0,5
36,2021-11-24,INFY,Buy,1,1696.0,4.24,1696.0,10374.402250000016,5,6
37,2021-12-02,INFY,Sell,6,1748.25,26.22375,10489.5,10503.278500000015,6,0
38,2021-12-06,INFY,Buy,6,1695.3,25.429499999999997,10171.8,10575.949000000017,0,6
39,2021-12-08,INFY,Sell,6,1753.35,26.30025,10520.099999999999,10799.848750000014,6,0
40,2021-12-15,INFY,Buy,6,1734.2,26.013,10405.2,10998.235750000013,0,6
41,2021-12-16,INFY,Sell,6,1771.6,26.573999999999998,10629.599999999999,10971.661750000014,6,0
42,2022-01-05,INFY,Buy,5,1844.65,23.058125,9223.25,10814.353625000014,0,5
43,2022-01-12,INFY,Sell,5,1877.45,23.468125,9387.25,11089.135500000015,5,0
44,2022-01-19,INFY,Buy,5,1867.05,23.338125,9335.25,10849.047375000015,0,5
45,2022-01-25,INFY,Buy,1,1722.15,4.305375000000001,1722.15,10075.692000000014,5,6
46,2022-02-15,INFY,Sell,6,1738.25,26.07375,10429.5,10407.518250000016,6,0
47,2022-02-18,INFY,Buy,6,1706.95,25.604250000000004,10241.7,10524.414000000015,0,6
48,2022-02-21,INFY,Sell,6,1730.7,25.960500000000003,10384.2,10498.453500000016,6,0
49,2022-02-24,INFY,Buy,6,1678.15,25.172250000000005,10068.900000000001,10571.981250000013,0,6
50,2022-02-25,INFY,Sell,6,1694.6,25.418999999999997,10167.599999999999,10546.562250000014,6,0
51,2022-04-04,INFY,Buy,5,1882.95,23.536875000000002,9414.75,10413.775375000014,0,5
52,2022-05-30,INFY,Sell,5,1526.8,19.085,7634.0,8723.190375000013,5,0
53,2022-06-01,INFY,Buy,5,1478.55,18.481875,7392.75,8851.958500000013,0,5
54,2022-06-02,INFY,Sell,5,1508.0,18.85,7540.0,8833.108500000013,5,0
55,2022-06-10,INFY,Buy,5,1476.8,18.46,7384.0,8553.148500000014,0,5
