account_value,date
10000.0,2020-12-10
10000.0,2020-12-11
10000.0,2020-12-14
10000.0,2020-12-15
10000.0,2020-12-16
10000.0,2020-12-17
10000.0,2020-12-18
10000.0,2020-12-21
9997.183273205299,2020-12-22
10210.7022859253,2020-12-23
10252.424786485299,2020-12-24
10296.600541485299,2020-12-28
10270.892420640399,2020-12-29
10270.892420640399,2020-12-30
10270.892420640399,2020-12-31
10270.892420640399,2021-01-01
10270.892420640399,2021-01-04
10270.892420640399,2021-01-05
10270.892420640399,2021-01-06
10118.067644497401,2021-01-07
10054.257511617401,2021-01-08
10103.3422288574,2021-01-11
10297.2268636974,2021-01-12
10532.8335082174,2021-01-13
10675.178698217402,2021-01-14
10856.7931348574,2021-01-15
10830.0603693057,2021-01-18
10830.0603693057,2021-01-19
10830.0603693057,2021-01-20
10830.0603693057,2021-01-21
10830.0603693057,2021-01-22
10655.3900420484,2021-01-25
10800.6614176884,2021-01-27
10594.223442308401,2021-01-28
10423.464751388401,2021-01-29
11070.816661748402,2021-02-01
11185.5049921284,2021-02-02
11157.6994435428,2021-02-03
11157.6994435428,2021-02-04
11157.6994435428,2021-02-05
11157.6994435428,2021-02-08
11157.6994435428,2021-02-09
11157.6994435428,2021-02-10
11157.6994435428,2021-02-11
11157.6994435428,2021-02-12
11157.6994435428,2021-02-15
11113.694502465301,2021-02-16
11088.165139586776,2021-02-17
11062.482986440677,2021-02-18
11061.966534953252,2021-02-19
11061.966534953252,2021-02-22
11061.966534953252,2021-02-23
11061.966534953252,2021-02-24
11054.20797255975,2021-02-25
10770.167313732201,2021-02-26
10928.5116861822,2021-03-01
11084.261270832201,2021-03-02
11086.857616782201,2021-03-03
11073.878484682202,2021-03-04
11014.174477132201,2021-03-05
10985.620386732202,2021-03-08
10975.237080832201,2021-03-09
10907.745594132202,2021-03-10
10840.254107432202,2021-03-12
10853.233239532201,2021-03-15
10977.833426232202,2021-03-16
11120.6038793322,2021-03-17
11486.614364832201,2021-03-18
11761.772483782202,2021-03-19
11732.835508856828,2021-03-22
11732.835508856828,2021-03-23
11732.835508856828,2021-03-24
11732.835508856828,2021-03-25
11732.835508856828,2021-03-26
11903.801432878428,2021-03-30
12120.05737115843,2021-03-31
12090.15109105353,2021-04-01
12090.15109105353,2021-04-05
12065.719077972031,2021-04-06
12130.851288972031,2021-04-07
12099.70137217203,2021-04-08
12069.507191319031,2021-04-09
12069.507191319031,2021-04-12
12238.451597547282,2021-04-13
12121.403425047283,2021-04-15
12194.558532627283,2021-04-16
12057.027514987283,2021-04-19
11937.052552507283,2021-04-20
12074.583570147282,2021-04-22
12042.396493347282,2021-04-23
12039.469703987283,2021-04-26
12045.321527487284,2021-04-27
12051.174520927283,2021-04-28
11980.945617427284,2021-04-29
11881.455255927282,2021-04-30
11784.889927947283,2021-05-03
11705.882996867284,2021-05-04
11811.225181867283,2021-05-05
11890.233283507283,2021-05-06
12042.396493347282,2021-05-07
12054.100725627284,2021-05-10
11963.388391707284,2021-05-11
11919.495326787282,2021-05-12
12446.212103967284,2021-05-14
12466.696119667284,2021-05-17
12435.590566296334,2021-05-18
12435.590566296334,2021-05-19
12435.590566296334,2021-05-20
12526.725312063783,2021-05-21
12672.421969113782,2021-05-24
12638.018594183008,2021-05-25
12616.334732126608,2021-05-26
12615.837749337259,2021-05-27
12615.837749337259,2021-05-28
12615.837749337259,2021-05-31
12615.837749337259,2021-06-01
12615.837749337259,2021-06-02
12603.34946462696,2021-06-03
12568.242681854706,2021-06-04
12728.806344764707,2021-06-07
12859.635401234707,2021-06-08
