account_value,date
10000.0,2025-03-26
10076.599750000001,2025-03-27
10144.817449999999,2025-03-28
10272.85745,2025-04-01
10244.69745,2025-04-02
10272.41745,2025-04-03
9916.457450000002,2025-04-04
9529.257450000001,2025-04-07
10026.01745,2025-04-08
9854.85745,2025-04-09
10255.257450000001,2025-04-11
10357.705950000001,2025-04-15
10349.356000000002,2025-04-16
10349.356000000002,2025-04-17
10349.356000000002,2025-04-21
10349.356000000002,2025-04-22
10349.356000000002,2025-04-23
10349.356000000002,2025-04-24
10349.356000000002,2025-04-25
10349.356000000002,2025-04-28
10349.356000000002,2025-04-29
10349.356000000002,2025-04-30
10349.356000000002,2025-05-02
10349.356000000002,2025-05-05
10349.356000000002,2025-05-06
10477.516000000003,2025-05-07
10458.308500000003,2025-05-08
10458.308500000003,2025-05-09
10458.308500000003,2025-05-12
10458.308500000003,2025-05-13
10458.308500000003,2025-05-14
10458.308500000003,2025-05-15
10458.308500000003,2025-05-16
10458.308500000003,2025-05-19
10458.308500000003,2025-05-20
10458.308500000003,2025-05-21
10458.308500000003,2025-05-22
10458.308500000003,2025-05-23
10458.308500000003,2025-05-26
10458.308500000003,2025-05-27
10458.308500000003,2025-05-28
10458.308500000003,2025-05-29
10458.308500000003,2025-05-30
10458.308500000003,2025-06-02
10458.308500000003,2025-06-03
10458.308500000003,2025-06-04
10458.308500000003,2025-06-05
10458.308500000003,2025-06-06
10458.308500000003,2025-06-09
10458.308500000003,2025-06-10
10458.308500000003,2025-06-11
10458.308500000003,2025-06-12
10458.308500000003,2025-06-13
10458.308500000003,2025-06-16
10458.308500000003,2025-06-17
10458.308500000003,2025-06-18
10458.308500000003,2025-06-19
10458.308500000003,2025-06-20
10458.308500000003,2025-06-23
10458.308500000003,2025-06-24
10458.308500000003,2025-06-25
10458.308500000003,2025-06-26
10458.308500000003,2025-06-27
10458.308500000003,2025-06-30
