account_value,date
10000.0,2022-07-22
10023.907974625,2022-07-25
10001.951724625002,2022-07-26
10001.951724625002,2022-07-27
10189.350474250003,2022-07-28
10382.850024250003,2022-07-29
10526.850474250003,2022-08-01
10669.350474250003,2022-08-02
10730.850174250003,2022-08-03
10904.100024250003,2022-08-04
10946.100624250003,2022-08-05
10976.850474250003,2022-08-08
10990.350024250003,2022-08-10
11042.850024250003,2022-08-11
11111.850474250003,2022-08-12
11046.600024250003,2022-08-16
11027.850024250003,2022-08-17
11039.850624250003,2022-08-18
10907.100174250003,2022-08-19
10583.100474250003,2022-08-22
10731.600024250003,2022-08-23
10711.350324250003,2022-08-24
10669.350474250003,2022-08-25
10943.850324250003,2022-08-26
10682.850024250003,2022-08-29
10942.350624250003,2022-08-30
10862.850024250003,2022-09-01
10838.040025000004,2022-09-02
10838.040025000004,2022-09-05
10838.040025000004,2022-09-06
10838.040025000004,2022-09-07
10838.040025000004,2022-09-08
10836.339850750004,2022-09-09
10830.339550750004,2022-09-12
10897.839550750004,2022-09-13
10924.839400750005,2022-09-14
10876.840000750004,2022-09-15
10819.839400750005,2022-09-16
10731.339850750004,2022-09-19
10867.089700750004,2022-09-20
10804.839400750005,2022-09-21
10722.339400750005,2022-09-22
10567.089700750004,2022-09-23
10224.340000750004,2022-09-26
10087.089700750004,2022-09-27
9779.589700750004,2022-09-28
9805.839700750004,2022-09-29
10006.840000750004,2022-09-30
9885.339550750004,2022-10-03
10180.089850750004,2022-10-04
10648.839850750004,2022-10-06
10522.839550750004,2022-10-07
10522.089700750004,2022-10-10
10173.339700750004,2022-10-11
10298.589400750005,2022-10-12
10257.339400750005,2022-10-13
10135.839700750004,2022-10-14
10003.839850750004,2022-10-17
10083.339700750004,2022-10-18
9920.590000750004,2022-10-19
9958.090000750004,2022-10-20
9862.839550750004,2022-10-21
9976.089400750005,2022-10-24
10197.339400750005,2022-10-25
10726.089400750005,2022-10-27
10700.604401500004,2022-10-28
10700.604401500004,2022-10-31
10700.604401500004,2022-11-01
10700.604401500004,2022-11-02
10614.946901125006,2022-11-03
10938.196751125006,2022-11-04
11061.946751125006,2022-11-07
11010.196601125006,2022-11-09
10927.696601125006,2022-11-10
11196.946751125006,2022-11-11
11202.947051125006,2022-11-14
11247.196451125006,2022-11-15
11035.696751125006,2022-11-16
11040.946451125006,2022-11-17
11034.946901125006,2022-11-18
10860.196601125006,2022-11-21
11035.696751125006,2022-11-22
11220.196601125006,2022-11-23
11301.196901125006,2022-11-24
11304.946901125006,2022-11-25
11146.697051125006,2022-11-28
11400.196601125006,2022-11-29
11562.947051125006,2022-11-30
11606.446601125006,2022-12-01
11557.696601125006,2022-12-02
11760.946451125006,2022-12-05
11613.196751125006,2022-12-06
11484.197051125006,2022-12-07
11582.446901125006,2022-12-08
11517.947051125006,2022-12-09
11524.696451125006,2022-12-12
11575.696751125006,2022-12-13
11781.196901125006,2022-12-14
11562.196451125006,2022-12-15
11563.696901125006,2022-12-16
11653.696901125006,2022-12-19
11598.946601125006,2022-12-20
11558.446451125006,2022-12-21
11512.119001625006,2022-12-22
11428.987296700006,2022-12-23
11481.500372050006,2022-12-26
11730.686871875008,2022-12-27
11714.050246700008,2022-12-28
11721.750256700008,2022-12-29
11720.400226700007,2022-12-30
11727.650226700007,2023-01-02
11589.515177050007,2023-01-03
11115.514727050007,2023-01-04
11331.515027050007,2023-01-05
11303.363776675007,2023-01-06
11486.050652425009,2023-01-09
11528.801102425008,2023-01-10
11663.801102425008,2023-01-11
11802.551102425008,2023-01-12
11773.921727050008,2023-01-13
11773.921727050008,2023-01-16
11773.921727050008,2023-01-17
11773.921727050008,2023-01-18
11773.921727050008,2023-01-19
11773.921727050008,2023-01-20
11633.61735167501,2023-01-23
11455.11705167501,2023-01-24
11494.11750167501,2023-01-25
11444.61690167501,2023-01-27
11149.86735167501,2023-01-30
11371.11735167501,2023-01-31
11569.86735167501,2023-02-01
11535.36750167501,2023-02-02
11602.11690167501,2023-02-03
11290.11705167501,2023-02-06
11335.86690167501,2023-02-07
11603.61735167501,2023-02-08
11480.61720167501,2023-02-09
11408.61735167501,2023-02-10
11395.11705167501,2023-02-13
11482.11690167501,2023-02-14
11531.61750167501,2023-02-15
11543.61735167501,2023-02-16
11550.36750167501,2023-02-17
11474.61690167501,2023-02-20
11425.86690167501,2023-02-21
11123.61735167501,2023-02-22
11143.86705167501,2023-02-23
10899.36720167501,2023-02-24
10831.86720167501,2023-02-27
10632.36735167501,2023-02-28
10774.86735167501,2023-03-01
10750.86690167501,2023-03-02
10858.86705167501,2023-03-03
10738.11720167501,2023-03-06
10755.36750167501,2023-03-08
10827.36735167501,2023-03-09
10815.36750167501,2023-03-10
10758.36690167501,2023-03-13
10705.11705167501,2023-03-14
10819.11750167501,2023-03-15
10560.36750167501,2023-03-16
10770.36750167501,2023-03-17
10646.61750167501,2023-03-20
10610.61720167501,2023-03-21
10558.11720167501,2023-03-22
10641.36705167501,2023-03-23
10491.36705167501,2023-03-24
10507.11690167501,2023-03-27
10524.36720167501,2023-03-28
10807.86750167501,2023-03-29
10945.86690167501,2023-03-31
10920.063152425011,2023-04-03
10920.063152425011,2023-04-05
10920.063152425011,2023-04-06
10981.461752050012,2023-04-10
11357.961452050013,2023-04-11
11427.711752050012,2023-04-12
11463.712052050012,2023-04-13
11471.961902050012,2023-04-17
11444.211452050013,2023-04-18
11489.211452050013,2023-04-19
11390.961602050013,2023-04-20
11313.712052050012,2023-04-21
11459.211452050013,2023-04-24
11528.961752050012,2023-04-25
11505.711902050012,2023-04-26
11635.461452050013,2023-04-27
11533.461602050013,2023-04-28
11722.462052050012,2023-05-02
11640.711902050012,2023-05-03
11734.461902050012,2023-05-04
11654.211452050013,2023-05-05
11645.961602050013,2023-05-08
11522.961452050013,2023-05-09
11519.211452050013,2023-05-10
11312.961452050013,2023-05-11
11193.712052050012,2023-05-12
11237.211602050013,2023-05-15
11195.211752050012,2023-05-16
11080.461452050013,2023-05-17
11034.711602050013,2023-05-18
11061.711452050013,2023-05-19
11222.961452050013,2023-05-22
11215.461452050013,2023-05-23
11093.961752050012,2023-05-24
11103.712052050012,2023-05-25
11179.461902050012,2023-05-26
11186.961902050012,2023-05-29
11222.961452050013,2023-05-30
11098.461602050013,2023-05-31
11061.711452050013,2023-06-01
11252.961452050013,2023-06-02
11336.212052050012,2023-06-05
11346.711452050013,2023-06-06
11600.211752050012,2023-06-07
11885.961602050013,2023-06-08
11881.461752050012,2023-06-09
11863.461602050013,2023-06-12
12003.712052050012,2023-06-13
12246.711452050013,2023-06-14
12212.961452050013,2023-06-15
12295.461452050013,2023-06-16
12228.712052050012,2023-06-19
12251.212052050012,2023-06-20
12035.211752050012,2023-06-21
11939.211452050013,2023-06-22
11851.461752050012,2023-06-23
11885.961602050013,2023-06-26
12091.461752050012,2023-06-27
12404.962052050012,2023-06-28
12425.961602050013,2023-06-30
12563.961752050012,2023-07-03
12603.712052050012,2023-07-04
12532.462052050012,2023-07-05
12587.211602050013,2023-07-06
12479.962052050012,2023-07-07
12812.961452050013,2023-07-10
12614.962052050012,2023-07-11
12739.461902050012,2023-07-12
12686.212052050012,2023-07-13
12726.711452050013,2023-07-14
12626.212052050012,2023-07-17
12517.462052050012,2023-07-18
12532.462052050012,2023-07-19
12639.711602050013,2023-07-20
12450.711902050012,2023-07-21
12288.712052050012,2023-07-24
12662.211602050013,2023-07-25
12735.711902050012,2023-07-26
12705.507526675014,2023-07-27
12831.742201675013,2023-07-28
12801.586575925014,2023-07-31
12801.586575925014,2023-08-01
12801.586575925014,2023-08-02
12774.427350925014,2023-08-03
12796.927350925014,2023-08-04
12903.427050925015,2023-08-07
12727.177050925015,2023-08-08
13059.427350925014,2023-08-09
13079.091050675015,2023-08-10
12895.553850675014,2023-08-11
12577.553700675015,2023-08-14
12515.303400675015,2023-08-16
12432.053550675015,2023-08-17
12392.303250675015,2023-08-18
12507.053550675015,2023-08-21
12513.803700675015,2023-08-22
12554.303850675014,2023-08-23
12404.303850675014,2023-08-24
12183.053850675014,2023-08-25
12180.803550675015,2023-08-28
12325.553850675014,2023-08-29
12393.053850675014,2023-08-30
12280.553850675014,2023-08-31
12681.803850675014,2023-09-01
12732.803400675015,2023-09-04
12784.181100800015,2023-09-05
12763.782350550016,2023-09-06
12763.782350550016,2023-09-07
12763.782350550016,2023-09-08
12860.691725550018,2023-09-11
12739.941875550017,2023-09-12
12657.441875550017,2023-09-13
12652.191425550018,2023-09-14
12689.691425550018,2023-09-15
12628.941575550018,2023-09-18
12298.191725550018,2023-09-20
12172.191425550018,2023-09-21
12107.691575550018,2023-09-22
12195.442025550017,2023-09-25
12191.692025550017,2023-09-26
12190.941425550018,2023-09-27
12018.441425550018,2023-09-28
12190.941425550018,2023-09-29
12050.691725550018,2023-10-03
11845.941425550018,2023-10-04
11829.441725550018,2023-10-05
11974.941875550017,2023-10-06
11860.191575550018,2023-10-09
12075.442025550017,2023-10-10
12155.691725550018,2023-10-11
12248.691875550017,2023-10-12
12155.691725550018,2023-10-13
12357.441875550017,2023-10-16
12334.924425300018,2023-10-17
12325.047550050018,2023-10-18
12236.382399300019,2023-10-19
12070.632549300019,2023-10-20
11763.882399300019,2023-10-23
11754.132099300019,2023-10-25
11460.132399300019,2023-10-26
11509.632249300019,2023-10-27
11547.132249300019,2023-10-30
11574.88194930002,2023-10-31
11396.382399300019,2023-11-01
11529.88194930002,2023-11-02
11720.382099300019,2023-11-03
11839.632249300019,2023-11-06
11758.63194930002,2023-11-07
11880.132399300019,2023-11-08
11792.38194930002,2023-11-09
11850.882249300019,2023-11-10
11877.882249300019,2023-11-12
11946.13194930002,2023-11-13
12122.38194930002,2023-11-15
12066.882549300019,2023-11-16
12061.632099300019,2023-11-17
11957.38194930002,2023-11-20
12166.632099300019,2023-11-21
12056.382399300019,2023-11-22
12162.882099300019,2023-11-23
12260.382099300019,2023-11-24
12264.88194930002,2023-11-28
12428.382249300019,2023-11-29
12546.13194930002,2023-11-30
12691.632099300019,2023-12-01
12823.63194930002,2023-12-04
12855.132399300019,2023-12-05
12900.132399300019,2023-12-06
12816.882549300019,2023-12-07
13119.88194930002,2023-12-08
13206.13194930002,2023-12-11
13337.38194930002,2023-12-12
13300.632549300019,2023-12-13
13240.632549300019,2023-12-14
13537.632399300019,2023-12-15
13353.132549300019,2023-12-18
13410.132399300019,2023-12-19
13163.382249300019,2023-12-20
13158.132549300019,2023-12-21
13359.132099300019,2023-12-22
13314.132099300019,2023-12-26
13668.132549300019,2023-12-27
13741.632099300019,2023-12-28
13733.382249300019,2023-12-29
13693.63194930002,2024-01-01
13582.632399300019,2024-01-02
13094.382549300019,2024-01-03
13086.13194930002,2024-01-04
12970.632549300019,2024-01-05
12858.882399300019,2024-01-08
12850.632549300019,2024-01-09
12976.632099300019,2024-01-10
12860.382099300019,2024-01-11
12916.632099300019,2024-01-12
12906.882549300019,2024-01-15
13014.132099300019,2024-01-16
12719.382549300019,2024-01-17
12584.382549300019,2024-01-18
12779.382549300019,2024-01-19
12652.632399300019,2024-01-20
12385.632549300019,2024-01-23
12712.632399300019,2024-01-24
12765.132399300019,2024-01-25
12705.132399300019,2024-01-29
12709.632249300019,2024-01-30
12809.382549300019,2024-01-31
12555.132399300019,2024-02-01
12882.882099300019,2024-02-02
12749.382549300019,2024-02-05
12810.882249300019,2024-02-06
13078.63194930002,2024-02-07
13047.25945005002,2024-02-08
12861.181000800021,2024-02-09
12857.431000800021,2024-02-12
12874.68130080002,2024-02-13
12883.681000800021,2024-02-14
12870.180700800021,2024-02-15
12984.181150800021,2024-02-16
12987.931150800021,2024-02-19
13002.931150800021,2024-02-20
13108.681000800021,2024-02-21
13077.621625800022,2024-02-22
13077.621625800022,2024-02-23
13077.621625800022,2024-02-26
13200.293650800022,2024-02-27
12895.043200800023,2024-02-28
12917.543200800023,2024-02-29
13459.043650800022,2024-03-01
13427.686150425023,2024-03-02
13427.686150425023,2024-03-04
13321.774900800023,2024-03-05
13225.775350800022,2024-03-06
13482.275050800023,2024-03-07
13451.150050800023,2024-03-11
13451.150050800023,2024-03-12
13047.732851175024,2024-03-13
12935.232851175024,2024-03-14
12863.233001175024,2024-03-15
13219.483001175024,2024-03-18
13169.232551175024,2024-03-19
13073.233001175024,2024-03-20
13338.732401175024,2024-03-21
13525.482551175024,2024-03-22
13494.552551550025,2024-03-26
13494.552551550025,2024-03-27
13494.552551550025,2024-03-28
13494.552551550025,2024-04-01
13494.552551550025,2024-04-02
13307.830676550026,2024-04-03
13210.330676550026,2024-04-04
13129.330376550026,2024-04-05
13419.580826550025,2024-04-08
13391.830376550026,2024-04-09
13532.080826550025,2024-04-10
13269.580826550025,2024-04-12
13179.580826550025,2024-04-15
12951.580676550026,2024-04-16
12944.830526550026,2024-04-18
13244.830526550026,2024-04-19
13094.830526550026,2024-04-22
13043.080376550026,2024-04-23
13513.330826550025,2024-04-24
13480.229576175027,2024-04-25
13480.229576175027,2024-04-26
13480.229576175027,2024-04-29
13480.229576175027,2024-04-30
13480.229576175027,2024-05-02
13480.229576175027,2024-05-03
13544.197225800028,2024-05-06
13447.877605200028,2024-05-07
13531.65770580003,2024-05-08
13080.15725580003,2024-05-09
13365.90710580003,2024-05-10
13470.90710580003,2024-05-13
13784.40740580003,2024-05-14
13626.15755580003,2024-05-15
13857.90770580003,2024-05-16
13824.66770505003,2024-05-17
13824.66770505003,2024-05-18
13824.66770505003,2024-05-21
13824.66770505003,2024-05-22
13824.66770505003,2024-05-23
13665.03050505003,2024-05-24
13564.53035505003,2024-05-27
13645.52990505003,2024-05-28
13563.78050505003,2024-05-29
13290.78035505003,2024-05-30
13243.53005505003,2024-05-31
13764.78005505003,2024-06-03
13730.456305425032,2024-06-04
14247.137531175033,2024-06-05
14392.636931175033,2024-06-06
14753.387531175033,2024-06-07
14719.181905425034,2024-06-10
14719.181905425034,2024-06-11
14719.181905425034,2024-06-12
14719.181905425034,2024-06-13
14719.181905425034,2024-06-14
14719.181905425034,2024-06-18
14719.181905425034,2024-06-19
14880.546160100035,2024-06-20
14979.722035050034,2024-06-21
14958.021475050033,2024-06-24
14881.722035050034,2024-06-25
