account_value,date
10000.0,2022-03-11
10000.0,2022-03-14
10000.0,2022-03-15
10000.0,2022-03-16
10000.0,2022-03-17
10000.0,2022-03-21
10000.0,2022-03-22
10000.0,2022-03-23
10000.0,2022-03-24
10019.073125,2022-03-25
10033.823125,2022-03-28
10057.823125,2022-03-29
10223.323125,2022-03-30
10177.073125,2022-03-31
10291.073125,2022-04-01
10588.073125,2022-04-04
10565.122500000001,2022-04-05
10537.817000000001,2022-04-06
10455.273000000001,2022-04-07
10545.523000000001,2022-04-08
10540.273000000001,2022-04-11
10632.273000000001,2022-04-12
10609.749875000001,2022-04-13
10475.153875000004,2022-04-18
10256.277875000002,2022-04-19
10334.809125000002,2022-04-20
10572.109125,2022-04-21
10373.509125000002,2022-04-22
10380.109125,2022-04-25
10463.209125000003,2022-04-26
10456.009125000002,2022-04-27
10600.909125000004,2022-04-28
10751.509125000002,2022-04-29
10653.109125,2022-05-02
10660.609125,2022-05-04
10686.853125000001,2022-05-05
10677.865125000002,2022-05-06
10677.865125000002,2022-05-09
10677.865125000002,2022-05-10
10677.865125000002,2022-05-11
10677.865125000002,2022-05-12
10677.865125000002,2022-05-13
10677.865125000002,2022-05-16
10677.865125000002,2022-05-17
10677.865125000002,2022-05-18
10677.865125000002,2022-05-19
10677.865125000002,2022-05-20
10677.865125000002,2022-05-23
10677.865125000002,2022-05-24
10677.865125000002,2022-05-25
10677.865125000002,2022-05-26
10677.865125000002,2022-05-27
10677.865125000002,2022-05-30
10677.865125000002,2022-05-31
10677.865125000002,2022-06-01
10677.865125000002,2022-06-02
10659.644500000002,2022-06-03
10712.894500000002,2022-06-06
10657.144500000002,2022-06-07
10593.894500000002,2022-06-08
10692.394500000002,2022-06-09
10325.394500000002,2022-06-10
10053.144500000002,2022-06-13
10064.894500000002,2022-06-14
10049.644500000002,2022-06-15
9745.394500000002,2022-06-16
9734.394500000002,2022-06-17
9762.394500000002,2022-06-20
9773.894500000002,2022-06-21
9714.894500000002,2022-06-22
9786.894500000002,2022-06-23
9858.394500000002,2022-06-24
9824.144500000002,2022-06-27
9710.394500000002,2022-06-28
9578.644500000002,2022-06-29
9671.894500000002,2022-06-30
9705.144500000002,2022-07-01
9720.894500000002,2022-07-04
9681.644500000002,2022-07-05
9888.894500000002,2022-07-06
9867.588250000003,2022-07-07
9867.588250000003,2022-07-08
9867.588250000003,2022-07-11
9867.588250000003,2022-07-12
9867.588250000003,2022-07-13
9867.588250000003,2022-07-14
9867.588250000003,2022-07-15
9867.588250000003,2022-07-18
9867.588250000003,2022-07-19
9867.588250000003,2022-07-20
9867.588250000003,2022-07-21
9867.588250000003,2022-07-22
9867.588250000003,2022-07-25
9867.588250000003,2022-07-26
9867.588250000003,2022-07-27
9867.588250000003,2022-07-28
9867.588250000003,2022-07-29
10071.958875000004,2022-08-01
10216.208875000004,2022-08-02
10048.708875000004,2022-08-03
9970.958875000004,2022-08-04
9962.708875000004,2022-08-05
10015.708875000004,2022-08-08
9934.958875000004,2022-08-10
10060.708875000004,2022-08-11
9999.208875000004,2022-08-12
10024.958875000004,2022-08-16
9991.708875000004,2022-08-17
10315.708875000004,2022-08-18
10178.208875000004,2022-08-19
9953.458875000004,2022-08-22
10071.958875000004,2022-08-23
10131.208875000004,2022-08-24
10136.958875000004,2022-08-25
10303.458875000004,2022-08-26
10043.208875000004,2022-08-29
10370.458875000004,2022-08-30
10338.704375000005,2022-09-01
10354.704375000005,2022-09-02
10430.765875000005,2022-09-05
10406.542125000007,2022-09-06
10406.542125000007,2022-09-07
10406.542125000007,2022-09-08
10406.542125000007,2022-09-09
10406.542125000007,2022-09-12
10395.722125000008,2022-09-13
10537.796625000006,2022-09-14
10513.362875000006,2022-09-15
10469.936000000007,2022-09-16
10465.936000000007,2022-09-19
10517.186000000007,2022-09-20
10410.936000000007,2022-09-21
10282.186000000007,2022-09-22
10131.936000000007,2022-09-23
9963.436000000007,2022-09-26
9814.936000000007,2022-09-27
9781.436000000007,2022-09-28
9644.936000000007,2022-09-29
9914.436000000007,2022-09-30
9737.936000000007,2022-10-03
9929.686000000007,2022-10-04
9912.936000000007,2022-10-06
9945.436000000007,2022-10-07
9859.686000000007,2022-10-10
9757.936000000007,2022-10-11
9869.436000000007,2022-10-12
9825.936000000007,2022-10-13
9988.436000000007,2022-10-14
10109.186000000007,2022-10-17
10098.349875000009,2022-10-18
10122.650625000007,2022-10-19
10084.303875000009,2022-10-20
10279.803875000009,2022-10-21
10256.020750000009,2022-10-24
10256.020750000009,2022-10-25
10256.020750000009,2022-10-27
10256.020750000009,2022-10-28
10256.020750000009,2022-10-31
10256.020750000009,2022-11-01
10256.020750000009,2022-11-02
10241.445875000009,2022-11-03
10221.44437500001,2022-11-04
10134.69437500001,2022-11-07
10188.69437500001,2022-11-09
10282.44437500001,2022-11-10
10217.19437500001,2022-11-11
10335.69437500001,2022-11-14
10283.69437500001,2022-11-15
10551.19437500001,2022-11-16
10474.44437500001,2022-11-17
10519.44437500001,2022-11-18
10442.19437500001,2022-11-21
10420.44437500001,2022-11-22
10488.44437500001,2022-11-23
10445.94437500001,2022-11-24
10363.69437500001,2022-11-25
10362.44437500001,2022-11-28
10349.44437500001,2022-11-29
10456.94437500001,2022-11-30
10393.19437500001,2022-12-01
10375.69437500001,2022-12-02
10413.94437500001,2022-12-05
10397.94437500001,2022-12-06
10278.94437500001,2022-12-07
10206.69437500001,2022-12-08
10161.94437500001,2022-12-09
10050.44437500001,2022-12-12
10064.19437500001,2022-12-13
10087.69437500001,2022-12-14
10037.69437500001,2022-12-15
9924.44437500001,2022-12-16
10012.44437500001,2022-12-19
9957.19437500001,2022-12-20
9794.69437500001,2022-12-21
9851.94437500001,2022-12-22
9831.44437500001,2022-12-23
9789.44437500001,2022-12-26
9826.19437500001,2022-12-27
9822.19437500001,2022-12-28
9815.44437500001,2022-12-29
9857.94437500001,2022-12-30
9846.94437500001,2023-01-02
9885.94437500001,2023-01-03
9825.44437500001,2023-01-04
9823.19437500001,2023-01-05
9655.69437500001,2023-01-06
9781.19437500001,2023-01-09
9699.44437500001,2023-01-10
9730.94437500001,2023-01-11
9619.19437500001,2023-01-12
9623.19437500001,2023-01-13
9645.69437500001,2023-01-16
9709.94437500001,2023-01-17
9717.19437500001,2023-01-18
9558.19437500001,2023-01-19
9536.19437500001,2023-01-20
9640.44437500001,2023-01-23
9522.94437500001,2023-01-24
9470.69437500001,2023-01-25
9287.19437500001,2023-01-27
9352.94437500001,2023-01-30
9376.69437500001,2023-01-31
9445.19437500001,2023-02-01
9530.44437500001,2023-02-02
9623.19437500001,2023-02-03
9600.94062500001,2023-02-06
9721.10312500001,2023-02-07
9671.60312500001,2023-02-08
9698.60312500001,2023-02-09
9704.35312500001,2023-02-10
9713.10312500001,2023-02-13
9695.85312500001,2023-02-14
9771.60312500001,2023-02-15
9783.85312500001,2023-02-16
9640.35312500001,2023-02-17
9530.60312500001,2023-02-20
9495.10312500001,2023-02-21
9346.85312500001,2023-02-22
9379.85312500001,2023-02-23
9330.60312500001,2023-02-24
9473.85312500001,2023-02-27
9490.35312500001,2023-02-28
9568.60312500001,2023-03-01
9452.60312500001,2023-03-02
9599.10312500001,2023-03-03
9599.10312500001,2023-03-06
9545.10312500001,2023-03-08
9427.60312500001,2023-03-09
9340.60312500001,2023-03-10
9213.60312500001,2023-03-13
9085.35312500001,2023-03-14
9173.85312500001,2023-03-15
9161.85312500001,2023-03-16
9309.60312500001,2023-03-17
9342.35312500001,2023-03-20
9378.35312500001,2023-03-21
9369.85312500001,2023-03-22
9242.60312500001,2023-03-23
9304.85312500001,2023-03-24
9370.10312500001,2023-03-27
9338.60312500001,2023-03-28
9449.35312500001,2023-03-29
9508.35312500001,2023-03-31
9572.60312500001,2023-04-03
9603.60312500001,2023-04-05
9629.60312500001,2023-04-06
9640.60312500001,2023-04-10
10076.60312500001,2023-04-11
10053.521875000011,2023-04-12
10053.521875000011,2023-04-13
10053.521875000011,2023-04-17
10053.521875000011,2023-04-18
10053.521875000011,2023-04-19
10053.521875000011,2023-04-20
10053.521875000011,2023-04-21
10053.521875000011,2023-04-24
10053.521875000011,2023-04-25
10053.521875000011,2023-04-26
10180.039375000011,2023-04-27
10327.289375000011,2023-04-28
10242.789375000011,2023-05-02
10291.789375000011,2023-05-03
10375.039375000011,2023-05-04
10280.539375000011,2023-05-05
10431.289375000011,2023-05-08
10408.539375000011,2023-05-09
10430.539375000011,2023-05-10
10426.789375000011,2023-05-11
10440.039375000011,2023-05-12
10502.039375000011,2023-05-15
10372.289375000011,2023-05-16
10182.789375000011,2023-05-17
10274.039375000011,2023-05-18
10345.289375000011,2023-05-19
10338.039375000011,2023-05-22
10244.539375000011,2023-05-23
10188.789375000011,2023-05-24
10286.789375000011,2023-05-25
10362.289375000011,2023-05-26
10403.039375000011,2023-05-29
10510.539375000011,2023-05-30
10708.789375000011,2023-05-31
10287.289375000011,2023-06-01
10330.789375000011,2023-06-02
10261.539375000011,2023-06-05
10432.289375000011,2023-06-06
10334.039375000011,2023-06-07
10069.539375000011,2023-06-08
9997.039375000011,2023-06-09
10034.289375000011,2023-06-12
9916.789375000011,2023-06-13
9960.289375000011,2023-06-14
9804.539375000011,2023-06-15
9924.039375000011,2023-06-16
9759.789375000011,2023-06-19
9857.039375000011,2023-06-20
9864.789375000011,2023-06-21
9817.539375000011,2023-06-22
9779.789375000011,2023-06-23
9751.789375000011,2023-06-26
9860.539375000011,2023-06-27
9839.789375000011,2023-06-28
9869.789375000011,2023-06-30
