trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-03-24,KOTAKBANK,Buy,5,1714.15,21.426875,8570.75,10019.073125,0,5
2,2022-04-04,KOTAKBANK,Sell,5,1836.05,22.950625,9180.25,10565.122500000001,5,0
3,2022-04-05,KOTAKBANK,Buy,1,1802.2,4.5055000000000005,1802.2,10537.817000000001,0,1
4,2022-04-06,KOTAKBANK,Buy,4,1779.4,17.794,7117.6,10455.273000000001,1,5
5,2022-04-12,KOTAKBANK,Sell,5,1801.85,22.523125,9009.25,10609.749875000001,5,0
6,2022-04-13,KOTAKBANK,Buy,4,1779.6,17.796,7118.4,10475.153875000004,0,4
7,2022-04-18,KOTAKBANK,Buy,1,1750.4,4.376,1750.4,10256.277875000002,4,5
8,2022-04-19,KOTAKBANK,Buy,1,1707.5,4.26875,1707.5,10334.809125000002,5,6
9,2022-05-04,KOTAKBANK,Sell,4,1775.6,17.756,7102.4,10686.853125000001,6,2
10,2022-05-05,KOTAKBANK,Sell,2,1797.6,8.988,3595.2,10677.865125000002,2,0
11,2022-06-02,KOTAKBANK,Buy,5,1857.65,23.220625000000002,9288.25,10659.644500000002,0,5
12,2022-07-06,KOTAKBANK,Sell,5,1704.5,21.306250000000002,8522.5,9867.588250000003,5,0
13,2022-07-29,KOTAKBANK,Buy,5,1810.35,22.629375,9051.75,10071.958875000004,0,5
14,2022-08-30,KOTAKBANK,Sell,4,1915.45,19.154500000000002,7661.8,10338.704375000005,5,1
15,2022-09-02,KOTAKBANK,Buy,4,1918.85,19.1885,7675.4,10430.765875000005,1,5
16,2022-09-05,KOTAKBANK,Sell,5,1937.9,24.22375,9689.5,10406.542125000007,5,0
17,2022-09-12,KOTAKBANK,Buy,2,1924.0,9.620000000000001,3848.0,10395.722125000008,0,2
18,2022-09-13,KOTAKBANK,Buy,3,1923.4,14.425500000000001,5770.200000000001,10537.796625000006,2,5
19,2022-09-14,KOTAKBANK,Sell,5,1954.7,24.43375,9773.5,10513.362875000006,5,0
20,2022-09-15,KOTAKBANK,Buy,5,1934.15,24.176875,9670.75,10469.936000000007,0,5
21,2022-10-17,KOTAKBANK,Sell,3,1858.15,13.936125000000002,5574.450000000001,10098.349875000009,5,2
22,2022-10-18,KOTAKBANK,Buy,1,1859.7,4.64925,1859.7,10122.650625000007,2,3
23,2022-10-19,KOTAKBANK,Buy,2,1869.35,9.34675,3738.7,10084.303875000009,3,5
24,2022-10-21,KOTAKBANK,Sell,5,1902.65,23.783125000000002,9513.25,10256.020750000009,5,0
25,2022-11-02,KOTAKBANK,Buy,1,1909.95,4.774875000000001,1909.95,10241.445875000009,0,1
26,2022-11-03,KOTAKBANK,Buy,4,1900.15,19.0015,7600.6,10221.44437500001,1,5
27,2023-02-03,KOTAKBANK,Sell,5,1780.3,22.25375,8901.5,9600.94062500001,5,0
28,2023-02-06,KOTAKBANK,Buy,5,1747.0,21.837500000000002,8735.0,9721.10312500001,0,5
29,2023-04-11,KOTAKBANK,Sell,5,1846.5,23.08125,9232.5,10053.521875000011,5,0
30,2023-04-26,KOTAKBANK,Buy,5,1878.6,23.4825,9393.0,10180.039375000011,0,5
31,2023-07-24,KOTAKBANK,Sell,5,1897.25,23.715625,9486.25,10099.573750000012,5,0
32,2023-07-27,KOTAKBANK,Buy,5,1873.75,23.421875,9368.75,10091.651875000012,0,5
33,2024-05-16,KOTAKBANK,Sell,5,1672.05,20.900625,8360.25,9046.751250000012,5,0
34,2024-06-04,KOTAKBANK,Buy,5,1637.95,20.474375000000002,8189.75,9427.026875000012,0,5
35,2024-06-05,KOTAKBANK,Sell,5,1718.1,21.47625,8590.5,9405.550625000013,5,0
36,2024-06-06,KOTAKBANK,Buy,5,1734.7,21.68375,8673.5,9478.866875000012,0,5
37,2024-06-27,KOTAKBANK,Sell,5,1830.55,22.881875,9152.75,9840.235000000013,5,0
38,2024-07-10,KOTAKBANK,Buy,1,1829.85,4.574625,1829.85,9850.310375000014,0,1
39,2024-07-11,KOTAKBANK,Buy,4,1844.5,18.445,7378.0,9773.615375000014,1,5
40,2024-09-24,KOTAKBANK,Sell,4,1914.7,19.147000000000002,7658.8,10146.968375000015,5,1
41,2024-09-25,KOTAKBANK,Sell,1,1897.95,4.744875,1897.95,10142.223500000015,1,0
42,2024-09-30,KOTAKBANK,Buy,2,1853.95,9.26975,3707.9,10183.853750000015,0,2
43,2024-10-01,KOTAKBANK,Buy,3,1879.4,14.095500000000001,5638.200000000001,9886.758250000014,2,5
44,2024-11-21,KOTAKBANK,Sell,5,1737.1,21.71375,8685.5,9436.544500000015,5,0
45,2024-12-03,KOTAKBANK,Buy,5,1749.9,21.87375,8749.5,9452.670750000016,0,5
46,2024-12-05,KOTAKBANK,Sell,2,1775.15,8.87575,3550.3,9537.445000000016,5,3
47,2024-12-06,KOTAKBANK,Buy,2,1776.95,8.88475,3553.9,9575.060250000017,3,5
48,2024-12-13,KOTAKBANK,Sell,5,1805.65,22.570625,9028.25,9649.489625000017,5,0
49,2024-12-17,KOTAKBANK,Buy,1,1784.05,4.460125,1784.05,9640.979500000016,0,1
50,2024-12-18,KOTAKBANK,Buy,4,1780.0,17.8,7120.0,9533.679500000017,1,5
51,2025-03-20,KOTAKBANK,Sell,1,2035.65,5.089125,2035.65,11069.740375000018,5,4
52,2025-03-21,KOTAKBANK,Sell,4,2079.0,20.79,8316.0,11048.950375000019,4,0
53,2025-04-04,KOTAKBANK,Buy,4,2131.95,21.319499999999998,8527.8,10651.23087500002,0,4
54,2025-04-07,KOTAKBANK,Buy,1,2037.85,5.094625,2037.85,10732.63625000002,4,5
55,2025-04-28,KOTAKBANK,Sell,2,2225.6,11.128,4451.2,11511.95825000002,5,3
56,2025-04-29,KOTAKBANK,Buy,2,2205.0,11.025,4410.0,11516.43325000002,3,5
57,2025-06-09,KOTAKBANK,Sell,1,2138.2,5.3454999999999995,2138.2,11213.18775000002,5,4
58,2025-06-10,KOTAKBANK,Buy,1,2151.1,5.37775,2151.1,11178.81000000002,4,5
59,2025-06-13,KOTAKBANK,Sell,4,2107.4,21.074,8429.6,10999.836000000021,5,1
60,2025-06-16,KOTAKBANK,Sell,1,2139.0,5.3475,2139.0,10994.488500000021,1,0
