account_value,date
10000.0,2022-05-18
9829.112500000001,2022-05-19
10202.012499999999,2022-05-20
10406.312500000002,2022-05-23
10299.2125,2022-05-24
10037.39675,2022-05-25
9972.259875,2022-05-26
10186.759875,2022-05-27
10550.059874999999,2022-05-30
10511.959875,2022-05-31
10472.959875,2022-06-01
10407.859875000002,2022-06-02
10497.259875,2022-06-03
10426.159875000001,2022-06-06
10121.659875000001,2022-06-07
10092.259875,2022-06-08
10155.559874999999,2022-06-09
10095.559874999999,2022-06-10
9777.259875,2022-06-13
9852.859875000002,2022-06-14
9947.059874999999,2022-06-15
9749.359875000002,2022-06-16
9524.659875000001,2022-06-17
9415.759875,2022-06-20
9586.759875,2022-06-21
9457.459875,2022-06-22
9550.759875,2022-06-23
9554.059874999999,2022-06-24
9799.759875,2022-06-27
9893.959875,2022-06-28
9872.359875000002,2022-06-29
9934.459875,2022-06-30
10017.859875000002,2022-07-01
10075.159875000001,2022-07-04
9974.359875000002,2022-07-05
9921.859875000002,2022-07-06
10251.559874999999,2022-07-07
10709.659875000001,2022-07-08
10562.959875,2022-07-11
10507.459875,2022-07-12
10468.459875,2022-07-13
10461.859875000002,2022-07-14
10694.059874999999,2022-07-15
10950.859875000002,2022-07-18
10963.759875,2022-07-19
11024.659875000001,2022-07-20
11175.859875000002,2022-07-21
11191.459875,2022-07-22
11279.659875000001,2022-07-25
11092.459875,2022-07-26
11364.859875000002,2022-07-27
11392.459875,2022-07-28
11433.259875,2022-07-29
11473.159875000001,2022-08-01
11343.259875,2022-08-02
11323.759875,2022-08-03
11265.559874999999,2022-08-04
11309.659875000001,2022-08-05
11562.859875000002,2022-08-08
11715.859875000002,2022-08-10
11787.859875000002,2022-08-11
11663.659875000001,2022-08-12
11678.359875000002,2022-08-16
11719.159875000001,2022-08-17
11952.259875,2022-08-18
12201.259875,2022-08-19
11868.859875000002,2022-08-22
11847.259875,2022-08-23
11945.059874999999,2022-08-24
11852.359875000002,2022-08-25
12017.359875000002,2022-08-26
11873.959875,2022-08-29
12119.959875,2022-08-30
12062.659875000001,2022-09-01
12227.959875,2022-09-02
12395.059874999999,2022-09-05
12358.759875,2022-09-06
12333.559874999999,2022-09-07
12431.359875000002,2022-09-08
12283.459875,2022-09-09
12356.359875000002,2022-09-12
12533.059874999999,2022-09-13
12308.359875000002,2022-09-14
12329.959875,2022-09-15
12104.959875,2022-09-16
12049.159875000001,2022-09-19
12181.159875000001,2022-09-20
11958.859875000002,2022-09-21
11922.292500000003,2022-09-22
11908.131000000003,2022-09-23
11878.004625000005,2022-09-26
11802.618750000005,2022-09-27
11768.118750000005,2022-09-28
11648.418750000004,2022-09-29
11841.618750000005,2022-09-30
11671.218750000004,2022-10-03
11984.718750000004,2022-10-04
12233.118750000005,2022-10-06
12253.571625000004,2022-10-07
12169.448875000006,2022-10-10
11980.474750000005,2022-10-11
12174.274750000004,2022-10-12
11963.674750000006,2022-10-13
12176.374750000003,2022-10-14
12005.974750000005,2022-10-17
12215.374750000003,2022-10-18
12136.174750000006,2022-10-19
12131.674750000006,2022-10-20
11967.274750000004,2022-10-21
12165.274750000004,2022-10-24
12401.374750000003,2022-10-25
12491.074750000003,2022-10-27
12557.074750000003,2022-10-28
12845.374750000003,2022-10-31
12853.474750000005,2022-11-01
12786.574750000003,2022-11-02
12758.974750000005,2022-11-03
12797.374750000003,2022-11-04
12812.674750000006,2022-11-07
12727.774750000004,2022-11-09
12572.674750000006,2022-11-10
12773.374750000003,2022-11-11
12705.574750000003,2022-11-14
12686.074750000003,2022-11-15
12728.374750000003,2022-11-16
12884.074750000003,2022-11-17
12853.474750000005,2022-11-18
12775.474750000005,2022-11-21
12885.574750000003,2022-11-22
12856.774750000004,2022-11-23
13019.974750000003,2022-11-24
