account_value,date
10000.0,2022-09-23
9726.43475,2022-09-26
9721.88475,2022-09-27
9768.43475,2022-09-28
9746.69275,2022-09-29
9746.69275,2022-09-30
9746.69275,2022-10-03
9746.69275,2022-10-04
9746.69275,2022-10-06
9746.69275,2022-10-07
9746.69275,2022-10-10
9746.69275,2022-10-11
9746.69275,2022-10-12
9746.69275,2022-10-13
9746.69275,2022-10-14
9746.69275,2022-10-17
9746.69275,2022-10-18
9746.69275,2022-10-19
9746.69275,2022-10-20
9746.69275,2022-10-21
9746.69275,2022-10-24
9746.69275,2022-10-25
9746.69275,2022-10-27
9746.69275,2022-10-28
9746.69275,2022-10-31
9746.69275,2022-11-01
9746.69275,2022-11-02
9746.69275,2022-11-03
9746.69275,2022-11-04
9746.69275,2022-11-07
9746.69275,2022-11-09
9746.69275,2022-11-10
9746.69275,2022-11-11
9661.518500000002,2022-11-14
9756.3685,2022-11-15
9733.76375,2022-11-16
9733.76375,2022-11-17
9698.415375,2022-11-18
9617.708125000001,2022-11-21
9689.108125,2022-11-22
9667.610250000002,2022-11-23
9667.610250000002,2022-11-24
9667.610250000002,2022-11-25
9667.610250000002,2022-11-28
9667.610250000002,2022-11-29
9667.610250000002,2022-11-30
9667.610250000002,2022-12-01
9667.610250000002,2022-12-02
9667.610250000002,2022-12-05
9667.610250000002,2022-12-06
9667.610250000002,2022-12-07
9667.610250000002,2022-12-08
9667.610250000002,2022-12-09
9667.610250000002,2022-12-12
9667.610250000002,2022-12-13
9667.610250000002,2022-12-14
9667.610250000002,2022-12-15
9667.610250000002,2022-12-16
9667.610250000002,2022-12-19
9667.610250000002,2022-12-20
9667.610250000002,2022-12-21
9667.610250000002,2022-12-22
9580.566125000001,2022-12-23
9667.716125000003,2022-12-26
9648.116125000002,2022-12-27
9774.816125000001,2022-12-28
9752.900000000001,2022-12-29
9752.900000000001,2022-12-30
9752.900000000001,2023-01-02
9752.900000000001,2023-01-03
9688.007000000001,2023-01-04
