account_value,date
10000.0,2022-03-24
10000.0,2022-03-25
10000.0,2022-03-28
10000.0,2022-03-29
10000.0,2022-03-30
10000.0,2022-03-31
10000.0,2022-04-01
10000.0,2022-04-04
10000.0,2022-04-05
10000.0,2022-04-06
10000.0,2022-04-07
10000.0,2022-04-08
9988.5548245,2022-04-11
10041.5050245,2022-04-12
9892.6549245,2022-04-13
9996.6549245,2022-04-18
9858.2550245,2022-04-19
10089.855124500002,2022-04-20
10302.355124500002,2022-04-21
10327.6549245,2022-04-22
10335.5050245,2022-04-25
10329.9049245,2022-04-26
10211.5548245,2022-04-27
10311.3048245,2022-04-28
10140.9547245,2022-04-29
10057.9049245,2022-05-02
9821.0548245,2022-05-04
9830.8048245,2022-05-05
9702.4049245,2022-05-06
9783.4547245,2022-05-09
9939.0548245,2022-05-10
9819.605124500002,2022-05-11
9676.8048245,2022-05-12
9525.105124500002,2022-05-13
9670.7550245,2022-05-16
9955.9547245,2022-05-17
9989.7047245,2022-05-18
9827.7047245,2022-05-19
10009.7550245,2022-05-20
10320.605124500002,2022-05-23
10300.861499000002,2022-05-24
10300.861499000002,2022-05-25
10300.861499000002,2022-05-26
10300.861499000002,2022-05-27
10300.861499000002,2022-05-30
10300.861499000002,2022-05-31
10300.861499000002,2022-06-01
10300.861499000002,2022-06-02
10300.861499000002,2022-06-03
10287.098874500003,2022-06-06
10385.948974500003,2022-06-07
10468.999274500004,2022-06-08
10506.399174500002,2022-06-09
10511.649174500002,2022-06-10
10478.149174500002,2022-06-13
10388.198974500003,2022-06-14
10429.999274500004,2022-06-15
10410.149174500002,2022-06-16
10264.698974500003,2022-06-17
10237.499274500004,2022-06-20
10357.149174500002,2022-06-21
10359.299074500002,2022-06-22
10847.549074500002,2022-06-23
10939.749274500002,2022-06-24
11025.299074500002,2022-06-27
11004.177199500005,2022-06-28
11004.177199500005,2022-06-29
11004.177199500005,2022-06-30
11004.177199500005,2022-07-01
11004.177199500005,2022-07-04
11004.177199500005,2022-07-05
11004.177199500005,2022-07-06
11004.177199500005,2022-07-07
11004.177199500005,2022-07-08
11004.177199500005,2022-07-11
11004.177199500005,2022-07-12
11004.177199500005,2022-07-13
11004.177199500005,2022-07-14
11004.177199500005,2022-07-15
11004.177199500005,2022-07-18
11004.177199500005,2022-07-19
11004.177199500005,2022-07-20
11004.177199500005,2022-07-21
11004.177199500005,2022-07-22
11004.177199500005,2022-07-25
10886.873200500006,2022-07-26
11019.123200500006,2022-07-27
11082.073400500007,2022-07-28
11134.573400500007,2022-07-29
11364.424000500007,2022-08-01
11534.073400500007,2022-08-02
11511.140776000007,2022-08-03
11495.992150500007,2022-08-04
11370.492150500007,2022-08-05
11451.242150500007,2022-08-08
11408.992150500007,2022-08-10
11343.141550500008,2022-08-11
11228.492150500007,2022-08-12
11532.992150500007,2022-08-16
11473.641550500008,2022-08-17
11476.992150500007,2022-08-18
11308.242150500007,2022-08-19
11157.291950500008,2022-08-22
11249.791950500008,2022-08-23
11233.291950500008,2022-08-24
11265.192350500009,2022-08-25
11249.891550500008,2022-08-26
11363.492150500007,2022-08-29
11611.541950500008,2022-08-30
11553.791950500008,2022-09-01
11448.891550500008,2022-09-02
11479.341750500009,2022-09-05
11418.041950500008,2022-09-06
11314.192350500009,2022-09-07
11319.942350500009,2022-09-08
11475.291950500008,2022-09-09
11456.942350500009,2022-09-12
11455.791950500008,2022-09-13
11496.492150500007,2022-09-14
11739.041950500008,2022-09-15
11718.942350500009,2022-09-16
11810.141550500008,2022-09-19
11830.141550500008,2022-09-20
11806.889426500009,2022-09-21
11806.889426500009,2022-09-22
11806.889426500009,2022-09-23
11806.889426500009,2022-09-26
11723.901651000011,2022-09-27
11676.60185100001,2022-09-28
11574.70145100001,2022-09-29
11778.00225100001,2022-09-30
11496.85185100001,2022-10-03
11640.35185100001,2022-10-04
11652.85185100001,2022-10-06
11728.95145100001,2022-10-07
11812.25225100001,2022-10-10
11634.00225100001,2022-10-11
11636.45145100001,2022-10-12
11599.401651000011,2022-10-13
11567.151651000011,2022-10-14
11673.651651000011,2022-10-17
11757.20145100001,2022-10-18
11669.20145100001,2022-10-19
11657.25225100001,2022-10-20
11653.151651000011,2022-10-21
11715.30205100001,2022-10-24
11954.85185100001,2022-10-25
11991.80205100001,2022-10-27
11969.19717550001,2022-10-28
11969.19717550001,2022-10-31
11969.19717550001,2022-11-01
11969.19717550001,2022-11-02
11969.19717550001,2022-11-03
11969.19717550001,2022-11-04
11969.19717550001,2022-11-07
11969.19717550001,2022-11-09
11969.19717550001,2022-11-10
11936.753850500012,2022-11-11
12001.553650500011,2022-11-14
12011.40425050001,2022-11-15
11984.15425050001,2022-11-16
11835.65425050001,2022-11-17
11697.253850500012,2022-11-18
11714.40425050001,2022-11-21
11722.954050500011,2022-11-22
11783.704050500011,2022-11-23
11816.303650500011,2022-11-24
11868.704050500011,2022-11-25
11834.604450500012,2022-11-28
11759.40425050001,2022-11-29
11823.354450500012,2022-11-30
11807.354450500012,2022-12-01
11665.053650500011,2022-12-02
11641.253850500012,2022-12-05
11566.553650500011,2022-12-06
11508.354450500012,2022-12-07
11531.90425050001,2022-12-08
11462.553650500011,2022-12-09
11508.954050500011,2022-12-12
11469.90425050001,2022-12-13
11490.803650500011,2022-12-14
11433.354450500012,2022-12-15
11335.003850500012,2022-12-16
11453.053650500011,2022-12-19
11373.553650500011,2022-12-20
11199.604450500012,2022-12-21
11183.553650500011,2022-12-22
10990.804150500011,2022-12-23
11106.003850500012,2022-12-26
11154.65425050001,2022-12-27
11270.253850500012,2022-12-28
11285.003850500012,2022-12-29
11243.803650500011,2022-12-30
11252.503850500012,2023-01-02
11231.954050500011,2023-01-03
11272.003850500012,2023-01-04
11310.303650500011,2023-01-05
11232.253850500012,2023-01-06
11226.204050500011,2023-01-09
11142.354450500012,2023-01-10
11133.65425050001,2023-01-11
11218.40425050001,2023-01-12
11302.604450500012,2023-01-13
11229.303650500011,2023-01-16
11328.553650500011,2023-01-17
11343.253850500012,2023-01-18
11350.854450500012,2023-01-19
11289.003850500012,2023-01-20
11266.303650500011,2023-01-23
11548.003850500012,2023-01-24
11633.303650500011,2023-01-25
11611.343401500011,2023-01-27
11611.343401500011,2023-01-30
11611.343401500011,2023-01-31
11611.343401500011,2023-02-01
11611.343401500011,2023-02-02
11611.343401500011,2023-02-03
11611.343401500011,2023-02-06
11611.343401500011,2023-02-07
11611.343401500011,2023-02-08
11611.343401500011,2023-02-09
11611.343401500011,2023-02-10
11611.343401500011,2023-02-13
11611.343401500011,2023-02-14
11660.306676000011,2023-02-15
11620.056676000011,2023-02-16
11622.707076000012,2023-02-17
11508.607476000012,2023-02-20
11484.806676000011,2023-02-21
11473.90727600001,2023-02-22
11511.207076000012,2023-02-23
11475.457076000012,2023-02-24
11447.15727600001,2023-02-27
11439.306676000011,2023-02-28
11579.107476000012,2023-03-01
11363.707076000012,2023-03-02
11416.207076000012,2023-03-03
11446.40727600001,2023-03-06
11508.857476000012,2023-03-08
11356.90727600001,2023-03-09
11416.506876000012,2023-03-10
11333.357476000012,2023-03-13
11327.107476000012,2023-03-14
11289.90727600001,2023-03-15
11252.40727600001,2023-03-16
11131.806676000011,2023-03-17
11034.556676000011,2023-03-20
11043.357476000012,2023-03-21
11067.357476000012,2023-03-22
11168.15727600001,2023-03-23
11057.857476000012,2023-03-24
11093.306676000011,2023-03-27
11023.756876000012,2023-03-28
11110.256876000012,2023-03-29
11107.107476000012,2023-03-31
11318.006876000012,2023-04-03
11262.006876000012,2023-04-05
11331.607476000012,2023-04-06
11350.107476000012,2023-04-10
11474.506876000012,2023-04-11
11452.858001500013,2023-04-12
11452.858001500013,2023-04-13
11452.858001500013,2023-04-17
11452.858001500013,2023-04-18
11452.858001500013,2023-04-19
11452.858001500013,2023-04-20
11452.858001500013,2023-04-21
11339.162076000015,2023-04-24
11341.912076000015,2023-04-25
11379.912076000015,2023-04-26
11415.961876000014,2023-04-27
11462.561476000015,2023-04-28
11649.861276000014,2023-05-02
11670.311476000015,2023-05-03
11673.611276000014,2023-05-04
11821.662076000015,2023-05-05
11799.290450000015,2023-05-08
11799.290450000015,2023-05-09
11799.290450000015,2023-05-10
11799.290450000015,2023-05-11
11799.290450000015,2023-05-12
11799.290450000015,2023-05-15
11799.290450000015,2023-05-16
11799.290450000015,2023-05-17
11799.290450000015,2023-05-18
11799.290450000015,2023-05-19
11799.290450000015,2023-05-22
11799.290450000015,2023-05-23
11799.290450000015,2023-05-24
11799.290450000015,2023-05-25
11799.290450000015,2023-05-26
11799.290450000015,2023-05-29
11799.290450000015,2023-05-30
11799.290450000015,2023-05-31
11799.290450000015,2023-06-01
11799.290450000015,2023-06-02
11799.290450000015,2023-06-05
11799.290450000015,2023-06-06
11799.290450000015,2023-06-07
11799.290450000015,2023-06-08
11799.290450000015,2023-06-09
11799.290450000015,2023-06-12
11799.290450000015,2023-06-13
11790.496700000016,2023-06-14
11852.846300000016,2023-06-15
11861.696900000015,2023-06-16
11837.687649500016,2023-06-19
11773.957249500016,2023-06-20
11722.707249500016,2023-06-21
11684.907449500017,2023-06-22
11609.157449500017,2023-06-23
11752.057849500015,2023-06-26
11742.857649500016,2023-06-27
11822.508049500017,2023-06-28
12070.907449500017,2023-06-30
11954.857649500016,2023-07-03
11929.258049500017,2023-07-04
12274.157449500017,2023-07-05
12141.258049500017,2023-07-06
12132.107649500016,2023-07-07
12018.157449500017,2023-07-10
12182.008049500017,2023-07-11
12117.657449500017,2023-07-12
11929.407449500017,2023-07-13
11885.508049500017,2023-07-14
11971.407449500017,2023-07-17
11947.508049500017,2023-07-18
11889.407449500017,2023-07-19
12054.357649500016,2023-07-20
12051.907449500017,2023-07-21
11976.657449500017,2023-07-24
12040.457249500016,2023-07-25
12038.207249500016,2023-07-26
12035.457249500016,2023-07-27
11952.157449500017,2023-07-28
12102.607649500016,2023-07-31
11998.607649500016,2023-08-01
11935.657449500017,2023-08-02
11825.557849500015,2023-08-03
11752.258049500017,2023-08-04
11805.657449500017,2023-08-07
11824.407449500017,2023-08-08
11744.957249500016,2023-08-09
11679.457249500016,2023-08-10
11638.707249500016,2023-08-11
11603.508049500017,2023-08-14
11701.407449500017,2023-08-16
11657.157449500017,2023-08-17
11737.907449500017,2023-08-18
11720.657449500017,2023-08-21
11773.758049500017,2023-08-22
11882.807849500015,2023-08-23
11855.557849500015,2023-08-24
11787.557849500015,2023-08-25
11879.557849500015,2023-08-28
11903.107649500016,2023-08-29
12078.258049500017,2023-08-30
12053.767048500016,2023-08-31
12053.767048500016,2023-09-01
