trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-04-08,MARUTI,Buy,1,7557.9502,18.8948755,7557.9502,9988.5548245,0,1
2,2022-05-23,MARUTI,Sell,1,7897.4502,19.7436255,7897.4502,10300.861499000002,1,0
3,2022-06-03,MARUTI,Buy,1,7705.0498,19.2626245,7705.0498,10287.098874500003,0,1
4,2022-06-27,MARUTI,Sell,1,8448.75,21.121875,8448.75,11004.177199500005,1,0
5,2022-07-25,MARUTI,Buy,1,8621.5996,21.553999,8621.5996,10886.873200500006,0,1
6,2022-08-02,MARUTI,Sell,1,9173.0498,22.932624500000003,9173.0498,11511.140776000007,1,0
7,2022-08-03,MARUTI,Buy,1,8959.4502,22.398625499999998,8959.4502,11495.992150500007,0,1
8,2022-09-20,MARUTI,Sell,1,9300.8496,23.252124,9300.8496,11806.889426500009,1,0
9,2022-09-26,MARUTI,Buy,1,8834.9502,22.0873755,8834.9502,11723.901651000011,0,1
10,2022-10-27,MARUTI,Sell,1,9041.9502,22.6048755,9041.9502,11969.19717550001,1,0
11,2022-11-10,MARUTI,Buy,1,9097.25,22.743125,9097.25,11936.753850500012,0,1
12,2023-01-25,MARUTI,Sell,1,8784.0996,21.960249,8784.0996,11611.343401500011,1,0
13,2023-02-14,MARUTI,Buy,1,8774.4502,21.9361255,8774.4502,11660.306676000011,0,1
14,2023-04-11,MARUTI,Sell,1,8659.5498,21.6488745,8659.5498,11452.858001500013,1,0
15,2023-04-21,MARUTI,Buy,1,8558.4502,21.3961255,8558.4502,11339.162076000015,0,1
16,2023-05-05,MARUTI,Sell,1,8948.6504,22.371626000000003,8948.6504,11799.290450000015,1,0
17,2023-06-13,MARUTI,Buy,1,9517.5,23.79375,9517.5,11790.496700000016,0,1
18,2023-06-16,MARUTI,Sell,1,9603.7002,24.0092505,9603.7002,11837.687649500016,1,0
19,2023-06-19,MARUTI,Buy,1,9532.0,23.830000000000002,9532.0,11773.957249500016,0,1
20,2023-08-30,MARUTI,Sell,1,9796.4004,24.491001,9796.4004,12053.767048500016,1,0
21,2023-10-03,MARUTI,Buy,1,10346.9,25.86725,10346.9,11810.849798500018,0,1
22,2024-02-01,MARUTI,Sell,1,10637.95,26.594875000000002,10637.95,12292.35492350002,1,0
23,2024-03-13,MARUTI,Buy,1,11390.15,28.475375,11390.15,12278.32954850002,0,1
24,2024-03-22,MARUTI,Sell,1,12337.7,30.844250000000002,12337.7,13180.58529850002,1,0
25,2024-04-29,MARUTI,Buy,1,12689.85,31.724625000000003,12689.85,13276.51067350002,0,1
26,2024-06-14,MARUTI,Sell,1,12845.2,32.113,12845.2,13272.097673500022,1,0
27,2024-06-18,MARUTI,Buy,1,12560.95,31.402375000000003,12560.95,12921.845298500022,0,1
28,2024-07-15,MARUTI,Sell,1,12648.3,31.620749999999997,12648.3,13296.424548500021,1,0
29,2024-07-25,MARUTI,Buy,1,12509.2,31.273000000000003,12509.2,13419.651548500022,0,1
30,2024-07-29,MARUTI,Sell,1,12751.55,31.878874999999997,12751.55,13475.622673500022,1,0
31,2024-08-02,MARUTI,Buy,1,12726.4,31.816,12726.4,12918.256673500024,0,1
32,2024-09-02,MARUTI,Sell,1,12427.4,31.0685,12427.4,13113.738173500024,1,0
33,2024-09-04,MARUTI,Buy,1,12336.25,30.840625,12336.25,13045.247548500025,0,1
34,2024-09-24,MARUTI,Sell,1,12738.6,31.846500000000002,12738.6,13453.401048500025,1,0
35,2024-10-07,MARUTI,Buy,1,12527.5,31.31875,12527.5,13426.532298500028,0,1
36,2024-10-10,MARUTI,Sell,1,12944.1,32.36025,12944.1,13806.322048500027,1,0
37,2024-10-11,MARUTI,Buy,1,12776.65,31.941625,12776.65,13535.580423500029,0,1
38,2024-12-06,MARUTI,Sell,1,11317.95,28.294875,11317.95,12287.38554850003,1,0
39,2024-12-12,MARUTI,Buy,1,11167.4,27.918499999999998,11167.4,12364.61704850003,0,1
40,2025-01-03,MARUTI,Sell,1,11934.25,29.835625,11934.25,12996.48142350003,1,0
41,2025-02-19,MARUTI,Buy,1,12686.15,31.715374999999998,12686.15,12719.26604850003,0,1
42,2025-04-23,MARUTI,Sell,1,11907.0,29.767500000000002,11907.0,12155.848548500031,1,0
43,2025-04-25,MARUTI,Buy,1,11698.0,29.245,11698.0,12274.603548500032,0,1
44,2025-04-30,MARUTI,Sell,1,12257.0,30.642500000000002,12257.0,12654.961048500032,1,0
45,2025-05-26,MARUTI,Buy,1,12421.0,31.052500000000002,12421.0,12616.908548500032,0,1
46,2025-06-19,MARUTI,Sell,1,12806.0,32.015,12806.0,12976.893548500033,1,0
47,2025-06-27,MARUTI,Buy,1,12642.0,31.605,12642.0,12802.288548500033,0,1
