account_value,date
10000.0,2023-03-14
9841.5191875,2023-03-15
10070.169187500001,2023-03-16
10273.919187500001,2023-03-17
10250.346500000001,2023-03-20
10250.346500000001,2023-03-21
10250.346500000001,2023-03-22
10250.346500000001,2023-03-23
10250.346500000001,2023-03-24
10250.346500000001,2023-03-27
10250.346500000001,2023-03-28
10250.346500000001,2023-03-29
10250.346500000001,2023-03-31
10250.346500000001,2023-04-03
10250.346500000001,2023-04-05
10250.346500000001,2023-04-06
10250.346500000001,2023-04-10
10250.346500000001,2023-04-11
10250.346500000001,2023-04-12
10250.346500000001,2023-04-13
10250.346500000001,2023-04-17
10250.346500000001,2023-04-18
10250.346500000001,2023-04-19
10250.346500000001,2023-04-20
10250.346500000001,2023-04-21
10250.346500000001,2023-04-24
10250.346500000001,2023-04-25
10250.346500000001,2023-04-26
10250.346500000001,2023-04-27
10250.346500000001,2023-04-28
10250.346500000001,2023-05-02
10250.346500000001,2023-05-03
10250.346500000001,2023-05-04
10250.346500000001,2023-05-05
10250.346500000001,2023-05-08
10250.346500000001,2023-05-09
10250.346500000001,2023-05-10
10250.346500000001,2023-05-11
10250.346500000001,2023-05-12
10250.346500000001,2023-05-15
10250.346500000001,2023-05-16
10250.346500000001,2023-05-17
10250.346500000001,2023-05-18
10250.346500000001,2023-05-19
10250.346500000001,2023-05-22
10250.346500000001,2023-05-23
10219.703201,2023-05-24
10257.423201,2023-05-25
10300.163201000001,2023-05-26
10359.242801,2023-05-29
10297.242801,2023-05-30
10336.703201,2023-05-31
10417.183601,2023-06-01
10486.042801,2023-06-02
10463.996352,2023-06-05
10463.996352,2023-06-06
10463.996352,2023-06-07
10463.996352,2023-06-08
10463.996352,2023-06-09
10463.996352,2023-06-12
10463.996352,2023-06-13
10463.996352,2023-06-14
10463.996352,2023-06-15
10463.996352,2023-06-16
10463.996352,2023-06-19
10463.996352,2023-06-20
10463.996352,2023-06-21
10463.996352,2023-06-22
10463.996352,2023-06-23
10463.996352,2023-06-26
10463.996352,2023-06-27
10463.996352,2023-06-28
10463.996352,2023-06-30
10463.996352,2023-07-03
10463.996352,2023-07-04
10551.711901,2023-07-05
10528.812001,2023-07-06
10528.812001,2023-07-07
10528.812001,2023-07-10
10615.052151000002,2023-07-11
10671.66407575,2023-07-12
10654.3690375,2023-07-13
10654.3690375,2023-07-14
10654.3690375,2023-07-17
10654.3690375,2023-07-18
10654.3690375,2023-07-19
10654.3690375,2023-07-20
10654.3690375,2023-07-21
10654.3690375,2023-07-24
10654.3690375,2023-07-25
10654.3690375,2023-07-26
10654.3690375,2023-07-27
10654.3690375,2023-07-28
10654.3690375,2023-07-31
10654.3690375,2023-08-01
10677.580812750002,2023-08-02
10497.819087000003,2023-08-03
10489.298687000002,2023-08-04
10491.219087000001,2023-08-07
10399.198687000004,2023-08-08
10394.858687000004,2023-08-09
10303.398687,2023-08-10
10244.458687000002,2023-08-11
10267.298687000002,2023-08-14
