trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2023-03-14,NESTLEIND,Buy,5,1826.465,22.830812499999997,9132.324999999999,9841.5191875,0,5
2,2023-03-17,NESTLEIND,Sell,5,1885.815,23.5726875,9429.075,10250.346500000001,5,0
3,2023-05-23,NESTLEIND,Buy,4,2140.3699,21.403699000000003,8561.4796,10219.703201,0,4
4,2023-06-02,NESTLEIND,Sell,4,2204.6449,22.046449,8818.5796,10463.996352,4,0
5,2023-07-04,NESTLEIND,Buy,4,2262.4051,22.624051,9049.6204,10551.711901,0,4
6,2023-07-05,NESTLEIND,Sell,4,2289.99,22.8999,9159.96,10528.812001,4,0
7,2023-07-10,NESTLEIND,Buy,4,2258.025,22.580250000000003,9032.1,10615.052151000002,0,4
8,2023-07-11,NESTLEIND,Sell,1,2285.2301,5.713075250000001,2285.2301,10671.66407575,4,3
9,2023-07-12,NESTLEIND,Sell,3,2306.0051,17.295038249999998,6918.015299999999,10654.3690375,3,0
10,2023-08-01,NESTLEIND,Buy,1,2259.3699,5.64842475,2259.3699,10677.580812750002,0,1
11,2023-08-02,NESTLEIND,Buy,3,2288.2301,17.161725750000002,6864.6903,10497.819087000003,1,4
12,2023-08-30,NESTLEIND,Sell,4,2219.85,22.1985,8879.4,10364.700187000002,4,0
13,2023-09-01,NESTLEIND,Buy,4,2191.5551,21.915551,8766.2204,10271.843836000002,0,4
14,2023-09-14,NESTLEIND,Sell,4,2247.7699,22.477698999999998,8991.0796,10545.166137000002,4,0
15,2023-10-03,NESTLEIND,Buy,4,2231.525,22.315250000000002,8926.1,10791.230487000003,0,4
16,2023-10-04,NESTLEIND,Sell,4,2298.6199,22.986199000000003,9194.4796,10768.244288000004,4,0
17,2023-11-13,NESTLEIND,Buy,4,2408.585,24.08585,9634.34,10779.438838000004,0,4
18,2023-11-15,NESTLEIND,Sell,3,2417.4051,18.13053825,7252.2153,10752.193199750003,4,1
19,2023-11-16,NESTLEIND,Buy,3,2408.29,18.062175,7224.87,10850.191424750004,1,4
20,2023-11-17,NESTLEIND,Sell,4,2437.3051,24.373051,9749.2204,10825.818373750006,4,0
21,2023-12-18,NESTLEIND,Buy,4,2435.425,24.354250000000004,9741.7,11255.643723750005,0,4
22,2023-12-19,NESTLEIND,Sell,4,2548.9699,25.489699,10195.8796,11230.154024750005,4,0
23,2024-01-11,NESTLEIND,Buy,4,2557.2,25.572,10228.8,11174.182424750006,0,4
24,2024-02-20,NESTLEIND,Sell,4,2539.3999,25.393999,10157.5996,11107.987625750005,4,0
25,2024-04-12,NESTLEIND,Buy,2,2536.2,12.681,5072.4,11130.206425750006,0,2
26,2024-04-15,NESTLEIND,Buy,2,2553.6499,12.7682495,5107.2998,11087.238976250006,2,4
27,2024-04-18,NESTLEIND,Sell,4,2462.55,24.625500000000002,9850.2,10728.413076250006,4,0
28,2024-04-30,NESTLEIND,Buy,4,2507.3999,25.073999,10029.5996,10722.939477250007,0,4
29,2024-05-03,NESTLEIND,Sell,4,2456.1001,24.561001,9824.4004,10473.578876250007,4,0
30,2024-05-06,NESTLEIND,Buy,4,2457.3999,24.573999,9829.5996,10654.004877250007,0,4
31,2024-05-08,NESTLEIND,Sell,4,2539.0,25.39,10156.0,10750.015277250008,4,0
32,2024-05-09,NESTLEIND,Buy,3,2513.45,18.850875,7540.349999999999,10790.414402250008,0,3
33,2024-05-10,NESTLEIND,Sell,3,2533.2,18.999,7599.599999999999,10771.415402250008,3,0
34,2024-05-27,NESTLEIND,Buy,3,2459.8999,18.449249249999998,7379.699699999999,10728.36645300001,0,3
35,2024-05-28,NESTLEIND,Buy,1,2451.7,6.12925,2451.7,10820.237203000008,3,4
36,2024-05-30,NESTLEIND,Sell,4,2404.8,24.048000000000002,9619.2,10510.58920300001,4,0
37,2024-06-03,NESTLEIND,Buy,4,2355.05,23.550500000000003,9420.2,10777.83870300001,0,4
38,2024-06-07,NESTLEIND,Sell,4,2502.45,25.0245,10009.8,11051.61420300001,4,0
39,2024-08-01,NESTLEIND,Buy,4,2484.0,24.84,9936.0,11071.17460300001,0,4
40,2024-08-16,NESTLEIND,Sell,4,2525.45,25.2545,10101.8,11167.31970300001,4,0
41,2024-08-19,NESTLEIND,Buy,4,2503.1499,25.031499,10012.5996,11203.688604000012,0,4
