account_value,date
10000.0,2022-06-08
10000.0,2022-06-09
10000.0,2022-06-10
10000.0,2022-06-13
10000.0,2022-06-14
10000.0,2022-06-15
9626.785546675,2022-06-16
9459.285546675,2022-06-17
9244.885546675001,2022-06-20
9425.785546675,2022-06-21
9271.684876675,2022-06-22
9194.635546675001,2022-06-23
9201.336216675001,2022-06-24
9328.635546675001,2022-06-27
9335.336216675001,2022-06-28
9546.385546675001,2022-06-29
9623.434876675,2022-06-30
9555.965877775001,2022-07-01
9547.878503350003,2022-07-04
9547.878503350003,2022-07-05
9547.878503350003,2022-07-06
9547.878503350003,2022-07-07
9547.878503350003,2022-07-08
9547.878503350003,2022-07-11
9547.878503350003,2022-07-12
9547.878503350003,2022-07-13
9547.878503350003,2022-07-14
9547.878503350003,2022-07-15
9547.878503350003,2022-07-18
9547.878503350003,2022-07-19
9547.878503350003,2022-07-20
9547.878503350003,2022-07-21
9547.878503350003,2022-07-22
9547.878503350003,2022-07-25
9547.878503350003,2022-07-26
9547.878503350003,2022-07-27
9547.878503350003,2022-07-28
9547.878503350003,2022-07-29
9547.878503350003,2022-08-01
9547.878503350003,2022-08-02
9547.878503350003,2022-08-03
9521.132928475003,2022-08-04
9528.712538475003,2022-08-05
9524.433538200003,2022-08-08
9524.433538200003,2022-08-10
9397.474903200004,2022-08-11
9377.884529475003,2022-08-12
9377.884529475003,2022-08-16
9377.884529475003,2022-08-17
9377.884529475003,2022-08-18
9377.884529475003,2022-08-19
9377.884529475003,2022-08-22
9377.884529475003,2022-08-23
9377.884529475003,2022-08-24
9377.884529475003,2022-08-25
9377.884529475003,2022-08-26
9377.884529475003,2022-08-29
9377.884529475003,2022-08-30
9377.884529475003,2022-09-01
9377.884529475003,2022-09-02
9377.884529475003,2022-09-05
9377.884529475003,2022-09-06
9377.884529475003,2022-09-07
9377.884529475003,2022-09-08
9377.884529475003,2022-09-09
9377.884529475003,2022-09-12
9377.884529475003,2022-09-13
9377.884529475003,2022-09-14
9377.884529475003,2022-09-15
9377.884529475003,2022-09-16
9377.884529475003,2022-09-19
9377.884529475003,2022-09-20
9377.884529475003,2022-09-21
9377.884529475003,2022-09-22
9377.884529475003,2022-09-23
9377.884529475003,2022-09-26
9377.884529475003,2022-09-27
9293.929529475,2022-09-28
9386.729529475004,2022-09-29
9392.528949475003,2022-09-30
9433.130109475002,2022-10-03
9560.729529475004,2022-10-04
9581.028949475003,2022-10-06
9570.059270750004,2022-10-07
9567.184020750003,2022-10-10
9567.184020750003,2022-10-11
9567.184020750003,2022-10-12
9567.184020750003,2022-10-13
9567.184020750003,2022-10-14
9567.184020750003,2022-10-17
9567.184020750003,2022-10-18
9567.184020750003,2022-10-19
9567.184020750003,2022-10-20
9567.184020750003,2022-10-21
9567.184020750003,2022-10-24
9567.184020750003,2022-10-25
9567.184020750003,2022-10-27
9567.184020750003,2022-10-28
9567.184020750003,2022-10-31
9567.184020750003,2022-11-01
9567.184020750003,2022-11-02
9492.379165750004,2022-11-03
