trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-06-15,NTPC,Buy,67,148.14999,24.815123325000002,9926.04933,9626.785546675,0,67
2,2022-06-30,NTPC,Sell,44,142.89999,15.718998900000003,6287.599560000001,9555.965877775001,67,23
3,2022-07-01,NTPC,Sell,23,140.64999,8.087374425,3234.94977,9547.878503350003,23,0
4,2022-08-03,NTPC,Buy,5,159.64999,1.995624875,798.24995,9521.132928475003,0,5
5,2022-08-04,NTPC,Buy,6,154.7,2.3205,928.1999999999999,9528.712538475003,5,11
6,2022-08-05,NTPC,Sell,11,155.60001,4.279000275,1711.6001099999999,9524.433538200003,11,0
7,2022-08-10,NTPC,Buy,51,155.75,19.858125,7943.25,9397.474903200004,0,51
8,2022-08-11,NTPC,Sell,51,153.64999,19.590373725,7836.14949,9377.884529475003,51,0
9,2022-09-27,NTPC,Buy,58,159.0,23.055,9222.0,9293.929529475,0,58
10,2022-10-06,NTPC,Sell,51,162.89999,20.769748725,8307.89949,9570.059270750004,58,7
11,2022-10-07,NTPC,Sell,7,164.3,2.8752500000000003,1150.1000000000001,9567.184020750003,7,0
12,2022-11-02,NTPC,Buy,23,180.95,10.404625,4161.849999999999,9492.379165750004,0,23
13,2022-11-03,NTPC,Buy,19,178.14999,8.462124525,3384.84981,9433.517461225003,23,42
14,2022-11-04,NTPC,Buy,8,176.95,3.5389999999999997,1415.6,9374.978961225002,42,50
15,2022-11-07,NTPC,Buy,3,175.85001,1.318875075,527.55003,9243.809026150002,50,53
16,2022-11-09,NTPC,Sell,27,173.39999,11.704499324999999,4681.79973,9198.305046825004,53,26
17,2022-11-10,NTPC,Sell,26,172.10001,11.186500650000001,4474.60026,9187.118546175003,26,0
18,2022-11-18,NTPC,Buy,55,165.85001,22.804376375,9121.75055,9084.563069800002,0,55
19,2022-11-24,NTPC,Sell,55,169.5,23.306250000000002,9322.5,9341.757369800003,55,0
20,2022-12-21,NTPC,Buy,5,167.95,2.099375,839.75,9329.407944800003,0,5
21,2022-12-22,NTPC,Buy,51,165.89999,21.152248725,8460.89949,9145.856256075003,5,56
22,2022-12-29,NTPC,Sell,7,166.75,2.918125,1167.25,9338.238131075002,56,49
23,2022-12-30,NTPC,Sell,17,166.45,7.0741249999999996,2829.6499999999996,9380.764006075004,49,32
24,2023-01-02,NTPC,Sell,32,168.0,13.44,5376.0,9367.324006075003,32,0
25,2023-02-03,NTPC,Buy,6,165.55,2.4832500000000004,993.3000000000001,9367.840756075002,0,6
26,2023-02-06,NTPC,Buy,22,166.05,9.132750000000001,3653.1000000000004,9336.308006075004,6,28
27,2023-02-07,NTPC,Buy,28,165.25,11.5675,4627.0,9338.740506075002,28,56
28,2023-02-13,NTPC,Sell,27,167.85001,11.329875675,4531.95027,9406.810900400003,56,29
29,2023-02-14,NTPC,Buy,19,166.05,7.8873750000000005,3154.9500000000003,9386.923525400003,29,48
30,2023-02-15,NTPC,Buy,8,165.8,3.3160000000000003,1326.4,9473.206965400004,48,56
31,2023-02-16,NTPC,Sell,56,167.39999,23.4359986,9374.399440000001,9449.770966800004,56,0
32,2023-02-23,NTPC,Buy,20,169.60001,8.4800005,3392.0002,9469.290766300004,0,20
33,2023-02-24,NTPC,Buy,3,171.0,1.2825,513.0,9500.208036300004,20,23
34,2023-02-27,NTPC,Buy,5,172.39999,2.154999875,861.99995,9444.853316425004,23,28
35,2023-02-28,NTPC,Buy,27,170.5,11.508750000000001,4603.5,9529.594566425003,28,55
36,2023-03-01,NTPC,Sell,28,172.25,12.057500000000001,4823.0,9478.387066425004,55,27
37,2023-03-02,NTPC,Buy,7,170.8,2.9890000000000003,1195.6000000000001,9536.598406425004,27,34
38,2023-03-03,NTPC,Sell,34,172.60001,14.67100085,5868.40034,9521.927405575005,34,0
39,2023-03-13,NTPC,Buy,34,179.7,15.274499999999998,6109.799999999999,9445.452565575006,0,34
40,2023-03-14,NTPC,Buy,6,177.89999,2.66849985,1067.39994,9454.784465725006,34,40
41,2023-03-15,NTPC,Sell,1,178.2,0.4455,178.2,9508.939355725006,40,39
42,2023-03-16,NTPC,Sell,39,179.60001,17.511000974999998,7004.40039,9491.428354750005,39,0
43,2023-04-18,NTPC,Buy,11,170.10001,4.677750275,1871.1001099999999,9453.750604475006,0,11
44,2023-04-19,NTPC,Buy,45,167.10001,18.798751125,7519.50045,9580.551293350007,11,56
45,2023-04-27,NTPC,Sell,50,170.95,21.368750000000002,8547.5,9635.482543350008,56,6
46,2023-04-28,NTPC,Sell,6,172.0,2.58,1032.0,9632.902543350008,6,0
47,2023-06-13,NTPC,Buy,11,185.35001,5.097125275,2038.8501099999999,9648.155308075009,0,11
48,2023-06-14,NTPC,Sell,11,187.2,5.148,2059.2,9643.007308075008,11,0
49,2023-06-15,NTPC,Buy,37,186.7,17.26975,6907.9,9681.237558075009,0,37
50,2023-06-16,NTPC,Buy,14,188.2,6.587,2634.7999999999997,9554.801068075009,37,51
51,2023-06-20,NTPC,Sell,27,187.5,12.65625,5062.5,9626.294308075008,51,24
52,2023-06-21,NTPC,Sell,24,187.5,11.25,4500.0,9615.044308075008,24,0
53,2023-08-01,NTPC,Buy,38,225.14999,21.38924905,8555.69962,9363.75581902501,0,38
54,2023-08-02,NTPC,Buy,4,219.10001,2.1910001,876.40004,9403.564818925008,38,42
55,2023-08-08,NTPC,Sell,42,217.55,22.842750000000002,9137.1,9273.62164892501,42,0
56,2024-03-15,NTPC,Buy,29,316.29999,22.931749274999998,9172.699709999999,9275.339899650011,0,29
57,2024-03-26,NTPC,Sell,9,329.10001,7.404750225000001,2961.90009,9664.48572942501,29,20
58,2024-03-27,NTPC,Sell,20,331.60001,16.5800005,6632.0002,9647.90572892501,20,0
59,2024-06-05,NTPC,Buy,28,341.0,23.87,9548.0,9869.035728925011,0,28
60,2024-06-07,NTPC,Sell,28,360.60001,25.2420007,10096.80028,10147.59400822501,28,0
61,2024-10-28,NTPC,Buy,25,403.9,25.243750000000002,10097.5,10328.600258225011,0,25
62,2024-10-29,NTPC,Sell,25,412.15,25.759375000000002,10303.75,10302.840883225012,25,0
63,2024-11-04,NTPC,Buy,25,400.95,25.059375,10023.75,10331.531508225013,0,25
64,2024-11-06,NTPC,Sell,25,408.9,25.556250000000002,10222.5,10450.975258225013,25,0
65,2024-11-08,NTPC,Buy,26,397.65,25.84725,10338.9,10292.528008225016,0,26
66,2024-12-04,NTPC,Sell,26,372.75,24.22875,9691.5,9753.499258225014,26,0
67,2024-12-12,NTPC,Buy,2,355.6,1.7780000000000002,711.2,9754.821258225014,0,2
68,2024-12-13,NTPC,Buy,25,357.15,22.321875000000002,8928.75,9617.749383225015,2,27
69,2025-01-20,NTPC,Sell,27,336.05,22.683375,9073.35,9140.116008225017,27,0
70,2025-02-03,NTPC,Buy,29,311.25,22.565625,9026.25,9345.20038322502,0,29
71,2025-02-20,NTPC,Sell,29,325.15,23.573374999999995,9429.349999999999,9497.077008225016,29,0
72,2025-05-07,NTPC,Buy,14,342.05,11.97175,4788.7,9456.405258225017,0,14
73,2025-05-08,NTPC,Buy,13,340.0,11.05,4420.0,9303.605258225016,14,27
74,2025-05-12,NTPC,Sell,27,348.55,23.527125,9410.85,9652.678133225018,27,0
75,2025-05-13,NTPC,Buy,10,341.5,8.5375,3415.0,9614.640633225017,0,10
76,2025-05-14,NTPC,Buy,18,338.55,15.234750000000002,6093.900000000001,9694.605883225016,10,28
77,2025-05-16,NTPC,Sell,28,343.1,24.017000000000003,9606.800000000001,9702.788883225017,28,0
78,2025-06-02,NTPC,Buy,29,332.55,24.109875000000002,9643.95,9553.979008225017,0,29
79,2025-06-10,NTPC,Sell,29,339.2,24.592,9836.8,9846.937008225017,29,0
