account_value,date
10000.0,2021-07-26
9987.512875,2021-07-27
9955.680375,2021-07-28
9990.480375000001,2021-07-29
10038.330375000001,2021-07-30
10194.930375,2021-08-02
10264.530375000002,2021-08-03
10216.680375,2021-08-04
10173.180375,2021-08-05
10155.780375000002,2021-08-06
10012.230375000001,2021-08-09
9999.180375,2021-08-10
10186.230375000001,2021-08-11
10120.980375000001,2021-08-12
10107.930375,2021-08-13
10055.730375000001,2021-08-16
9912.180375,2021-08-17
9855.630375,2021-08-18
9594.630375,2021-08-20
9729.480375000001,2021-08-23
9855.630375,2021-08-24
10068.780375000002,2021-08-25
10060.080375000001,2021-08-26
10155.780375000002,2021-08-27
10460.280375000002,2021-08-30
10495.080375000001,2021-08-31
10421.130375,2021-09-01
10329.780375000002,2021-09-02
10716.930375,2021-09-03
10590.780375000002,2021-09-06
10442.880375,2021-09-07
10355.880375,2021-09-08
10634.280375000002,2021-09-09
10712.580375000001,2021-09-13
10790.880375,2021-09-14
11182.380375,2021-09-15
11204.130375,2021-09-16
11121.480375000001,2021-09-17
11186.730375000001,2021-09-20
11769.630375,2021-09-21
11635.991515,2021-09-22
11992.358260025001,2021-09-23
11848.809130025002,2021-09-24
12188.108260025001,2021-09-27
12379.508260025,2021-09-28
12589.736260025002,2021-09-29
12567.150635025,2021-09-30
12717.650635025,2021-10-01
12833.751495025,2021-10-04
14214.049775025,2021-10-05
14431.540565875002,2021-10-06
14220.413545225001,2021-10-07
14243.952426774998,2021-10-08
14600.352426775,2021-10-11
14472.752426775001,2021-10-12
14160.352426775,2021-10-13
14076.752426775001,2021-10-14
14345.153306774999,2021-10-18
14037.153306774999,2021-10-19
13711.551546775001,2021-10-20
13720.352426775,2021-10-21
13900.752426775001,2021-10-22
14283.551546775001,2021-10-25
14405.8075471,2021-10-26
14260.211815825001,2021-10-27
14119.243495975,2021-10-28
14003.962495975002,2021-10-29
14380.417440975003,2021-11-01
14361.818370975001,2021-11-02
14273.468370975002,2021-11-03
14278.118370975004,2021-11-04
14543.167440975003,2021-11-08
14705.917440975003,2021-11-09
14803.568370975001,2021-11-10
14458.637370975002,2021-11-11
14561.747680975002,2021-11-12
14857.848620975003,2021-11-15
14796.747680975002,2021-11-16
14820.247680975002,2021-11-17
14528.848620975003,2021-11-18
13800.348620975003,2021-11-22
13814.448620975001,2021-11-23
14448.948620975001,2021-11-24
14604.049560975001,2021-11-25
13852.049560975001,2021-11-26
13570.049560975001,2021-11-29
13382.049560975001,2021-11-30
13396.148620975002,2021-12-01
13560.648620975002,2021-12-02
13739.247680975002,2021-12-03
13499.549560975001,2021-12-06
13739.247680975002,2021-12-07
13974.247680975002,2021-12-08
13875.549560975001,2021-12-09
13894.348620975003,2021-12-10
13743.948620975001,2021-12-13
13833.247680975002,2021-12-14
13555.948620975001,2021-12-15
13687.549560975001,2021-12-16
13128.247680975002,2021-12-17
12620.648620975002,2021-12-20
12813.348620975003,2021-12-21
12883.848620975003,2021-12-22
13231.648620975002,2021-12-23
13043.648620975002,2021-12-24
12935.549560975001,2021-12-27
13137.648620975002,2021-12-28
13081.247680975002,2021-12-29
13231.648620975002,2021-12-30
13410.247680975002,2021-12-31
13471.348620975003,2022-01-03
13917.848620975003,2022-01-04
14157.549560975001,2022-01-05
14199.848620975003,2022-01-06
14787.348620975003,2022-01-07
14909.549560975001,2022-01-10
15153.948620975001,2022-01-11
15529.948620975001,2022-01-12
15435.948620975001,2022-01-13
15163.348620975003,2022-01-14
15614.549560975001,2022-01-17
15426.549560975001,2022-01-18
16028.148620975002,2022-01-19
15708.549560975001,2022-01-20
15407.747680975002,2022-01-21
15600.448620975001,2022-01-24
15548.747680975002,2022-01-25
15600.448620975001,2022-01-27
15891.848620975003,2022-01-28
16249.049560975001,2022-01-31
16093.948620975001,2022-02-01
16126.848620975003,2022-02-02
15769.648620975002,2022-02-03
15967.049560975001,2022-02-04
16202.049560975001,2022-02-07
15717.948620975001,2022-02-08
15435.948620975001,2022-02-09
15920.049560975001,2022-02-10
15830.747680975002,2022-02-11
15647.448620975001,2022-02-14
15454.747680975002,2022-02-15
15868.348620975003,2022-02-16
16169.148620975002,2022-02-17
15807.247680975002,2022-02-18
15384.247680975002,2022-02-21
15529.948620975001,2022-02-22
15135.148620975002,2022-02-23
14749.747680975002,2022-02-24
15017.648620975002,2022-02-25
15125.747680975002,2022-02-28
15341.948620975001,2022-03-02
16032.848620975003,2022-03-03
15558.148620975002,2022-03-04
17597.948620975,2022-03-07
16860.049560975,2022-03-08
16512.247680975,2022-03-09
16413.549560975,2022-03-10
16540.448620975,2022-03-11
16256.906620975002,2022-03-14
15532.296120975001,2022-03-15
15863.949245975002,2022-03-16
16145.949245975002,2022-03-17
16357.449245975002,2022-03-21
16560.090370975002,2022-03-22
16531.602555975,2022-03-23
16528.968555825002,2022-03-24
16528.968555825002,2022-03-25
16528.968555825002,2022-03-28
16528.968555825002,2022-03-29
16528.968555825002,2022-03-30
16629.132885825,2022-03-31
17024.252396675,2022-04-01
17034.352396675007,2022-04-04
17418.153406675003,2022-04-05
17514.102396675007,2022-04-06
17115.153406675003,2022-04-07
17322.201386675006,2022-04-08
17352.502396675,2022-04-11
17120.201386675006,2022-04-12
17660.552396675004,2022-04-13
17817.102396675007,2022-04-18
17953.451386675006,2022-04-19
17786.802396675004,2022-04-20
17650.451386675006,2022-04-21
17635.302396675004,2022-04-22
17195.951386675006,2022-04-25
16923.252396675,2022-04-26
16711.153406675003,2022-04-27
16706.102396675007,2022-04-28
16266.752396675001,2022-04-29
15852.653406675003,2022-05-02
16448.552396675004,2022-05-04
16711.153406675003,2022-05-05
16923.252396675,2022-05-06
16701.052396675004,2022-05-09
15660.752396675001,2022-05-10
16079.903406675003,2022-05-11
15867.802396675002,2022-05-12
15569.852396675004,2022-05-13
15564.802396675002,2022-05-16
16539.451386675006,2022-05-17
16544.502396675,2022-05-18
16221.302396675002,2022-05-19
16413.201386675002,2022-05-20
15726.403406675003,2022-05-23
15276.951386675002,2022-05-24
15473.903406675003,2022-05-25
15403.201386675002,2022-05-26
14585.102396675004,2022-05-27
14610.352396675004,2022-05-30
15337.552396675002,2022-05-31
15186.052396675002,2022-06-01
15458.752396675001,2022-06-02
15372.903406675003,2022-06-03
15610.252396675001,2022-06-06
16408.153406675003,2022-06-07
16564.701386675006,2022-06-08
16781.852396675007,2022-06-09
16690.951386675006,2022-06-10
16175.852396675004,2022-06-13
15812.252396675001,2022-06-14
15352.701386675002,2022-06-15
14559.852396675004,2022-06-16
14347.752396675001,2022-06-17
13635.701386675002,2022-06-20
14110.403406675003,2022-06-21
13681.153406675003,2022-06-22
13676.102396675004,2022-06-23
13933.653406675003,2022-06-24
14352.802396675002,2022-06-27
15145.653406675003,2022-06-28
15630.451386675002,2022-06-29
15367.852396675004,2022-06-30
13297.352396675004,2022-07-01
12787.302396675002,2022-07-04
12928.702396675004,2022-07-05
12277.252396675003,2022-07-06
12534.802396675002,2022-07-07
12332.802396675002,2022-07-08
12736.802396675002,2022-07-11
12595.402396675001,2022-07-12
12630.752396675003,2022-07-13
12903.452396675004,2022-07-14
12842.852396675002,2022-07-15
13181.201386675002,2022-07-18
12979.202396675004,2022-07-19
13448.852396675004,2022-07-20
13504.403406675003,2022-07-21
13438.752396675001,2022-07-22
13171.102396675004,2022-07-25
13009.502396675001,2022-07-26
13049.903406675003,2022-07-27
13216.552396675002,2022-07-28
13610.451386675002,2022-07-29
14039.701386675002,2022-08-01
13868.002396675001,2022-08-02
13761.951386675002,2022-08-03
13822.552396675002,2022-08-04
13847.802396675002,2022-08-05
13847.802396675002,2022-08-08
13575.102396675004,2022-08-10
13474.102396675004,2022-08-11
14120.502396675001,2022-08-12
14196.252396675001,2022-08-16
14165.951386675002,2022-08-17
13751.852396675004,2022-08-18
13655.903406675003,2022-08-19
13383.201386675002,2022-08-22
13570.052396675002,2022-08-23
13797.302396675002,2022-08-24
13852.852396675004,2022-08-25
13862.951386675002,2022-08-26
13787.201386675002,2022-08-29
14059.903406675003,2022-08-30
13666.002396675001,2022-09-01
13469.052396675002,2022-09-02
13534.701386675002,2022-09-05
13403.403406675003,2022-09-06
13443.802396675002,2022-09-07
13378.153406675003,2022-09-08
13595.302396675002,2022-09-09
13595.302396675002,2022-09-12
13585.201386675002,2022-09-13
13514.502396675001,2022-09-14
13453.903406675003,2022-09-15
13317.552396675002,2022-09-16
13246.852396675004,2022-09-19
13514.502396675001,2022-09-20
13282.201386675002,2022-09-21
13054.951386675002,2022-09-22
13049.903406675003,2022-09-23
12529.752396675003,2022-09-26
12630.752396675003,2022-09-27
12438.852396675002,2022-09-28
12852.952396675004,2022-09-29
12868.102396675002,2022-09-30
13433.701386675002,2022-10-03
13585.201386675002,2022-10-04
13458.951386675002,2022-10-06
13600.352396675004,2022-10-07
13519.552396675002,2022-10-10
13302.403406675003,2022-10-11
13327.653406675003,2022-10-12
13176.153406675003,2022-10-13
12948.902396675001,2022-10-14
12969.102396675002,2022-10-17
13060.002396675001,2022-10-18
12969.102396675002,2022-10-19
13150.903406675003,2022-10-20
13347.852396675004,2022-10-21
13474.102396675004,2022-10-24
13267.052396675002,2022-10-25
13373.102396675004,2022-10-27
13565.002396675001,2022-10-28
13600.352396675004,2022-10-31
13711.451386675002,2022-11-01
13842.752396675001,2022-11-02
13837.701386675002,2022-11-03
13984.153406675003,2022-11-04
14054.852396675004,2022-11-07
14064.951386675002,2022-11-09
14186.153406675003,2022-11-10
14246.752396675001,2022-11-11
14125.552396675002,2022-11-14
14438.653406675003,2022-11-15
14494.201386675002,2022-11-16
14524.502396675001,2022-11-17
14378.052396675002,2022-11-18
13741.752396675001,2022-11-21
13716.502396675001,2022-11-22
13847.802396675002,2022-11-23
14145.752396675001,2022-11-24
14256.852396675004,2022-11-25
14160.903406675003,2022-11-28
14226.552396675002,2022-11-29
14312.403406675003,2022-11-30
14206.352396675004,2022-12-01
14292.201386675002,2022-12-02
14580.052396675002,2022-12-05
14448.752396675001,2022-12-06
14266.951386675002,2022-12-07
14468.951386675002,2022-12-08
14272.002396675001,2022-12-09
14438.653406675003,2022-12-12
14640.653406675003,2022-12-13
14968.903406675003,2022-12-14
14953.752396675001,2022-12-15
14928.502396675001,2022-12-16
14787.102396675004,2022-12-19
14792.153406675003,2022-12-20
14554.802396675002,2022-12-21
14428.552396675002,2022-12-22
14181.102396675004,2022-12-23
14332.602396675004,2022-12-26
14686.102396675004,2022-12-27
14595.201386675002,2022-12-28
14670.951386675002,2022-12-29
14883.052396675002,2022-12-30
15256.752396675001,2023-01-02
15165.852396675004,2023-01-03
14832.552396675002,2023-01-04
14857.802396675002,2023-01-05
14943.653406675003,2023-01-06
15024.451386675002,2023-01-09
15145.653406675003,2023-01-10
14888.102396675004,2023-01-11
14822.451386675002,2023-01-12
14903.252396675001,2023-01-13
14968.903406675003,2023-01-16
14994.153406675003,2023-01-17
15135.552396675002,2023-01-18
15388.052396675002,2023-01-19
15372.903406675003,2023-01-20
15448.653406675003,2023-01-23
15428.451386675002,2023-01-24
15458.752396675001,2023-01-25
14973.951386675002,2023-01-27
14696.201386675002,2023-01-30
14696.201386675002,2023-01-31
14630.552396675002,2023-02-01
14549.752396675001,2023-02-02
14635.602396675004,2023-02-03
14554.802396675002,2023-02-06
14670.951386675002,2023-02-07
14595.201386675002,2023-02-08
14827.502396675001,2023-02-09
14878.002396675001,2023-02-10
15024.451386675002,2023-02-13
15054.752396675001,2023-02-14
14958.802396675002,2023-02-15
15807.201386675002,2023-02-16
15877.903406675003,2023-02-17
15701.153406675003,2023-02-20
15625.403406675003,2023-02-21
15574.903406675003,2023-02-22
15680.951386675002,2023-02-23
15716.302396675002,2023-02-24
15741.552396675002,2023-02-27
15418.352396675004,2023-02-28
15696.102396675004,2023-03-01
15620.352396675004,2023-03-02
15640.552396675002,2023-03-03
16039.502396675001,2023-03-06
16044.552396675002,2023-03-08
15847.602396675004,2023-03-09
15797.102396675004,2023-03-10
15797.102396675004,2023-03-13
15544.602396675004,2023-03-14
15468.852396675004,2023-03-15
15433.502396675001,2023-03-16
15529.451386675002,2023-03-17
15443.602396675004,2023-03-20
15367.852396675004,2023-03-21
15367.852396675004,2023-03-22
15494.102396675004,2023-03-23
15150.701386675002,2023-03-24
15236.552396675002,2023-03-27
14928.502396675001,2023-03-28
15145.653406675003,2023-03-29
15317.352396675004,2023-03-31
15579.951386675002,2023-04-03
15504.201386675002,2023-04-05
15271.903406675003,2023-04-06
15933.451386675002,2023-04-10
16125.352396675004,2023-04-11
15983.951386675002,2023-04-12
16095.052396675002,2023-04-13
16236.451386675002,2023-04-17
16231.403406675003,2023-04-18
16231.403406675003,2023-04-19
16135.451386675002,2023-04-20
16180.903406675003,2023-04-21
16246.552396675002,2023-04-24
16286.951386675002,2023-04-25
16337.451386675002,2023-04-26
16226.352396675004,2023-04-27
16115.252396675001,2023-04-28
16650.552396675004,2023-05-02
16337.451386675002,2023-05-03
16322.302396675002,2023-05-04
16251.602396675004,2023-05-05
16726.302396675004,2023-05-08
16751.552396675004,2023-05-09
16923.252396675,2023-05-10
16933.352396675007,2023-05-11
16776.802396675004,2023-05-12
16786.903406675003,2023-05-15
17029.302396675004,2023-05-16
16953.552396675004,2023-05-17
16862.653406675003,2023-05-18
16716.201386675006,2023-05-19
16786.903406675003,2023-05-22
16726.302396675004,2023-05-23
16852.552396675004,2023-05-24
16827.302396675004,2023-05-25
16600.052396675004,2023-05-26
16120.302396675002,2023-05-29
16105.153406675003,2023-05-30
15706.201386675002,2023-05-31
15579.951386675002,2023-06-01
15686.002396675001,2023-06-02
15756.701386675002,2023-06-05
15579.951386675002,2023-06-06
15600.153406675003,2023-06-07
15827.403406675003,2023-06-08
15640.552396675002,2023-06-09
15721.352396675004,2023-06-12
15781.951386675002,2023-06-13
16004.153406675003,2023-06-14
15983.951386675002,2023-06-15
15918.302396675002,2023-06-16
15999.102396675004,2023-06-19
15943.552396675002,2023-06-20
16241.502396675001,2023-06-21
16115.252396675001,2023-06-22
15908.201386675002,2023-06-23
15908.201386675002,2023-06-26
16004.153406675003,2023-06-27
16074.852396675004,2023-06-28
16251.602396675004,2023-06-30
16514.201386675006,2023-07-03
16342.502396675001,2023-07-04
16504.102396675007,2023-07-05
16766.701386675006,2023-07-06
16574.802396675004,2023-07-07
16499.052396675004,2023-07-10
16685.903406675003,2023-07-11
16993.951386675006,2023-07-12
17009.102396675007,2023-07-13
17155.552396675004,2023-07-14
16867.701386675006,2023-07-17
16918.201386675006,2023-07-18
16903.052396675004,2023-07-19
16948.502396675,2023-07-20
17286.852396675007,2023-07-21
17332.302396675004,2023-07-24
17534.302396675004,2023-07-25
17529.252396675,2023-07-26
17332.302396675004,2023-07-27
17413.102396675007,2023-07-28
17943.352396675007,2023-07-31
17908.002396675,2023-08-01
17832.252396675,2023-08-02
17443.403406675003,2023-08-03
17569.653406675003,2023-08-04
17529.252396675,2023-08-07
17569.653406675003,2023-08-08
17928.201386675006,2023-08-09
18104.951386675006,2023-08-10
17958.502396675,2023-08-11
18039.302396675004,2023-08-14
18145.352396675007,2023-08-16
18014.052396675004,2023-08-17
17766.602396675007,2023-08-18
17842.352396675007,2023-08-21
17852.451386675006,2023-08-22
17786.802396675004,2023-08-23
17544.403406675003,2023-08-24
17706.002396675,2023-08-25
17756.502396675,2023-08-28
17807.002396675,2023-08-29
17812.052396675004,2023-08-30
17650.451386675006,2023-08-31
18418.052396675004,2023-09-01
18539.252396675,2023-09-04
18554.403406675003,2023-09-05
18549.352396675007,2023-09-06
18418.052396675004,2023-09-07
18690.752396675,2023-09-08
18584.701386675006,2023-09-11
18332.201386675006,2023-09-12
18635.201386675006,2023-09-13
19039.201386675006,2023-09-14
18912.951386675006,2023-09-15
18923.052396675004,2023-09-18
19069.502396675,2023-09-20
18919.031896675002,2023-09-21
18756.966156675,2023-09-22
18797.365146675,2023-09-25
19024.615146675,2023-09-26
18974.727646675005,2023-09-27
18980.237646675003,2023-09-28
19139.653786675004,2023-09-29
19120.948410700003,2023-10-03
19007.684419475,2023-10-04
18926.363169475,2023-10-05
18849.113169475,2023-10-06
18874.863169475,2023-10-09
19060.263169475,2023-10-10
19034.513169475,2023-10-11
19158.113169475,2023-10-12
19204.462139475007,2023-10-13
19374.413169475003,2023-10-16
19343.513169475,2023-10-17
19415.613169475,2023-10-18
19348.663169475003,2023-10-19
19338.363169475,2023-10-20
19199.314199475004,2023-10-23
19147.814199475004,2023-10-25
18792.462139475007,2023-10-26
19189.013169475,2023-10-27
19606.163169475003,2023-10-30
19333.212139475007,2023-10-31
19389.863169475,2023-11-01
19338.363169475,2023-11-02
19729.763169475,2023-11-03
20069.663169475003,2023-11-06
20059.363169475,2023-11-07
20280.814199475004,2023-11-08
20007.863169475,2023-11-09
20337.462139475007,2023-11-10
20425.013169475,2023-11-12
20327.163169475003,2023-11-13
20708.263169475,2023-11-15
20945.163169475003,2023-11-16
20383.814199475004,2023-11-17
20538.314199475004,2023-11-20
19853.363169475,2023-11-21
19832.763169475,2023-11-22
19796.712139475007,2023-11-23
19611.314199475004,2023-11-24
20136.613169475,2023-11-28
19935.763169475,2023-11-29
20239.613169475,2023-11-30
20198.413169475003,2023-12-01
20970.913169475003,2023-12-04
20970.913169475003,2023-12-05
20960.613169475,2023-12-06
20646.462139475007,2023-12-07
20342.613169475,2023-12-08
20533.163169475003,2023-12-11
20285.962139475007,2023-12-12
20054.212139475007,2023-12-13
20342.613169475,2023-12-14
20867.913169475003,2023-12-15
20656.763169475,2023-12-18
20790.663169475003,2023-12-19
21089.363169475,2023-12-20
21032.712139475007,2023-12-21
21166.613169475,2023-12-22
21516.814199475004,2023-12-26
21392.931648275004,2023-12-27
21456.057023275007,2023-12-28
21441.476023275005,2023-12-29
21441.476023275005,2024-01-01
21441.476023275005,2024-01-02
21441.476023275005,2024-01-03
21441.476023275005,2024-01-04
21441.476023275005,2024-01-05
21441.476023275005,2024-01-08
21441.476023275005,2024-01-09
21441.476023275005,2024-01-10
21441.476023275005,2024-01-11
21441.476023275005,2024-01-12
21441.476023275005,2024-01-15
21441.476023275005,2024-01-16
21441.476023275005,2024-01-17
21441.476023275005,2024-01-18
21441.476023275005,2024-01-19
21441.476023275005,2024-01-20
21441.476023275005,2024-01-23
21441.476023275005,2024-01-24
21441.476023275005,2024-01-25
21441.476023275005,2024-01-29
21441.476023275005,2024-01-30
21441.476023275005,2024-01-31
21441.476023275005,2024-02-01
21441.476023275005,2024-02-02
21441.476023275005,2024-02-05
21441.476023275005,2024-02-06
21441.476023275005,2024-02-07
21441.476023275005,2024-02-08
21441.476023275005,2024-02-09
21441.476023275005,2024-02-12
21441.476023275005,2024-02-13
21441.476023275005,2024-02-14
21441.476023275005,2024-02-15
21441.476023275005,2024-02-16
21441.476023275005,2024-02-19
21441.476023275005,2024-02-20
21441.476023275005,2024-02-21
21441.476023275005,2024-02-22
21441.476023275005,2024-02-23
21441.476023275005,2024-02-26
21441.476023275005,2024-02-27
21441.476023275005,2024-02-28
21441.476023275005,2024-02-29
21441.476023275005,2024-03-01
21441.476023275005,2024-03-02
21441.476023275005,2024-03-04
21441.476023275005,2024-03-05
21441.476023275005,2024-03-06
21441.476023275005,2024-03-07
21441.476023275005,2024-03-11
21441.476023275005,2024-03-12
21441.476023275005,2024-03-13
21928.00422660001,2024-03-14
21543.97422660001,2024-03-15
21780.52505660001,2024-03-18
21585.47422660001,2024-03-19
21967.27505660001,2024-03-20
21892.575056600013,2024-03-21
21917.47422660001,2024-03-22
22104.22422660001,2024-03-26
21792.97422660001,2024-03-27
22315.873396600007,2024-03-28
22469.42339660001,2024-04-01
22685.22422660001,2024-04-02
22921.77505660001,2024-04-03
22394.72422660001,2024-04-04
22307.575056600013,2024-04-05
22510.92339660001,2024-04-08
22390.575056600013,2024-04-09
22643.72422660001,2024-04-10
22120.825056600013,2024-04-12
23295.27505660001,2024-04-15
23569.17339660001,2024-04-16
22822.17339660001,2024-04-18
22913.47422660001,2024-04-19
23042.123396600007,2024-04-22
23042.123396600007,2024-04-23
23253.77505660001,2024-04-24
23469.575056600013,2024-04-25
23502.087455900008,2024-04-26
23464.195977250012,2024-04-29
23463.487977225013,2024-04-30
23463.487977225013,2024-05-02
23463.487977225013,2024-05-03
23463.487977225013,2024-05-06
23463.487977225013,2024-05-07
23463.487977225013,2024-05-08
22676.791335625014,2024-05-09
23087.865710625014,2024-05-10
22803.114860625014,2024-05-13
23313.114860625014,2024-05-14
23359.866560625014,2024-05-15
23716.864860625014,2024-05-16
23699.866560625014,2024-05-17
23831.615710625014,2024-05-18
23925.116560625014,2024-05-21
23746.615710625014,2024-05-22
24209.866560625014,2024-05-23
24192.865710625014,2024-05-24
23716.864860625014,2024-05-27
23432.114860625014,2024-05-28
23223.866560625014,2024-05-29
22786.116560625014,2024-05-30
22586.366560625014,2024-05-31
24265.116560625014,2024-06-03
20202.115710625014,2024-06-04
21154.115710625014,2024-06-05
21562.115710625014,2024-06-06
22250.614860625014,2024-06-07
22144.364860625014,2024-06-10
23368.364860625014,2024-06-11
23534.115710625014,2024-06-12
23623.364860625014,2024-06-13
23525.614860625014,2024-06-14
23559.614860625014,2024-06-18
23198.364860625014,2024-06-19
23223.866560625014,2024-06-20
23036.864860625014,2024-06-21
23058.114860625014,2024-06-24
22811.615710625014,2024-06-25
22875.365710625014,2024-06-26
22854.115710625014,2024-06-27
23423.616560625014,2024-06-28
23317.366560625014,2024-07-01
23478.866560625014,2024-07-02
23466.116560625014,2024-07-03
23665.864860625014,2024-07-04
24613.616560625014,2024-07-05
25544.364860625014,2024-07-08
25399.866560625014,2024-07-09
25459.364860625014,2024-07-10
26020.365710625014,2024-07-11
26220.116560625014,2024-07-12
27496.780230575016,2024-07-15
27478.629720575016,2024-07-16
27476.918426750017,2024-07-18
27473.601426650013,2024-07-19
27473.601426650013,2024-07-22
27473.601426650013,2024-07-23
27524.36230192501,2024-07-24
27734.014551975015,2024-07-25
27723.101052300015,2024-07-26
27723.101052300015,2024-07-29
27723.101052300015,2024-07-30
27745.155102675017,2024-07-31
27808.092012525016,2024-08-01
27800.402637525018,2024-08-02
27593.650037275016,2024-08-05
27227.059547275017,2024-08-06
29241.876546975014,2024-08-07
28991.002545575015,2024-08-08
29369.504515400014,2024-08-09
29337.080891375015,2024-08-12
29337.080891375015,2024-08-13
29337.080891375015,2024-08-14
29337.080891375015,2024-08-16
29337.080891375015,2024-08-19
29337.080891375015,2024-08-20
29337.080891375015,2024-08-21
29337.080891375015,2024-08-22
29030.297035150015,2024-08-23
29803.111586175015,2024-08-26
29893.111586175015,2024-08-27
29798.609786175013,2024-08-28
29960.611586175015,2024-08-29
30064.110686175016,2024-08-30
29796.08995617502,2024-09-02
29501.410955725016,2024-09-03
28774.694545200015,2024-09-04
28501.693635200016,2024-09-05
28265.093635200014,2024-09-06
27364.194545200015,2024-09-09
27063.89454520002,2024-09-10
26126.594545200016,2024-09-11
26922.844545200016,2024-09-12
26686.244545200017,2024-09-13
26781.794545200017,2024-09-16
26977.444545200015,2024-09-17
26590.694545200015,2024-09-18
26122.044545200017,2024-09-19
26213.044545200017,2024-09-20
27050.244545200017,2024-09-23
27414.244545200017,2024-09-24
27345.994545200017,2024-09-25
27027.494545200017,2024-09-26
27209.494545200017,2024-09-27
27245.89454520002,2024-09-30
26731.744545200017,2024-10-01
26740.844545200016,2024-10-03
27032.044545200017,2024-10-04
26504.244545200017,2024-10-07
26868.244545200017,2024-10-08
26417.794545200017,2024-10-09
26440.544545200017,2024-10-10
26786.344545200016,2024-10-11
26235.794545200017,2024-10-14
25980.994545200017,2024-10-15
26135.694545200015,2024-10-16
25789.89454520002,2024-10-17
25944.594545200016,2024-10-18
25334.89454520002,2024-10-21
24807.094545200016,2024-10-22
24811.64454520002,2024-10-23
24652.39454520002,2024-10-24
24192.844545200016,2024-10-25
24129.14454520002,2024-10-28
24279.294545200017,2024-10-29
23974.444545200015,2024-10-30
24383.944545200015,2024-10-31
24893.544545200017,2024-11-01
24306.594545200016,2024-11-04
24497.694545200015,2024-11-05
24647.844545200016,2024-11-06
24297.494545200017,2024-11-07
24056.344545200016,2024-11-08
23542.194545200015,2024-11-11
23473.944545200015,2024-11-12
23146.344545200016,2024-11-13
22987.094545200016,2024-11-14
22973.44454520002,2024-11-18
22732.294545200017,2024-11-19
22199.94454520002,2024-11-21
22513.894545200015,2024-11-22
23633.194545200015,2024-11-25
23301.044545200017,2024-11-26
23305.594545200016,2024-11-27
