trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-07-26,ONGC,Buy,67,114.55,19.187124999999998,7674.849999999999,9987.512875,0,67
2,2021-07-27,ONGC,Buy,20,114.65,5.7325,2293.0,9955.680375,67,87
3,2021-09-21,ONGC,Sell,1,135.2,0.33799999999999997,135.2,11635.991515,87,86
4,2021-09-22,ONGC,Buy,1,133.64999,0.334124975,133.64999,11992.358260025001,86,87
5,2021-09-28,ONGC,Sell,4,142.2,1.422,568.8,12589.736260025002,87,83
6,2021-09-29,ONGC,Buy,3,144.75,1.085625,434.25,12567.150635025,83,86
7,2021-10-05,ONGC,Sell,34,163.64999,13.91024915,5564.09966,14431.540565875002,86,52
8,2021-10-06,ONGC,Sell,26,168.10001,10.926500650000001,4370.60026,14220.413545225001,52,26
9,2021-10-07,ONGC,Buy,62,160.39999,24.86199845,9944.79938,14243.952426774998,26,88
10,2021-10-25,ONGC,Sell,13,161.39999,5.245499675,2098.19987,14405.8075471,88,75
11,2021-10-26,ONGC,Sell,51,163.10001,20.795251275000002,8318.10051,14260.211815825001,75,24
12,2021-10-27,ONGC,Sell,6,157.89999,2.36849985,947.39994,14119.243495975,24,18
13,2021-10-28,ONGC,Buy,62,150.2,23.281,9312.4,14003.962495975002,18,80
14,2021-10-29,ONGC,Buy,13,149.05,4.844125,1937.65,14380.417440975003,80,93
15,2021-11-10,ONGC,Sell,12,157.7,4.731,1892.3999999999999,14458.637370975002,93,81
16,2021-11-11,ONGC,Buy,13,153.5,4.9887500000000005,1995.5,14561.747680975002,81,94
17,2022-03-11,ONGC,Sell,24,175.7,10.541999999999998,4216.799999999999,16256.906620975002,94,70
18,2022-03-14,ONGC,Buy,19,171.8,8.1605,3264.2000000000003,15532.296120975001,70,89
19,2022-03-15,ONGC,Buy,5,163.75,2.046875,818.75,15863.949245975002,89,94
20,2022-03-21,ONGC,Sell,21,172.55,9.058875,3623.55,16560.090370975002,94,73
21,2022-03-22,ONGC,Sell,67,175.45,29.387875,11755.15,16531.602555975,73,6
22,2022-03-23,ONGC,Sell,6,175.60001,2.63400015,1053.60006,16528.968555825002,6,0
23,2022-03-30,ONGC,Buy,67,162.0,27.135,10854.0,16629.132885825,0,67
24,2022-03-31,ONGC,Buy,34,163.89999,13.93149915,5572.59966,17024.252396675,67,101
25,2023-09-20,ONGC,Sell,1,188.2,0.4705,188.2,18919.031896675002,101,100
26,2023-09-21,ONGC,Buy,1,186.7,0.46675,186.7,18756.966156675,100,101
27,2023-09-26,ONGC,Sell,20,187.75,9.387500000000001,3755.0,18974.727646675005,101,81
28,2023-09-27,ONGC,Sell,16,187.25,7.49,2996.0,18980.237646675003,81,65
29,2023-09-28,ONGC,Sell,26,187.45,12.18425,4873.7,19139.653786675004,65,39
30,2023-09-29,ONGC,Sell,39,191.85001,18.705375975,7482.15039,19120.948410700003,39,0
31,2023-10-03,ONGC,Buy,49,184.60001,22.613501225,9045.40049,19007.684419475,0,49
32,2023-10-04,ONGC,Buy,54,182.75,24.67125,9868.5,18926.363169475,49,103
33,2023-12-26,ONGC,Sell,48,207.35001,24.8820012,9952.80048,21392.931648275004,103,55
34,2023-12-27,ONGC,Sell,27,205.55,13.874625000000002,5549.85,21456.057023275007,55,28
35,2023-12-28,ONGC,Sell,28,208.3,14.581000000000001,5832.400000000001,21441.476023275005,28,0
36,2024-03-13,ONGC,Buy,67,255.35001,42.771126675,17108.45067,21928.00422660001,0,67
37,2024-03-14,ONGC,Buy,16,263.25,10.53,4212.0,21543.97422660001,67,83
38,2024-04-25,ONGC,Sell,28,281.95001,19.7365007,7894.600280000001,23502.087455900008,83,55
39,2024-04-26,ONGC,Sell,54,282.89999,38.19149865,15276.59946,23464.195977250012,55,1
40,2024-04-29,ONGC,Sell,1,283.20001,0.708000025,283.20001,23463.487977225013,1,0
41,2024-05-08,ONGC,Buy,64,276.85001,44.296001600000004,17718.40064,22676.791335625014,0,64
42,2024-05-09,ONGC,Buy,21,265.25,13.925625,5570.25,23087.865710625014,64,85
43,2024-07-12,ONGC,Sell,2,307.10001,1.53550005,614.20002,27496.780230575016,85,83
44,2024-07-15,ONGC,Sell,32,322.5,25.8,10320.0,27478.629720575016,83,51
45,2024-07-16,ONGC,Sell,47,322.64999,37.911373825,15164.54953,27476.918426750017,51,4
46,2024-07-18,ONGC,Sell,4,331.70001,3.3170001000000005,1326.80004,27473.601426650013,4,0
47,2024-07-23,ONGC,Buy,11,314.14999,8.639124725,3455.64989,27524.36230192501,0,11
48,2024-07-24,ONGC,Buy,2,319.54999,1.5977499499999999,639.09998,27734.014551975015,11,13
49,2024-07-25,ONGC,Sell,13,335.79999,10.913499674999999,4365.399869999999,27723.101052300015,13,0
50,2024-07-30,ONGC,Buy,15,331.89999,12.446249625,4978.49985,27745.155102675017,0,15
51,2024-07-31,ONGC,Sell,6,334.20001,5.013000150000001,2005.2000600000001,27808.092012525016,15,9
52,2024-08-01,ONGC,Sell,9,341.75,7.689375,3075.75,27800.402637525018,9,0
53,2024-08-02,ONGC,Buy,10,330.10001,8.25250025,3301.0001,27593.650037275016,0,10
54,2024-08-05,ONGC,Buy,66,310.25,51.191250000000004,20476.5,27227.059547275017,10,76
55,2024-08-06,ONGC,Buy,12,306.10001,9.1830003,3673.20012,29241.876546975014,76,88
56,2024-08-07,ONGC,Sell,56,329.10001,46.0740014,18429.60056,28991.002545575015,88,32
57,2024-08-08,ONGC,Buy,7,322.70001,5.647250175000001,2258.90007,29369.504515400014,32,39
58,2024-08-09,ONGC,Sell,39,332.54999,32.423624025,12969.44961,29337.080891375015,39,0
59,2024-08-22,ONGC,Buy,49,324.35001,39.732876225,15893.15049,29030.297035150015,0,49
60,2024-08-23,ONGC,Buy,41,318.89999,32.687248975,13074.89959,29803.111586175015,49,90
61,2024-08-30,ONGC,Sell,38,330.75,31.42125,12568.5,29796.08995617502,90,52
62,2024-09-02,ONGC,Buy,18,326.20001,14.679000450000002,5871.60018,29501.410955725016,52,70
63,2024-09-03,ONGC,Buy,21,322.20001,16.915500525000002,6766.200210000001,28774.694545200015,70,91
