account_value,date
10000.0,2022-11-15
10025.6204575,2022-11-16
10080.52,2022-11-17
10082.8079575,2022-11-18
10093.341328318751,2022-11-21
10077.73401581875,2022-11-22
10077.73401581875,2022-11-23
10077.73401581875,2022-11-24
10077.73401581875,2022-11-25
10077.73401581875,2022-11-28
10077.73401581875,2022-11-29
10077.73401581875,2022-11-30
10077.73401581875,2022-12-01
10077.73401581875,2022-12-02
10077.73401581875,2022-12-05
10077.73401581875,2022-12-06
10077.73401581875,2022-12-07
10077.73401581875,2022-12-08
10077.73401581875,2022-12-09
10076.089265818751,2022-12-12
10086.31073456875,2022-12-13
10221.160734568752,2022-12-14
10088.636199568751,2022-12-15
9942.160734568752,2022-12-16
10207.21026956875,2022-12-19
10132.81073456875,2022-12-20
10074.68573456875,2022-12-21
10025.86073456875,2022-12-22
9851.48573456875,2022-12-23
9879.386199568751,2022-12-26
9916.58526956875,2022-12-27
10060.73573456875,2022-12-28
10060.73573456875,2022-12-29
9965.410734568752,2022-12-30
10028.18573456875,2023-01-02
10053.761199568751,2023-01-03
9842.18573456875,2023-01-04
9737.56073456875,2023-01-05
9705.011199568751,2023-01-06
9751.511199568751,2023-01-09
9877.06073456875,2023-01-10
9884.035734568752,2023-01-11
9956.11073456875,2023-01-12
9979.36073456875,2023-01-13
10056.08526956875,2023-01-16
10183.96026956875,2023-01-17
10228.136199568751,2023-01-18
10202.63676090625,2023-01-19
10202.63676090625,2023-01-20
10202.63676090625,2023-01-23
10202.63676090625,2023-01-24
10202.63676090625,2023-01-25
10202.63676090625,2023-01-27
10202.63676090625,2023-01-30
10202.63676090625,2023-01-31
10202.63676090625,2023-02-01
10202.63676090625,2023-02-02
10202.63676090625,2023-02-03
10281.207130975,2023-02-06
10271.757603475002,2023-02-07
10042.594630975002,2023-02-08
10082.757603475002,2023-02-09
10141.820103475002,2023-02-10
10231.594630975002,2023-02-13
10184.344630975002,2023-02-14
10160.719630975002,2023-02-15
10165.445103475002,2023-02-16
10127.644630975,2023-02-17
10222.144630975,2023-02-20
10227.200380975002,2023-02-21
10218.648130975002,2023-02-22
10218.648130975002,2023-02-23
10278.507974725002,2023-02-24
10474.595474725003,2023-02-27
10448.702474725003,2023-02-28
10448.702474725003,2023-03-01
10448.702474725003,2023-03-02
10448.702474725003,2023-03-03
10448.702474725003,2023-03-06
10448.702474725003,2023-03-08
10448.702474725003,2023-03-09
10448.702474725003,2023-03-10
10448.702474725003,2023-03-13
10448.702474725003,2023-03-14
10448.702474725003,2023-03-15
10448.702474725003,2023-03-16
10448.702474725003,2023-03-17
10448.702474725003,2023-03-20
10448.702474725003,2023-03-21
10448.702474725003,2023-03-22
10448.702474725003,2023-03-23
10448.702474725003,2023-03-24
10448.702474725003,2023-03-27
10448.702474725003,2023-03-28
10448.702474725003,2023-03-29
10448.702474725003,2023-03-31
10448.702474725003,2023-04-03
10448.702474725003,2023-04-05
10448.702474725003,2023-04-06
10448.702474725003,2023-04-10
10448.702474725003,2023-04-11
10448.702474725003,2023-04-12
10448.702474725003,2023-04-13
10448.702474725003,2023-04-17
10448.702474725003,2023-04-18
10448.702474725003,2023-04-19
10448.702474725003,2023-04-20
10448.702474725003,2023-04-21
10448.702474725003,2023-04-24
10448.702474725003,2023-04-25
10448.702474725003,2023-04-26
10448.702474725003,2023-04-27
10448.702474725003,2023-04-28
10448.702474725003,2023-05-02
10448.702474725003,2023-05-03
10448.702474725003,2023-05-04
10448.702474725003,2023-05-05
10448.702474725003,2023-05-08
10448.702474725003,2023-05-09
10448.702474725003,2023-05-10
10448.702474725003,2023-05-11
10448.702474725003,2023-05-12
10448.702474725003,2023-05-15
10448.702474725003,2023-05-16
10448.702474725003,2023-05-17
10448.702474725003,2023-05-18
10448.702474725003,2023-05-19
10448.702474725003,2023-05-22
