trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-11-15,POWERGRID,Buy,61,162.0,24.705000000000002,9882.0,10025.6204575,0,61
2,2022-11-18,POWERGRID,Sell,23,163.7625075,9.41634418125,3766.5376725,10093.341328318751,61,38
3,2022-11-21,POWERGRID,Sell,38,164.2875,15.6073125,6242.925,10077.73401581875,38,0
4,2022-12-09,POWERGRID,Buy,1,162.9,0.40725,162.9,10076.089265818751,0,1
5,2022-12-12,POWERGRID,Buy,61,161.6625,24.65353125,9861.4125,10086.31073456875,1,62
6,2023-01-18,POWERGRID,Sell,62,164.5125075,25.4994386625,10199.775465,10202.63676090625,62,0
7,2023-02-03,POWERGRID,Buy,63,161.1375075,25.37915743125,10151.6629725,10281.207130975,0,63
8,2023-02-20,POWERGRID,Sell,42,161.85,16.99425,6797.7,10227.200380975002,63,21
9,2023-02-21,POWERGRID,Sell,21,162.9,8.55225,3420.9,10218.648130975002,21,0
10,2023-02-23,POWERGRID,Buy,63,159.9375,25.19015625,10076.0625,10278.507974725002,0,63
11,2023-02-27,POWERGRID,Sell,63,164.4,25.893,10357.2,10448.702474725003,63,0
12,2023-05-22,POWERGRID,Buy,59,175.7625075,25.92496985625,10369.9879425,10411.715004868754,0,59
13,2023-06-07,POWERGRID,Sell,29,179.4,13.0065,5202.6,10679.507837368756,59,30
14,2023-06-08,POWERGRID,Sell,30,181.2374925,13.5928119375,5437.124775,10665.915025431255,30,0
15,2023-07-14,POWERGRID,Buy,58,180.0375,26.105437499999997,10442.175,10681.134587931256,0,58
16,2023-07-17,POWERGRID,Buy,1,180.75,0.451875,180.75,10687.319770431255,58,59
17,2023-07-25,POWERGRID,Sell,59,188.3624925,27.78346764375,11113.3870575,11102.036302787506,59,0
18,2023-08-08,POWERGRID,Buy,61,181.125,27.6215625,11048.625,11021.802697787507,0,61
19,2023-08-21,POWERGRID,Sell,61,185.4,28.2735,11309.4,11306.916240287508,61,0
20,2024-03-18,POWERGRID,Buy,42,264.89999,27.81449895,11125.79958,11031.302161337508,0,42
21,2024-03-21,POWERGRID,Sell,42,273.75,28.743750000000002,11497.5,11622.058411337508,42,0
22,2024-10-09,POWERGRID,Buy,35,329.75,28.853125000000002,11541.25,11754.205286337508,0,35
23,2024-10-10,POWERGRID,Sell,35,334.35,29.255625000000002,11702.25,11724.949661337509,35,0
24,2024-10-11,POWERGRID,Buy,28,330.05,23.1035,9241.4,11720.04616133751,0,28
25,2024-10-15,POWERGRID,Sell,8,329.85,6.597,2638.8,11636.649161337511,28,20
26,2024-10-16,POWERGRID,Sell,15,327.2,12.27,4908.0,11644.12916133751,20,5
27,2024-10-17,POWERGRID,Sell,5,331.15,4.139375,1655.75,11639.98978633751,5,0
28,2024-10-25,POWERGRID,Buy,11,315.8,8.6845,3473.8,11658.805286337509,0,11
29,2024-10-28,POWERGRID,Sell,11,318.3,8.753250000000001,3501.3,11650.05203633751,11,0
30,2024-12-23,POWERGRID,Buy,16,315.3,12.612,5044.8,11554.24003633751,0,16
31,2024-12-24,POWERGRID,Buy,21,310.1,16.280250000000002,6512.1,11545.35978633751,16,37
32,2025-01-02,POWERGRID,Sell,37,315.15,29.151374999999998,11660.55,11695.65841133751,37,0
33,2025-01-13,POWERGRID,Buy,21,287.6,15.099000000000002,6039.6,11736.20941133751,0,21
34,2025-01-14,POWERGRID,Buy,19,290.25,13.786875,5514.75,12058.422536337512,21,40
35,2025-01-15,POWERGRID,Sell,40,298.65,29.865000000000002,11946.0,12028.55753633751,40,0
36,2025-02-11,POWERGRID,Buy,38,261.45,24.83775,9935.1,11836.51978633751,0,38
37,2025-02-12,POWERGRID,Buy,8,257.05,5.141,2056.4,11927.97878633751,38,46
38,2025-02-17,POWERGRID,Sell,27,263.2,17.766,7106.4,12167.762786337511,46,19
39,2025-02-18,POWERGRID,Sell,19,266.95,12.680125,5072.05,12155.08266133751,19,0
40,2025-06-19,POWERGRID,Buy,42,286.45,30.07725,12030.9,12404.305411337513,0,42
41,2025-06-20,POWERGRID,Sell,42,293.1,30.7755,12310.2,12373.529911337513,42,0
