account_value,date
10000.0,2020-12-04
10032.871020981423,2020-12-07
10210.380152011425,2020-12-08
10376.155205411424,2020-12-09
10276.540376581424,2020-12-10
10270.548507181424,2020-12-11
10198.146751931425,2020-12-14
10113.511596601424,2020-12-15
10124.496690611424,2020-12-16
10169.685372281425,2020-12-17
10199.395058001424,2020-12-18
9940.496367731423,2020-12-21
9916.282973824798,2020-12-22
9916.282973824798,2020-12-23
10143.176967563848,2020-12-24
10188.864971683848,2020-12-28
10122.704747113848,2020-12-29
10149.917820583847,2020-12-30
10098.986930683846,2020-12-31
10109.972024583847,2021-01-01
10126.699326603848,2021-01-04
10003.117020283848,2021-01-05
9744.218330013848,2021-01-06
9728.739334063846,2021-01-07
9841.336546483848,2021-01-08
9659.333513513848,2021-01-11
9957.928338613849,2021-01-12
9866.801991433847,2021-01-13
9975.654285533848,2021-01-14
9860.061138303847,2021-01-15
10092.246077663847,2021-01-18
10254.276212633848,2021-01-19
10445.516710983848,2021-01-20
10668.713346843848,2021-01-21
10420.051765323848,2021-01-22
9877.787085333848,2021-01-25
9853.557463447598,2021-01-27
9853.557463447598,2021-01-28
9853.557463447598,2021-01-29
10096.952815798024,2021-02-01
10249.246163048023,2021-02-02
10225.206283692773,2021-02-03
10225.206283692773,2021-02-04
10225.206283692773,2021-02-05
10225.206283692773,2021-02-08
10225.206283692773,2021-02-09
10225.206283692773,2021-02-10
10225.206283692773,2021-02-11
10225.206283692773,2021-02-12
10225.206283692773,2021-02-15
10225.206283692773,2021-02-16
10225.206283692773,2021-02-17
10225.206283692773,2021-02-18
10242.071466853398,2021-02-19
9902.530498617773,2021-02-22
9879.742102894023,2021-02-23
9879.742102894023,2021-02-24
9879.742102894023,2021-02-25
9879.742102894023,2021-02-26
9879.742102894023,2021-03-01
9879.742102894023,2021-03-02
9879.742102894023,2021-03-03
9879.742102894023,2021-03-04
9879.742102894023,2021-03-05
9879.742102894023,2021-03-08
9879.742102894023,2021-03-09
9879.742102894023,2021-03-10
9879.742102894023,2021-03-12
9879.742102894023,2021-03-15
9879.742102894023,2021-03-16
9879.742102894023,2021-03-17
9879.742102894023,2021-03-18
9879.742102894023,2021-03-19
9879.742102894023,2021-03-22
9879.742102894023,2021-03-23
9879.742102894023,2021-03-24
9879.742102894023,2021-03-25
9879.742102894023,2021-03-26
10014.392912664523,2021-03-30
9991.363934305775,2021-03-31
9991.363934305775,2021-04-01
9991.363934305775,2021-04-05
9991.363934305775,2021-04-06
10059.218110397402,2021-04-07
10034.216411172702,2021-04-08
10034.216411172702,2021-04-09
10034.216411172702,2021-04-12
10113.469494534627,2021-04-13
10175.884800784626,2021-04-15
10114.967461884627,2021-04-16
9963.173437084626,2021-04-19
9960.427163664628,2021-04-20
9986.641592234628,2021-04-22
9976.405481954627,2021-04-23
10143.678502814628,2021-04-26
10397.334307414627,2021-04-27
10391.059639921028,2021-04-28
10384.259889493404,2021-04-29
10384.259889493404,2021-04-30
10384.259889493404,2021-05-03
10384.259889493404,2021-05-04
10384.259889493404,2021-05-05
