trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-01-21,RELIANCE,Buy,10,952.97954691,23.82448867275,9529.7954691,9750.119528127252,0,10
2,2021-01-25,RELIANCE,Sell,10,881.0771595,22.0269289875,8810.771595,9235.124708239751,10,0
3,2021-02-17,RELIANCE,Buy,9,945.64863088,21.277094194800004,8510.83767792,9150.32018047495,0,9
4,2021-03-03,RELIANCE,Sell,9,999.59819734,22.49095944015,8996.38377606,9676.902752744802,9,0
5,2021-03-08,RELIANCE,Buy,9,994.60497284,22.3786118889,8951.44475556,9654.3194641159,0,9
6,2021-03-12,RELIANCE,Sell,9,970.31974459,21.832194253275002,8732.87770131,9414.124892352627,9,0
7,2021-05-27,RELIANCE,Buy,10,897.01008495,22.425252123749996,8970.100849499999,9930.513956728879,0,10
8,2021-06-24,RELIANCE,Sell,10,977.53717825,24.438429456250002,9775.3717825,10172.532143772629,10,0
9,2021-08-17,RELIANCE,Buy,10,982.41692038,24.5604230095,9824.1692038,10186.10134476313,0,10
10,2021-10-25,RELIANCE,Sell,10,1181.0337731,29.5258443275,11810.337731,12104.614403635629,10,0
11,2022-01-11,RELIANCE,Buy,10,1114.64658373,27.86616459325,11146.4658373,12374.29948014238,0,10
12,2022-01-24,RELIANCE,Sell,10,1079.39891266,26.9849728165,10793.9891266,11697.28655552588,10,0
13,2022-03-21,RELIANCE,Buy,10,1120.02560291,28.000640072750002,11200.2560291,11958.66597165313,0,10
14,2022-04-13,RELIANCE,Sell,3,1158.26916328,8.6870187246,3474.80748984,12018.25058525853,10,7
15,2022-04-18,RELIANCE,Sell,7,1154.72860397,20.207750569475,8083.10022779,11998.042834689055,7,0
16,2022-04-21,RELIANCE,Buy,4,1262.87730734,12.6287730734,5051.50922936,11943.107650655656,0,4
17,2022-04-22,RELIANCE,Sell,4,1252.3007046,12.523007046,5009.2028184,11930.584643609656,4,0
18,2022-04-27,RELIANCE,Buy,6,1261.17507172,18.917626075799998,7567.05043032,12024.695463033859,0,6
19,2022-04-28,RELIANCE,Buy,3,1280.01314597,9.600098594775002,3840.0394379100003,11894.168137039082,6,9
20,2022-05-04,RELIANCE,Sell,9,1222.72715228,27.5113609263,11004.54437052,11472.010060302782,9,0
21,2022-06-07,RELIANCE,Buy,9,1258.63302113,28.319242975425006,11327.697190170002,11244.733517477356,0,9
22,2022-06-13,RELIANCE,Sell,9,1208.76882016,27.1972984536,10878.919381439999,10967.715710143757,9,0
23,2022-08-10,RELIANCE,Buy,2,1172.27293375,5.86136466875,2344.5458675,10969.662023655006,0,2
24,2022-08-11,RELIANCE,Buy,7,1176.17677284,20.583093524699997,8233.23740988,11120.255336070306,2,9
25,2022-08-29,RELIANCE,Sell,9,1179.14992028,26.530873206300004,10612.349282520001,10949.30638388401,9,0
26,2022-10-31,RELIANCE,Buy,9,1157.33869859,26.040120718275,10416.048287309999,10842.580294585736,0,9
27,2022-11-23,RELIANCE,Sell,9,1160.72042798,26.116209629550003,10446.483851820001,10927.585618046187,9,0
28,2022-11-29,RELIANCE,Buy,8,1231.1475899,24.622951798,9849.1807192,10972.505028808187,0,8
29,2022-12-09,RELIANCE,Sell,8,1184.34750384,23.6869500768,9474.78003072,10504.875027691389,8,0
30,2023-02-22,RELIANCE,Buy,4,1079.85284216,10.798528421599999,4319.41136864,10473.37749562979,0,4
31,2023-02-23,RELIANCE,Buy,5,1074.67809125,13.433476140625,5373.39045625,10526.126940589163,4,9
32,2023-02-28,RELIANCE,Sell,9,1054.27396023,23.721164105175003,9488.465642070001,10252.585676203991,9,0
33,2023-04-12,RELIANCE,Buy,9,1065.21361578,23.96730635505,9586.92254202,10264.774263078942,0,9
34,2023-05-24,RELIANCE,Sell,9,1107.70146238,24.923282903550003,9969.313161420001,10586.085706345393,9,0
35,2023-06-14,RELIANCE,Buy,9,1158.36003997,26.063100899325,10425.24035973,10562.881952786069,0,9
36,2023-08-02,RELIANCE,Sell,9,1243.17505,27.971438625,11188.57545,11295.38625709107,9,0
37,2023-11-12,RELIANCE,Buy,9,1165.325,26.219812500000003,10487.925000000001,11196.94189459107,0,9
38,2024-02-28,RELIANCE,Sell,9,1455.625,32.7515625,13100.625,13849.11488209107,9,0
39,2024-05-27,RELIANCE,Buy,9,1466.25,32.990625,13196.25,13725.67380709107,0,9
40,2024-06-04,RELIANCE,Sell,9,1397.275,31.4386875,12575.475,13163.910569591071,9,0
41,2024-07-01,RELIANCE,Buy,8,1560.15,31.203000000000003,12481.2,13172.907969591071,0,8
42,2024-07-19,RELIANCE,Sell,8,1555.15,31.103,12441.2,13061.604569591073,8,0
43,2024-12-06,RELIANCE,Buy,9,1311.55,29.509874999999997,11803.949999999999,12884.494694591074,0,9
44,2024-12-13,RELIANCE,Sell,9,1272.85,28.639125,11455.65,12655.155569591074,9,0
45,2025-01-20,RELIANCE,Buy,9,1305.45,29.372625000000003,11749.050000000001,12340.032944591074,0,9
46,2025-01-21,RELIANCE,Sell,9,1273.7,28.658250000000002,11463.300000000001,12311.374694591075,9,0
47,2025-03-19,RELIANCE,Buy,9,1247.15,28.060875000000003,11224.35,12481.313819591076,0,9
48,2025-04-02,RELIANCE,Sell,9,1251.15,28.150875000000003,11260.35,12291.162944591077,9,0
49,2025-04-28,RELIANCE,Buy,8,1368.8,27.376,10950.4,12510.986944591077,0,8
50,2025-05-26,RELIANCE,Sell,8,1434.8,28.695999999999998,11478.4,12763.090944591077,8,0
51,2025-06-27,RELIANCE,Buy,8,1515.4,30.308000000000003,12123.2,12723.182944591077,0,8
