account_value,date
10000.0,2024-05-14
9962.00725,2024-05-15
10094.607250000003,2024-05-16
9986.607250000003,2024-05-17
10020.50725,2024-05-18
9959.307250000003,2024-05-21
9945.807250000003,2024-05-22
10062.207250000001,2024-05-23
9998.907250000002,2024-05-24
9842.607250000003,2024-05-27
10085.907250000002,2024-05-28
9858.207250000001,2024-05-29
9661.707250000001,2024-05-30
9699.807250000003,2024-05-31
9730.407250000002,2024-06-03
9414.507250000002,2024-06-04
9769.910125,2024-06-05
10139.160125,2024-06-06
10020.160125,2024-06-07
10065.310125000002,2024-06-10
10035.560125000002,2024-06-11
10208.110125000001,2024-06-12
10188.510125000003,2024-06-13
10328.510125000003,2024-06-14
10302.786875000003,2024-06-18
10302.786875000003,2024-06-19
10321.525875000005,2024-06-20
10382.075875000006,2024-06-21
10340.974000000006,2024-06-24
10387.564625000006,2024-06-25
10309.864625000007,2024-06-26
10397.714625000006,2024-06-27
10597.214625000006,2024-06-28
10571.105500000007,2024-07-01
10571.105500000007,2024-07-02
10571.105500000007,2024-07-03
10571.105500000007,2024-07-04
10571.105500000007,2024-07-05
10571.105500000007,2024-07-08
10571.105500000007,2024-07-09
10571.105500000007,2024-07-10
10571.105500000007,2024-07-11
10571.105500000007,2024-07-12
10571.105500000007,2024-07-15
10571.105500000007,2024-07-16
10571.105500000007,2024-07-18
10571.105500000007,2024-07-19
10571.105500000007,2024-07-22
10388.988250000004,2024-07-23
10617.588250000006,2024-07-24
10992.288250000007,2024-07-25
11325.588250000006,2024-07-26
11300.088250000006,2024-07-29
11146.188250000005,2024-07-30
11341.788250000007,2024-07-31
11423.388250000005,2024-08-01
11289.288250000007,2024-08-02
11153.088250000006,2024-08-05
10866.888250000005,2024-08-06
10934.088250000006,2024-08-07
11057.688250000005,2024-08-08
11170.488250000004,2024-08-09
11049.888250000005,2024-08-12
10914.288250000007,2024-08-13
10972.488250000004,2024-08-14
10953.288250000007,2024-08-16
10849.188250000005,2024-08-19
11387.688250000005,2024-08-20
11623.488250000004,2024-08-21
11596.479250000004,2024-08-22
11533.850500000004,2024-08-23
11575.550500000005,2024-08-26
11831.750500000006,2024-08-27
11804.166250000006,2024-08-28
11804.166250000006,2024-08-29
11804.166250000006,2024-08-30
11837.990500000005,2024-09-02
11833.268625000006,2024-09-03
11833.268625000006,2024-09-04
11778.485625000005,2024-09-05
11709.185625000006,2024-09-06
11741.885625000006,2024-09-09
11452.085625000007,2024-09-10
11486.285625000008,2024-09-11
11587.085625000007,2024-09-12
11410.385625000006,2024-09-13
11258.885625000006,2024-09-16
11246.285625000008,2024-09-17
11386.085625000007,2024-09-18
11377.085625000007,2024-09-19
11552.885625000006,2024-09-20
11852.285625000008,2024-09-23
11823.483375000009,2024-09-24
11791.01812500001,2024-09-25
11999.21812500001,2024-09-26
11905.318125000013,2024-09-27
11673.418125000011,2024-09-30
11614.618125000012,2024-10-01
11442.71812500001,2024-10-03
11398.01812500001,2024-10-04
11337.118125000012,2024-10-07
10977.71812500001,2024-10-08
11033.818125000013,2024-10-09
11016.418125000011,2024-10-10
11019.71812500001,2024-10-11
11039.21812500001,2024-10-14
10951.918125000011,2024-10-15
11011.918125000011,2024-10-16
10821.418125000011,2024-10-17
10845.71812500001,2024-10-18
10880.51812500001,2024-10-21
10798.318125000013,2024-10-22
10905.418125000011,2024-10-23
10421.21812500001,2024-10-24
10309.918125000011,2024-10-25
10244.818125000013,2024-10-28
10577.51812500001,2024-10-29
10354.318125000013,2024-10-30
10342.318125000013,2024-10-31
10382.51812500001,2024-11-01
10262.21812500001,2024-11-04
10408.618125000012,2024-11-05
10233.118125000012,2024-11-06
10148.51812500001,2024-11-07
10029.118125000012,2024-11-08
10005.418125000011,2024-11-11
9984.118125000012,2024-11-12
9889.618125000012,2024-11-13
9983.21812500001,2024-11-14
9985.01812500001,2024-11-18
9746.818125000013,2024-11-19
9477.118125000012,2024-11-21
9520.318125000013,2024-11-22
9580.618125000012,2024-11-25
9649.918125000011,2024-11-26
9641.818125000013,2024-11-27
9181.01812500001,2024-11-28
9235.918125000011,2024-11-29
9141.71812500001,2024-12-02
9255.118125000012,2024-12-03
9325.01812500001,2024-12-04
9200.51812500001,2024-12-05
9300.71812500001,2024-12-06
9425.21812500001,2024-12-09
9403.178625000011,2024-12-10
9403.178625000011,2024-12-11
9239.43637500001,2024-12-12
9217.23637500001,2024-12-13
9174.336375000012,2024-12-16
9102.636375000011,2024-12-17
9032.43637500001,2024-12-18
9079.836375000012,2024-12-19
9048.036375000009,2024-12-20
9076.23637500001,2024-12-23
8966.43637500001,2024-12-24
9098.73637500001,2024-12-26
9076.23637500001,2024-12-27
9067.536375000009,2024-12-30
8986.836375000012,2024-12-31
9046.836375000012,2025-01-01
9177.93637500001,2025-01-02
9330.636375000011,2025-01-03
9252.336375000012,2025-01-06
9510.93637500001,2025-01-07
9488.77012500001,2025-01-08
9498.62287500001,2025-01-09
9476.596125000011,2025-01-10
9476.596125000011,2025-01-13
9504.77762500001,2025-01-14
9501.029500000011,2025-01-15
9575.365750000012,2025-01-16
9567.79775000001,2025-01-17
9567.79775000001,2025-01-20
9346.40225000001,2025-01-21
9307.40225000001,2025-01-22
9246.20225000001,2025-01-23
9189.502250000012,2025-01-24
9093.502250000012,2025-01-27
9064.10225000001,2025-01-28
9312.502250000012,2025-01-29
9384.502250000012,2025-01-30
9448.70225000001,2025-01-31
9273.20225000001,2025-02-01
9306.802250000012,2025-02-03
9381.502250000012,2025-02-04
9362.002250000012,2025-02-05
9337.70225000001,2025-02-06
9372.802250000012,2025-02-07
9236.302250000012,2025-02-10
9061.10225000001,2025-02-11
9260.002250000012,2025-02-12
9370.10225000001,2025-02-13
9339.802250000012,2025-02-14
9404.302250000012,2025-02-17
9399.20225000001,2025-02-18
9400.70225000001,2025-02-19
9365.90225000001,2025-02-20
9519.502250000012,2025-02-21
9497.071250000014,2025-02-24
9386.273750000015,2025-02-25
9374.273750000015,2025-02-27
9138.773750000015,2025-02-28
9006.773750000015,2025-03-03
8914.373750000013,2025-03-04
9079.973750000016,2025-03-05
9083.573750000014,2025-03-06
9025.373750000013,2025-03-07
9072.473750000016,2025-03-10
9059.273750000015,2025-03-11
9009.773750000015,2025-03-12
8869.073750000014,2025-03-13
9161.273750000015,2025-03-17
9300.773750000015,2025-03-18
9465.173750000016,2025-03-19
9442.900250000017,2025-03-20
9442.900250000017,2025-03-21
9442.900250000017,2025-03-24
9442.900250000017,2025-03-25
9442.900250000017,2025-03-26
9441.38075000002,2025-03-27
9459.080750000017,2025-03-28
9443.480750000019,2025-04-01
9531.080750000017,2025-04-02
9425.480750000019,2025-04-03
9247.580750000017,2025-04-04
8936.780750000018,2025-04-07
9099.980750000019,2025-04-08
9061.88075000002,2025-04-09
9303.38075000002,2025-04-11
9547.580750000017,2025-04-15
9564.38075000002,2025-04-16
9540.89975000002,2025-04-17
9540.89975000002,2025-04-21
9540.89975000002,2025-04-22
9540.89975000002,2025-04-23
9484.20600000002,2025-04-24
9918.70600000002,2025-04-25
9897.517250000023,2025-04-28
9897.517250000023,2025-04-29
9897.517250000023,2025-04-30
9897.517250000023,2025-05-02
9897.517250000023,2025-05-05
9897.517250000023,2025-05-06
9968.442250000024,2025-05-07
9903.442250000024,2025-05-08
9744.942250000024,2025-05-09
10003.442250000024,2025-05-12
9945.942250000024,2025-05-13
10021.942250000024,2025-05-14
10168.942250000024,2025-05-15
10112.942250000024,2025-05-16
10095.942250000024,2025-05-19
10034.942250000024,2025-05-20
10065.442250000024,2025-05-21
10042.442250000024,2025-05-22
10239.442250000024,2025-05-23
10253.942250000024,2025-05-26
10262.442250000024,2025-05-27
10282.942250000024,2025-05-28
10370.942250000024,2025-05-29
10348.129750000024,2025-05-30
10276.977250000024,2025-06-02
10140.977250000024,2025-06-03
10143.977250000024,2025-06-04
10138.477250000024,2025-06-05
10167.477250000024,2025-06-06
10218.477250000024,2025-06-09
10191.977250000024,2025-06-10
10260.977250000024,2025-06-11
10094.477250000024,2025-06-12
10040.477250000024,2025-06-13
10253.477250000024,2025-06-16
10265.477250000024,2025-06-17
10250.477250000024,2025-06-18
10211.477250000024,2025-06-19
10318.977250000024,2025-06-20
10357.477250000024,2025-06-23
10479.477250000024,2025-06-24
10456.439750000023,2025-06-25
10456.439750000023,2025-06-26
10456.439750000023,2025-06-27
10413.807250000023,2025-06-30
